휴젤(145020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-24,199500,209000,166700,168300,553086,552707.0,3284058.0
2015-12-28,166500,177500,166500,177400,116602,582592.0,3284058.0
2015-12-29,173900,185600,173800,180100,68108,591459.0,3284058.0
2015-12-30,180000,199700,180000,198600,108607,652214.0,3284058.0
2016-01-04,199500,200000,190100,190100,56384,624299.0,3284058.0
2016-01-05,185000,207500,183500,200500,58325,658454.0,3284058.0
2016-01-06,200000,205000,197700,203900,53690,669619.0,3284058.0
2016-01-07,199400,213300,198900,205000,50502,673232.0,3284058.0
2016-01-08,200000,212500,199500,211000,37860,692936.0,3284058.0
2016-01-11,222900,229000,212100,212500,94996,697862.0,3284058.0
2016-01-12,213800,222400,209100,217000,43036,712641.0,3284058.0
2016-01-13,219500,222000,217500,219700,26725,721508.0,3284058.0
2016-01-14,219500,219500,212500,213000,31965,699504.0,3284058.0
2016-01-15,215000,230000,214600,220000,60517,722493.0,3284058.0
2016-01-18,219900,223900,213900,222000,40847,729061.0,3284058.0
2016-01-19,222000,223500,219000,222800,16411,731688.0,3284058.0
2016-01-20,224100,231000,216400,220000,34764,722493.0,3284058.0
2016-01-21,219500,222100,216400,219500,19127,720851.0,3284058.0
2016-01-22,220000,222300,218000,219000,15635,719209.0,3284058.0
2016-01-25,219000,226900,215900,224000,33244,735629.0,3284058.0
2016-01-26,221400,243000,221400,235000,66653,771754.0,3284058.0
2016-01-27,238900,252500,236100,243800,70725,800653.0,3284058.0
2016-01-28,247000,247300,238700,242800,25964,797369.0,3284058.0
2016-01-29,242700,245500,237900,245500,31730,806236.0,3284058.0
2016-02-01,246000,246100,241500,244300,23527,802295.0,3284058.0
2016-02-02,243500,244900,239600,243000,20157,798026.0,3284058.0
2016-02-03,242000,242900,239000,241600,14902,793428.0,3284058.0
2016-02-04,242100,248000,240500,243200,15332,798683.0,3284058.0
2016-02-05,244600,245100,238800,240600,20400,790144.0,3284058.0
2016-02-11,237200,243200,230100,239400,27779,786203.0,3284058.0
2016-02-12,239900,240700,218100,218100,56328,716253.0,3284058.0
2016-02-15,218100,218500,200300,213500,52163,701146.0,3284058.0
2016-02-16,215400,218600,213400,214100,29829,703117.0,3284058.0
2016-02-17,213300,217900,208100,212700,27935,698519.0,3284058.0
2016-02-18,212900,227400,212900,227400,24245,746795.0,3284058.0
2016-02-19,227400,229800,224500,227100,12805,745810.0,3284058.0
2016-02-22,228400,228500,223200,227200,9153,746138.0,3284058.0
2016-02-23,227300,231800,225200,227000,12562,745481.0,3284058.0
2016-02-24,234900,236000,228000,231000,32217,758617.0,3284058.0
2016-02-25,231300,238200,231000,236000,18814,775038.0,3284058.0
2016-02-26,236100,238400,233700,233700,10987,767484.0,3284058.0
2016-02-29,236800,236800,223000,224600,17500,737599.0,3284058.0
2016-03-02,225500,235900,225500,232300,19709,762887.0,3284058.0
2016-03-03,232700,254400,232700,250000,60901,821014.0,3284058.0
2016-03-04,251100,267500,251000,263400,54453,865021.0,3284058.0
2016-03-07,263400,265700,251300,255300,43172,838420.0,3284058.0
2016-03-08,256500,267500,251000,264200,39887,867648.0,3284058.0
2016-03-09,268000,279500,264300,274000,63512,899832.0,3284058.0
2016-03-10,274000,276800,268200,271500,17335,891622.0,3284058.0
2016-03-11,270000,271500,262300,265700,14527,872574.0,3284058.0
2016-03-14,267200,269000,259400,261500,18413,858781.0,3284058.0
2016-03-15,259100,269000,259100,262300,17934,861408.0,3284058.0
2016-03-16,262400,265500,259600,259700,12493,852870.0,3284058.0
2016-03-17,258600,262900,258200,262300,10053,861408.0,3284058.0
2016-03-18,262400,262700,257200,259500,8989,852213.0,3284058.0
2016-03-21,261600,261600,254100,259600,13773,852541.0,3284058.0
2016-03-22,262800,267600,261500,266000,27149,873559.0,3284058.0
2016-03-23,267000,267500,262300,263000,14333,863707.0,3284058.0
2016-03-24,255000,264400,254500,264200,28741,867648.0,3284058.0
2016-03-25,262100,267300,259700,260100,13142,854183.0,3284058.0
2016-03-28,259000,261000,257500,257500,10243,845645.0,3284058.0
2016-03-29,259800,259900,249900,256600,33413,842689.0,3284058.0
2016-03-30,256600,275000,256500,270000,48805,886696.0,3284058.0
2016-03-31,273200,279800,268000,278400,32803,914282.0,3284058.0
2016-04-01,280000,291500,278500,284200,205502,933329.0,3284058.0
2016-04-04,287500,301500,287500,296400,42385,973395.0,3284058.0
2016-04-05,299600,306000,296400,299600,39556,983904.0,3284058.0
2016-04-06,300000,305000,295000,300000,33531,985217.0,3284058.0
2016-04-07,303400,320000,303400,319000,52030,1047615.0,3284058.0
2016-04-08,323900,347000,313400,318900,103404,1047286.0,3284058.0
2016-04-11,320000,330000,307000,314000,56322,1031194.0,3284058.0
2016-04-12,313000,333300,312000,327000,83965,1073887.0,3284058.0
2016-04-14,335100,339000,317400,322000,30203,1057467.0,3284058.0
2016-04-15,319800,319800,311600,312600,23129,1026597.0,3284058.0
2016-04-18,313300,318000,311000,312500,11699,1026268.0,3284058.0
2016-04-19,316500,317000,309800,310000,18809,1018058.0,3284058.0
2016-04-20,311500,312400,301800,302900,26320,994741.0,3284058.0
2016-04-21,305800,305800,296100,299900,21731,984889.0,3284058.0
2016-04-22,299100,314800,299100,312000,24019,1024626.0,3284058.0
2016-04-25,314800,314800,299700,300400,21029,986531.0,3284058.0
2016-04-26,300500,309900,299800,299800,15954,984561.0,3284058.0
2016-04-27,300400,312400,300400,311200,17875,1021999.0,3284058.0
2016-04-28,313500,316100,309000,309600,15155,1016744.0,3284058.0
2016-04-29,312500,314500,302600,304300,14119,999339.0,3284058.0
2016-05-02,303500,306800,299800,301500,13865,990143.0,3284058.0
2016-05-03,306500,325100,302200,322700,47319,1059766.0,3284058.0
2016-05-04,322000,322000,313300,318000,21443,1044330.0,3284058.0
2016-05-09,318200,321500,313900,317800,11219,1043674.0,3284058.0
2016-05-10,318200,324400,317000,319400,18014,1048928.0,3284058.0
2016-05-11,320000,325000,316600,323100,17585,1061079.0,3284058.0
2016-05-12,322000,335000,319900,332200,30506,1090964.0,3284058.0
2016-05-13,336900,345800,332400,338700,31847,1112310.0,3284058.0
2016-05-16,343800,343800,335000,335100,19453,1100488.0,3284058.0
2016-05-17,344200,344600,317600,329000,37875,1080455.0,3284058.0
2016-05-18,329200,329200,321000,326700,14793,1072902.0,3284058.0
2016-05-19,327000,327500,316500,316800,20193,1040390.0,3284058.0
2016-05-20,316000,322000,310000,319000,15391,1047615.0,3284058.0
2016-05-23,318900,323000,313000,321000,13374,1054183.0,3284058.0
2016-05-24,320100,329000,317200,326500,19686,1072245.0,3284058.0
2016-05-25,329900,329900,320000,327000,16172,1073887.0,3284058.0
2016-05-26,329000,329500,324100,328900,14774,1080127.0,3284058.0
2016-05-27,328700,333000,325300,328100,27092,1077499.0,3284058.0
2016-05-30,336000,347700,330000,333400,49753,1094905.0,3284058.0
2016-05-31,333800,340000,328600,340000,38079,1116580.0,3284058.0
2016-06-01,340000,343400,336300,338300,12186,1110997.0,3284058.0
2016-06-02,341000,342000,337000,340000,13931,1116580.0,3284058.0
2016-06-03,343500,348000,338000,346100,24430,1136612.0,3284058.0
2016-06-07,346100,348400,333800,333800,33725,1096219.0,3284058.0
2016-06-08,333700,333700,326000,332000,19296,1090307.0,3284058.0
2016-06-09,333500,336900,331000,336200,16841,1104100.0,3284058.0
2016-06-10,335600,335600,330500,331300,9603,1088008.0,3284058.0
2016-06-13,331000,331000,320000,321600,15574,1056153.0,3284058.0
2016-06-14,320000,321900,310500,310500,29614,1019700.0,3284058.0
2016-06-15,309900,320500,305000,318700,29200,1046629.0,3284058.0
2016-06-16,320500,329100,307700,309000,20074,1014774.0,3284058.0
2016-06-17,310600,313100,302900,306400,59064,1006235.0,3284058.0
2016-06-20,306400,311700,303300,311700,15067,1023641.0,3284058.0
2016-06-21,313500,313500,307200,310200,12420,1018715.0,3284058.0
2016-06-22,307200,307400,302800,303000,22943,995070.0,3284058.0
2016-06-23,304400,318500,303500,318500,34212,1045972.0,3284058.0
2016-06-24,319800,323400,302700,313800,44404,1030537.0,3284058.0
2016-06-27,305000,315000,305000,311000,16348,1021342.0,3284058.0
2016-06-28,305800,313700,305800,310900,12212,1021014.0,3284058.0
2016-06-29,312500,316200,310500,312500,16754,1026268.0,3284058.0
2016-06-30,314900,320800,314900,317900,11279,1044002.0,3284058.0
2016-07-01,321100,329200,318500,326800,16660,1073230.0,3284058.0
2016-07-04,330000,335700,327200,332800,26549,1092935.0,3284058.0
2016-07-05,335200,338000,325100,329400,20559,1081769.0,3284058.0
2016-07-06,330500,338000,330500,333600,25125,1095562.0,3284058.0
2016-07-07,338000,351700,336500,351700,74566,1155003.0,3284058.0
2016-07-08,353800,358600,348100,357000,43811,1172409.0,3284058.0
2016-07-11,359500,370900,354800,364600,38989,1197368.0,3284058.0
2016-07-12,367800,372900,354000,360900,59570,1185217.0,3284058.0
2016-07-13,360900,365500,358000,361100,40862,1185873.0,3284058.0
2016-07-14,362500,362500,350000,352000,41676,1155988.0,3284058.0
2016-07-15,352000,355500,344700,344700,28400,1132015.0,3284058.0
2016-07-18,344700,347500,336600,337600,30516,1108698.0,3284058.0
2016-07-19,338500,344000,337200,340000,16285,1116580.0,3284058.0
2016-07-20,342700,342900,338100,341100,17658,1120192.0,3284058.0
2016-07-21,342500,351500,339400,345100,23947,1133328.0,3284058.0
2016-07-22,346000,351700,344000,351000,14686,1152704.0,3284058.0
2016-07-25,350500,352700,346100,348400,11061,1144166.0,3284058.0
2016-07-26,346400,350500,343500,349100,12707,1146465.0,3284058.0
2016-07-27,349100,354900,348800,351500,23809,1154346.0,3284058.0
2016-07-28,350700,354900,349500,351600,14756,1154675.0,3284058.0
2016-07-29,350600,351900,346300,350100,11789,1149749.0,3284058.0
2016-08-01,350000,351300,340500,340500,11902,1118222.0,3284058.0
2016-08-02,339100,349000,338400,343300,14588,1127417.0,3284058.0
2016-08-03,343400,359000,343400,358000,33091,1175693.0,3284058.0
2016-08-04,356000,357800,349600,352900,16504,1158944.0,3284058.0
2016-08-05,350800,352800,338100,340000,34845,1116580.0,3284058.0
2016-08-08,340000,341800,336600,337400,15431,1108041.0,3284058.0
2016-08-09,338200,358800,338200,345300,32084,1133985.0,3284058.0
2016-08-10,346500,348300,339000,347800,15752,1142195.0,3284058.0
2016-08-11,347800,352000,347800,351700,15554,1155003.0,3284058.0
2016-08-12,352900,356300,346700,351900,15468,1155660.0,3284058.0
2016-08-16,351800,351800,342400,344700,19951,1132015.0,3284058.0
2016-08-17,372200,392000,362000,374000,161145,1228238.0,3284058.0
2016-08-18,375000,400000,371000,399400,165077,1311653.0,3284058.0
2016-08-19,405000,439900,399000,439900,138583,1444657.0,3284058.0
2016-08-22,440000,450500,426500,431300,62123,1416414.0,3284058.0
2016-08-23,431300,450000,430000,438500,41694,1440059.0,3284058.0
2016-08-24,444100,455200,442000,445500,50022,1463048.0,3284058.0
2016-08-25,449900,452100,430200,430200,35693,1412802.0,3284058.0
2016-08-26,430000,430200,417500,420300,29690,1380290.0,3284058.0
2016-08-29,419000,422900,407800,415900,20216,1365840.0,3284058.0
2016-08-30,417500,421600,405800,409000,28754,1343180.0,3284058.0
2016-08-31,413500,425900,406000,418300,27392,1373721.0,3284058.0
2016-09-01,419700,449500,417500,449500,49498,1476184.0,3284058.0
2016-09-02,458100,473500,445400,446000,56617,1464690.0,3284058.0
2016-09-05,449500,465900,447500,465400,25772,1528401.0,3284058.0
2016-09-06,467800,469700,447100,451400,20840,1482424.0,3284058.0
2016-09-07,451400,457500,436500,453000,21961,1487678.0,3284058.0
2016-09-08,453000,463900,446900,453000,24749,1487678.0,3284058.0
2016-09-09,452800,453000,433100,436900,28055,1434805.0,3284058.0
2016-09-12,426500,443000,425600,437000,17871,1435133.0,3284058.0
2016-09-13,441800,451700,437500,449700,16371,1476841.0,3284058.0
2016-09-19,450300,457000,447100,447900,13247,1470930.0,3284058.0
2016-09-20,447900,485000,446000,478000,31673,1569780.0,3284058.0
2016-09-21,480200,482400,467500,474700,19468,1558942.0,3284058.0
2016-09-22,474000,474700,465100,466000,22270,1530371.0,3284058.0
2016-09-23,464500,488000,461600,483300,32275,1587185.0,3284058.0
2016-09-26,483300,486900,464000,464000,385640,1523803.0,3284058.0
2016-09-27,462700,470000,457500,463900,24762,1523475.0,3284058.0
2016-09-28,463900,469500,456400,458000,33082,1504099.0,3284058.0
2016-09-29,454000,458000,438100,440500,57977,1446628.0,3284058.0
2016-09-30,433000,433000,411000,425900,71656,1398680.0,3284058.0
2016-10-04,429900,440800,428600,437200,45397,1435790.0,3284058.0
2016-10-05,450500,463100,450300,458900,68675,1507054.0,3284058.0
2016-10-06,458900,466500,453500,460300,28579,1511652.0,3284058.0
2016-10-07,459000,459100,448800,450700,17128,1480125.0,3284058.0
2016-10-10,450700,459200,441700,453300,12741,1488663.0,3284058.0
2016-10-11,454900,456900,441000,442000,12833,1451554.0,3284058.0
2016-10-12,437000,449700,437000,437200,15236,1435790.0,3284058.0
2016-10-13,438900,439000,425600,432000,22486,1418713.0,3284058.0
2016-10-14,427200,436000,426000,430000,9400,1412145.0,3284058.0
2016-10-17,426100,430900,406700,408200,40026,1340552.0,3284058.0
2016-10-18,410000,425800,410000,417200,31450,1370109.0,3284058.0
2016-10-19,419900,419900,394900,398500,46155,1308697.0,3284058.0
2016-10-20,398000,419100,386400,417000,67070,1369452.0,3284058.0
2016-10-21,419000,420600,339600,379600,129664,1246628.0,3284058.0
2016-10-24,371000,401300,368500,386800,91304,1270274.0,3284058.0
2016-10-25,386300,391100,368000,387000,39146,1270930.0,3284058.0
2016-10-26,392000,392500,325200,334100,240170,1097204.0,3284058.0
2016-10-27,331100,353000,315000,347800,136842,1142195.0,3284058.0
2016-10-28,349300,351900,328000,335500,72385,1101801.0,3284058.0
2016-10-31,329000,344200,328800,343000,56002,1126432.0,3284058.0
2016-11-01,343000,347000,335600,335700,33954,1102458.0,3284058.0
2016-11-02,334100,336000,301500,310000,106518,1018058.0,3284058.0
2016-11-03,305300,318900,274800,280000,136820,919536.0,3284058.0
2016-11-04,287000,314900,280300,305000,142322,1001638.0,3284058.0
2016-11-07,312500,317000,299000,302500,53575,993428.0,3284058.0
2016-11-08,306000,331200,301500,326000,53715,1070603.0,3284058.0
2016-11-09,325000,340000,306100,327500,122138,1075529.0,3284058.0
2016-11-10,345600,354900,333800,351000,65115,1152704.0,3284058.0
2016-11-11,350900,351000,339700,350900,33506,1152376.0,3284058.0
2016-11-14,353000,353000,331500,335300,35521,1101145.0,3284058.0
2016-11-15,328500,329000,311800,312100,57075,1024955.0,3284058.0
2016-11-16,315100,330800,315000,319900,63096,1050570.0,3284058.0
2016-11-17,321800,328000,310800,323000,30869,1060751.0,3284058.0
2016-11-18,322900,322900,298800,299300,78682,982919.0,3284058.0
2016-11-21,300500,306700,286700,289700,58307,951392.0,3284058.0
2016-11-22,290000,294500,283000,293800,49726,964856.0,3284058.0
2016-11-23,294500,294500,270500,282000,80976,926104.0,3284058.0
2016-11-24,280500,286200,268000,275100,60415,903444.0,3284058.0
2016-11-25,275500,282200,273500,280500,39627,921178.0,3284058.0
2016-11-28,283000,283300,258100,259000,104675,850571.0,3284058.0
