세경하이테크(148150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-30,33250,35900,30150,33350,2846253,187560.0,5624000.0
2019-07-31,32700,38000,32200,33850,1319368,190372.0,5624000.0
2019-08-01,33400,35850,32400,35000,500848,196840.0,5624000.0
2019-08-02,34200,35450,33550,34300,205667,192903.0,5624000.0
2019-08-05,34250,34250,29700,30600,281506,172094.0,5624000.0
2019-08-06,29150,32750,28800,29700,209617,167033.0,5624000.0
2019-08-07,31900,33950,29350,32000,316054,179968.0,5624000.0
2019-08-08,32000,33800,31900,33500,176930,188404.0,5624000.0
2019-08-09,33800,36200,32950,36200,227535,203589.0,5624000.0
2019-08-12,36850,38400,35150,35750,343049,201058.0,5624000.0
2019-08-13,35400,35450,33600,33800,193591,190091.0,5624000.0
2019-08-14,34300,34650,33150,33150,163996,186436.0,5624000.0
2019-08-16,32700,32700,29450,30550,252620,171813.0,5624000.0
2019-08-19,30950,31350,28850,29150,221802,163940.0,5624000.0
2019-08-20,29500,31800,29050,31800,250731,184981.0,5817000.0
2019-08-21,31850,33750,31800,32950,210789,191670.0,5817000.0
2019-08-22,32950,34800,31500,33550,271169,195160.0,5817000.0
2019-08-23,33050,34500,32250,32700,126986,190216.0,5817000.0
2019-08-26,31550,32700,31100,32000,94993,186144.0,5817000.0
2019-08-27,32800,33400,31750,31800,74815,184981.0,5817000.0
2019-08-28,32000,32500,31600,32250,44417,187598.0,5817000.0
2019-08-29,32250,32400,30800,31000,88502,180327.0,5817000.0
2019-08-30,31600,31900,30500,30700,100050,178582.0,5817000.0
2019-09-02,31000,31250,30300,31250,61277,181781.0,5817000.0
2019-09-03,31250,32300,31200,31950,129726,185853.0,5817000.0
2019-09-04,32000,33500,31500,33500,108331,194870.0,5817000.0
2019-09-05,33600,34450,33250,33750,122634,196324.0,5817000.0
2019-09-06,33700,34250,32250,32800,114280,190798.0,5817000.0
2019-09-09,33500,34450,32650,33700,154609,196033.0,5817000.0
2019-09-10,34250,35200,33400,33950,196474,197487.0,5817000.0
2019-09-11,34000,34000,32500,33150,103608,192834.0,5817000.0
2019-09-16,33200,34100,32400,32900,85375,191379.0,5817000.0
2019-09-17,32700,32800,31350,31900,148153,185562.0,5817000.0
2019-09-18,31750,32350,31600,32100,68593,186726.0,5817000.0
2019-09-19,32300,34000,32250,33900,165833,197196.0,5817000.0
2019-09-20,34150,34900,33350,33900,147630,197196.0,5817000.0
2019-09-23,33800,35000,33250,35000,137284,203595.0,5817000.0
2019-09-24,35000,36600,34700,36000,236827,209412.0,5817000.0
2019-09-25,36450,37700,35550,36200,263280,210575.0,5817000.0
2019-09-26,37200,37600,36250,36700,130151,213484.0,5817000.0
2019-09-27,36900,39700,36850,39700,310438,230935.0,5817000.0
2019-09-30,39950,40650,37550,39500,298791,229772.0,5817000.0
2019-10-01,39400,40200,38600,39150,113210,227736.0,5817000.0
2019-10-02,38500,41700,38050,41350,312291,240533.0,5817000.0
2019-10-04,41350,43450,40800,42300,263273,246059.0,5817000.0
2019-10-07,42700,43350,41650,42000,184089,244314.0,5817000.0
