신화콘텍(187270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-08-08,7428,8272,6440,6441,3829040,53035.0,7469661.0
2014-08-11,6612,7301,6539,6577,951448,54155.0,7469661.0
2014-08-12,6648,6766,6376,6449,316280,53109.0,7469661.0
2014-08-13,6476,6612,6430,6541,222478,53856.0,7469661.0
2014-08-14,6612,6693,6467,6513,317596,53632.0,7469661.0
2014-08-18,6539,6630,6385,6387,294695,52586.0,7469661.0
2014-08-19,6440,6739,6195,6468,320597,53259.0,7469661.0
2014-08-20,6513,6549,6295,6295,114800,51839.0,7469661.0
2014-08-21,6295,6467,6267,6304,83557,51914.0,7469661.0
2014-08-22,6458,6521,6295,6314,62648,51989.0,7469661.0
2014-08-25,6340,6413,6013,6014,121507,49524.0,7469661.0
2014-08-26,6022,6304,5941,6123,76895,50420.0,7469661.0
2014-08-27,5995,6331,5995,6069,73658,49972.0,7469661.0
2014-08-28,6095,6195,6031,6032,43435,49673.0,7469661.0
2014-08-29,5986,6113,5968,5977,40664,49225.0,7469661.0
2014-09-01,6031,6031,5732,5742,66415,47283.0,7469661.0
2014-09-02,5795,5795,5441,5488,128787,45191.0,7469661.0
2014-09-03,5496,5623,5460,5488,47464,45191.0,7469661.0
2014-09-04,5487,5533,5405,5407,56203,44519.0,7469661.0
2014-09-05,5369,5524,5369,5497,48816,45266.0,7469661.0
2014-09-11,5441,5533,5405,5415,87673,44594.0,7469661.0
2014-09-12,5469,5469,5315,5315,66210,43772.0,7469661.0
2014-09-15,5379,5379,5106,5135,101319,42278.0,7469661.0
2014-09-16,5133,5287,5133,5244,34989,43175.0,7469661.0
2014-09-17,5379,5832,5324,5479,261611,45117.0,7469661.0
2014-09-18,5605,5623,5396,5398,54731,44444.0,7469661.0
2014-09-19,5460,5533,5351,5370,47727,44220.0,7469661.0
2014-09-22,5379,5478,5342,5343,39381,43996.0,7469661.0
2014-09-23,5451,5759,5441,5488,146324,45191.0,7469661.0
2014-09-24,5650,5814,5578,5715,99353,47059.0,7469661.0
2014-09-25,5778,5832,5578,5624,74261,46312.0,7469661.0
2014-09-26,5541,5623,5505,5588,24076,46013.0,7469661.0
2014-09-29,5560,5623,5369,5370,39688,44220.0,7469661.0
2014-09-30,5351,5478,5287,5306,28773,43698.0,7469661.0
2014-10-01,5306,5324,5142,5207,66556,42876.0,7469661.0
2014-10-02,5170,5287,5133,5289,25644,43548.0,7469661.0
2014-10-06,5287,5287,5197,5234,24559,43100.0,7469661.0
2014-10-07,5270,5460,5188,5370,37330,44220.0,7469661.0
2014-10-08,5369,5732,5251,5642,82598,46461.0,7469661.0
2014-10-10,5533,5695,5396,5624,55432,46312.0,7469661.0
2014-10-13,5614,5614,5396,5479,41548,45117.0,7469661.0
2014-10-14,5533,5569,5415,5443,18209,44818.0,7469661.0
2014-10-15,5441,5560,5396,5398,23620,44444.0,7469661.0
2014-10-16,5306,5387,5178,5261,21542,43324.0,7469661.0
2014-10-17,5306,5369,5079,5089,59240,41905.0,7469661.0
2014-10-20,5097,5178,4997,5052,45155,41606.0,7469661.0
2014-10-21,5061,5197,5024,5135,25780,42278.0,7469661.0
2014-10-22,5133,5188,5061,5071,23175,41755.0,7469661.0
2014-10-23,5070,5133,4924,4943,62107,40710.0,7469661.0
2014-10-24,4934,4961,4789,4789,56613,39440.0,7469661.0
