감마누(192410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-08-14,3674,4225,3123,3123,1996600,45007.0,2406800.0
2014-08-18,3048,3189,2855,3115,415796,44887.0,2406800.0
2014-08-19,3173,3181,2914,2914,135898,41999.0,2406800.0
2014-08-20,2872,2964,2747,2748,254550,39592.0,2406800.0
2014-08-21,2764,2830,2664,2672,107372,38509.0,2406800.0
2014-08-22,2705,2705,2555,2614,84783,37666.0,2406800.0
2014-08-25,2622,2689,2571,2572,62495,37065.0,2406800.0
2014-08-26,2597,2956,2555,2698,436293,38870.0,2406800.0
2014-08-27,2705,3098,2672,2906,623111,41878.0,2406800.0
2014-08-28,2897,3014,2872,2956,116856,42600.0,2406800.0
2014-08-29,2906,2947,2805,2856,77984,41156.0,2406800.0
2014-09-01,2822,2839,2622,2631,86382,37907.0,2406800.0
2014-09-02,2597,2872,2588,2681,95985,38629.0,2406800.0
2014-09-03,2730,2739,2630,2664,41446,38388.0,2406800.0
2014-09-04,2655,2705,2571,2605,46823,37546.0,2406800.0
2014-09-05,2622,2655,2580,2597,20569,37426.0,2406800.0
2014-09-11,2597,2697,2588,2605,41294,37546.0,2406800.0
2014-09-12,2613,2630,2513,2522,41446,36343.0,2406800.0
2014-09-15,2405,2430,2329,2330,121266,33575.0,2406800.0
2014-09-16,2321,2371,2296,2338,50368,33695.0,2406800.0
2014-09-17,2388,2463,2329,2372,76717,34177.0,2406800.0
2014-09-18,2388,2546,2388,2397,112484,34538.0,2406800.0
2014-09-19,2421,2488,2421,2472,35809,35621.0,2406800.0
2014-09-22,2488,2538,2438,2489,49078,35861.0,2406800.0
2014-09-23,2471,2530,2396,2422,33772,34899.0,2406800.0
2014-09-24,2438,2455,2363,2422,36703,34899.0,2406800.0
2014-09-25,2421,2463,2388,2405,27400,34658.0,2406800.0
2014-09-26,2380,2413,2363,2380,25739,34297.0,2406800.0
2014-09-29,2388,2430,2338,2338,19657,33695.0,2406800.0
2014-09-30,2346,2396,2321,2338,20570,33695.0,2406800.0
2014-10-01,2338,2371,2196,2238,29751,32251.0,2406800.0
2014-10-02,2196,2254,2171,2213,23106,31890.0,2406800.0
2014-10-06,2237,2296,2204,2205,22463,31770.0,2406800.0
2014-10-07,2187,2221,2146,2155,21833,31048.0,2406800.0
2014-10-08,2171,2471,2146,2472,199727,35621.0,2406800.0
2014-10-10,2430,2580,2405,2505,136451,36102.0,2406800.0
2014-10-13,2505,2513,2338,2363,52125,34056.0,2406800.0
2014-10-14,2313,2430,2237,2238,60108,32251.0,2406800.0
2014-10-15,2254,2471,2229,2363,56078,34056.0,2406800.0
2014-10-16,2388,2521,2287,2455,53119,35380.0,2406800.0
2014-10-17,2430,2655,2405,2547,90249,36704.0,2406800.0
2014-10-20,2538,2630,2496,2497,51875,35982.0,2406800.0
2014-10-21,2530,2588,2455,2514,28306,36222.0,2406800.0
2014-10-22,2521,2880,2521,2781,177862,40073.0,2406800.0
2014-10-23,2780,2864,2714,2806,63573,40434.0,2406800.0
2014-10-24,2830,2847,2755,2756,40739,39712.0,2406800.0
2014-10-27,2747,2956,2730,2764,58905,39833.0,2406800.0
2014-10-28,2780,2814,2630,2739,51483,39472.0,2406800.0
2014-10-29,2764,2797,2672,2714,32627,39110.0,2406800.0
2014-10-30,2714,2772,2563,2631,48580,37907.0,2406800.0
2014-10-31,2630,2664,2530,2539,28443,36583.0,2406800.0
2014-11-03,2530,2538,2430,2439,40345,35139.0,2406800.0
2014-11-04,2405,2438,2287,2296,40474,33094.0,2406800.0
2014-11-05,2262,2405,2254,2296,24917,33094.0,2406800.0
2014-11-06,2304,2380,2279,2355,14281,33936.0,2406800.0
2014-11-07,2355,2505,2329,2455,19472,35380.0,2406800.0
2014-11-10,2496,2496,2355,2422,14514,34899.0,2406800.0
2014-11-11,2446,2546,2405,2514,24619,36222.0,2406800.0
2014-11-12,2455,2505,2438,2447,15922,35260.0,2406800.0
2014-11-13,2463,2488,2421,2447,7858,35260.0,2406800.0
2014-11-14,2455,2513,2421,2489,13875,35861.0,2406800.0
2014-11-17,2563,2622,2505,2505,34077,36102.0,2406800.0
2014-11-18,2488,2530,2405,2414,25054,34778.0,2406800.0
2014-11-19,2413,2430,2380,2405,11192,34658.0,2406800.0
2014-11-20,2405,2455,2313,2347,11960,33816.0,2406800.0
2014-11-21,2346,2388,2287,2355,9997,33936.0,2406800.0
2014-11-24,2355,2380,2271,2322,10170,33455.0,2406800.0
2014-11-25,2321,2380,2313,2363,6494,34056.0,2406800.0
2014-11-26,2355,2363,2204,2238,31505,32251.0,2406800.0
2014-11-27,2221,2287,2187,2238,24637,32251.0,2406800.0
2014-11-28,2237,2262,2179,2238,13821,32251.0,2406800.0
2014-12-01,2237,2313,2187,2313,14755,33334.0,2406800.0
2014-12-02,2321,2329,2246,2305,13405,33214.0,2406800.0
2014-12-03,2296,2313,2254,2255,10039,32492.0,2406800.0
2014-12-04,2262,2338,2229,2271,12792,32732.0,2406800.0
2014-12-05,2271,2380,2271,2363,14537,34056.0,2406800.0
2014-12-08,2388,2388,2321,2355,12446,33936.0,2406800.0
2014-12-09,2355,2380,2313,2355,9011,33936.0,2406800.0
2014-12-10,2321,2346,2246,2296,17565,33094.0,2406800.0
2014-12-11,2287,2321,2221,2271,8278,32732.0,2406800.0
2014-12-12,2271,2296,2129,2146,13640,30927.0,2406800.0
