고려시멘트(198440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-08-13,1555,1584,1501,1509,1978702,14595.0,7000000.0
2014-08-14,1508,1523,1508,1516,236349,14665.0,7000000.0
2014-08-18,1512,1519,1512,1520,92170,14700.0,7000000.0
2014-08-19,1520,1520,1512,1516,77152,14665.0,7000000.0
2014-08-20,1516,1516,1508,1516,58208,14665.0,7000000.0
2014-08-21,1511,1511,1501,1509,136967,14595.0,7000000.0
2014-08-22,1500,1504,1496,1502,112326,14525.0,7000000.0
2014-08-25,1496,1511,1496,1502,14222,14525.0,7000000.0
2014-08-26,1496,1500,1496,1502,31158,14525.0,7000000.0
2014-08-27,1496,1504,1496,1502,37698,14525.0,7000000.0
2014-08-28,1501,1505,1497,1505,21832,14560.0,7000000.0
2014-08-29,1500,1500,1496,1502,22272,14525.0,7000000.0
2014-09-01,1497,1511,1490,1513,260293,14630.0,7000000.0
2014-09-02,1515,1515,1511,1513,54411,14630.0,7000000.0
2014-09-03,1512,1519,1512,1520,49780,14700.0,7000000.0
2014-09-04,1515,1515,1511,1513,25803,14630.0,7000000.0
2014-09-05,1512,1520,1512,1516,48692,14665.0,7000000.0
2014-09-11,1515,1515,1504,1513,87822,14630.0,7000000.0
2014-09-12,1512,1519,1508,1520,135074,14700.0,7000000.0
2014-09-15,1508,1519,1508,1520,81772,14700.0,7000000.0
2014-09-16,1512,1520,1512,1516,239788,14665.0,7000000.0
2014-09-17,1516,1520,1512,1516,16481,14665.0,7000000.0
2014-09-18,1512,1516,1508,1516,32335,14665.0,7000000.0
2014-09-19,1508,1511,1501,1509,26420,14595.0,7000000.0
2014-09-22,1508,1508,1505,1509,36810,14595.0,7000000.0
2014-09-23,1505,1505,1501,1505,57417,14560.0,7000000.0
2014-09-24,1505,1511,1505,1509,38101,14595.0,7000000.0
2014-09-25,1505,1511,1505,1509,17496,14595.0,7000000.0
2014-09-26,1497,1511,1497,1513,24538,14630.0,7000000.0
2014-09-29,1504,1519,1497,1513,87547,14630.0,7000000.0
2014-09-30,1497,1497,1487,1491,64446,14420.0,7000000.0
2014-10-01,1497,1497,1480,1480,47231,14315.0,7000000.0
2014-10-02,1479,1479,1464,1476,64068,14280.0,7000000.0
2014-10-06,1468,1475,1464,1476,12205,14280.0,7000000.0
2014-10-07,1461,1480,1461,1480,17657,14315.0,7000000.0
2014-10-08,1475,1486,1475,1487,12119,14385.0,7000000.0
2014-10-10,1461,1468,1461,1462,60905,14140.0,7000000.0
2014-10-13,1458,1483,1454,1484,36807,14350.0,7000000.0
2014-10-14,1483,1483,1471,1473,30685,14245.0,7000000.0
2014-10-15,1460,1471,1460,1466,15168,14175.0,7000000.0
2014-10-16,1465,1472,1465,1469,13941,14210.0,7000000.0
2014-10-17,1475,1475,1468,1473,5685,14245.0,7000000.0
2014-10-20,1475,1475,1461,1462,27113,14140.0,7000000.0
2014-10-21,1457,1475,1453,1466,48088,14175.0,7000000.0
2014-10-22,1465,1469,1461,1469,31010,14210.0,7000000.0
2014-10-23,1468,1490,1457,1487,131387,14385.0,7000000.0
2014-10-24,1490,1505,1486,1498,57581,14490.0,7000000.0
2014-10-27,1497,1497,1465,1480,10151,14315.0,7000000.0
2014-10-28,1479,1483,1469,1484,3422,14350.0,7000000.0
2014-10-29,1484,1497,1476,1491,93650,14420.0,7000000.0
2014-10-30,1490,1494,1479,1484,29698,14350.0,7000000.0
2014-10-31,1479,1494,1479,1495,9924,14455.0,7000000.0
2014-11-03,1497,1497,1475,1487,34898,14385.0,7000000.0
2014-11-04,1479,1486,1475,1476,45515,14280.0,7000000.0
2014-11-05,1490,1497,1483,1495,9478,14455.0,7000000.0
2014-11-06,1486,1490,1483,1487,3239,14385.0,7000000.0
2014-11-07,1483,1497,1483,1498,12132,14490.0,7000000.0
2014-11-10,1483,1497,1483,1484,10317,14350.0,7000000.0
2014-11-11,1484,1490,1484,1491,31062,14420.0,7000000.0
2014-11-12,1484,1490,1484,1491,10743,14420.0,7000000.0
2014-11-13,1490,1490,1480,1491,53807,14420.0,7000000.0
2014-11-14,1490,1497,1490,1491,57521,14420.0,7000000.0
2014-11-17,1490,1490,1490,1491,7567,14420.0,7000000.0
2014-11-18,1483,1486,1483,1484,14706,14350.0,7000000.0
2014-11-19,1480,1490,1472,1491,18141,14420.0,7000000.0
2014-11-20,1490,1490,1483,1487,35154,14385.0,7000000.0
2014-11-21,1475,1483,1475,1476,43798,14280.0,7000000.0
2014-11-24,1476,1480,1472,1480,10389,14315.0,7000000.0
2014-11-25,1468,1475,1468,1476,12065,14280.0,7000000.0
2014-11-26,1468,1475,1468,1476,7252,14280.0,7000000.0
2014-11-27,1469,1480,1469,1480,1000,14315.0,7000000.0
2014-11-28,1475,1479,1471,1476,13039,14280.0,7000000.0
2014-12-01,1468,1471,1465,1473,5011,14245.0,7000000.0
2014-12-02,1465,1472,1465,1469,30578,14210.0,7000000.0
2014-12-03,1461,1471,1461,1473,6851,14245.0,7000000.0
2014-12-04,1469,1469,1465,1469,5040,14210.0,7000000.0
2014-12-05,1465,1469,1454,1469,53690,14210.0,7000000.0
2014-12-08,1461,1471,1461,1473,7453,14245.0,7000000.0
2014-12-09,1479,1479,1464,1466,14605,14175.0,7000000.0
2014-12-10,1469,1469,1461,1469,2982,14210.0,7000000.0
2014-12-11,1468,1471,1468,1473,5413,14245.0,7000000.0
2014-12-12,1469,1469,1469,1469,59,14210.0,7000000.0
2014-12-15,1469,1469,1469,1469,5020,14210.0,7000000.0
2014-12-16,1469,1469,1469,1469,686,14210.0,7000000.0
2014-12-17,1461,1469,1450,1469,49322,14210.0,7000000.0
2014-12-18,1460,1475,1460,1476,17919,14280.0,7000000.0
2014-12-19,1471,1475,1468,1476,5872,14280.0,7000000.0
2014-12-22,1475,1475,1460,1476,12902,14280.0,7000000.0
2014-12-23,1461,1480,1461,1480,6593,14315.0,7000000.0
2014-12-24,1479,1490,1471,1484,15171,14350.0,7000000.0
2014-12-26,1483,1483,1457,1466,70121,14175.0,7000000.0
2014-12-29,1464,1486,1464,1487,73626,14385.0,7000000.0
2014-12-30,1465,1480,1465,1480,63,14315.0,7000000.0
2015-01-02,1469,1483,1469,1480,7589,14315.0,7000000.0
2015-01-05,1479,1555,1479,1513,177509,14630.0,7000000.0
2015-01-06,1484,1490,1484,1491,13510,14420.0,7000000.0
2015-01-07,1490,1490,1479,1484,21042,14350.0,7000000.0
2015-01-08,1484,1490,1484,1491,60972,14420.0,7000000.0
2015-01-09,1516,1552,1490,1491,161480,14420.0,7000000.0
2015-01-12,1497,1505,1490,1505,24833,14560.0,7000000.0
2015-01-13,1494,1505,1494,1495,27238,14455.0,7000000.0
2015-01-14,1497,1501,1494,1498,33791,14490.0,7000000.0
2015-01-15,1497,1530,1497,1509,34736,14595.0,7000000.0
2015-01-16,1501,1592,1501,1556,232459,15050.0,7000000.0
2015-01-19,1527,1592,1527,1563,87970,15120.0,7000000.0
2015-01-20,1552,1567,1552,1563,35909,15120.0,7000000.0
2015-01-21,1563,1570,1556,1563,12393,15120.0,7000000.0
2015-01-22,1563,1573,1548,1567,64142,15155.0,7000000.0
2015-01-23,1563,1577,1559,1578,28860,15260.0,7000000.0
2015-01-26,1577,1580,1569,1571,9472,15190.0,7000000.0
2015-01-27,1569,1584,1520,1578,106553,15260.0,7000000.0
2015-01-28,1577,1592,1559,1592,41587,15400.0,7000000.0
2015-01-29,1587,1591,1580,1585,13179,15330.0,7000000.0
2015-01-30,1592,1592,1584,1592,12445,15400.0,7000000.0
2015-02-02,1592,1613,1569,1607,46694,15540.0,7000000.0
