화이브라더스코리아(204630),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-29,2044,2050,2039,2045,151771,13596.0,6815000.0
2014-12-30,2050,2050,2044,2050,34390,13630.0,6815000.0
2015-01-02,2050,2055,2050,2055,3490,13664.0,6815000.0
2015-01-05,2055,2055,2050,2050,12363,13630.0,6815000.0
2015-01-06,2050,2055,2050,2055,30180,13664.0,6815000.0
2015-01-07,2055,2065,2055,2060,41502,13698.0,6815000.0
2015-01-08,2060,2091,2055,2071,194586,13766.0,6815000.0
2015-01-09,2096,2096,2070,2071,31837,13766.0,6815000.0
2015-01-12,2065,2070,2065,2071,28664,13766.0,6815000.0
2015-01-13,2070,2070,2065,2071,34494,13766.0,6815000.0
2015-01-14,2070,2075,2060,2071,58202,13766.0,6815000.0
2015-01-15,2080,2096,2080,2096,42751,13937.0,6815000.0
2015-01-16,2091,2101,2091,2101,11910,13971.0,6815000.0
2015-01-19,2111,2121,2101,2122,5640,14107.0,6815000.0
2015-01-20,2132,2132,2132,2132,10,14175.0,6815000.0
2015-01-21,2126,2173,2126,2173,10364,14448.0,6815000.0
2015-01-22,2157,2157,2152,2153,2218,14312.0,6815000.0
2015-01-23,2203,2203,2152,2153,887,14312.0,6815000.0
2015-01-26,2152,2152,2126,2153,21113,14312.0,6815000.0
2015-01-27,2152,2152,2126,2147,11423,14277.0,6815000.0
2015-01-28,2142,2142,2126,2142,6240,14243.0,6815000.0
2015-01-29,2142,2152,2137,2153,65681,14312.0,6815000.0
2015-01-30,2157,2203,2157,2194,15258,14584.0,6815000.0
2015-02-02,2193,2203,2188,2204,58504,14652.0,6815000.0
2015-02-03,2224,2234,2203,2229,54676,14823.0,6815000.0
2015-02-04,2255,2255,2219,2235,32893,14857.0,6815000.0
2015-02-05,2255,2255,2219,2240,16499,14891.0,6815000.0
2015-02-06,2239,2255,2224,2229,29528,14823.0,6815000.0
2015-02-09,2229,2229,2193,2204,5040,14652.0,6815000.0
2015-02-10,2203,2239,2183,2199,14631,14618.0,6815000.0
2015-02-11,2193,2198,2152,2183,28090,14516.0,6815000.0
2015-02-12,2183,2434,2147,2224,24261,14789.0,6815000.0
2015-02-13,2214,2239,2173,2194,16786,14584.0,6815000.0
2015-02-16,2214,2214,2162,2163,3045,14380.0,6815000.0
2015-02-17,2183,2183,2142,2163,31506,14380.0,6815000.0
2015-02-23,2173,2203,2173,2194,16111,14584.0,6815000.0
2015-02-24,2183,2224,2178,2224,38568,14789.0,6815000.0
2015-02-25,2255,2255,2203,2235,47552,14857.0,6815000.0
2015-02-26,2203,2249,2203,2250,2176,14959.0,6815000.0
2015-02-27,2255,2301,2249,2301,2459,15300.0,6815000.0
2015-03-02,2255,2260,2244,2255,58914,14993.0,6815000.0
2015-03-03,2244,2255,2244,2255,31803,14993.0,6815000.0
2015-03-04,2255,2275,2244,2245,41368,14925.0,6815000.0
2015-03-05,2249,2249,2229,2235,9151,14857.0,6815000.0
2015-03-06,2234,2255,2224,2255,53895,14993.0,6815000.0
2015-03-09,2265,2265,2203,2235,60114,14857.0,6815000.0
2015-03-10,2244,2244,2152,2183,191764,14516.0,6815000.0
2015-03-11,2193,2208,2178,2204,48053,14652.0,6815000.0
2015-03-12,2203,2203,2183,2204,45548,14652.0,6815000.0
2015-03-13,2214,2214,2203,2214,59321,14720.0,6815000.0
2015-03-16,2249,2255,2224,2250,70190,14959.0,6815000.0
2015-03-17,2249,2331,2234,2255,119107,14993.0,6815000.0
2015-03-18,2398,2398,2249,2276,260613,15129.0,6815000.0
2015-03-19,2275,2439,2255,2440,308288,16220.0,6815000.0
2015-03-20,2526,2552,2460,2465,144676,16390.0,6815000.0
2015-03-23,2511,2665,2449,2639,332162,17549.0,6815000.0
2015-03-24,2613,2613,2470,2532,157857,16833.0,6815000.0
2015-03-25,2531,2531,2408,2414,120668,16049.0,6815000.0
2015-03-26,2413,2603,2362,2460,125618,16356.0,6815000.0
2015-03-27,0,0,0,2460,0,16356.0,6815000.0
2015-03-30,0,0,0,2460,0,,
2015-03-31,0,0,0,2460,0,,
2015-04-01,0,0,0,2460,0,,
2015-04-02,0,0,0,2460,0,,
2015-04-03,0,0,0,2460,0,,
2015-04-06,0,0,0,2460,0,,
2015-04-07,0,0,0,2460,0,,
2015-04-08,0,0,0,2460,0,,
2015-04-09,0,0,0,2460,0,,
2015-04-10,0,0,0,2460,0,,
2015-04-13,0,0,0,2460,0,,
2015-04-14,0,0,0,2460,0,,
2015-04-15,0,0,0,2460,0,,
2015-04-16,0,0,0,2460,0,,
2015-04-17,0,0,0,2460,0,,
2015-04-20,0,0,0,2460,0,,
2015-04-21,0,0,0,2460,0,,
2015-04-22,0,0,0,2460,0,,
2015-04-23,0,0,0,2460,0,,
2015-04-24,0,0,0,2460,0,,
2015-04-27,0,0,0,2460,0,,
2015-04-28,0,0,0,2460,0,,
2015-04-29,0,0,0,2460,0,,
2015-04-30,0,0,0,2460,0,,
2015-05-04,0,0,0,2460,0,,
2015-05-06,0,0,0,2460,0,,
2015-05-07,0,0,0,2460,0,,
2015-05-08,0,0,0,2460,0,,
2015-05-11,0,0,0,2460,0,,
2015-05-12,0,0,0,2460,0,,
2015-05-13,0,0,0,2460,0,,
2015-05-14,0,0,0,2460,0,,
2015-05-15,0,0,0,2460,0,,
2015-05-18,0,0,0,2460,0,,
2015-05-19,0,0,0,2460,0,,
2015-05-20,0,0,0,2460,0,,
2015-05-21,0,0,0,2460,0,,
2015-05-22,0,0,0,2460,0,,
2015-05-26,0,0,0,2460,0,,
2015-05-27,0,0,0,2460,0,,
2015-05-28,0,0,0,2460,0,,
2015-05-29,0,0,0,2460,0,,
2015-06-01,0,0,0,2460,0,,
2015-06-02,0,0,0,2460,0,,
2015-06-03,0,0,0,2460,0,,
2015-06-04,0,0,0,2460,0,,
2015-06-05,0,0,0,2460,0,,
2015-06-08,0,0,0,2460,0,,
2015-06-09,0,0,0,2460,0,,
2015-06-10,0,0,0,2460,0,,
2015-06-11,0,0,0,2460,0,,
2015-06-12,2460,2825,2370,2825,1850599,19252.0,6815000.0
2015-06-15,2800,2890,2490,2640,559802,17992.0,6815000.0
2015-06-16,2605,2690,2490,2610,129873,17787.0,6815000.0
2015-06-17,2670,3090,2545,2750,440921,18741.0,6815000.0
2015-06-18,2740,3190,2700,3030,618746,20649.0,6815000.0
2015-06-19,3040,3340,3030,3155,357954,21501.0,6815000.0
