지엘팜텍(204840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-20,2579,2605,2560,2562,1098123,9068.0,4500000.0
2014-11-21,2554,2567,2547,2562,138565,9068.0,4500000.0
2014-11-24,2555,2560,2548,2555,156628,9045.0,4500000.0
2014-11-25,2548,2555,2541,2549,64895,9022.0,4500000.0
2014-11-26,2541,2548,2541,2549,66673,9022.0,4500000.0
2014-11-27,2548,2548,2541,2549,12101,9022.0,4500000.0
2014-11-28,2548,2555,2541,2549,46354,9022.0,4500000.0
2014-12-01,2541,2541,2535,2543,71070,9000.0,4500000.0
2014-12-02,2541,2541,2536,2536,80122,8978.0,4500000.0
2014-12-03,2541,2548,2541,2543,32469,9000.0,4500000.0
2014-12-04,2541,2541,2535,2543,5701,9000.0,4500000.0
2014-12-05,2541,2548,2541,2543,35769,9000.0,4500000.0
2014-12-08,2548,2555,2548,2549,26527,9022.0,4500000.0
2014-12-09,2541,2548,2535,2543,13429,9000.0,4500000.0
2014-12-10,2541,2541,2541,2543,2988,9000.0,4500000.0
2014-12-11,2541,2548,2541,2549,7090,9022.0,4500000.0
2014-12-12,2541,2548,2541,2549,32106,9022.0,4500000.0
2014-12-15,2541,2555,2541,2549,36070,9022.0,4500000.0
2014-12-16,2541,2555,2541,2555,10016,9045.0,4500000.0
2014-12-17,2541,2555,2541,2549,4381,9022.0,4500000.0
2014-12-18,2541,2548,2541,2549,7270,9022.0,4500000.0
2014-12-19,2548,2555,2541,2555,20919,9045.0,4500000.0
2014-12-22,2548,2548,2548,2549,5812,9022.0,4500000.0
2014-12-23,2548,2555,2541,2555,5431,9045.0,4500000.0
2014-12-24,2555,2555,2548,2555,6160,9045.0,4500000.0
2014-12-26,2548,2555,2548,2555,16827,9045.0,4500000.0
2014-12-29,2555,2555,2548,2549,1554,9022.0,4500000.0
2014-12-30,2548,2548,2548,2549,6419,9022.0,4500000.0
2015-01-02,2555,2555,2548,2549,2501,9022.0,4500000.0
2015-01-05,2554,2560,2554,2562,17120,9068.0,4500000.0
2015-01-06,2548,2567,2548,2568,14338,9090.0,4500000.0
2015-01-07,2567,2567,2555,2568,17719,9090.0,4500000.0
2015-01-08,2560,2567,2560,2568,24660,9090.0,4500000.0
2015-01-09,2561,2580,2561,2581,15654,9135.0,4500000.0
2015-01-12,2573,2580,2573,2581,25330,9135.0,4500000.0
2015-01-13,2579,2579,2572,2574,3307,9112.0,4500000.0
2015-01-14,2573,2585,2573,2587,17668,9158.0,4500000.0
2015-01-15,2585,2611,2585,2612,56696,9248.0,4500000.0
2015-01-16,2611,2636,2605,2638,72094,9338.0,4500000.0
2015-01-19,2636,2636,2618,2638,2702,9338.0,4500000.0
2015-01-20,2636,2649,2636,2651,7250,9382.0,4500000.0
2015-01-21,2598,2661,2598,2663,2740,9428.0,4500000.0
2015-01-22,2662,2662,2624,2644,6039,9360.0,4500000.0
2015-01-23,2643,2681,2636,2663,22305,9428.0,4500000.0
2015-01-26,2662,2662,2631,2657,18646,9405.0,4500000.0
2015-01-27,2656,2656,2649,2657,3001,9405.0,4500000.0
2015-01-28,2657,2669,2644,2670,204785,9450.0,4500000.0
2015-01-29,2669,2674,2656,2676,20897,9472.0,4500000.0
2015-01-30,2668,2719,2661,2663,100106,9428.0,4500000.0
2015-02-02,2668,2731,2668,2682,57561,9495.0,4500000.0
2015-02-03,2719,2757,2674,2759,52139,9765.0,4500000.0
2015-02-04,2732,2777,2732,2740,39961,9698.0,4500000.0
2015-02-05,2744,2795,2744,2759,59582,9765.0,4500000.0
2015-02-06,2758,2822,2758,2790,55891,9878.0,4500000.0
2015-02-09,2757,2757,2744,2759,9828,9765.0,4500000.0
2015-02-10,2757,2782,2701,2746,18598,9720.0,4500000.0
2015-02-11,2745,2810,2682,2790,28917,9878.0,4500000.0
2015-02-12,2770,2789,2744,2784,24544,9855.0,4500000.0
2015-02-13,2783,2815,2739,2778,29562,9832.0,4500000.0
2015-02-16,2796,3012,2796,2924,158181,10350.0,4500000.0
2015-02-17,2923,2949,2891,2911,39331,10305.0,4500000.0
2015-02-23,2910,2948,2890,2930,116438,10372.0,4500000.0
2015-02-24,2929,2999,2924,2937,28855,10395.0,4500000.0
2015-02-25,2942,3036,2942,3038,101027,10755.0,4500000.0
2015-02-26,3077,3299,3050,3178,327319,11250.0,4500000.0
2015-02-27,3298,3343,3170,3343,98608,11835.0,4500000.0
2015-03-02,3431,3557,3247,3350,108324,11858.0,4500000.0
2015-03-03,3304,3399,3304,3356,98897,11880.0,4500000.0
2015-03-04,3356,3419,3203,3356,93620,11880.0,4500000.0
2015-03-05,3393,3419,3330,3331,59564,11790.0,4500000.0
2015-03-06,3419,3782,3412,3687,397586,13050.0,4500000.0
2015-03-09,3686,3852,3623,3687,113975,13050.0,4500000.0
2015-03-10,3744,3749,3407,3432,175829,12150.0,4500000.0
2015-03-11,3406,3431,3278,3318,68925,11745.0,4500000.0
2015-03-12,3303,3557,3260,3267,59221,11565.0,4500000.0
2015-03-13,3272,3545,3272,3426,93175,12128.0,4500000.0
2015-03-16,3424,3507,3424,3509,13168,12420.0,4500000.0
2015-03-17,3457,3686,3457,3674,56636,13005.0,4500000.0
2015-03-18,3674,4004,3674,3807,67902,13478.0,4500000.0
2015-03-19,3812,3812,3685,3788,85381,13410.0,4500000.0
2015-03-20,3896,3896,3502,3687,133712,13050.0,4500000.0
2015-03-23,3813,3825,3616,3674,106641,13005.0,4500000.0
2015-03-24,3786,3812,3609,3617,80250,12802.0,4500000.0
2015-03-25,3640,3640,3431,3547,95528,12555.0,4500000.0
2015-03-26,3686,3686,3527,3572,77049,12645.0,4500000.0
2015-03-27,3444,3469,3036,3038,764021,10755.0,4500000.0
2015-03-30,2834,2942,2776,2867,591626,10148.0,4500000.0
2015-03-31,2873,2885,2802,2860,162449,10125.0,4500000.0
2015-04-01,2834,2859,2751,2759,190974,9765.0,4500000.0
2015-04-02,2777,2810,2770,2803,104599,9922.0,4500000.0
2015-04-03,2815,2827,2782,2810,38035,9945.0,4500000.0
2015-04-06,2809,2834,2795,2797,49362,9900.0,4500000.0
2015-04-07,2809,2822,2795,2822,28271,9990.0,4500000.0
2015-04-08,2821,2852,2801,2829,13407,10012.0,4500000.0
2015-04-09,2821,2821,2794,2816,22388,9968.0,4500000.0
2015-04-10,2796,2835,2790,2803,33343,9922.0,4500000.0
2015-04-13,2847,2847,2789,2797,25251,9900.0,4500000.0
2015-04-14,2834,2834,2795,2822,27784,9990.0,4500000.0
2015-04-15,2834,2840,2809,2835,29223,10035.0,4500000.0
2015-04-16,2835,2878,2835,2873,28457,10170.0,4500000.0
2015-04-17,2885,2885,2840,2860,26168,10125.0,4500000.0
2015-04-20,2872,2973,2852,2905,49475,10282.0,4500000.0
2015-04-21,2961,2961,2903,2930,21783,10372.0,4500000.0
2015-04-22,2935,2980,2847,2892,52275,10238.0,4500000.0
2015-04-23,2916,2916,2885,2892,15583,10238.0,4500000.0
2015-04-24,2911,2911,2866,2886,24676,10215.0,4500000.0
2015-04-27,2885,2898,2885,2886,24311,10215.0,4500000.0
2015-04-28,2885,2898,2822,2860,39576,10125.0,4500000.0
2015-04-29,2898,2898,2847,2873,11580,10170.0,4500000.0
2015-04-30,2898,2898,2860,2860,30947,10125.0,4500000.0
2015-05-04,2897,2897,2834,2867,27644,10148.0,4500000.0
2015-05-06,2859,2865,2827,2867,22971,10148.0,4500000.0
2015-05-07,2821,2852,2821,2854,3285,10102.0,4500000.0
2015-05-08,2860,2860,2834,2835,6825,10035.0,4500000.0
2015-05-11,2834,2840,2789,2835,34466,10035.0,4500000.0
2015-05-12,2847,2847,2809,2835,38523,10035.0,4500000.0
2015-05-13,2846,2852,2809,2854,39265,10102.0,4500000.0
2015-05-14,2860,2860,2822,2848,20270,10080.0,4500000.0
2015-05-15,2872,2872,2846,2854,37751,10102.0,4500000.0
2015-05-18,2872,2872,2839,2854,24922,10102.0,4500000.0
2015-05-19,2885,2910,2885,2905,14408,10282.0,4500000.0
2015-05-20,2885,2923,2885,2905,39085,10282.0,4500000.0
2015-05-21,2898,2916,2891,2899,21102,10260.0,4500000.0
2015-05-22,2898,2911,2860,2899,8846,10260.0,4500000.0
2015-05-26,2865,2872,2827,2835,33782,10035.0,4500000.0
2015-05-27,2827,2827,2815,2822,14073,9990.0,4500000.0
2015-05-28,2822,2847,2822,2848,19158,10080.0,4500000.0
2015-05-29,2840,2847,2802,2848,24899,10080.0,4500000.0
2015-06-01,2801,2872,2782,2829,49578,10012.0,4500000.0
2015-06-02,2827,2834,2789,2822,17372,9990.0,4500000.0
2015-06-03,2822,2822,2789,2822,24742,9990.0,4500000.0
2015-06-04,2795,2827,2795,2810,21340,9945.0,4500000.0
2015-06-05,2828,2828,2790,2803,16231,9922.0,4500000.0
2015-06-08,2802,2809,2777,2797,52735,9900.0,4500000.0
2015-06-09,2795,2809,2795,2810,12608,9945.0,4500000.0
2015-06-10,2809,2809,2770,2797,16885,9900.0,4500000.0
2015-06-11,2757,2802,2752,2752,16933,9742.0,4500000.0
2015-06-12,2751,2776,2706,2721,20267,9630.0,4500000.0
2015-06-15,2783,2783,2714,2727,12335,9652.0,4500000.0
2015-06-16,2769,2769,2674,2708,10797,9585.0,4500000.0
2015-06-17,2732,2732,2643,2663,38699,9428.0,4500000.0
2015-06-18,2719,2719,2656,2663,54419,9428.0,4500000.0
2015-06-19,2636,2789,2636,2733,31381,9675.0,4500000.0
2015-06-22,2732,2732,2657,2670,15906,9450.0,4500000.0
2015-06-23,2720,2720,2649,2657,8857,9405.0,4500000.0
2015-06-24,2706,2706,2643,2651,1475,9382.0,4500000.0
2015-06-25,2700,2700,2610,2682,25241,9495.0,4500000.0
2015-06-26,2668,2706,2623,2695,35288,9540.0,4500000.0
2015-06-29,2668,2782,2668,2759,59170,9765.0,4500000.0
2015-06-30,2796,2796,2714,2790,28862,9878.0,4500000.0
2015-07-01,2795,2822,2739,2810,7092,9945.0,4500000.0
2015-07-02,2822,2822,2752,2765,26212,9788.0,4500000.0
2015-07-03,2765,2810,2758,2778,19313,9832.0,4500000.0
2015-07-06,2822,2822,2777,2797,37479,9900.0,4500000.0
2015-07-07,2790,2873,2777,2873,26136,10170.0,4500000.0
2015-07-08,2872,2872,2795,2797,24755,9900.0,4500000.0
2015-07-09,2777,2860,2777,2860,25451,10125.0,4500000.0
2015-07-10,2809,3049,2809,2943,57294,10418.0,4500000.0
2015-07-13,2948,3044,2910,2943,37903,10418.0,4500000.0
2015-07-14,2956,2987,2923,2924,10614,10350.0,4500000.0
2015-07-15,2922,2986,2764,2867,56630,10148.0,4500000.0
2015-07-16,2865,2986,2859,2988,16149,10575.0,4500000.0
2015-07-17,2986,3012,2929,2994,61905,10598.0,4500000.0
2015-07-20,3102,3102,2961,3007,30702,10642.0,4500000.0
2015-07-21,2985,3094,2985,3083,22402,10912.0,4500000.0
2015-07-22,3120,3145,3024,3076,17938,10890.0,4500000.0
2015-07-23,3069,3081,3018,3038,17638,10755.0,4500000.0
2015-07-24,3024,3081,3018,3038,12246,10755.0,4500000.0
2015-07-27,3024,3036,2942,2988,25340,10575.0,4500000.0
2015-07-28,2949,3171,2898,3057,97548,10822.0,4500000.0
2015-07-29,3165,3248,2986,3248,75397,11498.0,4500000.0
2015-07-30,3292,3349,3062,3178,18366,11250.0,4500000.0
2015-07-31,3178,3419,3178,3299,21029,11678.0,4500000.0
2015-08-03,3298,3343,3241,3261,5751,11542.0,4500000.0
2015-08-04,3177,3304,3177,3235,3485,11452.0,4500000.0
2015-08-05,3183,3272,3164,3172,12999,11228.0,4500000.0
2015-08-06,3170,3939,3157,3242,630781,11475.0,4500000.0
2015-08-07,3393,3558,3273,3305,174949,11700.0,4500000.0
2015-08-10,3304,3349,3240,3331,48214,11790.0,4500000.0
2015-08-11,3330,3368,3304,3343,18103,11835.0,4500000.0
2015-08-12,3291,3369,3177,3261,48154,11542.0,4500000.0
2015-08-13,3183,3368,3164,3305,26738,11700.0,4500000.0
2015-08-17,3431,3431,3265,3267,5977,11565.0,4500000.0
2015-08-18,3304,3304,3178,3178,19138,11250.0,4500000.0
2015-08-19,3152,3152,2923,2956,60677,10462.0,4500000.0
2015-08-20,2955,3024,2878,3013,24594,10665.0,4500000.0
2015-08-21,2923,2999,2872,2981,14433,10552.0,4500000.0
2015-08-24,2859,3049,2859,2988,23907,10575.0,4500000.0
2015-08-25,2986,3006,2865,2981,10859,10552.0,4500000.0
2015-08-26,3037,3240,3018,3089,36474,10935.0,4500000.0
2015-08-27,3178,3178,3050,3178,16462,11250.0,4500000.0
2015-08-28,3178,3216,3077,3178,20677,11250.0,4500000.0
2015-08-31,3177,3177,2865,2918,99590,10328.0,4500000.0
2015-09-01,2916,2955,2898,2956,14323,10462.0,4500000.0
2015-09-02,2961,2974,2948,2968,4942,10508.0,4500000.0
2015-09-03,2898,2974,2898,2899,6554,10260.0,4500000.0
2015-09-04,2897,2897,2834,2892,9849,10238.0,4500000.0
2015-09-07,2859,2884,2802,2867,13244,10148.0,4500000.0
2015-09-08,2910,2910,2809,2892,1832,10238.0,4500000.0
2015-09-09,2884,2884,2802,2867,24588,10148.0,4500000.0
2015-09-10,2802,2872,2795,2810,7482,9945.0,4500000.0
