엑셈(205100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-07,4500,5170,4500,5170,2806442,10857.0,4200000.0
2014-11-10,5200,5940,4800,5560,4375728,11676.0,4200000.0
2014-11-11,5500,6160,5100,5140,2586968,10794.0,4200000.0
2014-11-12,5200,5210,4800,4850,667845,10185.0,4200000.0
2014-11-13,4860,5530,4800,5130,1266068,10773.0,4200000.0
2014-11-14,5140,5590,5040,5200,546357,10920.0,4200000.0
2014-11-17,5200,5350,4820,4840,330686,10164.0,4200000.0
2014-11-18,4890,5160,4890,5110,149203,10731.0,4200000.0
2014-11-19,5050,5240,5000,5040,314037,10584.0,4200000.0
2014-11-20,5040,5150,4940,4960,151231,10416.0,4200000.0
2014-11-21,4950,5170,4900,5120,77571,10752.0,4200000.0
2014-11-24,5200,5200,5000,5060,55957,10626.0,4200000.0
2014-11-25,5140,5600,5080,5240,256604,11004.0,4200000.0
2014-11-26,5340,5340,5080,5260,67344,11046.0,4200000.0
2014-11-27,5380,5440,5170,5340,41710,11214.0,4200000.0
2014-11-28,5270,5330,5160,5200,94552,10920.0,4200000.0
2014-12-01,5100,5290,4920,5200,92093,10920.0,4200000.0
2014-12-02,5270,5540,5090,5410,152973,11361.0,4200000.0
2014-12-03,5590,5640,5320,5620,192389,11802.0,4200000.0
2014-12-04,5620,5940,5360,5420,428113,11382.0,4200000.0
2014-12-05,5460,5540,5320,5500,141057,11550.0,4200000.0
2014-12-08,0,0,0,5500,0,11550.0,4200000.0
2014-12-09,0,0,0,5500,0,,
2014-12-10,0,0,0,5500,0,,
2014-12-11,0,0,0,5500,0,,
2014-12-12,0,0,0,5500,0,,
2014-12-15,0,0,0,5500,0,,
2014-12-16,0,0,0,5500,0,,
2014-12-17,0,0,0,5500,0,,
2014-12-18,0,0,0,5500,0,,
2014-12-19,0,0,0,5500,0,,
2014-12-22,0,0,0,5500,0,,
2014-12-23,0,0,0,5500,0,,
2014-12-24,0,0,0,5500,0,,
2014-12-26,0,0,0,5500,0,,
2014-12-29,0,0,0,5500,0,,
2014-12-30,0,0,0,5500,0,,
2015-01-02,0,0,0,5500,0,,
2015-01-05,0,0,0,5500,0,,
2015-01-06,0,0,0,5500,0,,
2015-01-07,0,0,0,5500,0,,
2015-01-08,0,0,0,5500,0,,
2015-01-09,0,0,0,5500,0,,
