덕산네오룩스(213420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-02-06,11172,12825,11172,12825,1579539,307399.0,12007770.0
2015-02-09,13526,13827,12800,12976,1072169,311001.0,12007770.0
2015-02-10,13000,13000,11623,12124,550717,290588.0,12007770.0
2015-02-11,12199,12625,11923,12299,248562,294791.0,12007770.0
2015-02-12,12374,12549,11447,11773,211432,282183.0,12007770.0
2015-02-13,11673,11773,11122,11172,194695,267773.0,12007770.0
2015-02-16,11222,11247,10596,10771,161497,258167.0,12007770.0
2015-02-17,10946,11172,10796,10821,91726,259368.0,12007770.0
2015-02-23,10821,10921,10370,10671,120455,255766.0,12007770.0
2015-02-24,10596,11598,10596,11348,193251,271976.0,12007770.0
2015-02-25,11222,11422,10946,11022,100770,264171.0,12007770.0
2015-02-26,11071,11172,10671,10746,96395,257567.0,12007770.0
2015-02-27,10771,11723,10520,11373,265991,272576.0,12007770.0
2015-03-02,11748,11998,11447,11723,151706,280982.0,12007770.0
2015-03-03,11873,11873,11422,11673,60062,279781.0,12007770.0
2015-03-04,11648,11773,11422,11473,57694,274978.0,12007770.0
2015-03-05,11522,11773,11397,11523,67350,276179.0,12007770.0
2015-03-06,11623,11923,11422,11773,95647,282183.0,12007770.0
2015-03-09,11798,11798,11497,11548,42885,276779.0,12007770.0
2015-03-10,11547,11673,11122,11247,67050,269574.0,12007770.0
2015-03-11,11247,11598,11197,11598,42298,277980.0,12007770.0
2015-03-12,11547,11673,11422,11423,30607,273777.0,12007770.0
2015-03-13,11322,11522,11272,11448,38342,274378.0,12007770.0
2015-03-16,11522,11873,11472,11673,53568,279781.0,12007770.0
2015-03-17,11673,11748,11497,11548,27658,276779.0,12007770.0
2015-03-18,11522,11698,11372,11373,26053,272576.0,12007770.0
2015-03-19,11422,11522,10646,10796,123081,258767.0,12007770.0
2015-03-20,10896,11021,10771,10922,48020,261769.0,12007770.0
2015-03-23,11147,11222,10771,10771,48984,258167.0,12007770.0
2015-03-24,10821,11347,10796,11348,91020,271976.0,12007770.0
2015-03-25,11222,11322,11097,11297,35953,270775.0,12007770.0
2015-03-26,11297,11322,10996,11097,33775,265972.0,12007770.0
2015-03-27,11322,11773,11197,11598,148428,277980.0,12007770.0
2015-03-30,11572,11773,11472,11723,60940,280982.0,12007770.0
2015-03-31,11723,11773,11122,11222,76233,268974.0,12007770.0
2015-04-01,11097,11823,11097,11773,216947,282183.0,12007770.0
