유니맥스글로벌(215090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-04-28,2359,2512,2273,2299,3256286,12402.0,5500000.0
2015-04-29,2298,2314,2273,2278,294353,12292.0,5500000.0
2015-04-30,2293,2293,2278,2278,189057,12292.0,5500000.0
2015-05-04,2283,2288,2268,2273,140054,12265.0,5500000.0
2015-05-06,2268,2283,2252,2268,95397,12238.0,5500000.0
2015-05-07,2278,2278,2242,2268,156357,12238.0,5500000.0
2015-05-08,2258,2273,2247,2268,105067,12238.0,5500000.0
2015-05-11,2252,2268,2247,2263,83790,12210.0,5500000.0
2015-05-12,2263,2268,2252,2263,31254,12210.0,5500000.0
2015-05-13,2252,2268,2252,2263,74537,12210.0,5500000.0
2015-05-14,2258,2303,2258,2283,27119,12320.0,5500000.0
2015-05-15,2268,2303,2268,2299,32458,12402.0,5500000.0
2015-05-18,2303,2303,2288,2299,28890,12402.0,5500000.0
2015-05-19,2303,2308,2278,2309,80200,12458.0,5500000.0
2015-05-20,2293,2303,2278,2294,53281,12375.0,5500000.0
2015-05-21,2278,2278,2268,2278,61557,12292.0,5500000.0
2015-05-22,2293,2293,2263,2278,42222,12292.0,5500000.0
2015-05-26,2268,2273,2263,2263,27962,12210.0,5500000.0
2015-05-27,2258,2268,2247,2253,46884,12155.0,5500000.0
2015-05-28,2273,2288,2252,2289,98340,12348.0,5500000.0
2015-05-29,2252,2263,2252,2253,32438,12155.0,5500000.0
2015-06-01,2258,2263,2252,2258,32231,12182.0,5500000.0
2015-06-02,2252,2258,2247,2248,49970,12128.0,5500000.0
2015-06-03,2247,2263,2247,2258,26390,12182.0,5500000.0
2015-06-04,2263,2263,2252,2258,10062,12182.0,5500000.0
2015-06-05,2247,2258,2247,2248,23071,12128.0,5500000.0
2015-06-08,2247,2247,2242,2243,51786,12100.0,5500000.0
2015-06-09,2242,2268,2242,2248,35650,12128.0,5500000.0
2015-06-10,2247,2247,2201,2243,103850,12100.0,5500000.0
2015-06-11,2237,2242,2201,2222,48470,11990.0,5500000.0
2015-06-12,2217,2217,2181,2197,49920,11852.0,5500000.0
2015-06-15,2191,2207,2191,2202,9796,11880.0,5500000.0
2015-06-16,2191,2191,2161,2166,35339,11688.0,5500000.0
2015-06-17,2217,2217,2125,2156,40118,11632.0,5500000.0
2015-06-18,2130,2140,2105,2105,21101,11358.0,5500000.0
2015-06-19,2232,2232,2110,2136,10525,11522.0,5500000.0
2015-06-22,2135,2171,2130,2151,16554,11605.0,5500000.0
2015-06-23,2161,2166,2130,2146,11855,11578.0,5500000.0
2015-06-24,2135,2156,2120,2141,15074,11550.0,5500000.0
2015-06-25,2166,2166,2115,2136,10256,11522.0,5500000.0
2015-06-26,2140,2156,2140,2156,34614,11632.0,5500000.0
2015-06-29,2150,2191,2140,2176,18238,11742.0,5500000.0
2015-06-30,2186,2222,2150,2171,6249,11715.0,5500000.0
2015-07-01,2191,2207,2181,2207,37010,11908.0,5500000.0
2015-07-02,2227,2232,2181,2182,23320,11770.0,5500000.0
2015-07-03,2227,2232,2176,2202,19343,11880.0,5500000.0
2015-07-06,2207,2212,2191,2192,15839,11825.0,5500000.0
2015-07-07,2171,2201,2171,2197,14745,11852.0,5500000.0
2015-07-08,2207,2207,2181,2202,6498,11880.0,5500000.0
2015-07-09,2201,2201,2166,2197,3421,11852.0,5500000.0
2015-07-10,2196,2232,2196,2222,9447,11990.0,5500000.0
2015-07-13,2222,2232,2186,2222,13550,11990.0,5500000.0
2015-07-14,2242,2242,2212,2222,6375,11990.0,5500000.0
2015-07-15,2222,2237,2212,2238,5010,12072.0,5500000.0
2015-07-16,2237,2237,2196,2207,1110,11908.0,5500000.0
2015-07-17,2196,2217,2196,2202,2306,11880.0,5500000.0
2015-07-20,2212,2232,2191,2212,15631,11935.0,5500000.0
2015-07-21,2212,2237,2207,2207,7861,11908.0,5500000.0
2015-07-22,2222,2273,2212,2243,35779,12100.0,5500000.0
2015-07-23,2288,2288,2227,2253,2013,12155.0,5500000.0
2015-07-24,2278,2278,2242,2253,7095,12155.0,5500000.0
2015-07-27,2237,2247,2232,2233,39190,12045.0,5500000.0
2015-07-28,2263,2263,2222,2233,13265,12045.0,5500000.0
2015-07-29,2237,2263,2237,2253,17457,12155.0,5500000.0
2015-07-30,2237,2268,2237,2263,9207,12210.0,5500000.0
2015-07-31,2252,2283,2252,2268,13311,12238.0,5500000.0
2015-08-03,2263,2288,2263,2283,10901,12320.0,5500000.0
2015-08-04,2293,2293,2263,2283,14204,12320.0,5500000.0
2015-08-05,2273,2278,2273,2278,5430,12292.0,5500000.0
2015-08-06,2283,2390,2283,2319,68830,12512.0,5500000.0
2015-08-07,2344,2344,2308,2314,51856,12485.0,5500000.0
2015-08-10,2303,2324,2293,2319,14963,12512.0,5500000.0
2015-08-11,2329,2329,2293,2314,1511,12485.0,5500000.0
2015-08-12,2283,2303,2252,2304,22729,12430.0,5500000.0
2015-08-13,2319,2319,2278,2304,4861,12430.0,5500000.0
2015-08-17,2283,2283,2278,2283,4696,12320.0,5500000.0
2015-08-18,2319,2319,2247,2258,2713,12182.0,5500000.0
2015-08-19,2242,2247,2232,2238,48264,12072.0,5500000.0
2015-08-20,2242,2258,2242,2243,3019,12100.0,5500000.0
2015-08-21,2232,2263,2227,2238,26620,12072.0,5500000.0
2015-08-24,2329,2329,2227,2238,14532,12072.0,5500000.0
2015-08-25,2242,2242,2232,2233,2309,12045.0,5500000.0
2015-08-26,2278,2278,2227,2258,1335,12182.0,5500000.0
2015-08-27,2242,2283,2222,2238,25984,12072.0,5500000.0
2015-08-28,2222,2237,2217,2217,13882,11962.0,5500000.0
2015-08-31,2217,2258,2217,2222,1126,11990.0,5500000.0
2015-09-01,2207,2212,2196,2212,18311,11935.0,5500000.0
2015-09-02,2212,2217,2181,2212,52737,11935.0,5500000.0
2015-09-03,2212,2232,2191,2233,4408,12045.0,5500000.0
2015-09-04,2232,2232,2176,2192,38471,11825.0,5500000.0
2015-09-07,2176,2212,2176,2212,5387,11935.0,5500000.0
2015-09-08,2186,2222,2186,2202,17185,11880.0,5500000.0
2015-09-09,2176,2201,2176,2192,7753,11825.0,5500000.0
2015-09-10,2181,2227,2181,2217,10844,11962.0,5500000.0
2015-09-11,2181,2227,2181,2187,8228,11798.0,5500000.0
2015-09-14,2176,2181,2176,2182,7531,11770.0,5500000.0
2015-09-15,2161,2191,2145,2151,3331,11605.0,5500000.0
2015-09-16,2150,2161,2145,2161,21827,11660.0,5500000.0
2015-09-17,2212,2212,2150,2156,1055,11632.0,5500000.0
2015-09-18,2140,2176,2140,2176,2002,11742.0,5500000.0
2015-09-21,2140,2150,2140,2146,10286,11578.0,5500000.0
2015-09-22,2176,2176,2135,2136,9327,11522.0,5500000.0
2015-09-23,2145,2145,2130,2136,3099,11522.0,5500000.0
2015-09-24,2140,2161,2140,2151,210,11605.0,5500000.0
2015-09-25,2140,2156,2140,2156,7628,11632.0,5500000.0
2015-09-30,2135,2145,2135,2141,13118,11550.0,5500000.0
2015-10-01,2145,2150,2145,2146,2439,11578.0,5500000.0
2015-10-02,2145,2150,2140,2141,2938,11550.0,5500000.0
2015-10-05,2140,2145,2135,2136,13672,11522.0,5500000.0
2015-10-06,2161,2161,2140,2141,3659,11550.0,5500000.0
2015-10-07,2166,2166,2140,2166,7823,11688.0,5500000.0
2015-10-08,2145,2166,2140,2151,3556,11605.0,5500000.0
2015-10-12,2156,2156,2140,2151,5900,11605.0,5500000.0
2015-10-13,2140,2150,2140,2146,6205,11578.0,5500000.0
2015-10-14,2140,2156,2140,2156,1663,11632.0,5500000.0
2015-10-15,2150,2150,2140,2151,7610,11605.0,5500000.0
2015-10-16,2166,2166,2156,2156,522,11632.0,5500000.0
2015-10-19,2171,2176,2145,2146,3113,11578.0,5500000.0
2015-10-20,2156,2156,2145,2146,2179,11578.0,5500000.0
2015-10-21,2140,2161,2140,2141,17252,11550.0,5500000.0
2015-10-22,2140,2161,2140,2146,8310,11578.0,5500000.0
2015-10-23,2140,2140,2135,2136,4130,11522.0,5500000.0
2015-10-26,2140,2156,2135,2136,11984,11522.0,5500000.0
2015-10-27,2140,2140,2130,2136,9377,11522.0,5500000.0
2015-10-28,2140,2140,2140,2141,6299,11550.0,5500000.0
2015-10-29,2150,2150,2135,2136,1544,11522.0,5500000.0
2015-10-30,2135,2135,2135,2136,2425,11522.0,5500000.0
2015-11-02,2135,2135,2130,2136,3522,11522.0,5500000.0
2015-11-03,2130,2135,2079,2085,6512,11248.0,5500000.0
2015-11-04,2110,2120,2110,2115,2047,11412.0,5500000.0
2015-11-05,2130,2130,2100,2110,13028,11385.0,5500000.0
2015-11-06,2120,2120,2089,2100,4646,11330.0,5500000.0
2015-11-09,2089,2094,2089,2090,5734,11275.0,5500000.0
2015-11-10,2069,2100,2059,2100,395,11330.0,5500000.0
2015-11-11,2054,2094,2054,2075,4015,11192.0,5500000.0
2015-11-12,2069,2084,2069,2085,1450,11248.0,5500000.0
2015-11-13,2079,2079,2069,2069,4028,11165.0,5500000.0
2015-11-16,2038,2064,2038,2054,2735,11082.0,5500000.0
2015-11-17,2064,2069,2059,2064,10776,11138.0,5500000.0
2015-11-18,2084,2084,2043,2064,6521,11138.0,5500000.0
2015-11-19,2064,2069,2043,2044,4344,11028.0,5500000.0
2015-11-20,2054,2054,2043,2054,1218,11082.0,5500000.0
2015-11-23,2049,2059,2038,2049,3899,11055.0,5500000.0
