넵튠(217270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-18,10710,10735,10605,10660,1365073,10325.0,5124000.0
2015-06-19,10685,11265,10655,10950,651038,10607.0,5124000.0
2015-06-22,10945,11025,10870,10975,121655,10632.0,5124000.0
2015-06-23,10975,11000,10895,10925,78082,10581.0,5124000.0
2015-06-24,10920,10975,10870,10950,54076,10607.0,5124000.0
2015-06-25,10945,10975,10920,10975,46939,10632.0,5124000.0
2015-06-26,10945,11160,10945,11080,81274,10735.0,5124000.0
2015-06-29,10945,11370,10945,11295,58632,10940.0,5124000.0
2015-06-30,11345,11370,11160,11295,32970,10940.0,5124000.0
2015-07-01,11290,11530,11290,11505,50897,11145.0,5124000.0
2015-07-02,11610,11690,11505,11690,19908,11324.0,5124000.0
2015-07-03,11635,11740,11580,11585,26960,11222.0,5124000.0
2015-07-06,11580,11580,11370,11450,58876,11093.0,5124000.0
2015-07-07,11610,11635,11475,11530,11308,11170.0,5124000.0
2015-07-08,11635,11635,11530,11530,51611,11170.0,5124000.0
2015-07-09,11505,11635,11505,11635,5244,11273.0,5124000.0
2015-07-10,11610,11635,11580,11635,5885,11273.0,5124000.0
2015-07-13,11580,11690,11580,11690,7312,11324.0,5124000.0
2015-07-14,11690,11795,11660,11770,5222,11401.0,5124000.0
2015-07-15,11795,11795,11740,11745,3711,11375.0,5124000.0
2015-07-16,11875,11875,11345,11585,58004,11222.0,5124000.0
2015-07-17,11555,11635,11555,11610,4037,11247.0,5124000.0
2015-07-20,11425,11765,11425,11585,25229,11222.0,5124000.0
2015-07-21,11795,11795,11555,11560,58640,11196.0,5124000.0
2015-07-22,11580,11795,11580,11610,27463,11247.0,5124000.0
2015-07-23,11660,11845,11610,11665,17789,11298.0,5124000.0
2015-07-24,11660,12085,11660,11955,5972,11580.0,5124000.0
2015-07-27,11900,12295,11765,12010,22978,11631.0,5124000.0
2015-07-28,11820,12695,11820,12565,42880,12170.0,5124000.0
2015-07-29,12640,12850,12430,12855,33893,12451.0,5124000.0
2015-07-30,12585,13275,12560,13200,17927,12784.0,5124000.0
2015-07-31,13140,13220,12060,13120,61129,12708.0,5124000.0
2015-08-03,12695,12850,12375,12380,13735,11990.0,5124000.0
2015-08-04,12400,12770,12400,12695,20836,12298.0,5124000.0
2015-08-05,12695,14649,12695,12905,121087,12503.0,5124000.0
2015-08-06,13540,13540,12745,12855,34243,12451.0,5124000.0
2015-08-07,12850,13010,12850,13015,15525,12605.0,5124000.0
2015-08-10,12955,13065,12905,12905,2993,12503.0,5124000.0
2015-08-11,12560,12880,12560,12880,318,12477.0,5124000.0
2015-08-12,12850,12850,12320,12590,6959,12195.0,5124000.0
2015-08-13,12060,12665,12060,12615,7301,12221.0,5124000.0
2015-08-17,12165,12560,12165,12535,5124,12144.0,5124000.0
2015-08-18,12165,12165,11635,12085,154430,11708.0,5124000.0
2015-08-19,11715,11980,11660,11795,165841,11427.0,5124000.0
2015-08-20,11635,11950,11635,11795,21303,11427.0,5124000.0
2015-08-21,11875,11875,11530,11745,6548,11375.0,5124000.0
2015-08-24,11530,11610,11395,11585,27540,11222.0,5124000.0
2015-08-25,11580,11690,11345,11530,79847,11170.0,5124000.0
2015-08-26,11635,11635,11505,11505,5967,11145.0,5124000.0
2015-08-27,11505,11765,11395,11450,57796,11093.0,5124000.0
2015-08-28,11740,11740,11475,11610,2123,11247.0,5124000.0
2015-08-31,11635,11635,11450,11610,22487,11247.0,5124000.0
2015-09-01,11530,11610,11425,11560,18003,11196.0,5124000.0
2015-09-02,11315,11660,11315,11665,36644,11298.0,5124000.0
2015-09-03,11660,11660,11530,11665,5369,11298.0,5124000.0
2015-09-04,11635,11635,11370,11585,31658,11222.0,5124000.0
2015-09-07,11765,11765,11450,11505,7893,11145.0,5124000.0
2015-09-08,11530,11530,11475,11480,13719,11119.0,5124000.0
2015-09-09,11450,11635,11450,11610,12683,11247.0,5124000.0
2015-09-10,11610,11660,11580,11665,7531,11298.0,5124000.0
2015-09-11,11530,11715,11530,11635,8873,11273.0,5124000.0
2015-09-14,11530,11635,11370,11610,50698,11247.0,5124000.0
2015-09-15,11610,11610,11505,11610,153,11247.0,5124000.0
2015-09-16,11530,11610,11425,11530,52811,11170.0,5124000.0
2015-09-17,11450,11530,11450,11505,13932,11145.0,5124000.0
2015-09-18,11315,11530,11315,11375,21185,11017.0,5124000.0
2015-09-21,11370,11580,11370,11530,32618,11170.0,5124000.0
2015-09-22,11345,11475,11290,11400,103988,11042.0,5124000.0
2015-09-23,11395,11395,11290,11375,10267,11017.0,5124000.0
2015-09-24,11395,11395,11240,11400,29494,11042.0,5124000.0
2015-09-25,11265,11450,11265,11375,208,11017.0,5124000.0
2015-09-30,11210,11425,11210,11400,3153,11042.0,5124000.0
2015-10-01,11105,11475,11105,11215,58433,10863.0,5124000.0
2015-10-02,11240,11290,11130,11295,5282,10940.0,5124000.0
2015-10-05,11130,11315,11130,11320,2161,10965.0,5124000.0
2015-10-06,11130,11315,11130,11295,3558,10940.0,5124000.0
2015-10-07,11265,11315,11160,11320,33924,10965.0,5124000.0
2015-10-08,11185,11370,11160,11375,31190,11017.0,5124000.0
2015-10-12,11370,11370,11210,11240,1439,10888.0,5124000.0
2015-10-13,11160,11240,11105,11135,11866,10786.0,5124000.0
2015-10-14,11130,11210,11105,11215,7229,10863.0,5124000.0
2015-10-15,11160,11160,11105,11160,8489,10812.0,5124000.0
2015-10-16,11160,11210,11105,11110,24950,10760.0,5124000.0
2015-10-19,11105,11210,11105,11190,4367,10837.0,5124000.0
2015-10-20,11105,11240,11105,11215,2508,10863.0,5124000.0
2015-10-21,11130,11210,11130,11215,6396,10863.0,5124000.0
2015-10-22,11210,11210,11130,11135,3439,10786.0,5124000.0
2015-10-23,11105,11345,11080,11240,16885,10888.0,5124000.0
2015-10-26,11105,11210,11080,11215,12271,10863.0,5124000.0
2015-10-27,11105,11210,11105,11215,11508,10863.0,5124000.0
2015-10-28,11210,11210,11130,11190,432,10837.0,5124000.0
2015-10-29,11105,11210,11105,11215,7621,10863.0,5124000.0
2015-10-30,11080,11315,11080,11110,9948,10760.0,5124000.0
2015-11-02,11105,11210,11080,11215,34131,10863.0,5124000.0
2015-11-03,11080,11210,11080,11110,377,10760.0,5124000.0
2015-11-04,11080,11130,10945,10950,5082,10607.0,5124000.0
2015-11-05,10945,11080,10895,11080,18433,10735.0,5124000.0
2015-11-06,10920,11000,10840,11005,20985,10658.0,5124000.0
2015-11-09,11000,11000,10840,10950,6583,10607.0,5124000.0
2015-11-10,10815,11000,10630,10895,20046,10555.0,5124000.0
2015-11-11,10895,10895,10710,10870,389,10530.0,5124000.0
2015-11-12,10840,10840,10735,10845,3014,10504.0,5124000.0
2015-11-13,10815,10840,10790,10845,6179,10504.0,5124000.0
2015-11-16,10710,10895,10655,10870,6305,10530.0,5124000.0
2015-11-17,10710,10920,10685,10790,1407,10453.0,5124000.0
2015-11-18,10735,10735,10630,10710,4518,10376.0,5124000.0
2015-11-19,10710,10710,10605,10710,9300,10376.0,5124000.0
2015-11-20,10605,10710,10605,10710,1230,10376.0,5124000.0
2015-11-23,10605,10685,10575,10630,6759,10299.0,5124000.0
2015-11-24,10575,10630,10500,10630,18719,10299.0,5124000.0
2015-11-25,10575,10630,10575,10630,34735,10299.0,5124000.0
2015-11-26,10575,10710,10575,10685,887,10350.0,5124000.0
2015-11-27,10605,10710,10605,10630,2495,10299.0,5124000.0
2015-11-30,10605,10815,10525,10605,62703,10274.0,5124000.0
2015-12-01,10605,10630,10525,10555,14617,10222.0,5124000.0
2015-12-02,10575,10630,10575,10605,62591,10274.0,5124000.0
2015-12-03,10605,10605,10550,10580,1062,10248.0,5124000.0
2015-12-04,10575,10630,10575,10630,2067,10299.0,5124000.0
2015-12-07,10630,10630,10575,10580,5015,10248.0,5124000.0
2015-12-08,10550,10575,10550,10580,7928,10248.0,5124000.0
2015-12-09,10525,10605,10525,10605,16161,10274.0,5124000.0
2015-12-10,10550,10575,10550,10580,1928,10248.0,5124000.0
2015-12-11,10575,10575,10575,10580,0,10248.0,5124000.0
