MP한강(219550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-07-22,2795,2808,2788,2808,795590,13652.0,6350000.0
2015-07-23,2801,2821,2795,2815,367938,13684.0,6350000.0
2015-07-24,2821,2834,2808,2834,159575,13780.0,6350000.0
2015-07-27,2827,2853,2827,2828,82333,13748.0,6350000.0
2015-07-28,2834,2840,2814,2834,65530,13780.0,6350000.0
2015-07-29,2827,2860,2821,2847,113495,13843.0,6350000.0
2015-07-30,2827,2880,2827,2874,100587,13970.0,6350000.0
2015-07-31,2873,2906,2867,2900,75521,14097.0,6350000.0
2015-08-03,2899,2965,2899,2926,64180,14224.0,6350000.0
2015-08-04,2945,2951,2925,2932,33936,14256.0,6350000.0
2015-08-05,2899,2938,2886,2932,38742,14256.0,6350000.0
2015-08-06,2945,3115,2925,2965,131056,14414.0,6350000.0
2015-08-07,3056,3082,2951,2985,56408,14510.0,6350000.0
2015-08-10,2991,2997,2945,2965,16070,14414.0,6350000.0
2015-08-11,2965,2984,2938,2985,35760,14510.0,6350000.0
2015-08-12,3004,3004,2893,2926,43632,14224.0,6350000.0
2015-08-13,2925,2965,2893,2926,28750,14224.0,6350000.0
2015-08-17,2925,2925,2886,2906,22430,14129.0,6350000.0
2015-08-18,2886,2886,2873,2887,47297,14034.0,6350000.0
2015-08-19,2867,2886,2867,2880,55292,14002.0,6350000.0
2015-08-20,2873,2893,2860,2887,12690,14034.0,6350000.0
2015-08-21,2860,2886,2827,2854,24334,13875.0,6350000.0
2015-08-24,2814,2847,2814,2847,34923,13843.0,6350000.0
2015-08-25,2814,2867,2814,2854,5471,13875.0,6350000.0
2015-08-26,2853,2860,2847,2861,12335,13906.0,6350000.0
2015-08-27,2860,2860,2827,2854,23793,13875.0,6350000.0
2015-08-28,2853,2860,2847,2861,3530,13906.0,6350000.0
2015-08-31,2847,2860,2834,2847,2057,13843.0,6350000.0
2015-09-01,2808,2834,2795,2815,72287,13684.0,6350000.0
2015-09-02,2808,2847,2801,2847,6808,13843.0,6350000.0
2015-09-03,2801,2860,2795,2841,1394,13811.0,6350000.0
2015-09-04,2834,2834,2808,2808,1132,13652.0,6350000.0
2015-09-07,2795,2827,2795,2808,3139,13652.0,6350000.0
2015-09-08,2795,2853,2788,2815,11677,13684.0,6350000.0
2015-09-09,2808,2808,2795,2802,11273,13621.0,6350000.0
2015-09-10,2801,2814,2788,2815,16862,13684.0,6350000.0
2015-09-11,2795,2827,2795,2808,23831,13652.0,6350000.0
2015-09-14,2782,2801,2775,2802,22016,13621.0,6350000.0
2015-09-15,2801,2801,2742,2776,31447,13494.0,6350000.0
2015-09-16,2756,2775,2729,2749,115636,13367.0,6350000.0
2015-09-17,2775,2775,2756,2776,7037,13494.0,6350000.0
2015-09-18,2756,2756,2742,2756,9236,13398.0,6350000.0
2015-09-21,2742,2788,2742,2756,2915,13398.0,6350000.0
2015-09-22,2756,2756,2736,2743,4738,13335.0,6350000.0
2015-09-23,2756,2756,2742,2749,7543,13367.0,6350000.0
2015-09-24,2729,2749,2716,2749,17324,13367.0,6350000.0
2015-09-25,2729,2762,2723,2763,4837,13430.0,6350000.0
2015-09-30,2729,2749,2729,2749,5210,13367.0,6350000.0
2015-10-01,2749,2769,2749,2769,10465,13462.0,6350000.0
2015-10-02,2749,2769,2749,2769,1446,13462.0,6350000.0
2015-10-05,2749,2762,2742,2763,10541,13430.0,6350000.0
2015-10-06,2756,2782,2742,2743,13717,13335.0,6350000.0
2015-10-07,2749,2775,2749,2749,1731,13367.0,6350000.0
2015-10-08,2749,2762,2749,2763,4401,13430.0,6350000.0
2015-10-12,2749,2762,2749,2756,12690,13398.0,6350000.0
2015-10-13,2749,2749,2742,2749,18193,13367.0,6350000.0
2015-10-14,2742,2769,2742,2763,74376,13430.0,6350000.0
2015-10-15,2769,2769,2742,2743,5387,13335.0,6350000.0
2015-10-16,2742,2749,2742,2749,1496,13367.0,6350000.0
2015-10-19,2749,2769,2749,2769,1679,13462.0,6350000.0
2015-10-20,2749,2756,2742,2749,2767,13367.0,6350000.0
2015-10-21,2742,2756,2742,2743,2334,13335.0,6350000.0
2015-10-22,2742,2742,2736,2743,164880,13335.0,6350000.0
2015-10-23,2736,2756,2729,2756,74443,13398.0,6350000.0
2015-10-26,2742,2742,2729,2743,14262,13335.0,6350000.0
2015-10-27,2742,2749,2729,2743,10690,13335.0,6350000.0
2015-10-28,2736,2742,2729,2743,20016,13335.0,6350000.0
2015-10-29,2742,2749,2742,2743,60505,13335.0,6350000.0
2015-10-30,2729,2756,2729,2743,16132,13335.0,6350000.0
2015-11-02,2736,2736,2710,2717,11976,13208.0,6350000.0
2015-11-03,2729,2729,2703,2717,17719,13208.0,6350000.0
2015-11-04,2716,2716,2684,2684,24574,13049.0,6350000.0
2015-11-05,2703,2703,2677,2684,78179,13049.0,6350000.0
2015-11-06,2684,2684,2664,2678,139038,13018.0,6350000.0
2015-11-09,2664,2677,2651,2671,28252,12986.0,6350000.0
2015-11-10,2677,2677,2638,2658,3290,12922.0,6350000.0
2015-11-11,2645,2658,2638,2658,1644,12922.0,6350000.0
2015-11-12,2638,2664,2638,2645,11511,12859.0,6350000.0
2015-11-13,2645,2664,2645,2665,13492,12954.0,6350000.0
2015-11-16,2664,2664,2625,2632,11097,12795.0,6350000.0
2015-11-17,2631,2631,2618,2632,33279,12795.0,6350000.0
2015-11-18,2618,2631,2612,2632,23754,12795.0,6350000.0
2015-11-19,2631,2631,2481,2612,124150,12700.0,6350000.0
2015-11-20,2612,2618,2612,2612,3360,12700.0,6350000.0
2015-11-23,2605,2625,2592,2625,44118,12764.0,6350000.0
2015-11-24,2605,2631,2605,2612,72810,12700.0,6350000.0
2015-11-25,2625,2625,2599,2625,11039,12764.0,6350000.0
2015-11-26,2612,2631,2612,2625,4452,12764.0,6350000.0
2015-11-27,2605,2638,2605,2612,6239,12700.0,6350000.0
2015-11-30,2605,2618,2605,2619,9272,12732.0,6350000.0
2015-12-01,2612,2618,2605,2619,10051,12732.0,6350000.0
2015-12-02,2618,2618,2605,2606,9445,12668.0,6350000.0
2015-12-03,2618,2618,2605,2612,3045,12700.0,6350000.0
2015-12-04,2618,2618,2605,2606,170,12668.0,6350000.0
2015-12-07,2612,2612,2599,2612,7154,12700.0,6350000.0
2015-12-08,2612,2612,2605,2606,5667,12668.0,6350000.0
2015-12-09,2605,2605,2592,2606,12331,12668.0,6350000.0
2015-12-10,2599,2612,2599,2606,14713,12668.0,6350000.0
2015-12-11,2605,2605,2592,2593,90,12605.0,6350000.0
2015-12-14,2592,2599,2592,2599,1696,12636.0,6350000.0
2015-12-15,2599,2599,2592,2593,5103,12605.0,6350000.0
2015-12-16,2605,2605,2592,2593,4350,12605.0,6350000.0
2015-12-17,2605,2605,2599,2599,84,12636.0,6350000.0
2015-12-18,2599,2599,2599,2599,1000,12636.0,6350000.0
2015-12-21,2599,2599,2586,2586,2909,12573.0,6350000.0
2015-12-22,2586,2599,2579,2599,5765,12636.0,6350000.0
2015-12-23,2605,2612,2592,2612,5315,12700.0,6350000.0
2015-12-24,2605,2612,2605,2606,4124,12668.0,6350000.0
2015-12-28,2605,2612,2599,2599,11432,12636.0,6350000.0
2015-12-29,2605,2605,2605,2606,5003,12668.0,6350000.0
2015-12-30,2599,2612,2592,2612,3033,12700.0,6350000.0
2016-01-04,2612,2612,2605,2606,1221,12668.0,6350000.0
2016-01-05,2599,2599,2599,2599,215,12636.0,6350000.0
2016-01-06,2599,2599,2599,2599,1801,12636.0,6350000.0
2016-01-07,2599,2605,2599,2606,10910,12668.0,6350000.0
2016-01-08,2599,2605,2579,2606,12978,12668.0,6350000.0
2016-01-11,2605,2605,2605,2606,2572,12668.0,6350000.0
2016-01-12,2599,2605,2592,2593,3761,12605.0,6350000.0
2016-01-13,2605,2605,2599,2606,4382,12668.0,6350000.0
2016-01-14,2599,2599,2579,2580,1746,12541.0,6350000.0
2016-01-15,2586,2605,2586,2599,1430,12636.0,6350000.0
2016-01-18,2599,2612,2599,2612,3810,12700.0,6350000.0
2016-01-19,2599,2605,2599,2599,2350,12636.0,6350000.0
2016-01-20,2599,2605,2573,2606,7289,12668.0,6350000.0
2016-01-21,2599,2605,2573,2580,4975,12541.0,6350000.0
2016-01-22,2599,2618,2599,2612,20161,12700.0,6350000.0
2016-01-25,2599,2605,2566,2606,6746,12668.0,6350000.0
2016-01-26,2612,2612,2612,2612,1400,12700.0,6350000.0
2016-01-27,2612,2612,2605,2606,2048,12668.0,6350000.0
2016-01-28,2605,2612,2605,2612,2200,12700.0,6350000.0
2016-01-29,2625,2625,2599,2599,1673,12636.0,6350000.0
2016-02-01,2605,2612,2605,2612,1000,12700.0,6350000.0
2016-02-02,2605,2612,2605,2606,3943,12668.0,6350000.0
2016-02-03,2586,2612,2586,2612,1718,12700.0,6350000.0
2016-02-04,2605,2612,2605,2612,45336,12700.0,6350000.0
2016-02-05,2599,2612,2599,2612,612,12700.0,6350000.0
2016-02-11,2612,2618,2599,2599,3535,12636.0,6350000.0
2016-02-12,2599,2618,2599,2612,9231,12700.0,6350000.0
2016-02-15,2605,2605,2605,2606,1700,12668.0,6350000.0
2016-02-16,2605,2605,2592,2606,1205,12668.0,6350000.0
2016-02-17,2612,2612,2605,2612,9984,12700.0,6350000.0
2016-02-18,2599,2612,2599,2612,10235,12700.0,6350000.0
2016-02-19,2599,2612,2599,2612,12,12700.0,6350000.0
2016-02-22,2599,2612,2599,2612,1902,12700.0,6350000.0
2016-02-23,2612,2612,2579,2612,921,12700.0,6350000.0
2016-02-24,2599,2599,2599,2599,650,12636.0,6350000.0
2016-02-25,2599,2612,2592,2593,55,12605.0,6350000.0
2016-02-26,2586,2605,2579,2580,1612,12541.0,6350000.0
2016-02-29,2599,2599,2573,2593,4624,12605.0,6350000.0
2016-03-02,2599,2599,2586,2586,799,12573.0,6350000.0
2016-03-03,2599,2599,2566,2567,8513,12478.0,6350000.0
2016-03-04,2586,2605,2566,2606,67027,12668.0,6350000.0
2016-03-07,2599,2599,2560,2593,54,12605.0,6350000.0
2016-03-08,2592,2592,2573,2573,257,12510.0,6350000.0
2016-03-09,2573,2573,2547,2560,4781,12446.0,6350000.0
2016-03-10,2573,2573,2553,2554,1359,12414.0,6350000.0
2016-03-11,2573,2573,2547,2547,20867,12382.0,6350000.0
2016-03-14,2553,2573,2553,2573,12462,12510.0,6350000.0
2016-03-15,2579,2579,2553,2560,31,12446.0,6350000.0
2016-03-16,2560,2579,2560,2580,989,12541.0,6350000.0
2016-03-17,2560,2566,2553,2560,7969,12446.0,6350000.0
2016-03-18,2560,2566,2560,2560,17447,12446.0,6350000.0
2016-03-21,2560,2560,2553,2560,7462,12446.0,6350000.0
2016-03-22,2560,2560,2547,2560,9780,12446.0,6350000.0
2016-03-23,2560,2566,2547,2567,9542,12478.0,6350000.0
2016-03-24,2553,2566,2553,2567,13958,12478.0,6350000.0
2016-03-25,2560,2566,2553,2554,6660,12414.0,6350000.0
2016-03-28,2553,2586,2553,2573,2227,12510.0,6350000.0
2016-03-29,2560,2586,2560,2586,5432,12573.0,6350000.0
2016-03-30,2579,2579,2573,2580,91,12541.0,6350000.0
2016-03-31,2553,2579,2553,2580,1384,12541.0,6350000.0
2016-04-01,2553,2573,2540,2554,11077,12414.0,6350000.0
2016-04-04,2579,2579,2579,2580,471,12541.0,6350000.0
2016-04-05,2560,2579,2560,2580,2022,12541.0,6350000.0
2016-04-06,2560,2586,2560,2586,2177,12573.0,6350000.0
2016-04-07,2599,2599,2560,2586,1105,12573.0,6350000.0
2016-04-08,2586,2586,2560,2586,6078,12573.0,6350000.0
2016-04-11,2586,2586,2560,2580,1818,12541.0,6350000.0
2016-04-12,2573,2586,2547,2586,9523,12573.0,6350000.0
2016-04-14,2560,2573,2540,2573,12802,12510.0,6350000.0
2016-04-15,2553,2592,2553,2586,2466,12573.0,6350000.0
2016-04-18,2560,2566,2553,2560,2449,12446.0,6350000.0
2016-04-19,2553,2566,2553,2567,4956,12478.0,6350000.0
2016-04-20,2553,2566,2540,2560,51452,12446.0,6350000.0
2016-04-21,2547,2553,2540,2554,20426,12414.0,6350000.0
2016-04-22,2547,2560,2540,2560,11983,12446.0,6350000.0
2016-04-25,2547,2566,2540,2567,10136,12478.0,6350000.0
2016-04-26,2540,2553,2540,2554,1848,12414.0,6350000.0
2016-04-27,2547,2547,2547,2547,2436,12382.0,6350000.0
2016-04-28,2540,2547,2540,2541,2915,12351.0,6350000.0
2016-04-29,2540,2553,2540,2554,24724,12414.0,6350000.0
2016-05-02,2553,2553,2553,2554,0,12414.0,6350000.0
2016-05-03,2540,2566,2540,2567,165,12478.0,6350000.0
2016-05-04,2560,2573,2553,2567,2271,12478.0,6350000.0
2016-05-09,2560,2566,2540,2567,5821,12478.0,6350000.0
2016-05-10,2553,2566,2553,2567,66,12478.0,6350000.0
2016-05-11,2547,2566,2547,2567,601,12478.0,6350000.0
2016-05-12,2547,2566,2547,2567,4420,12478.0,6350000.0
2016-05-13,2566,2566,2553,2554,57,12414.0,6350000.0
2016-05-16,2560,2566,2540,2567,428,12478.0,6350000.0
2016-05-17,2560,2560,2547,2547,167,12382.0,6350000.0
2016-05-18,2560,2573,2560,2573,5005,12510.0,6350000.0
2016-05-19,2573,2579,2573,2580,24595,12541.0,6350000.0
2016-05-20,2560,2560,2560,2560,4308,12446.0,6350000.0
2016-05-23,2560,2560,2560,2560,5098,12446.0,6350000.0
2016-05-24,2560,2573,2553,2573,132,12510.0,6350000.0
2016-05-25,2573,2573,2547,2547,2000,12382.0,6350000.0
2016-05-26,2553,2560,2553,2560,6642,12446.0,6350000.0
2016-05-27,2553,2566,2540,2547,12010,12382.0,6350000.0
2016-05-30,2566,2566,2540,2547,13306,12382.0,6350000.0
2016-05-31,2560,2560,2540,2547,10171,12382.0,6350000.0
2016-06-01,2547,2547,2533,2534,977,12319.0,6350000.0
2016-06-02,2547,2547,2547,2547,497,12382.0,6350000.0
2016-06-03,2547,2547,2547,2547,0,12382.0,6350000.0
2016-06-07,2488,2547,2475,2541,296331,12351.0,6350000.0
2016-06-08,2547,2553,2520,2547,7121,12382.0,6350000.0
2016-06-09,2547,2547,2533,2547,1134,12382.0,6350000.0
2016-06-10,2527,2547,2527,2547,3603,12382.0,6350000.0
2016-06-13,2547,2547,2547,2547,0,,
2016-06-14,2527,2547,2527,2547,12057,12382.0,6350000.0
2016-06-15,2547,2579,2547,2580,12539,12541.0,6350000.0
2016-06-16,2547,2573,2547,2573,5259,12510.0,6350000.0
2016-06-17,2540,2560,2540,2541,2242,12351.0,6350000.0
2016-06-20,2560,2560,2540,2560,1985,12446.0,6350000.0
2016-06-21,2560,2566,2560,2567,8287,12478.0,6350000.0
2016-06-22,2560,2573,2560,2573,1001,12510.0,6350000.0
2016-06-23,2573,2573,2540,2573,40041,12510.0,6350000.0
2016-06-24,2547,2573,2547,2560,16258,12446.0,6350000.0
2016-06-27,2540,2560,2527,2560,8176,12446.0,6350000.0
2016-06-28,2560,2573,2547,2573,20697,12510.0,6350000.0
2016-06-29,2566,2573,2566,2573,3010,12510.0,6350000.0
2016-06-30,2547,2573,2547,2573,3539,12510.0,6350000.0
2016-07-01,2573,2612,2573,2606,21109,12668.0,6350000.0
2016-07-04,2573,2612,2573,2606,4253,12668.0,6350000.0
2016-07-05,2612,2612,2599,2599,25078,12636.0,6350000.0
2016-07-06,2618,2618,2605,2612,8001,12700.0,6350000.0
2016-07-07,2638,2638,2638,2638,3,12827.0,6350000.0
2016-07-08,2631,2631,2586,2625,240,12764.0,6350000.0
2016-07-11,2599,2625,2599,2625,2106,12764.0,6350000.0
2016-07-12,2592,2651,2592,2638,14771,12827.0,6350000.0
2016-07-13,2612,2638,2599,2632,40477,12795.0,6350000.0
2016-07-14,2599,2631,2599,2625,17182,12764.0,6350000.0
2016-07-15,2605,2631,2599,2612,16278,12700.0,6350000.0
2016-07-18,2612,2612,2605,2606,4884,12668.0,6350000.0
2016-07-19,2605,2625,2605,2619,3956,12732.0,6350000.0
2016-07-20,2612,2612,2599,2612,6574,12700.0,6350000.0
2016-07-21,2605,2612,2599,2612,3195,12700.0,6350000.0
2016-07-22,2605,2612,2599,2612,440,12700.0,6350000.0
2016-07-25,2599,2612,2599,2612,382,12700.0,6350000.0
2016-07-26,2618,2618,2599,2599,1383,12636.0,6350000.0
2016-07-27,2599,2599,2599,2599,326,12636.0,6350000.0
