패션플랫폼(225590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-10-05,2131,2152,2126,2142,1550463,10720.0,5105000.0
2015-10-06,2142,2147,2142,2142,351173,10720.0,5105000.0
2015-10-07,2142,2152,2142,2152,88151,10772.0,5105000.0
2015-10-08,2142,2152,2142,2147,30940,10746.0,5105000.0
2015-10-12,2147,2157,2142,2152,39151,10772.0,5105000.0
2015-10-13,2157,2167,2152,2157,41379,10797.0,5105000.0
2015-10-14,2152,2172,2152,2162,34433,10823.0,5105000.0
2015-10-15,2147,2157,2147,2157,880,10797.0,5105000.0
2015-10-16,2157,2162,2142,2157,43453,10797.0,5105000.0
2015-10-19,2142,2157,2142,2157,11385,10797.0,5105000.0
2015-10-20,2162,2162,2157,2157,12476,10797.0,5105000.0
2015-10-21,2162,2162,2147,2152,12566,10772.0,5105000.0
2015-10-22,2142,2152,2142,2152,27323,10772.0,5105000.0
2015-10-23,2142,2152,2142,2147,24096,10746.0,5105000.0
2015-10-26,2152,2152,2142,2142,17833,10720.0,5105000.0
2015-10-27,2142,2152,2142,2147,34672,10746.0,5105000.0
2015-10-28,2147,2147,2142,2147,21493,10746.0,5105000.0
2015-10-29,2147,2147,2142,2147,13349,10746.0,5105000.0
2015-10-30,2142,2152,2142,2142,9761,10720.0,5105000.0
2015-11-02,2142,2147,2142,2147,28018,10746.0,5105000.0
2015-11-03,2142,2142,2096,2142,58957,10720.0,5105000.0
2015-11-04,2116,2126,2096,2111,185735,10567.0,5105000.0
2015-11-05,2101,2106,2096,2101,75062,10516.0,5105000.0
2015-11-06,2096,2101,2091,2091,59019,10465.0,5105000.0
2015-11-09,2080,2091,2080,2081,39389,10414.0,5105000.0
2015-11-10,2091,2096,2065,2091,42218,10465.0,5105000.0
2015-11-11,2080,2096,2080,2086,9995,10440.0,5105000.0
2015-11-12,2085,2085,2075,2076,11835,10389.0,5105000.0
2015-11-13,2075,2085,2070,2081,40003,10414.0,5105000.0
2015-11-16,2065,2080,2055,2066,17897,10338.0,5105000.0
2015-11-17,2065,2070,2055,2071,16344,10363.0,5105000.0
2015-11-18,2039,2070,2039,2060,12744,10312.0,5105000.0
2015-11-19,2060,2060,2045,2055,16100,10287.0,5105000.0
2015-11-20,2050,2050,2045,2045,2890,10236.0,5105000.0
2015-11-23,2045,2050,2040,2050,113063,10261.0,5105000.0
2015-11-24,2045,2055,2040,2050,18733,10261.0,5105000.0
2015-11-25,2045,2050,2040,2045,17589,10236.0,5105000.0
2015-11-26,2050,2060,2050,2050,9,10261.0,5105000.0
2015-11-27,2050,2055,2050,2055,24023,10287.0,5105000.0
2015-11-30,2050,2055,2045,2055,18598,10287.0,5105000.0
2015-12-01,2045,2070,2045,2071,5199,10363.0,5105000.0
2015-12-02,2050,2055,2045,2055,29379,10287.0,5105000.0
2015-12-03,2050,2055,2050,2055,17616,10287.0,5105000.0
2015-12-04,2055,2055,2045,2045,9879,10236.0,5105000.0
2015-12-07,2050,2050,2040,2050,12815,10261.0,5105000.0
2015-12-08,2045,2045,2040,2045,1186,10236.0,5105000.0
2015-12-09,2040,2045,2040,2045,32581,10236.0,5105000.0
2015-12-10,2050,2050,2050,2050,3033,10261.0,5105000.0
2015-12-11,2040,2055,2040,2050,1035,10261.0,5105000.0
2015-12-14,2045,2055,2045,2050,3418,10261.0,5105000.0
2015-12-15,2050,2050,2045,2050,2883,10261.0,5105000.0
2015-12-16,2055,2055,2045,2055,12700,10287.0,5105000.0
2015-12-17,2039,2060,2039,2060,2932,10312.0,5105000.0
2015-12-18,2060,2060,2045,2045,1500,10236.0,5105000.0
2015-12-21,2045,2055,2045,2055,1916,10287.0,5105000.0
2015-12-22,2085,2085,2055,2071,3330,10363.0,5105000.0
2015-12-23,2070,2070,2045,2066,31,10338.0,5105000.0
2015-12-24,2050,2070,2050,2066,808,10338.0,5105000.0
2015-12-28,2070,2070,2045,2045,41101,10236.0,5105000.0
2015-12-29,2085,2085,2045,2071,4043,10363.0,5105000.0
2015-12-30,2040,2080,2040,2071,46125,10363.0,5105000.0
2016-01-04,2070,2070,2045,2071,3508,10363.0,5105000.0
2016-01-05,2085,2085,2050,2071,1102,10363.0,5105000.0
2016-01-06,2111,2111,2045,2050,737,10261.0,5105000.0
2016-01-07,2080,2080,2045,2045,3595,10236.0,5105000.0
2016-01-08,2050,2080,2050,2076,512,10389.0,5105000.0
2016-01-11,2045,2065,2040,2045,7984,10236.0,5105000.0
2016-01-12,2075,2075,2040,2076,7054,10389.0,5105000.0
2016-01-13,2040,2080,2040,2081,675,10414.0,5105000.0
2016-01-14,2080,2111,2045,2081,713,10414.0,5105000.0
2016-01-15,2040,2075,2040,2040,470,10210.0,5105000.0
2016-01-18,2040,2111,2040,2040,54,10210.0,5105000.0
2016-01-19,2050,2055,2045,2045,10699,10236.0,5105000.0
2016-01-20,2040,2131,2040,2045,1757,10236.0,5105000.0
2016-01-21,2091,2091,2045,2045,33,10236.0,5105000.0
2016-01-22,2045,2045,2045,2045,20,10236.0,5105000.0
2016-01-25,2040,2045,2040,2040,7757,10210.0,5105000.0
2016-01-26,2045,2045,2045,2045,0,10236.0,5105000.0
2016-01-27,2045,2055,2045,2045,1019,10236.0,5105000.0
2016-01-28,2045,2045,2040,2040,18538,10210.0,5105000.0
2016-01-29,2029,2136,2029,2122,42702,10618.0,5105000.0
2016-02-01,2091,2091,2050,2050,494,10261.0,5105000.0
2016-02-02,2045,2055,2045,2045,2467,10236.0,5105000.0
2016-02-03,2050,2106,2040,2106,307,10542.0,5105000.0
2016-02-04,2040,2126,2040,2076,4462,10389.0,5105000.0
2016-02-05,2045,2055,2040,2050,5326,10261.0,5105000.0
2016-02-11,2075,2075,2040,2071,9855,10363.0,5105000.0
2016-02-12,2045,2070,2034,2040,13917,10210.0,5105000.0
2016-02-15,2040,2055,2040,2050,6667,10261.0,5105000.0
2016-02-16,2091,2091,2034,2035,18,10184.0,5105000.0
2016-02-17,2126,2126,2034,2035,1821,10184.0,5105000.0
2016-02-18,2040,2065,2040,2055,10309,10287.0,5105000.0
2016-02-19,2111,2111,2080,2086,15,10440.0,5105000.0
2016-02-22,2070,2106,2040,2040,1105,10210.0,5105000.0
2016-02-23,2039,2085,2039,2086,1087,10440.0,5105000.0
2016-02-24,2060,2085,2029,2035,1736,10184.0,5105000.0
2016-02-25,2034,2045,2034,2045,1950,10236.0,5105000.0
2016-02-26,2070,2070,2034,2040,1667,10210.0,5105000.0
2016-02-29,2055,2055,2050,2055,1881,10287.0,5105000.0
2016-03-02,2040,2055,2034,2040,6770,10210.0,5105000.0
2016-03-03,2040,2050,2034,2040,2716,10210.0,5105000.0
2016-03-04,2050,2050,2034,2050,2744,10261.0,5105000.0
2016-03-07,2034,2060,2034,2040,2018,10210.0,5105000.0
2016-03-08,2034,2060,2034,2060,1357,10312.0,5105000.0
2016-03-09,2040,2045,2040,2045,227,10236.0,5105000.0
2016-03-10,2040,2045,2040,2040,3504,10210.0,5105000.0
2016-03-11,2034,2045,2034,2045,2175,10236.0,5105000.0
2016-03-14,2045,2045,2040,2045,20204,10236.0,5105000.0
2016-03-15,2085,2085,2040,2045,10199,10236.0,5105000.0
2016-03-16,2075,2075,2040,2066,40,10338.0,5105000.0
2016-03-17,2040,2040,2034,2040,19577,10210.0,5105000.0
2016-03-18,2034,2045,2034,2040,3570,10210.0,5105000.0
2016-03-21,2080,2080,2045,2045,101,10236.0,5105000.0
2016-03-22,2040,2045,2040,2045,563,10236.0,5105000.0
2016-03-23,2034,2040,2034,2035,7477,10184.0,5105000.0
2016-03-24,2040,2045,2034,2045,76,10236.0,5105000.0
2016-03-25,2034,2045,2034,2045,1743,10236.0,5105000.0
2016-03-28,2070,2070,2034,2035,5013,10184.0,5105000.0
2016-03-29,2045,2045,2034,2035,8400,10184.0,5105000.0
2016-03-30,2045,2045,2029,2030,522,10159.0,5105000.0
2016-03-31,2050,2050,2029,2030,5005,10159.0,5105000.0
2016-04-01,2040,2045,2029,2030,2162,10159.0,5105000.0
2016-04-04,2050,2050,2029,2030,3925,10159.0,5105000.0
2016-04-05,2034,2045,2029,2030,8383,10159.0,5105000.0
2016-04-06,2045,2050,2034,2035,1503,10184.0,5105000.0
2016-04-07,2060,2060,2034,2035,672,10184.0,5105000.0
2016-04-08,2034,2055,1989,2030,17623,10159.0,5105000.0
2016-04-11,2029,2040,2024,2030,3812,10159.0,5105000.0
2016-04-12,2029,2040,2019,2040,21108,10210.0,5105000.0
2016-04-14,2029,2060,2029,2060,1527,10312.0,5105000.0
2016-04-15,2060,2060,1999,2060,11052,10312.0,5105000.0
2016-04-18,2040,2045,2014,2030,410,10159.0,5105000.0
2016-04-19,2034,2050,2024,2040,11945,10210.0,5105000.0
2016-04-20,2029,2040,2019,2040,25768,10210.0,5105000.0
2016-04-21,2034,2034,2019,2020,17501,10108.0,5105000.0
2016-04-22,2019,2040,2019,2020,12016,10108.0,5105000.0
2016-04-25,2019,2040,2004,2015,23576,10082.0,5105000.0
2016-04-26,2014,2029,1994,2020,707,10108.0,5105000.0
2016-04-27,2019,2024,2019,2020,21874,10108.0,5105000.0
2016-04-28,2034,2040,2034,2040,1183,10210.0,5105000.0
2016-04-29,2014,2034,2014,2035,5195,10184.0,5105000.0
2016-05-02,2034,2034,2034,2035,0,10184.0,5105000.0
2016-05-03,2040,2040,2014,2040,725,10210.0,5105000.0
2016-05-04,2034,2040,2019,2040,3095,10210.0,5105000.0
2016-05-09,2024,2029,2024,2030,1685,10159.0,5105000.0
2016-05-10,2024,2040,2024,2040,101,10210.0,5105000.0
2016-05-11,2009,2040,2009,2040,512,10210.0,5105000.0
2016-05-12,2040,2040,2034,2040,5060,10210.0,5105000.0
2016-05-13,2009,2029,2009,2025,3479,10133.0,5105000.0
2016-05-16,2024,2040,2014,2040,2228,10210.0,5105000.0
2016-05-17,2019,2040,2019,2030,958,10159.0,5105000.0
2016-05-18,2019,2029,2009,2015,4075,10082.0,5105000.0
2016-05-19,2034,2040,2014,2040,11605,10210.0,5105000.0
2016-05-20,2024,2040,2024,2040,5379,10210.0,5105000.0
2016-05-23,2019,2029,2014,2020,650,10108.0,5105000.0
2016-05-24,2024,2024,2024,2025,38,10133.0,5105000.0
2016-05-25,2024,2024,2024,2025,0,10133.0,5105000.0
2016-05-26,2019,2019,2014,2020,33694,10108.0,5105000.0
2016-05-27,2009,2029,1989,2004,11836,10031.0,5105000.0
2016-05-30,1989,2029,1989,2015,133503,10082.0,5105000.0
2016-05-31,1989,2024,1983,1994,64740,9980.0,5105000.0
2016-06-01,1989,1989,1983,1984,13462,9929.0,5105000.0
2016-06-02,2004,2004,1983,1989,2799,9955.0,5105000.0
2016-06-03,1989,2004,1989,2004,79928,10031.0,5105000.0
2016-06-07,1999,2004,1932,1984,301618,9929.0,5105000.0
2016-06-08,1983,1989,1978,1989,2604,9955.0,5105000.0
2016-06-09,1989,2009,1978,1989,499,9955.0,5105000.0
2016-06-10,1978,2009,1978,1994,2697,9980.0,5105000.0
2016-06-13,2004,2009,2004,2009,11,10057.0,5105000.0
2016-06-14,1983,2004,1983,2004,64,10031.0,5105000.0
2016-06-15,1978,1999,1978,1999,1206,10006.0,5105000.0
2016-06-16,1983,2004,1983,2004,59,10031.0,5105000.0
2016-06-17,1983,1999,1983,1999,10067,10006.0,5105000.0
2016-06-20,1999,1999,1983,1989,43058,9955.0,5105000.0
2016-06-21,1999,1999,1989,1999,2062,10006.0,5105000.0
2016-06-22,1989,1994,1983,1984,10313,9929.0,5105000.0
2016-06-23,1989,1999,1989,1999,3288,10006.0,5105000.0
2016-06-24,1989,2004,1983,1999,31104,10006.0,5105000.0
2016-06-27,1989,1999,1983,1999,7998,10006.0,5105000.0
2016-06-28,1989,1999,1989,1999,3495,10006.0,5105000.0
2016-06-29,1994,1999,1994,1999,8000,10006.0,5105000.0
2016-06-30,1994,2040,1989,2035,18084,10184.0,5105000.0
2016-07-01,2040,2050,2034,2045,68298,10236.0,5105000.0
2016-07-04,2014,2050,2014,2050,3648,10261.0,5105000.0
2016-07-05,2034,2050,2029,2045,8329,10236.0,5105000.0
2016-07-06,2019,2045,2009,2045,15010,10236.0,5105000.0
2016-07-07,2040,2040,2040,2040,927,10210.0,5105000.0
2016-07-08,2040,2040,2034,2040,5700,10210.0,5105000.0
2016-07-11,2040,2045,2040,2045,10406,10236.0,5105000.0
2016-07-12,2050,2060,2045,2050,20076,10261.0,5105000.0
2016-07-13,2055,2060,2040,2040,27145,10210.0,5105000.0
2016-07-14,2040,2060,2040,2055,3560,10287.0,5105000.0
2016-07-15,2040,2060,2040,2050,11755,10261.0,5105000.0
2016-07-18,2055,2055,2040,2040,9460,10210.0,5105000.0
2016-07-19,2060,2060,2040,2045,4671,10236.0,5105000.0
2016-07-20,2050,2050,2040,2050,6522,10261.0,5105000.0
2016-07-21,2040,2040,2034,2040,7933,10210.0,5105000.0
2016-07-22,2034,2045,2029,2045,7808,10236.0,5105000.0
2016-07-25,2029,2040,2029,2040,90,10210.0,5105000.0
2016-07-26,2055,2055,2034,2055,1651,10287.0,5105000.0
2016-07-27,2045,2060,2045,2060,240,10312.0,5105000.0
2016-07-28,2040,2055,2040,2055,1392,10287.0,5105000.0
2016-07-29,2060,2060,2060,2060,10,10312.0,5105000.0
2016-08-01,2040,2055,2040,2055,437,10287.0,5105000.0
2016-08-02,2060,2060,2039,2060,351,10312.0,5105000.0
2016-08-03,2045,2060,2045,2060,273,10312.0,5105000.0
2016-08-04,2040,2060,2040,2055,787,10287.0,5105000.0
2016-08-05,2040,2055,2040,2055,360,10287.0,5105000.0
2016-08-08,2040,2060,2040,2055,1093,10287.0,5105000.0
2016-08-09,2040,2055,2040,2055,14,10287.0,5105000.0
2016-08-10,2034,2034,2034,2035,39,10184.0,5105000.0
2016-08-11,2034,2050,2024,2050,5050,10261.0,5105000.0
2016-08-12,2029,2050,2029,2050,1460,10261.0,5105000.0
2016-08-16,2060,2060,2024,2050,5015,10261.0,5105000.0
2016-08-17,2024,2050,2024,2045,589,10236.0,5105000.0
2016-08-18,2019,2045,2019,2035,38453,10184.0,5105000.0
2016-08-19,2029,2045,2024,2030,1910,10159.0,5105000.0
2016-08-22,2024,2029,2024,2025,4352,10133.0,5105000.0
2016-08-23,2019,2029,2019,2025,3987,10133.0,5105000.0
2016-08-24,2024,2045,2024,2040,8230,10210.0,5105000.0
2016-08-25,2029,2045,2024,2040,4087,10210.0,5105000.0
2016-08-26,2029,2050,2029,2045,10409,10236.0,5105000.0
2016-08-29,2040,2060,2040,2040,3452,10210.0,5105000.0
2016-08-30,2050,2091,2034,2035,11013,10184.0,5105000.0
2016-08-31,2045,2080,2045,2071,11940,10363.0,5105000.0
2016-09-01,2080,2080,2040,2071,6691,10363.0,5105000.0
2016-09-02,2040,2075,2040,2050,14299,10261.0,5105000.0
2016-09-05,2050,2055,2045,2055,2875,10287.0,5105000.0
2016-09-06,2055,2096,2050,2050,3090,10261.0,5105000.0
2016-09-07,2050,2085,2034,2050,29841,10261.0,5105000.0
2016-09-08,2040,2050,2040,2050,3212,10261.0,5105000.0
2016-09-09,2050,2050,2045,2045,1515,10236.0,5105000.0
2016-09-12,2050,2050,2040,2050,397,10261.0,5105000.0
2016-09-13,2034,2060,2034,2060,2014,10312.0,5105000.0
2016-09-19,2080,2080,2040,2071,2963,10363.0,5105000.0
2016-09-20,2045,2065,2029,2035,17777,10184.0,5105000.0
2016-09-21,2060,2060,2040,2045,4564,10236.0,5105000.0
2016-09-22,2040,2070,2040,2066,4420,10338.0,5105000.0
2016-09-23,2040,2075,2040,2055,4780,10287.0,5105000.0
2016-09-26,2060,2060,2039,2060,10467,10312.0,5105000.0
2016-09-27,2034,2060,2034,2060,775,10312.0,5105000.0
2016-09-28,2040,2055,2040,2055,1064,10287.0,5105000.0
2016-09-29,2040,2121,2034,2066,6346,10338.0,5105000.0
2016-09-30,2034,2060,2034,2060,4590,10312.0,5105000.0
