아이엠텍(226350),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-02-03,9500,12350,9310,12350,13082837,207329.0,16787750.0
2016-02-04,12000,12650,10500,11100,7053917,186344.0,16787750.0
2016-02-05,11300,12300,10600,11550,4661069,193899.0,16787750.0
2016-02-11,11250,12500,10900,12500,3641745,209847.0,16787750.0
2016-02-12,12400,12700,10400,10800,2758366,181308.0,16787750.0
2016-02-15,11000,11350,10050,10400,2126837,174593.0,16787750.0
2016-02-16,11100,11550,10850,11100,2028887,186344.0,16787750.0
2016-02-17,11750,13600,11550,12150,7588272,203971.0,16787750.0
2016-02-18,12150,12350,11350,12050,2071977,202292.0,16787750.0
2016-02-19,12450,12700,11750,11850,2203347,198935.0,16787750.0
2016-02-22,12300,14200,12300,14100,6863911,236707.0,16787750.0
2016-02-23,13900,14000,13450,13900,2040734,233350.0,16787750.0
2016-02-24,13700,15100,13250,13500,4591785,226635.0,16787750.0
2016-02-25,13700,13950,12800,13150,1403508,220759.0,16787750.0
2016-02-26,13200,13300,12650,13100,1108779,219920.0,16787750.0
2016-02-29,13050,13250,12400,12450,1235125,209007.0,16787750.0
2016-03-02,12700,12800,12200,12800,1161415,214883.0,16787750.0
2016-03-03,12500,12650,12050,12150,1356836,203971.0,16787750.0
2016-03-04,12300,12750,12000,12700,1283940,213204.0,16787750.0
2016-03-07,12900,13400,12750,13200,1852350,221598.0,16787750.0
2016-03-08,13150,13350,12700,13300,1030205,223277.0,16787750.0
2016-03-09,13150,13450,13000,13000,580064,218241.0,16787750.0
2016-03-10,13050,13350,12650,12700,925625,213204.0,16787750.0
2016-03-11,12650,12850,12200,12450,584660,209007.0,16787750.0
2016-03-14,12550,12550,11900,11900,546561,199774.0,16787750.0
2016-03-15,11900,12300,11800,11950,365867,200614.0,16787750.0
2016-03-16,11950,12000,11300,11500,682273,193059.0,16787750.0
2016-03-17,11600,11800,11500,11650,410698,195577.0,16787750.0
2016-03-18,11750,11900,11350,11400,445831,191380.0,16787750.0
2016-03-21,11600,11650,11050,11150,396698,187183.0,16787750.0
2016-03-22,11050,11300,11000,11250,349633,188862.0,16787750.0
2016-03-23,11250,11300,10400,10750,884933,180468.0,16787750.0
2016-03-24,10650,11550,10550,11500,752406,193059.0,16787750.0
2016-03-25,11500,11650,11100,11150,351043,187183.0,16787750.0
2016-03-28,11250,11300,10800,10950,242069,183826.0,16787750.0
2016-03-29,10950,11450,10800,11400,281334,191380.0,16787750.0
2016-03-30,11450,11600,11200,11550,318768,193899.0,16787750.0
2016-03-31,11600,11650,10900,10950,476817,183826.0,16787750.0
2016-04-01,11000,11350,10850,11250,371970,188862.0,16787750.0
2016-04-04,11600,12000,11500,11850,899279,198935.0,16787750.0
2016-04-05,12050,12400,11800,11950,778501,200614.0,16787750.0
2016-04-06,11800,11950,11600,11700,347290,196417.0,16787750.0
2016-04-07,11650,11950,11000,11200,582762,188023.0,16787750.0
2016-04-08,11150,11400,11000,11250,425872,188862.0,16787750.0
2016-04-11,11350,11600,11200,11200,399665,188023.0,16787750.0
2016-04-12,11250,11800,11250,11650,640107,195577.0,16787750.0
2016-04-14,11850,12000,11450,11550,360044,193899.0,16787750.0
2016-04-15,11600,11650,11150,11250,360413,188862.0,16787750.0
2016-04-18,11250,11350,11050,11050,304658,185505.0,16787750.0
2016-04-19,11150,11250,10950,11000,309164,184665.0,16787750.0
2016-04-20,11000,11300,10950,11050,261083,185505.0,16787750.0
2016-04-21,11100,11150,10650,10750,419422,180468.0,16787750.0
2016-04-22,10700,10700,10400,10450,426765,175432.0,16787750.0
2016-04-25,10450,10650,10400,10550,200778,177111.0,16787750.0
2016-04-26,10650,10950,10550,10800,294943,181308.0,16787750.0
2016-04-27,11000,11100,10750,10750,323538,180468.0,16787750.0
2016-04-28,10800,10950,10350,10400,372596,174593.0,16787750.0
