오스테오닉(226400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-05-04,7660,7660,6520,6520,81,30892.0,4738011.0
2016-05-09,5550,5950,5550,5950,898,28191.0,4738011.0
2016-05-10,5890,5890,5060,5060,57,23974.0,4738011.0
2016-05-11,4800,4800,4800,4800,102,22742.0,4738011.0
2016-05-12,4800,5000,4800,5000,101,23690.0,4738011.0
2016-05-13,5740,5750,4250,5000,4174,23690.0,4738011.0
2016-05-16,5570,5570,5570,5570,1,26391.0,4738011.0
2016-05-17,6140,6140,5000,5000,159,23690.0,4738011.0
2016-05-18,5550,5550,5550,5550,1,26296.0,4738011.0
2016-05-19,5000,5000,5000,5000,201,23690.0,4738011.0
2016-05-20,5000,5000,4800,4800,20,22742.0,4738011.0
2016-05-23,5300,5300,5000,5000,57,23690.0,4738011.0
2016-05-24,5480,5480,5350,5350,2,25348.0,4738011.0
2016-05-25,5440,5440,5000,5290,15,25064.0,4738011.0
2016-05-26,5300,5300,4500,4500,61,21321.0,4738011.0
2016-05-27,5170,5170,5170,5170,2,24496.0,4738011.0
2016-05-30,5820,5820,5820,5820,1,27575.0,4738011.0
2016-05-31,5190,5190,5190,5190,0,24590.0,4738011.0
2016-06-01,5640,5640,5640,5640,5,26722.0,4738011.0
2016-06-02,5640,5640,5640,5640,5,26722.0,4738011.0
2016-06-03,5940,5940,5940,5940,5,28144.0,4738011.0
2016-06-07,5940,5940,5050,5900,109,27954.0,4738011.0
2016-06-08,5900,6100,5020,5800,35,27480.0,4738011.0
2016-06-09,4930,4930,4930,4930,73,23358.0,4738011.0
2016-06-10,5470,5470,5470,5470,50,25917.0,4738011.0
2016-06-13,4650,5300,4650,4650,179,22032.0,4738011.0
2016-06-14,4380,5000,4180,4185,363,19829.0,4738011.0
2016-06-15,4810,4810,4500,4500,31,21321.0,4738011.0
2016-06-16,5090,5100,4215,4215,167,19971.0,4738011.0
2016-06-17,3585,4845,3585,3605,12,17081.0,4738011.0
2016-06-20,3500,4140,3500,4140,1952,19615.0,4738011.0
2016-06-21,3600,4760,3550,4760,1571,22553.0,4738011.0
2016-06-22,4050,5430,4050,4100,7,19426.0,4738011.0
2016-06-23,4100,4700,3520,3520,742,16678.0,4738011.0
2016-06-24,4045,4045,3020,4000,19,18952.0,4738011.0
2016-06-27,3990,4600,3990,4500,654,21321.0,4738011.0
2016-06-28,5170,5170,5150,5150,11,24401.0,4738011.0
