디자인(227100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-15,19200,22000,14300,15200,4473815,40446.0,2660910.0
2018-11-16,15300,15850,13700,14000,1123731,37253.0,2660910.0
2018-11-19,13950,14400,13250,13800,786742,36721.0,2660910.0
2018-11-20,14450,14850,13350,13400,1038150,35656.0,2660910.0
2018-11-21,13650,14150,13250,14000,619802,37253.0,2660910.0
2018-11-22,13700,13750,12550,12600,461424,33527.0,2660910.0
2018-11-23,12450,13050,11850,12000,415646,31931.0,2660910.0
2018-11-26,12050,12200,11700,11750,173128,31266.0,2660910.0
2018-11-27,11850,12400,11750,12300,250751,32729.0,2660910.0
2018-11-28,12150,12200,11750,11850,136364,31532.0,2660910.0
2018-11-29,11950,12700,11600,12550,443452,33394.0,2660910.0
2018-11-30,13100,13250,12300,12300,349070,32729.0,2660910.0
2018-12-03,12500,13200,12200,13200,220585,35124.0,2660910.0
2018-12-04,13050,13500,12800,13450,219356,35789.0,2660910.0
2018-12-05,13250,14050,13150,13400,183545,35656.0,2660910.0
2018-12-06,13500,14000,13200,13700,121345,36454.0,2660910.0
2018-12-07,13700,13900,13400,13800,102508,36721.0,2660910.0
2018-12-10,13700,14000,11500,11850,422653,31532.0,2660910.0
2018-12-11,12150,12200,10950,11100,172862,29536.0,2660910.0
2018-12-12,11100,11750,10850,11200,101224,29802.0,2660910.0
2018-12-13,11300,11750,11050,11650,66727,31000.0,2660910.0
2018-12-14,11550,11700,11250,11300,36892,30068.0,2660910.0
2018-12-17,11100,11450,10300,10350,127093,27540.0,2660910.0
2018-12-18,10100,10250,9850,9850,80545,26210.0,2660910.0
2018-12-19,9960,10500,9610,10500,49905,27940.0,2660910.0
2018-12-20,10300,10650,9960,10150,57400,27008.0,2660910.0
2018-12-21,9860,10400,9860,10000,69147,26609.0,2660910.0
2018-12-24,10050,10950,9930,9930,166209,26423.0,2660910.0
2018-12-26,9750,9950,9580,9600,37395,25545.0,2660910.0
2018-12-27,9810,9810,9520,9520,22807,25332.0,2660910.0
2018-12-28,9530,9870,9450,9850,34049,26210.0,2660910.0
2019-01-02,9860,10050,9700,9840,31961,26183.0,2660910.0
2019-01-03,9850,10200,9600,9600,42244,25545.0,2660910.0
2019-01-04,9590,9770,9310,9540,23848,25385.0,2660910.0
2019-01-07,9620,9800,9480,9580,29227,25492.0,2660910.0
2019-01-08,9600,9670,9540,9560,23421,25438.0,2660910.0
2019-01-09,9560,10300,9560,10100,144938,26875.0,2660910.0
2019-01-10,10200,10300,9910,10150,37598,27008.0,2660910.0
2019-01-11,10150,10550,9920,9970,96727,26529.0,2660910.0
2019-01-14,10000,10200,9990,10050,35730,26742.0,2660910.0
2019-01-15,10100,10300,9990,10100,70060,26875.0,2660910.0
2019-01-16,10250,10300,9990,10100,42276,26875.0,2660910.0
2019-01-17,10100,10150,9850,9990,36189,26582.0,2660910.0
2019-01-18,10000,10050,9900,10050,23131,26742.0,2660910.0
2019-01-21,10050,10100,9960,10050,17683,26742.0,2660910.0
2019-01-22,10050,10050,9800,9970,21299,26529.0,2660910.0
2019-01-23,9950,10150,9900,10050,34875,26742.0,2660910.0
2019-01-24,10100,10150,9910,10000,25986,26609.0,2660910.0
2019-01-25,10300,11400,10100,10750,653771,28605.0,2660910.0
2019-01-28,10950,11400,10750,10900,169669,29004.0,2660910.0
2019-01-29,10900,11500,10600,11500,124648,30600.0,2660910.0
2019-01-30,11300,11600,11150,11450,83742,30467.0,2660910.0
2019-01-31,11550,11550,11150,11200,42703,29802.0,2660910.0
2019-02-01,11200,11200,10600,10900,64896,29004.0,2660910.0
2019-02-07,10900,11300,10800,11300,41857,30068.0,2660910.0
2019-02-08,11300,11550,11050,11400,57893,30334.0,2660910.0
2019-02-11,11450,12000,11400,11950,135656,31798.0,2660910.0
2019-02-12,11950,12200,11700,12200,124889,32463.0,2660910.0
2019-02-13,12200,12450,12000,12400,88245,32995.0,2660910.0
2019-02-14,12200,12300,11950,12250,57580,32596.0,2660910.0
2019-02-15,12350,12350,11650,11950,68795,31798.0,2660910.0
2019-02-18,11900,12100,11650,12100,51635,32197.0,2660910.0
2019-02-19,11900,12100,11600,11600,66348,30867.0,2660910.0
2019-02-20,11450,11700,11250,11400,71910,30334.0,2660910.0
2019-02-21,11350,11550,11150,11550,43223,30734.0,2660910.0
2019-02-22,11400,11600,11300,11350,29179,30201.0,2660910.0
2019-02-25,11450,11450,11150,11300,39176,30068.0,2660910.0
2019-02-26,11300,11550,11150,11550,31184,30734.0,2660910.0
2019-02-27,11550,12100,11350,11850,68274,31532.0,2660910.0
2019-02-28,11850,11900,11250,11350,57746,30201.0,2660910.0
2019-03-04,11350,12000,11350,12000,94525,31931.0,2660910.0
2019-03-05,11900,11950,11650,11650,61803,31000.0,2660910.0
2019-03-06,11750,11900,11600,11800,34596,31399.0,2660910.0
2019-03-07,11650,12050,11500,11700,94890,31133.0,2660910.0
2019-03-08,11950,14050,11800,13100,2384546,34858.0,2660910.0
2019-03-11,13050,13700,12850,13300,676064,35390.0,2660910.0
2019-03-12,13400,13700,12650,13050,425872,34725.0,2660910.0
2019-03-13,13050,13900,12700,13650,613265,36321.0,2660910.0
2019-03-14,13550,13900,13250,13250,414884,35257.0,2660910.0
2019-03-15,13400,13650,12750,12850,290454,34193.0,2660910.0
2019-03-18,13050,13200,12800,12900,135746,34326.0,2660910.0
2019-03-19,13000,13900,12900,13200,574543,35124.0,2660910.0
2019-03-20,13150,13200,12250,12600,245517,33527.0,2660910.0
2019-03-21,12800,12850,12000,12000,192526,31931.0,2660910.0
2019-03-22,11900,12100,11600,12050,103916,32064.0,2660910.0
2019-03-25,11650,11800,11250,11400,100838,30334.0,2660910.0
2019-03-26,11350,11600,11250,11450,62441,30467.0,2660910.0
2019-03-27,11450,11700,11350,11450,63900,30467.0,2660910.0
2019-03-28,11400,11600,10800,11050,90380,29403.0,2660910.0
2019-03-29,10950,11300,10800,11150,59341,29669.0,2660910.0
2019-04-01,11300,11850,11200,11650,47403,31000.0,2660910.0
2019-04-02,11900,11900,11500,11700,28691,31133.0,2660910.0
2019-04-03,11750,12000,11450,11750,44117,31266.0,2660910.0
2019-04-04,11750,11900,11700,11800,30930,31399.0,2660910.0
2019-04-05,11900,12150,11850,11950,43094,31798.0,2660910.0
2019-04-08,11950,12000,11500,11750,45229,31266.0,2660910.0
2019-04-09,11750,11950,11550,11850,37147,31532.0,2660910.0
2019-04-10,11850,12550,11750,12400,110440,32995.0,2660910.0
2019-04-11,12550,12650,12150,12350,59843,32862.0,2660910.0
2019-04-12,12350,12900,12250,12650,144273,33661.0,2660910.0
2019-04-15,12650,12900,12450,12500,120794,33261.0,2660910.0
2019-04-16,12600,12650,11850,12100,86812,32197.0,2660910.0
2019-04-17,12150,12400,12100,12150,55301,32330.0,2660910.0
2019-04-18,12200,12350,11900,11950,32437,31798.0,2660910.0
2019-04-19,12100,12350,11950,12250,33351,32596.0,2660910.0
2019-04-22,12250,12550,12000,12200,34074,32463.0,2660910.0
2019-04-23,12050,12300,11850,11950,30863,31798.0,2660910.0
2019-04-24,12100,12100,11450,11550,51692,30734.0,2660910.0
2019-04-25,11500,11550,11350,11500,22857,30600.0,2660910.0
2019-04-26,11400,11500,10750,10950,40918,29137.0,2660910.0
2019-04-29,11150,11350,11000,11300,29435,30068.0,2660910.0
2019-04-30,11300,11350,11050,11150,15539,29669.0,2660910.0
2019-05-02,11000,11400,11000,11300,20870,30068.0,2660910.0
2019-05-03,11400,11400,11150,11200,18932,29802.0,2660910.0
2019-05-07,11100,11600,11100,11450,36048,30467.0,2660910.0
2019-05-08,11200,11600,11200,11300,16443,30068.0,2660910.0
2019-05-09,11300,11500,10550,10700,41652,28472.0,2660910.0
2019-05-10,10750,10850,9950,9990,69277,26582.0,2660910.0
2019-05-13,10000,11800,10000,10700,260940,28472.0,2660910.0
2019-05-14,10550,10550,10000,10200,62239,27141.0,2660910.0
2019-05-15,10250,10600,10200,10400,29168,27673.0,2660910.0
2019-05-16,10550,10600,10200,10350,29761,27540.0,2660910.0
2019-05-17,10650,10900,10350,10500,44023,27940.0,2660910.0
2019-05-20,10450,10650,10050,10100,33097,26875.0,2660910.0
2019-05-21,9960,10250,9950,10200,27607,27141.0,2660910.0
2019-05-22,10300,10300,10050,10150,8423,27008.0,2660910.0
2019-05-23,10150,10650,9860,10000,29692,26609.0,2660910.0
2019-05-24,10000,10050,9320,9320,59935,24800.0,2660910.0
2019-05-27,9320,9630,9320,9520,25261,25332.0,2660910.0
2019-05-28,9570,9800,9480,9600,11802,25545.0,2660910.0
2019-05-29,9600,9750,9230,9230,20637,24560.0,2660910.0
2019-05-30,9230,9330,9010,9010,26266,23975.0,2660910.0
2019-05-31,9010,9250,8880,9180,13601,24427.0,2660910.0
2019-06-03,9150,9180,8970,9010,15144,23975.0,2660910.0
2019-06-04,9030,9250,9030,9250,10728,24613.0,2660910.0
2019-06-05,9250,9700,9250,9590,20374,25518.0,2660910.0
2019-06-07,9580,9680,9450,9590,19141,25518.0,2660910.0
2019-06-10,9680,9680,9490,9600,12842,25545.0,2660910.0
2019-06-11,9600,10100,9490,9730,54949,25891.0,2660910.0
2019-06-12,9780,9820,9500,9570,17992,25465.0,2660910.0
2019-06-13,9550,10400,9550,10200,110090,27141.0,2660910.0
2019-06-14,10200,10350,10000,10250,33027,27274.0,2660910.0
2019-06-17,10250,10500,9930,9930,44272,26423.0,2660910.0
2019-06-18,9930,10100,9850,10000,15039,26609.0,2660910.0
2019-06-19,9900,10100,9900,10000,14142,26609.0,2660910.0
2019-06-20,10000,10200,10000,10100,23229,26875.0,2660910.0
2019-06-21,10150,10350,10050,10150,18333,27008.0,2660910.0
2019-06-24,10150,10250,9940,10150,16745,27008.0,2660910.0
2019-06-25,10100,10250,9800,9950,23040,26476.0,2660910.0
2019-06-26,9850,10000,9650,9800,16074,26077.0,2660910.0
2019-06-27,9810,10050,9700,9800,15435,26077.0,2660910.0
2019-06-28,9800,9800,9330,9410,29467,25039.0,2660910.0
2019-07-01,9430,9550,9300,9480,13806,25225.0,2660910.0
2019-07-02,9470,9840,9450,9840,22853,26183.0,2660910.0
2019-07-03,9940,10100,9800,9940,27672,26449.0,2660910.0
2019-07-04,10050,10050,9670,9840,9586,26183.0,2660910.0
2019-07-05,9840,10000,9530,9590,10983,25518.0,2660910.0
2019-07-08,9590,9670,9040,9040,24869,24055.0,2660910.0
2019-07-09,9040,9140,8700,8870,16395,23602.0,2660910.0
2019-07-10,8700,8980,8680,8870,16057,23602.0,2660910.0
2019-07-11,8920,9200,8870,9200,8667,24480.0,2660910.0
2019-07-12,9180,9490,9030,9430,8437,25092.0,2660910.0
2019-07-15,9470,9640,8910,9380,11646,24959.0,2660910.0
