자이글(234920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-06,13600,14200,11700,12900,10595816,174549.0,13530910.0
2016-09-07,12750,13200,12100,12100,2904782,163724.0,13530910.0
2016-09-08,12250,12400,10950,11200,2772588,151546.0,13530910.0
2016-09-09,11300,11700,10700,10850,2628376,146810.0,13530910.0
2016-09-12,10850,11050,10150,10250,1590069,138692.0,13530910.0
2016-09-13,10400,10500,10000,10050,1415376,135986.0,13530910.0
2016-09-19,10100,10450,9990,10350,1090021,140045.0,13530910.0
2016-09-20,10400,10450,10000,10100,880606,136662.0,13530910.0
2016-09-21,10150,10400,9980,10150,1001835,137339.0,13530910.0
2016-09-22,10200,10550,10150,10150,893325,137339.0,13530910.0
2016-09-23,10350,11450,10250,11150,2819644,150870.0,13530910.0
2016-09-26,11050,11250,10700,10700,780151,144781.0,13530910.0
2016-09-27,10700,11400,10600,11150,890724,150870.0,13530910.0
2016-09-28,11300,11650,11100,11200,780302,151546.0,13530910.0
2016-09-29,11450,11650,11100,11300,583776,152899.0,13530910.0
2016-09-30,11200,11200,10550,10550,596266,142751.0,13530910.0
2016-10-04,10650,10800,10500,10600,238033,143428.0,13530910.0
2016-10-05,10550,10700,10300,10400,340080,140721.0,13530910.0
2016-10-06,10450,11250,10450,11100,583182,150193.0,13530910.0
2016-10-07,11100,11150,10800,10800,256646,146134.0,13530910.0
2016-10-10,10900,11350,10850,11050,376084,149517.0,13530910.0
2016-10-11,11100,11150,10800,10900,147359,147487.0,13530910.0
2016-10-12,10900,11000,10450,10700,218443,144781.0,13530910.0
2016-10-13,10650,10850,10450,10500,206559,142075.0,13530910.0
2016-10-14,10550,11050,10500,10800,250424,146134.0,13530910.0
2016-10-17,11200,11500,10800,10950,388384,148163.0,13530910.0
2016-10-18,11100,11250,10800,10850,268763,146810.0,13530910.0
2016-10-19,10950,11100,10650,10700,232880,144781.0,13530910.0
2016-10-20,10700,10850,10550,10800,184884,146134.0,13530910.0
2016-10-21,10850,10850,10600,10700,174701,144781.0,13530910.0
2016-10-24,10800,10950,10600,10650,175541,144104.0,13530910.0
2016-10-25,10750,11400,10650,11350,756229,153576.0,13530910.0
2016-10-26,11250,11550,10900,11300,683054,152899.0,13530910.0
2016-10-27,11200,11500,11000,11300,401352,152899.0,13530910.0
2016-10-28,11400,12600,11200,12100,1988582,163724.0,13530910.0
2016-10-31,12000,12200,11400,11450,811566,154929.0,13530910.0
2016-11-01,11400,11700,11200,11200,443405,151546.0,13530910.0
2016-11-02,11000,11150,10200,10300,760122,139368.0,13530910.0
2016-11-03,10150,10550,10100,10400,246601,140721.0,13530910.0
2016-11-04,10550,10600,10300,10350,186280,140045.0,13530910.0
2016-11-07,10450,10850,10450,10650,219978,144104.0,13530910.0
2016-11-08,10850,11150,9960,9960,1050983,134768.0,13530910.0
2016-11-09,10000,10150,8550,9390,1219960,127055.0,13530910.0
2016-11-10,9500,9960,9500,9810,432871,132738.0,13530910.0
2016-11-11,9780,10350,9730,10050,304678,135986.0,13530910.0
2016-11-14,10000,10150,9840,9940,182129,134497.0,13530910.0
2016-11-15,9910,9940,9600,9620,221081,130167.0,13530910.0
2016-11-16,9750,10100,9670,9940,231409,134497.0,13530910.0
2016-11-17,10050,10300,9950,10000,268584,135309.0,13530910.0
2016-11-18,10000,10100,9860,9940,109885,134497.0,13530910.0
2016-11-21,9900,9900,9690,9700,79723,131250.0,13530910.0
2016-11-22,9720,9770,9600,9650,61966,130573.0,13530910.0
2016-11-23,9670,9730,9320,9320,127515,126108.0,13530910.0
2016-11-24,9330,9410,9030,9030,115526,122184.0,13530910.0
2016-11-25,8940,9270,8940,9090,73441,122996.0,13530910.0
2016-11-28,9030,9210,9030,9160,65042,123943.0,13530910.0
2016-11-29,9170,9290,9120,9230,56417,124890.0,13530910.0
2016-11-30,9210,9720,9170,9550,109618,129220.0,13530910.0
2016-12-01,9560,9690,9500,9620,59150,130167.0,13530910.0
2016-12-02,9690,9890,9470,9610,144002,130032.0,13530910.0
2016-12-05,9600,9600,9390,9470,49324,128138.0,13530910.0
2016-12-06,9380,9500,9060,9200,125905,124484.0,13530910.0
2016-12-07,9110,9230,8890,8950,115049,121102.0,13530910.0
2016-12-08,8960,9090,8830,8840,96305,119613.0,13530910.0
2016-12-09,8870,8950,8820,8880,50172,120154.0,13530910.0
2016-12-12,8940,9080,8940,9020,61119,122049.0,13530910.0
2016-12-13,9110,9340,9050,9340,117737,126379.0,13530910.0
2016-12-14,9330,9690,9240,9510,132629,128679.0,13530910.0
2016-12-15,9420,9610,9420,9500,56160,128544.0,13530910.0
2016-12-16,9610,9610,9340,9370,85390,126785.0,13530910.0
2016-12-19,9400,9490,9300,9470,50715,128138.0,13530910.0
2016-12-20,9440,9460,9290,9320,82560,126108.0,13530910.0
2016-12-21,9320,9380,8800,9300,46486,125837.0,13530910.0
2016-12-22,9300,9300,9190,9220,28345,124755.0,13530910.0
2016-12-23,9170,9340,9170,9230,39502,124890.0,13530910.0
2016-12-26,9210,9360,9200,9350,72951,126514.0,13530910.0
2016-12-27,9350,9420,9300,9370,83866,126785.0,13530910.0
2016-12-28,9190,9290,9110,9160,78261,123943.0,13530910.0
2016-12-29,9110,9180,9050,9050,41533,122455.0,13530910.0
2017-01-02,9010,9180,8990,9050,56767,122455.0,13530910.0
2017-01-03,9140,9140,8960,9040,66481,122319.0,13530910.0
2017-01-04,9070,9080,8960,9060,70280,122590.0,13530910.0
2017-01-05,9080,9160,9050,9120,43765,123402.0,13530910.0
2017-01-06,9170,9180,9070,9070,87105,122725.0,13530910.0
2017-01-09,9080,9240,8990,9160,246610,123943.0,13530910.0
2017-01-10,9050,9190,9000,9150,110282,123808.0,13530910.0
2017-01-11,9150,9400,9140,9220,115095,124755.0,13530910.0
2017-01-12,9220,9220,9000,9040,82793,122319.0,13530910.0
2017-01-13,9070,9080,9000,9040,52079,122319.0,13530910.0
2017-01-16,9010,9070,8980,9020,50790,122049.0,13530910.0
2017-01-17,8970,9030,8870,8880,63619,120154.0,13530910.0
2017-01-18,9000,9000,8810,8810,95087,119207.0,13530910.0
2017-01-19,8820,8830,8530,8560,218155,115825.0,13530910.0
2017-01-20,8580,8650,8490,8600,73192,116366.0,13530910.0
2017-01-23,8540,8660,8500,8500,59637,115013.0,13530910.0
2017-01-24,8510,8540,8180,8200,93145,110953.0,13530910.0
2017-01-25,8230,8530,8200,8360,82999,113118.0,13530910.0
2017-01-26,8390,8450,8250,8330,31310,112712.0,13530910.0
2017-01-31,8330,8370,8230,8280,22539,112036.0,13530910.0
2017-02-01,8300,8380,8180,8280,28152,112036.0,13530910.0
2017-02-02,8240,8280,8110,8180,70713,110683.0,13530910.0
2017-02-03,8020,8200,7950,8040,168290,108789.0,13530910.0
2017-02-06,8030,8080,8000,8000,39246,108247.0,13530910.0
2017-02-07,7980,8030,7880,8000,69363,108247.0,13530910.0
2017-02-08,8000,8060,7950,7990,65247,108112.0,13530910.0
2017-02-09,8010,8040,7950,7980,38760,107977.0,13530910.0
2017-02-10,8000,8210,7980,8110,81730,109736.0,13530910.0
2017-02-13,8170,8170,8010,8030,54848,108653.0,13530910.0
2017-02-14,8050,8140,8010,8100,38598,109600.0,13530910.0
2017-02-15,8080,8210,8080,8160,55900,110412.0,13530910.0
2017-02-16,8190,8190,8050,8050,37959,108924.0,13530910.0
2017-02-17,8120,8480,8120,8430,161027,114066.0,13530910.0
2017-02-20,8400,8440,8280,8290,36694,112171.0,13530910.0
2017-02-21,8450,8630,8410,8410,96733,113795.0,13530910.0
2017-02-22,8400,8450,8360,8410,23391,113795.0,13530910.0
2017-02-23,8330,8400,8210,8310,52169,112442.0,13530910.0
2017-02-24,8280,8310,8090,8100,76290,109600.0,13530910.0
2017-02-27,8130,8200,8030,8110,29717,109736.0,13530910.0
2017-02-28,8120,8140,8000,8010,42723,108383.0,13530910.0
2017-03-02,8010,8060,7890,7890,56542,106759.0,13530910.0
2017-03-03,7940,7940,7680,7810,84388,105676.0,13530910.0
2017-03-06,7780,8050,7780,7930,49834,107300.0,13530910.0
2017-03-07,7890,8260,7890,8080,48763,109330.0,13530910.0
2017-03-08,7980,8120,7970,8080,26796,109330.0,13530910.0
