피앤씨테크(237750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-07-04,11000,12300,10250,10350,8003929,67240.0,6496600.0
2016-07-05,10600,10650,10250,10300,826671,66915.0,6496600.0
2016-07-06,10300,10500,10050,10250,641625,66590.0,6496600.0
2016-07-07,10300,10450,10100,10150,479679,65940.0,6496600.0
2016-07-08,10200,10250,9740,9760,569924,63407.0,6496600.0
2016-07-11,9860,9960,9750,9750,175271,63342.0,6496600.0
2016-07-12,9840,9940,9500,9640,246243,62627.0,6496600.0
2016-07-13,9700,9750,9550,9650,120751,62692.0,6496600.0
2016-07-14,9670,9670,9220,9330,192595,60613.0,6496600.0
2016-07-15,9340,9730,9330,9630,186941,62562.0,6496600.0
2016-07-18,9670,9670,9450,9460,83857,61458.0,6496600.0
2016-07-19,9630,9900,9520,9870,153503,64121.0,6496600.0
2016-07-20,9870,10200,9790,9960,215747,64706.0,6496600.0
2016-07-21,9980,10200,9930,10000,114969,64966.0,6496600.0
2016-07-22,10050,10100,9890,9930,71602,64511.0,6496600.0
2016-07-25,9940,9990,9650,9650,71725,62692.0,6496600.0
2016-07-26,9750,9750,9550,9550,64115,62043.0,6496600.0
2016-07-27,9560,10500,9510,9850,202019,63992.0,6496600.0
2016-07-28,10050,10300,9830,10250,157651,66590.0,6496600.0
2016-07-29,10250,10350,10000,10100,53411,65616.0,6496600.0
2016-08-01,10100,10100,9960,10100,38472,65616.0,6496600.0
2016-08-02,10050,10250,9940,9940,64339,64576.0,6496600.0
2016-08-03,9940,9940,9640,9700,51999,63017.0,6496600.0
2016-08-04,9710,9720,9570,9700,71023,63017.0,6496600.0
2016-08-05,9700,9700,9510,9530,57085,61913.0,6496600.0
2016-08-08,9560,9680,9470,9470,30167,61523.0,6496600.0
2016-08-09,9560,9710,9480,9610,44326,62432.0,6496600.0
2016-08-10,9650,9700,9580,9680,24194,62887.0,6496600.0
2016-08-11,9680,9970,9570,9970,101825,64771.0,6496600.0
2016-08-12,10000,10000,9750,9750,66739,63342.0,6496600.0
2016-08-16,9750,9790,9640,9640,17533,62627.0,6496600.0
2016-08-17,9800,9980,9600,9700,91665,63017.0,6496600.0
