에이스토리(241840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-19,12900,13500,11200,11400,6376790,106228.0,9318240.0
2019-07-22,11600,13400,11300,11950,4553154,111353.0,9318240.0
2019-07-23,12300,12500,11350,11800,1373624,109955.0,9318240.0
2019-07-24,11800,15300,11500,13400,10437639,124864.0,9318240.0
2019-07-25,12950,14450,12550,13850,4937963,129058.0,9318240.0
2019-07-26,13700,13850,13050,13400,1350026,124864.0,9318240.0
2019-07-29,13300,13500,11700,12000,1754651,111819.0,9318240.0
2019-07-30,11950,12100,11300,11500,874302,107160.0,9318240.0
2019-07-31,11550,13100,11400,11750,3665898,109489.0,9318240.0
2019-08-01,11750,12050,10600,10950,1437601,102035.0,9318240.0
2019-08-02,10700,10950,10000,10000,922553,93182.0,9318240.0
2019-08-05,9800,9900,8100,8550,1108931,79671.0,9318240.0
2019-08-06,8100,8830,7800,8540,485237,79578.0,9318240.0
2019-08-07,8720,8780,8090,8340,339856,77714.0,9318240.0
2019-08-08,8450,9150,8450,8940,455336,83305.0,9318240.0
2019-08-09,8980,9980,8860,9400,781602,87591.0,9318240.0
2019-08-12,9400,9570,9150,9220,202152,85914.0,9318240.0
2019-08-13,9170,9200,8780,8840,177133,82373.0,9318240.0
2019-08-14,8970,9100,8830,8900,137692,82932.0,9318240.0
2019-08-16,8760,8770,7970,8000,450819,74546.0,9318240.0
2019-08-19,8060,8320,7900,8150,164857,75944.0,9318240.0
2019-08-20,8200,8560,8070,8490,284938,79112.0,9318240.0
2019-08-21,8060,8520,8000,8520,272937,79391.0,9318240.0
2019-08-22,8480,8510,8070,8100,195077,75478.0,9318240.0
2019-08-23,8060,8100,7810,8000,181550,74546.0,9318240.0
2019-08-26,7800,7870,7330,7470,207407,69607.0,9318240.0
2019-08-27,7530,7640,7180,7280,256236,67837.0,9318240.0
2019-08-28,7340,7370,7170,7240,85753,67464.0,9318240.0
2019-08-29,7270,7520,7130,7180,141028,66905.0,9318240.0
2019-08-30,7250,8760,7140,8130,2255131,75757.0,9318240.0
2019-09-02,8120,8320,7910,8250,429598,76875.0,9318240.0
2019-09-03,8250,8780,8100,8190,425725,76316.0,9318240.0
2019-09-04,8190,8330,8060,8250,122926,76875.0,9318240.0
2019-09-05,8300,8710,8250,8590,352719,80044.0,9318240.0
2019-09-06,8750,9000,8510,8670,366166,80789.0,9318240.0
2019-09-09,8700,10100,8600,10000,2559927,93182.0,9318240.0
2019-09-10,10000,10950,9520,9760,2003804,90946.0,9318240.0
2019-09-11,9800,10750,9660,10150,1771918,94580.0,9318240.0
2019-09-16,10200,10600,9990,10300,390458,95978.0,9318240.0
2019-09-17,10300,10350,9770,9880,389705,92064.0,9318240.0
2019-09-18,9880,11550,9780,10700,2844146,99705.0,9318240.0
2019-09-19,10800,10950,10300,10400,483528,96910.0,9318240.0
2019-09-20,10400,10550,10000,10150,390587,94580.0,9318240.0
2019-09-23,10250,10850,10150,10550,631730,98307.0,9318240.0
2019-09-24,10500,10550,10150,10250,227086,95512.0,9318240.0
2019-09-25,10200,10200,9390,9490,422044,88430.0,9318240.0
2019-09-26,9530,9780,8960,9400,243551,87591.0,9318240.0
2019-09-27,9500,9970,9370,9650,301745,89921.0,9318240.0
2019-09-30,9630,10200,9200,10050,496393,93648.0,9318240.0
2019-10-01,9500,9880,9320,9650,330188,89921.0,9318240.0
2019-10-02,9520,10450,9520,10100,743756,94114.0,9318240.0
2019-10-04,10050,10400,9770,9840,461871,91691.0,9318240.0
2019-10-07,10100,10250,9430,9480,367704,88337.0,9318240.0
