SG(255220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-01-26,1875,2045,1739,1826,5531391,65782.0,12506024.0
2018-01-29,1833,1885,1809,1840,641776,66282.0,12506024.0
2018-01-30,1836,1854,1760,1778,510572,64031.0,12506024.0
2018-01-31,1795,1826,1770,1788,264657,64406.0,12506024.0
2018-02-01,1788,2045,1788,1851,1341803,66657.0,12506024.0
2018-02-02,1850,2198,1822,1993,2601666,71785.0,12506024.0
2018-02-05,1944,2055,1892,1951,649918,70284.0,12506024.0
2018-02-06,1857,2149,1850,2056,1526786,74036.0,12506024.0
2018-02-07,2097,2132,1996,2014,798575,72535.0,12506024.0
2018-02-08,2017,2187,2003,2024,757349,72910.0,12506024.0
2018-02-09,1979,2038,1968,2017,347979,72660.0,12506024.0
2018-02-12,2045,2246,1899,1938,1123078,69784.0,12506024.0
2018-02-13,1972,1979,1875,1879,236777,67658.0,12506024.0
2018-02-14,1888,1982,1864,1945,255777,70034.0,12506024.0
2018-02-19,1979,2013,1944,1962,258570,70659.0,12506024.0
2018-02-20,1982,1993,1909,1955,161231,70409.0,12506024.0
2018-02-21,1937,1951,1906,1931,110422,69533.0,12506024.0
2018-02-22,1909,1934,1868,1875,149125,67533.0,12506024.0
2018-02-23,1878,1909,1850,1882,54516,67783.0,12506024.0
2018-02-26,1871,1923,1861,1910,116757,68783.0,12506024.0
2018-02-27,1923,1975,1892,1945,134795,70034.0,12506024.0
2018-02-28,1944,1961,1902,1910,20715,68783.0,12506024.0
2018-03-02,1878,1913,1809,1906,30790,68658.0,12506024.0
2018-03-05,1906,1927,1857,1865,49260,67157.0,12506024.0
2018-03-06,1861,1895,1826,1889,35242,68033.0,12506024.0
2018-03-07,1875,1888,1850,1872,35239,67407.0,12506024.0
2018-03-08,1875,1902,1840,1872,27800,67407.0,12506024.0
2018-03-09,1854,1892,1805,1858,49214,66907.0,12506024.0
2018-03-12,1857,1916,1854,1917,68705,69033.0,12506024.0
2018-03-13,1972,1972,1878,1882,43688,67783.0,12506024.0
2018-03-14,1902,1902,1864,1882,38344,67783.0,12506024.0
2018-03-15,1888,1899,1847,1889,25622,68033.0,12506024.0
2018-03-16,1888,1892,1840,1868,44636,67282.0,12506024.0
2018-03-19,1909,1941,1847,1875,70987,67533.0,12506024.0
2018-03-20,1871,1875,1816,1872,50069,67407.0,12506024.0
2018-03-21,1871,1875,1840,1840,30642,66282.0,12506024.0
2018-03-22,1826,1868,1819,1858,29528,66907.0,12506024.0
2018-03-23,1843,1854,1802,1847,37112,66532.0,12506024.0
2018-03-26,1805,1854,1805,1851,31707,66657.0,12506024.0
2018-03-27,1857,1857,1802,1813,41281,65281.0,12506024.0
2018-03-28,1826,1836,1788,1809,20465,65156.0,12506024.0
2018-03-29,1829,1829,1781,1809,19868,65156.0,12506024.0
2018-03-30,1843,1902,1788,1854,26359,66782.0,12506024.0
2018-04-02,1871,1871,1812,1858,44420,66907.0,12506024.0
2018-04-03,1864,1864,1805,1847,28234,66532.0,12506024.0
2018-04-04,1868,1899,1798,1840,55836,66282.0,12506024.0
2018-04-05,1871,1871,1802,1823,19297,65657.0,12506024.0
2018-04-06,1829,1829,1805,1806,38404,65031.0,12506024.0
2018-04-09,1805,1888,1805,1833,37857,66032.0,12506024.0
2018-04-10,1833,1937,1822,1906,119326,68658.0,12506024.0
2018-04-11,1954,2010,1909,1976,286289,71159.0,12506024.0
2018-04-12,2034,2045,1951,1972,118822,71034.0,12506024.0
2018-04-13,1975,2000,1965,1986,61249,71534.0,12506024.0
2018-04-16,2003,2003,1961,1990,66556,71660.0,12506024.0
2018-04-17,1989,2024,1979,2021,123230,72785.0,12506024.0
2018-04-18,2062,2576,2041,2257,1637223,81289.0,12506024.0
2018-04-19,2277,2364,2222,2326,657325,83790.0,12506024.0
2018-04-20,2375,2427,2222,2309,682630,83165.0,12506024.0
2018-04-23,2340,2465,2263,2326,677650,83790.0,12506024.0
2018-04-24,2343,2402,2288,2361,573063,85041.0,12506024.0
2018-04-25,2385,2399,2284,2285,254389,82290.0,12506024.0
2018-04-26,2326,2430,2323,2413,446981,86917.0,12506024.0
2018-04-27,2465,2545,2375,2507,490688,90293.0,12506024.0
2018-04-30,2829,3090,2607,2924,2256565,105301.0,12506024.0
2018-05-02,3295,3784,3218,3785,3855117,136316.0,12506024.0
2018-05-03,3663,3750,3451,3629,1729392,130688.0,12506024.0
2018-05-04,3524,4687,3465,4549,4189147,163829.0,12506024.0
2018-05-08,4340,4809,4340,4618,429643,166330.0,12506024.0
2018-05-09,4757,4757,4201,4323,339852,155700.0,12506024.0
2018-05-10,4514,4548,4271,4514,297805,162578.0,12506024.0
2018-05-11,4392,4566,3993,4427,813337,159452.0,12506024.0
2018-05-14,4566,4913,4201,4913,1080672,176960.0,12506024.0
2018-05-15,4913,5121,4670,4861,533944,175084.0,12506024.0
2018-05-16,4340,4687,4166,4427,873010,159452.0,12506024.0
2018-05-17,4427,4861,4166,4167,639514,150072.0,12506024.0
2018-05-18,4323,4427,4027,4080,549148,146946.0,12506024.0
2018-05-21,3975,4027,3802,3976,526898,143194.0,12506024.0
2018-05-23,3802,3993,3715,3820,837055,137566.0,12506024.0
2018-05-24,3923,3941,3541,3872,838977,139442.0,12506024.0
2018-05-25,3135,3628,3135,3333,944480,120058.0,12506024.0
2018-05-28,3975,4323,3871,4323,1012389,155700.0,12506024.0
2018-05-29,4323,4479,4114,4219,808019,151948.0,12506024.0
2018-05-30,4201,4514,4114,4306,996314,155075.0,12506024.0
2018-05-31,5590,5590,5347,5591,1540965,201347.0,12506024.0
2018-06-01,6041,6128,4982,5330,3839083,191967.0,12506024.0
2018-06-04,6250,6267,5208,5226,2820593,188216.0,12506024.0
2018-06-05,5034,5139,4739,5018,1327769,180712.0,12506024.0
2018-06-07,5000,5104,4774,4809,756383,173208.0,12506024.0
2018-06-08,4826,4896,4548,4896,673251,176335.0,12506024.0
2018-06-11,4791,5173,4774,5035,903822,181337.0,12506024.0
2018-06-12,5052,5069,4548,4722,607663,170082.0,12506024.0
2018-06-14,4444,4479,3611,3681,832928,132564.0,12506024.0
2018-06-15,3645,4288,3645,3959,1485405,142569.0,12506024.0
2018-06-18,3975,4600,3923,4375,1093365,157576.0,12506024.0
2018-06-19,4357,4566,4114,4167,290191,150072.0,12506024.0
2018-06-20,4097,4375,4062,4219,220461,151948.0,12506024.0
2018-06-21,4166,4566,4097,4132,617931,148822.0,12506024.0
2018-06-22,4166,4375,3906,4028,271797,145070.0,12506024.0
2018-06-25,4027,4652,3819,4479,1026737,161328.0,12506024.0
2018-06-26,4375,4843,4305,4410,883886,158827.0,12506024.0
2018-06-27,4531,4687,4184,4479,628545,161328.0,12506024.0
2018-06-28,4444,4531,3889,3924,633196,141318.0,12506024.0
2018-06-29,4461,4583,3975,4149,830643,149447.0,12506024.0
2018-07-02,4149,4218,3489,3577,356179,128812.0,12506024.0
2018-07-03,3645,3698,3298,3646,317155,131313.0,12506024.0
2018-07-04,3611,3628,3489,3542,108617,127561.0,12506024.0
2018-07-05,3524,3541,3236,3292,207669,118557.0,12506024.0
2018-07-06,3326,3524,3184,3458,217062,124560.0,12506024.0
2018-07-09,3333,3333,3149,3149,168911,113430.0,12506024.0
