포인트엔지니어링(256630),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-02,2227,2227,2211,2211,39827,13860.0,7000000.0
2017-05-04,2222,2222,2216,2222,25107,13930.0,7000000.0
2017-05-08,2216,2222,2216,2217,1169,13895.0,7000000.0
2017-05-10,2216,2216,2205,2206,33190,13825.0,7000000.0
2017-05-11,2211,2211,2205,2206,19624,13825.0,7000000.0
2017-05-12,2183,2205,2183,2200,10541,13790.0,7000000.0
2017-05-15,2222,2222,2205,2211,13786,13860.0,7000000.0
2017-05-16,2211,2222,2211,2217,6055,13895.0,7000000.0
2017-05-17,2211,2222,2211,2222,2025,13930.0,7000000.0
2017-05-18,2216,2222,2216,2222,1054,13930.0,7000000.0
2017-05-19,2216,2222,2216,2222,1731,13930.0,7000000.0
2017-05-22,2211,2222,2211,2217,1252,13895.0,7000000.0
2017-05-23,2216,2227,2216,2222,16204,13930.0,7000000.0
2017-05-24,2222,2222,2222,2222,1762,13930.0,7000000.0
2017-05-25,2222,2227,2216,2228,1186,13965.0,7000000.0
2017-05-26,2227,2250,2222,2222,11543,13930.0,7000000.0
2017-05-29,2222,2222,2222,2222,0,13930.0,7000000.0
2017-05-30,2216,2216,2211,2211,2814,13860.0,7000000.0
2017-05-31,2216,2222,2216,2217,1566,13895.0,7000000.0
2017-06-01,2211,2211,2205,2206,5865,13825.0,7000000.0
2017-06-02,2205,2216,2205,2206,11096,13825.0,7000000.0
2017-06-05,2205,2222,2205,2206,1351,13825.0,7000000.0
2017-06-07,2205,2222,2205,2206,4202,13825.0,7000000.0
2017-06-08,2200,2211,2200,2200,2423,13790.0,7000000.0
2017-06-09,2200,2205,2200,2200,4468,13790.0,7000000.0
2017-06-12,2211,2211,2194,2200,15673,13790.0,7000000.0
2017-06-13,2200,2200,2200,2200,148,13790.0,7000000.0
2017-06-14,2200,2211,2200,2200,1821,13790.0,7000000.0
2017-06-15,2200,2205,2200,2206,1311,13825.0,7000000.0
2017-06-16,2200,2200,2188,2189,139375,13720.0,7000000.0
2017-06-19,2194,2194,2188,2189,5889,13720.0,7000000.0
2017-06-20,2188,2205,2188,2189,6121,13720.0,7000000.0
2017-06-21,2188,2188,2188,2189,0,13720.0,7000000.0
2017-06-22,2188,2205,2183,2183,9198,13685.0,7000000.0
2017-06-23,2200,2200,2188,2189,137564,13720.0,7000000.0
2017-06-26,2188,2188,2188,2189,4,13720.0,7000000.0
2017-06-27,2200,2200,2194,2194,4531,13755.0,7000000.0
2017-06-28,2188,2188,2188,2189,1000,13720.0,7000000.0
2017-06-29,2188,2200,2188,2194,50501,13755.0,7000000.0
2017-06-30,2200,2222,2200,2211,77586,13860.0,7000000.0
2017-07-03,2200,2216,2200,2217,19941,13895.0,7000000.0
2017-07-04,2216,2406,2211,2234,584644,14000.0,7000000.0
2017-07-05,2233,2250,2133,2211,104300,13860.0,7000000.0
2017-07-06,2211,2244,2211,2222,23632,13930.0,7000000.0
2017-07-07,2222,2289,2211,2256,58313,14140.0,7000000.0
2017-07-10,2283,2283,2222,2234,30758,14000.0,7000000.0
2017-07-11,2227,2244,2227,2234,10949,14000.0,7000000.0
2017-07-12,2227,2345,2227,2250,14388,14105.0,7000000.0
2017-07-13,2250,2300,2233,2239,2923,14035.0,7000000.0
2017-07-14,2222,2267,2222,2239,57,14035.0,7000000.0
2017-07-17,2233,2239,2233,2234,1351,14000.0,7000000.0
2017-07-18,2233,2239,2233,2239,1526,14035.0,7000000.0
2017-07-19,2244,2278,2244,2245,2274,14070.0,7000000.0
2017-07-20,2311,2311,2233,2239,102384,14035.0,7000000.0
2017-07-21,2244,2244,2239,2239,15165,14035.0,7000000.0
2017-07-24,2244,2244,2233,2239,947,14035.0,7000000.0
2017-07-25,2233,2233,2233,2234,19585,14000.0,7000000.0
