디케이앤디(263020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-20,7570,7700,6110,6230,8572193,47354.0,7601025.0
2018-11-21,6030,6080,5630,5660,1403124,43022.0,7601025.0
2018-11-22,5700,5760,5270,5330,853077,40513.0,7601025.0
2018-11-23,5330,5850,5260,5340,2363314,40589.0,7601025.0
2018-11-26,5410,5550,5120,5170,1012396,39297.0,7601025.0
2018-11-27,5190,5220,5000,5040,350249,38309.0,7601025.0
2018-11-28,5080,5130,4870,4945,352570,37587.0,7601025.0
2018-11-29,5010,5040,4800,4800,436115,36485.0,7601025.0
2018-11-30,4840,4950,4770,4800,322568,36485.0,7601025.0
2018-12-03,4850,4930,4800,4835,199048,36751.0,7601025.0
2018-12-04,4845,5130,4805,4955,644097,37663.0,7601025.0
2018-12-05,4840,4950,4800,4855,219089,36903.0,7601025.0
2018-12-06,4855,4895,4540,4540,279400,34509.0,7601025.0
2018-12-07,4595,4645,4380,4410,190616,33521.0,7601025.0
2018-12-10,4390,4520,4275,4360,97282,33140.0,7601025.0
2018-12-11,4420,5000,4385,4505,1170762,34243.0,7601025.0
2018-12-12,4520,4535,4355,4465,135053,33939.0,7601025.0
2018-12-13,4505,4560,4375,4390,172222,33368.0,7601025.0
2018-12-14,4365,4425,4145,4145,162618,31506.0,7601025.0
2018-12-17,4150,4445,4145,4310,198644,32760.0,7601025.0
2018-12-18,4270,4270,4110,4125,160235,31354.0,7601025.0
2018-12-19,4160,4220,4105,4130,71177,31392.0,7601025.0
2018-12-20,4100,4340,4070,4130,133670,31392.0,7601025.0
2018-12-21,4130,4345,4100,4300,149872,33028.0,7681025.0
2018-12-24,4300,4455,4190,4310,250601,33105.0,7681025.0
2018-12-26,4250,4285,4120,4220,144623,32414.0,7681025.0
2018-12-27,4335,4335,4140,4170,79403,32030.0,7681025.0
2018-12-28,4170,4315,4120,4315,170425,33144.0,7681025.0
2019-01-02,4330,4330,4165,4180,96295,32107.0,7681025.0
2019-01-03,4200,4250,4055,4090,73738,31415.0,7681025.0
2019-01-04,4025,4125,4010,4070,66797,31262.0,7681025.0
2019-01-07,4110,4490,4105,4370,664930,33566.0,7681025.0
