IBKS제6호스팩(264850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-01,2099,2120,2088,2110,94408,8587.0,4315000.0
2017-06-02,2104,2119,2099,2121,50338,8630.0,4315000.0
2017-06-05,2098,2104,2098,2100,21254,8544.0,4315000.0
2017-06-07,2098,2115,2098,2100,304,8544.0,4315000.0
2017-06-08,2104,2115,2104,2110,1868,8587.0,4315000.0
2017-06-09,2115,2115,2110,2110,4222,8587.0,4315000.0
2017-06-12,2110,2115,2110,2116,6076,8608.0,4315000.0
2017-06-13,2109,2109,2098,2100,34828,8544.0,4315000.0
2017-06-14,2105,2105,2088,2105,39324,8565.0,4315000.0
2017-06-15,2088,2116,2083,2105,34742,8565.0,4315000.0
2017-06-16,2115,2115,2094,2110,18949,8587.0,4315000.0
2017-06-19,2099,2110,2099,2105,9248,8565.0,4315000.0
2017-06-20,2099,2099,2088,2089,13805,8501.0,4315000.0
2017-06-21,2104,2104,2078,2084,30394,8479.0,4315000.0
2017-06-22,2115,2115,2082,2084,1198,8479.0,4315000.0
2017-06-23,2083,2105,2083,2105,21,8565.0,4315000.0
2017-06-26,2082,2098,2082,2100,4146,8544.0,4315000.0
2017-06-27,2094,2110,2094,2105,32,8565.0,4315000.0
2017-06-28,2105,2105,2099,2105,655,8565.0,4315000.0
2017-06-29,2104,2586,2104,2153,1974450,8759.0,4315000.0
2017-06-30,2178,2364,2147,2163,2245686,8803.0,4315000.0
2017-07-03,2221,2226,2119,2126,459385,8652.0,4315000.0
2017-07-04,2125,2125,2105,2105,385630,8565.0,4315000.0
2017-07-05,2119,2136,2104,2121,166892,8630.0,4315000.0
2017-07-06,2115,2120,2104,2116,68999,8608.0,4315000.0
2017-07-07,2109,2136,2109,2126,257654,8652.0,4315000.0
2017-07-10,2152,2157,2110,2110,264637,8587.0,4315000.0
2017-07-11,2119,2215,2115,2169,386810,8824.0,4315000.0
2017-07-12,2152,2184,2141,2153,80129,8759.0,4315000.0
2017-07-13,2204,2204,2130,2137,117824,8695.0,4315000.0
2017-07-14,2141,2146,2125,2132,62596,8673.0,4315000.0
2017-07-17,2125,2147,2119,2126,59509,8652.0,4315000.0
2017-07-18,2125,2141,2119,2126,55242,8652.0,4315000.0
2017-07-19,2141,2141,2119,2132,58293,8673.0,4315000.0
2017-07-20,2147,2152,2125,2153,44680,8759.0,4315000.0
2017-07-21,2152,2152,2125,2126,72218,8652.0,4315000.0
2017-07-24,2147,2147,2125,2142,28119,8716.0,4315000.0
2017-07-25,2135,2141,2124,2137,43994,8695.0,4315000.0
2017-07-26,2131,2147,2131,2142,16383,8716.0,4315000.0
2017-07-27,2119,2146,2119,2132,39802,8673.0,4315000.0
2017-07-28,2147,2147,2125,2126,12111,8652.0,4315000.0
2017-07-31,2125,2147,2119,2126,25656,8652.0,4315000.0
2017-08-01,2141,2141,2119,2137,12626,8695.0,4315000.0
2017-08-02,2124,2135,2119,2137,6974,8695.0,4315000.0
2017-08-03,2146,2146,2119,2137,2061,8695.0,4315000.0
2017-08-04,2146,2146,2119,2137,4374,8695.0,4315000.0
2017-08-07,2125,2136,2125,2126,4577,8652.0,4315000.0
2017-08-08,2125,2141,2119,2132,11005,8673.0,4315000.0
2017-08-09,2119,2135,2119,2137,22583,8695.0,4315000.0
2017-08-10,2130,2141,2119,2137,12547,8695.0,4315000.0
2017-08-11,2125,2147,2125,2148,19749,8738.0,4315000.0
2017-08-14,2130,2141,2125,2126,21875,8652.0,4315000.0
2017-08-16,2125,2147,2125,2142,3164,8716.0,4315000.0
2017-08-17,2147,2147,2142,2142,18675,8716.0,4315000.0
2017-08-18,2147,2147,2131,2142,7230,8716.0,4315000.0
2017-08-21,2147,2147,2131,2148,529,8738.0,4315000.0
2017-08-22,2130,2146,2124,2137,6851,8695.0,4315000.0
