신한제4호스팩(277480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-10-20,2000,2000,1985,1995,487406,11990.0,6010000.0
2017-10-23,1995,1995,1985,1995,98952,11990.0,6010000.0
2017-10-24,1995,1995,1985,1990,54222,11960.0,6010000.0
2017-10-25,2000,2000,1990,2000,21531,12020.0,6010000.0
2017-10-26,2000,2000,1990,1995,33538,11990.0,6010000.0
2017-10-27,2000,2000,1995,1995,2275,11990.0,6010000.0
2017-10-30,1995,2000,1995,1995,39501,11990.0,6010000.0
2017-10-31,1995,1995,1995,1995,3893,11990.0,6010000.0
2017-11-01,2000,2000,1990,1995,5585,11990.0,6010000.0
2017-11-02,1995,2000,1990,2000,35360,12020.0,6010000.0
2017-11-03,1995,2000,1990,1995,28816,11990.0,6010000.0
2017-11-06,1995,1995,1990,1990,9816,11960.0,6010000.0
2017-11-07,1990,1995,1990,1995,4274,11990.0,6010000.0
2017-11-08,1990,1995,1990,1995,1258,11990.0,6010000.0
2017-11-09,1990,2000,1990,1990,9092,11960.0,6010000.0
2017-11-10,1990,1995,1985,1990,14743,11960.0,6010000.0
2017-11-13,1995,2000,1995,2000,40541,12020.0,6010000.0
2017-11-14,1995,2000,1995,1995,20317,11990.0,6010000.0
2017-11-15,2000,2000,1990,1995,6550,11990.0,6010000.0
2017-11-16,1995,1995,1990,1995,22294,11990.0,6010000.0
2017-11-17,1990,1995,1990,1995,1256,11990.0,6010000.0
2017-11-20,1985,1990,1985,1990,10035,11960.0,6010000.0
2017-11-21,1985,1990,1975,1990,17931,11960.0,6010000.0
2017-11-22,1985,1990,1980,1990,6083,11960.0,6010000.0
2017-11-23,1990,1995,1990,1995,28710,11990.0,6010000.0
2017-11-24,1995,1995,1985,1990,8616,11960.0,6010000.0
2017-11-27,1990,1990,1990,1990,16904,11960.0,6010000.0
2017-11-28,1985,1990,1985,1990,6368,11960.0,6010000.0
2017-11-29,1990,1990,1975,1990,33367,11960.0,6010000.0
2017-11-30,1980,1980,1950,1965,92669,11810.0,6010000.0
2017-12-01,1975,1980,1970,1980,9163,11900.0,6010000.0
2017-12-04,1980,1985,1970,1985,2043,11930.0,6010000.0
2017-12-05,1980,1985,1965,1985,12845,11930.0,6010000.0
2017-12-06,1980,1985,1980,1985,13708,11930.0,6010000.0
2017-12-07,1980,1990,1965,1985,12724,11930.0,6010000.0
2017-12-08,1970,1980,1970,1970,21045,11840.0,6010000.0
2017-12-11,1985,1985,1970,1985,1847,11930.0,6010000.0
2017-12-12,1980,1990,1980,1990,14460,11960.0,6010000.0
2017-12-13,1975,1995,1975,1990,14394,11960.0,6010000.0
2017-12-14,1990,1990,1980,1990,10531,11960.0,6010000.0
2017-12-15,1990,1990,1980,1990,9060,11960.0,6010000.0
2017-12-18,1965,1990,1965,1990,1002,11960.0,6010000.0
2017-12-19,1990,1990,1990,1990,4705,11960.0,6010000.0
2017-12-20,1990,1990,1960,1990,9801,11960.0,6010000.0
2017-12-21,1965,1985,1965,1970,2139,11840.0,6010000.0
2017-12-22,1995,1995,1960,1970,7441,11840.0,6010000.0
2017-12-26,1985,1985,1985,1985,1,11930.0,6010000.0
2017-12-27,1985,1985,1985,1985,1007,11930.0,6010000.0
2017-12-28,1965,1985,1965,1985,1047,11930.0,6010000.0
2018-01-02,1960,1975,1960,1970,819,11840.0,6010000.0
2018-01-03,1985,1985,1985,1985,2101,11930.0,6010000.0
2018-01-04,1975,1980,1965,1975,2524,11870.0,6010000.0
2018-01-05,1975,1985,1975,1985,3414,11930.0,6010000.0
2018-01-08,1975,1990,1975,1985,1272,11930.0,6010000.0
2018-01-09,1985,1985,1970,1980,4756,11900.0,6010000.0
2018-01-10,1990,1990,1980,1990,3072,11960.0,6010000.0
2018-01-11,1980,1990,1980,1990,1648,11960.0,6010000.0
2018-01-12,1990,1990,1980,1990,1511,11960.0,6010000.0
2018-01-15,1970,1990,1970,1985,1232,11930.0,6010000.0
2018-01-16,1985,1990,1980,1990,7150,11960.0,6010000.0
2018-01-17,1985,1995,1985,1990,17755,11960.0,6010000.0
2018-01-18,1970,1990,1970,1985,11115,11930.0,6010000.0
2018-01-19,1990,2000,1985,1990,12965,11960.0,6010000.0
2018-01-22,1970,2000,1970,1995,5528,11990.0,6010000.0
2018-01-23,1995,1995,1970,1995,6296,11990.0,6010000.0
2018-01-24,2000,2000,1995,1995,6816,11990.0,6010000.0
2018-01-25,1970,1995,1970,1995,12826,11990.0,6010000.0
2018-01-26,1995,2005,1995,2005,13822,12050.0,6010000.0
2018-01-29,2000,2000,1980,2000,16515,12020.0,6010000.0
2018-01-30,2000,2000,1995,1995,8405,11990.0,6010000.0
2018-01-31,2000,2000,1995,2000,3130,12020.0,6010000.0
2018-02-01,2000,2000,1990,2000,5085,12020.0,6010000.0
2018-02-02,2000,2000,2000,2000,2110,12020.0,6010000.0
2018-02-05,1990,2000,1990,1990,16504,11960.0,6010000.0
2018-02-06,1980,1995,1980,1995,8,11990.0,6010000.0
2018-02-07,1995,1995,1995,1995,9261,11990.0,6010000.0
2018-02-08,1995,1995,1990,1995,102,11990.0,6010000.0
2018-02-09,1995,1995,1995,1995,2302,11990.0,6010000.0
2018-02-12,1995,2000,1995,1995,15224,11990.0,6010000.0
2018-02-13,1995,2000,1995,2000,10082,12020.0,6010000.0
2018-02-14,2000,2000,1995,1995,4122,11990.0,6010000.0
2018-02-19,1990,2000,1985,1995,13013,11990.0,6010000.0
2018-02-20,1995,1995,1985,1990,9998,11960.0,6010000.0
2018-02-21,2000,2000,1990,1990,2004,11960.0,6010000.0
2018-02-22,1995,1995,1995,1995,5775,11990.0,6010000.0
2018-02-23,1995,2010,1990,1990,26806,11960.0,6010000.0
2018-02-26,1990,1990,1990,1990,2,11960.0,6010000.0
2018-02-27,2000,2000,1995,1995,134,11990.0,6010000.0
2018-02-28,1995,2000,1995,1995,637,11990.0,6010000.0
2018-03-02,1990,2000,1990,2000,1970,12020.0,6010000.0
2018-03-05,2000,2000,1995,1995,5365,11990.0,6010000.0
2018-03-06,2000,2000,1995,2000,7020,12020.0,6010000.0
2018-03-07,2000,2000,1995,2000,2265,12020.0,6010000.0
2018-03-08,1995,2000,1995,1995,5292,11990.0,6010000.0
2018-03-09,2000,2000,2000,2000,11651,12020.0,6010000.0
2018-03-12,2000,2005,1995,2000,12274,12020.0,6010000.0
2018-03-13,1995,2000,1995,2000,7200,12020.0,6010000.0
2018-03-14,1995,2000,1995,2000,269,12020.0,6010000.0
2018-03-15,2000,2000,1990,1995,1589,11990.0,6010000.0
2018-03-16,1995,2400,1995,2060,1096512,12381.0,6010000.0
2018-03-19,2050,2080,2015,2055,212826,12351.0,6010000.0
2018-03-20,2030,2055,2005,2015,136318,12110.0,6010000.0
2018-03-21,2025,2025,2000,2000,81401,12020.0,6010000.0
2018-03-22,2025,2025,2000,2000,33179,12020.0,6010000.0
2018-03-23,2000,2010,1990,2000,74489,12020.0,6010000.0
2018-03-26,2000,2015,1990,2010,8745,12080.0,6010000.0
2018-03-27,2005,2035,2000,2000,12879,12020.0,6010000.0
2018-03-28,2020,2020,2000,2000,31365,12020.0,6010000.0
2018-03-29,2020,2020,1995,2005,6846,12050.0,6010000.0
2018-03-30,2010,2010,2000,2000,11889,12020.0,6010000.0
2018-04-02,1995,2010,1995,2000,8783,12020.0,6010000.0
2018-04-03,2000,2025,1995,2000,19162,12020.0,6010000.0
2018-04-04,2030,2030,2000,2010,3149,12080.0,6010000.0
2018-04-05,2010,2010,1995,2005,3767,12050.0,6010000.0
2018-04-06,1995,2010,1995,2010,3612,12080.0,6010000.0
