동부스팩5호(281740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-12,2010,2010,1940,1955,413455,9462.0,4840000.0
2017-12-13,1955,1965,1950,1965,18235,9511.0,4840000.0
2017-12-14,1960,1975,1950,1950,78868,9438.0,4840000.0
2017-12-15,1955,1960,1945,1950,126491,9438.0,4840000.0
2017-12-18,1950,1960,1945,1955,56198,9462.0,4840000.0
2017-12-19,1945,1955,1945,1950,34257,9438.0,4840000.0
2017-12-20,1950,1950,1945,1950,42843,9438.0,4840000.0
2017-12-21,1950,1950,1945,1950,44165,9438.0,4840000.0
2017-12-22,1950,1950,1945,1950,20491,9438.0,4840000.0
2017-12-26,1945,1955,1945,1950,22453,9438.0,4840000.0
2017-12-27,1950,1955,1945,1950,30492,9438.0,4840000.0
2017-12-28,1945,1950,1945,1950,3603,9438.0,4840000.0
2018-01-02,1950,1950,1945,1945,2721,9414.0,4840000.0
2018-01-03,1950,1950,1945,1950,13968,9438.0,4840000.0
2018-01-04,1960,1960,1945,1945,234100,9414.0,4840000.0
2018-01-05,1950,1950,1945,1950,41391,9438.0,4840000.0
2018-01-08,1965,1965,1950,1955,55185,9462.0,4840000.0
2018-01-09,1955,1960,1940,1945,52284,9414.0,4840000.0
2018-01-10,1960,1965,1955,1960,13980,9486.0,4840000.0
2018-01-11,1960,1965,1960,1965,7686,9511.0,4840000.0
2018-01-12,1965,1975,1965,1970,3494,9535.0,4840000.0
2018-01-15,1955,1975,1955,1975,8496,9559.0,4840000.0
2018-01-16,1975,1975,1960,1960,1538,9486.0,4840000.0
2018-01-17,1960,1975,1960,1965,5567,9511.0,4840000.0
2018-01-18,1955,1965,1955,1965,7637,9511.0,4840000.0
2018-01-19,1960,1975,1960,1975,10356,9559.0,4840000.0
2018-01-22,1960,1990,1960,1980,13446,9583.0,4840000.0
2018-01-23,1975,1975,1965,1975,10384,9559.0,4840000.0
2018-01-24,1985,1985,1980,1980,16966,9583.0,4840000.0
2018-01-25,1975,1985,1975,1985,3202,9607.0,4840000.0
2018-01-26,1970,1985,1970,1985,1764,9607.0,4840000.0
2018-01-29,1980,1990,1980,1990,20860,9632.0,4840000.0
2018-01-30,1985,1995,1985,1995,15800,9656.0,4840000.0
2018-01-31,1995,1995,1975,1990,14012,9632.0,4840000.0
2018-02-01,1990,1995,1990,1995,4112,9656.0,4840000.0
2018-02-02,1975,1995,1975,1990,10963,9632.0,4840000.0
2018-02-05,1970,1990,1970,1990,12401,9632.0,4840000.0
2018-02-06,1975,1995,1975,1990,6821,9632.0,4840000.0
2018-02-07,1970,1995,1970,1995,3002,9656.0,4840000.0
2018-02-08,1985,1990,1985,1985,3000,9607.0,4840000.0
2018-02-09,1990,1990,1985,1990,361,9632.0,4840000.0
2018-02-12,1980,1995,1975,1995,10051,9656.0,4840000.0
2018-02-13,1980,1990,1975,1990,10033,9632.0,4840000.0
2018-02-14,1990,1995,1980,1980,54,9583.0,4840000.0
2018-02-19,1980,1995,1980,1995,6475,9656.0,4840000.0
2018-02-20,1990,1995,1990,1990,15437,9632.0,4840000.0
2018-02-21,1975,1985,1975,1985,34,9607.0,4840000.0
2018-02-22,1990,1995,1985,1985,5287,9607.0,4840000.0
2018-02-23,1985,1990,1985,1990,22,9632.0,4840000.0
2018-02-26,1995,1995,1975,1980,4886,9583.0,4840000.0
2018-02-27,1990,1990,1985,1985,6,9607.0,4840000.0
2018-02-28,1985,1985,1980,1985,762,9607.0,4840000.0
2018-03-02,1985,1995,1985,1995,804,9656.0,4840000.0
2018-03-05,1995,2000,1995,1995,13357,9656.0,4840000.0
2018-03-06,2000,2000,1995,1995,13366,9656.0,4840000.0
2018-03-07,1995,2000,1995,1995,6097,9656.0,4840000.0
2018-03-08,1995,2000,1995,2000,9566,9680.0,4840000.0
2018-03-09,1995,1995,1995,1995,50,9656.0,4840000.0
2018-03-12,1995,2000,1970,1970,5372,9535.0,4840000.0
2018-03-13,1975,2000,1975,1985,1106,9607.0,4840000.0
2018-03-14,1980,1995,1980,1985,8463,9607.0,4840000.0
2018-03-15,1985,1990,1985,1990,200,9632.0,4840000.0
2018-03-16,1990,1995,1990,1995,1248,9656.0,4840000.0
2018-03-19,1995,2000,1995,1995,12023,9656.0,4840000.0
2018-03-20,1995,1995,1995,1995,100,9656.0,4840000.0
2018-03-21,1995,2000,1990,1990,1079,9632.0,4840000.0
2018-03-22,1990,2000,1990,2000,173,9680.0,4840000.0
2018-03-23,2000,2000,1995,1995,3855,9656.0,4840000.0
2018-03-26,1995,1995,1995,1995,2538,9656.0,4840000.0
2018-03-27,2000,2000,1995,2000,2014,9680.0,4840000.0
2018-03-28,1990,2000,1990,1995,1220,9656.0,4840000.0
2018-03-29,1995,1995,1995,1995,2011,9656.0,4840000.0
2018-03-30,1995,1995,1995,1995,0,9656.0,4840000.0
2018-04-02,1990,2005,1980,2005,7655,9704.0,4840000.0
2018-04-03,1985,1995,1985,1995,3899,9656.0,4840000.0
2018-04-04,1985,1995,1985,1995,2847,9656.0,4840000.0
2018-04-05,1995,2000,1995,2000,1289,9680.0,4840000.0
2018-04-06,1990,2000,1990,1995,5557,9656.0,4840000.0
2018-04-09,1995,2000,1995,2000,3327,9680.0,4840000.0
2018-04-10,1990,2000,1985,2000,3584,9680.0,4840000.0
2018-04-11,2000,2000,1990,2000,2899,9680.0,4840000.0
2018-04-12,1985,2000,1985,1990,1058,9632.0,4840000.0
2018-04-13,1990,2005,1990,2000,5821,9680.0,4840000.0
2018-04-16,1985,1995,1985,1990,1433,9632.0,4840000.0
2018-04-17,1990,2000,1985,1985,11900,9607.0,4840000.0
2018-04-18,1995,1995,1985,1995,3726,9656.0,4840000.0
2018-04-19,1995,1995,1995,1995,1105,9656.0,4840000.0
2018-04-20,1990,1990,1990,1990,529,9632.0,4840000.0
2018-04-23,1990,1990,1985,1990,11123,9632.0,4840000.0
2018-04-24,1990,1995,1990,1995,3000,9656.0,4840000.0
2018-04-25,1995,1995,1990,1995,1618,9656.0,4840000.0
2018-04-26,1995,1995,1985,1990,707,9632.0,4840000.0
2018-04-27,1990,2000,1990,1990,708,9632.0,4840000.0
2018-04-30,1985,1990,1985,1990,1102,9632.0,4840000.0
2018-05-02,1990,2000,1990,2000,1452,9680.0,4840000.0
2018-05-03,2000,2000,1990,1995,2744,9656.0,4840000.0
2018-05-04,1985,1985,1985,1985,663,9607.0,4840000.0
2018-05-08,1990,2000,1990,2000,18786,9680.0,4840000.0
2018-05-09,2000,2000,1995,2000,700,9680.0,4840000.0
2018-05-10,1985,1990,1985,1990,1087,9632.0,4840000.0
2018-05-11,1990,2000,1990,2000,5721,9680.0,4840000.0
2018-05-14,1990,2000,1990,1990,11012,9632.0,4840000.0
2018-05-15,1990,1990,1990,1990,2465,9632.0,4840000.0
2018-05-16,1995,1995,1995,1995,938,9656.0,4840000.0
2018-05-17,1985,1990,1985,1990,4052,9632.0,4840000.0
2018-05-18,1995,1995,1990,1990,4272,9632.0,4840000.0
2018-05-21,1995,2000,1990,1990,8070,9632.0,4840000.0
2018-05-23,1995,2000,1995,1995,10593,9656.0,4840000.0
2018-05-24,2000,2000,2000,2000,5005,9680.0,4840000.0
2018-05-25,2000,2390,2000,2010,784202,9728.0,4840000.0
2018-05-28,2040,2055,2010,2015,98236,9753.0,4840000.0
2018-05-29,2030,2070,2010,2025,66884,9801.0,4840000.0
2018-05-30,2040,2155,2025,2075,308047,10043.0,4840000.0
2018-05-31,2075,2075,2030,2065,61249,9995.0,4840000.0
2018-06-01,2065,2070,2040,2060,42733,9970.0,4840000.0
2018-06-04,2060,2085,2055,2070,40317,10019.0,4840000.0
2018-06-05,2065,2080,2040,2050,19448,9922.0,4840000.0
2018-06-07,2050,2060,2045,2050,13521,9922.0,4840000.0
2018-06-08,2045,2080,2045,2045,4624,9898.0,4840000.0
2018-06-11,2065,2065,2020,2045,59528,9898.0,4840000.0
2018-06-12,2035,2040,2025,2025,27613,9801.0,4840000.0
2018-06-14,2025,2035,2020,2020,28786,9777.0,4840000.0
2018-06-15,2020,2025,2015,2025,17338,9801.0,4840000.0
2018-06-18,2045,2045,2025,2025,203,9801.0,4840000.0
2018-06-19,2020,2030,2020,2030,1838,9825.0,4840000.0
2018-06-20,2040,2040,2015,2040,22840,9874.0,4840000.0
2018-06-21,2020,2030,2020,2030,3609,9825.0,4840000.0
2018-06-22,2020,2030,2020,2030,2231,9825.0,4840000.0
2018-06-25,2040,2040,2020,2025,8798,9801.0,4840000.0
2018-06-26,2020,2045,2020,2045,9023,9898.0,4840000.0
2018-06-27,2045,2045,2020,2020,828,9777.0,4840000.0
2018-06-28,2025,2030,2015,2025,25003,9801.0,4840000.0
2018-06-29,2025,2025,2025,2025,1527,9801.0,4840000.0
2018-07-02,2025,2030,2025,2025,7902,9801.0,4840000.0
2018-07-03,2030,2050,2020,2030,30748,9825.0,4840000.0
2018-07-04,2040,2040,2025,2030,14363,9825.0,4840000.0
2018-07-05,2025,2035,2020,2035,13334,9849.0,4840000.0
2018-07-06,2035,2035,2025,2030,12629,9825.0,4840000.0
2018-07-09,2030,2030,2025,2025,5803,9801.0,4840000.0
2018-07-10,2030,2050,2025,2030,17217,9825.0,4840000.0
2018-07-11,2025,2040,2025,2040,2715,9874.0,4840000.0
2018-07-12,2040,2050,2040,2040,20909,9874.0,4840000.0
2018-07-13,2030,2060,2030,2050,4979,9922.0,4840000.0
2018-07-16,2035,2035,2030,2030,1303,9825.0,4840000.0
2018-07-17,2035,2035,2035,2035,1592,9849.0,4840000.0
2018-07-18,2035,2040,2035,2040,3248,9874.0,4840000.0
2018-07-19,2040,2040,2035,2035,4753,9849.0,4840000.0
2018-07-20,2035,2035,2030,2035,11492,9849.0,4840000.0
2018-07-23,2035,2040,2035,2040,5041,9874.0,4840000.0
2018-07-24,2035,2040,2025,2035,8022,9849.0,4840000.0
2018-07-25,2030,2050,2030,2035,1525,9849.0,4840000.0
2018-07-26,2035,2035,2035,2035,400,9849.0,4840000.0
2018-07-27,2035,2035,2030,2030,16338,9825.0,4840000.0
2018-07-30,2030,2030,2030,2030,1470,9825.0,4840000.0
2018-07-31,2030,2030,2030,2030,10,9825.0,4840000.0
2018-08-01,2030,2045,2030,2040,170,9874.0,4840000.0
2018-08-02,2040,2040,2040,2040,0,9874.0,4840000.0
2018-08-03,2040,2040,2020,2030,174266,9825.0,4840000.0
2018-08-06,2035,2040,2030,2040,1278,9874.0,4840000.0
2018-08-07,2030,2030,2020,2020,35486,9777.0,4840000.0
2018-08-08,2040,2040,2040,2040,1,9874.0,4840000.0
2018-08-09,2030,2030,2025,2025,1625,9801.0,4840000.0
2018-08-10,2030,2030,2010,2010,62148,9728.0,4840000.0
2018-08-13,2035,2035,2025,2025,8988,9801.0,4840000.0
2018-08-14,2025,2035,2020,2035,6908,9849.0,4840000.0
2018-08-16,2025,2025,2025,2025,500,9801.0,4840000.0
2018-08-17,2025,2050,2025,2050,73987,9922.0,4840000.0
2018-08-20,2050,2070,2040,2070,14010,10019.0,4840000.0
2018-08-21,2070,2070,2055,2065,6701,9995.0,4840000.0
2018-08-22,2040,2045,2040,2040,7124,9874.0,4840000.0
2018-08-23,2040,2040,2040,2040,4845,9874.0,4840000.0
2018-08-24,2035,2060,2030,2060,8010,9970.0,4840000.0
2018-08-27,2060,2060,2040,2040,701,9874.0,4840000.0
2018-08-28,2040,2060,2040,2060,19341,9970.0,4840000.0
2018-08-29,2035,2035,2035,2035,100,9849.0,4840000.0
2018-08-30,2040,2065,2040,2065,6718,9995.0,4840000.0
2018-08-31,2060,2060,2050,2060,998,9970.0,4840000.0
2018-09-03,2060,2265,2060,2065,122005,9995.0,4840000.0
2018-09-04,2065,2120,2055,2055,32572,9946.0,4840000.0
2018-09-05,2065,2085,2065,2075,7676,10043.0,4840000.0
2018-09-06,2080,2080,2050,2060,23267,9970.0,4840000.0
2018-09-07,2060,2070,2050,2050,9516,9922.0,4840000.0
2018-09-10,2070,2070,2035,2045,50179,9898.0,4840000.0
2018-09-11,2045,2060,2035,2055,12021,9946.0,4840000.0
2018-09-12,2060,2060,2040,2055,4814,9946.0,4840000.0
2018-09-13,2055,2060,2040,2050,6985,9922.0,4840000.0
2018-09-14,2060,2060,2040,2055,8406,9946.0,4840000.0
2018-09-17,2045,2055,2045,2055,2118,9946.0,4840000.0
