에스퓨얼셀(288620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-15,33000,41000,33000,33750,4132966,193871.0,5744316.0
2018-10-16,32800,32850,27600,28950,981428,166298.0,5744316.0
2018-10-17,29200,30250,25150,28600,785516,164287.0,5744316.0
2018-10-18,28250,28750,27000,27300,296238,156820.0,5744316.0
2018-10-19,26500,29100,26050,27450,634859,157681.0,5744316.0
2018-10-22,28750,30200,27450,27450,616798,157681.0,5744316.0
2018-10-23,27600,27600,25200,25300,221557,145331.0,5744316.0
2018-10-24,25650,25900,23100,23750,273033,136428.0,5744316.0
2018-10-25,23050,24850,22700,23800,215560,136715.0,5744316.0
2018-10-26,24200,24350,20450,22500,366092,129247.0,5744316.0
2018-10-29,22500,23100,20650,21500,143956,123503.0,5744316.0
2018-10-30,20750,21850,20250,21000,117682,120631.0,5744316.0
2018-10-31,21400,24050,20900,23350,357663,134130.0,5744316.0
2018-11-01,24000,24250,22400,22450,129073,128960.0,5744316.0
2018-11-02,22850,24600,22650,23850,188037,137002.0,5744316.0
2018-11-05,23800,23900,23000,23350,46909,134130.0,5744316.0
2018-11-06,23900,24900,23650,24700,138195,141885.0,5744316.0
2018-11-07,24750,26350,24350,26250,159302,150788.0,5744316.0
2018-11-08,26500,27350,25900,25950,104552,149065.0,5744316.0
2018-11-09,25600,27200,25400,26700,124730,153373.0,5744316.0
2018-11-12,26150,26450,23500,24000,159993,137864.0,5744316.0
2018-11-13,23300,24400,22150,24100,95064,138438.0,5744316.0
2018-11-14,23950,25200,23500,24000,57636,137864.0,5744316.0
2018-11-15,22700,23850,22150,23700,246972,136140.0,5744316.0
2018-11-16,23400,24050,23150,23200,60647,133268.0,5744316.0
2018-11-19,23450,23650,22800,23050,54448,132406.0,5744316.0
2018-11-20,22700,23100,21450,21450,71524,123216.0,5744316.0
2018-11-21,21100,25900,20700,22000,482916,126375.0,5744316.0
2018-11-22,21750,21950,21000,21000,112955,120631.0,5744316.0
2018-11-23,21000,21500,20500,20850,55187,119769.0,5744316.0
2018-11-26,20650,21150,20500,20800,46358,119482.0,5744316.0
2018-11-27,21250,22450,20850,21800,129986,125226.0,5744316.0
2018-11-28,21750,22200,21200,21200,62045,121779.0,5744316.0
2018-11-29,21550,21850,20800,20800,47573,119482.0,5744316.0
2018-11-30,20950,21100,20750,20900,21549,120056.0,5744316.0
2018-12-03,21250,21650,21100,21550,28716,123790.0,5744316.0
2018-12-04,21350,22100,21200,21550,36568,123790.0,5744316.0
2018-12-05,21000,21450,20750,20800,50512,119482.0,5744316.0
2018-12-06,20700,21100,19400,19400,52981,111440.0,5744316.0
2018-12-07,19700,20050,19250,19500,30077,112014.0,5744316.0
2018-12-10,19400,21400,19350,20250,127078,116322.0,5744316.0
2018-12-11,20000,21300,19150,20600,110018,118333.0,5744316.0
2018-12-12,21150,24000,21150,22000,498131,126375.0,5744316.0
2018-12-13,21700,21950,21000,21000,89916,120631.0,5744316.0
2018-12-14,20700,20850,19800,19900,99113,114312.0,5744316.0
2018-12-17,19800,21300,19500,21150,112899,121492.0,5744316.0
2018-12-18,22450,27450,22450,27450,1761575,157681.0,5744316.0
2018-12-19,31200,34150,28200,30150,1878844,173191.0,5744316.0
2018-12-20,30100,32200,29550,31650,609853,181808.0,5744316.0
2018-12-21,31100,32050,30150,32000,308879,183818.0,5744316.0
2018-12-24,31200,32300,27500,27600,409797,158543.0,5744316.0
2018-12-26,27100,29450,26700,28400,374005,163139.0,5744316.0
2018-12-27,29000,29250,27500,28700,200242,164862.0,5744316.0
2018-12-28,28600,31000,28450,30700,343242,176351.0,5744316.0
2019-01-02,31450,32400,29900,30700,454452,176351.0,5744316.0
2019-01-03,31200,34600,31000,32100,765108,184393.0,5744316.0
2019-01-04,32500,33850,31000,33700,302062,193583.0,5744316.0
2019-01-07,34400,35500,32800,33550,496543,192722.0,5744316.0
2019-01-08,33250,33450,31300,32100,340013,184393.0,5744316.0
2019-01-09,32100,32600,31200,31200,165719,179223.0,5744316.0
2019-01-10,31300,32350,30000,30000,265673,172329.0,5744316.0
2019-01-11,31000,31300,29750,30100,146675,172904.0,5744316.0
2019-01-14,30050,32800,29750,32150,276249,184680.0,5744316.0
2019-01-15,30650,31350,30450,30850,430657,177212.0,5744316.0
2019-01-16,31000,32500,30800,31900,379395,183244.0,5744316.0
2019-01-17,32300,39250,30900,39250,1773782,225464.0,5744316.0
2019-01-18,38800,43500,36850,39250,1481797,225464.0,5744316.0
2019-01-21,40000,43950,38600,40600,791461,233219.0,5744316.0
2019-01-22,39750,40000,36400,36550,512908,209955.0,5744316.0
2019-01-23,36300,37500,35550,36600,276215,210242.0,5744316.0
2019-01-24,36600,37650,35750,36550,224237,209955.0,5744316.0
2019-01-25,36050,38750,35800,36700,501114,210816.0,5744316.0
2019-01-28,37550,37700,36300,36300,154646,208519.0,5744316.0
2019-01-29,36550,38850,36250,37100,477666,213114.0,5744316.0
2019-01-30,37450,37450,35100,35300,215388,202774.0,5744316.0
2019-01-31,35500,35850,32850,32850,243883,188701.0,5744316.0
2019-02-01,32850,33550,31450,33300,298356,191286.0,5744316.0
2019-02-07,33200,33650,32200,32250,168203,185254.0,5744316.0
2019-02-08,32550,33150,32150,32200,133969,184967.0,5744316.0
2019-02-11,32200,32350,30250,30350,335583,174340.0,5744316.0
2019-02-12,31050,31100,29800,29950,197654,172042.0,5744316.0
2019-02-13,30150,30650,29500,29850,119496,171468.0,5744316.0
2019-02-14,30000,30350,28850,29050,141527,166872.0,5744316.0
2019-02-15,28900,29400,28350,29150,121571,167447.0,5744316.0
2019-02-18,29400,30450,29350,30150,124438,173191.0,5744316.0
2019-02-19,30200,31200,29550,30000,197759,172329.0,5744316.0
2019-02-20,29950,30350,29650,29700,70297,170606.0,5744316.0
2019-02-21,29800,30150,29300,29400,68656,168883.0,5744316.0
2019-02-22,29300,29750,28200,28200,89969,161990.0,5744316.0
2019-02-25,28200,29900,28100,29550,114317,169745.0,5744316.0
2019-02-26,29700,30300,29000,29800,79903,171181.0,5744316.0
2019-02-27,29800,30550,29500,30100,78906,172904.0,5744316.0
2019-02-28,30200,30500,27250,28050,98137,161128.0,5744316.0
2019-03-04,28500,29300,28300,28700,66035,164862.0,5744316.0
2019-03-05,28300,29900,28300,29900,59013,171755.0,5744316.0
2019-03-06,30150,31350,30050,31100,165748,178648.0,5744316.0
2019-03-07,31400,31550,30100,30200,87239,173478.0,5744316.0
2019-03-08,29850,30600,29000,29000,86860,166585.0,5744316.0
2019-03-11,29600,29600,27500,28050,76475,161128.0,5744316.0
2019-03-12,28650,28800,28000,28200,55159,161990.0,5744316.0
2019-03-13,28550,29500,28300,28500,141026,163713.0,5744316.0
2019-03-14,28900,29150,28600,28650,41477,164575.0,5744316.0
2019-03-15,28650,28750,26800,26900,123044,154522.0,5744316.0
2019-03-18,27000,27600,26550,26550,87830,152512.0,5744316.0
2019-03-19,26700,27300,26550,26800,57723,153948.0,5744316.0
2019-03-20,27500,28300,27300,27750,146344,159405.0,5744316.0
2019-03-21,28200,29150,27250,27250,133825,156533.0,5744316.0
2019-03-22,27300,28000,26300,26400,82646,151650.0,5744316.0
2019-03-25,26050,27250,25150,25250,101670,145044.0,5744316.0
2019-03-26,26050,26350,25450,26050,50558,149639.0,5744316.0
2019-03-27,26200,26250,25150,25150,52583,144470.0,5744316.0
2019-03-28,25000,26050,24800,25200,65262,144757.0,5744316.0
2019-03-29,25050,25450,23200,24350,88940,139874.0,5744316.0
2019-04-01,24300,25200,23950,25100,46210,144182.0,5744316.0
2019-04-02,25450,25450,24800,25050,22647,143895.0,5744316.0
2019-04-03,25050,26100,24900,25500,41921,146480.0,5744316.0
2019-04-04,25600,25850,25100,25400,34773,145906.0,5744316.0
2019-04-05,25400,25750,25300,25500,30117,146480.0,5744316.0
2019-04-08,25300,25700,24650,24950,49350,143321.0,5744316.0
2019-04-09,24700,25050,24500,24650,36535,141597.0,5744316.0
2019-04-10,24650,25150,24350,25050,29092,143895.0,5744316.0
2019-04-11,25000,26000,25000,25700,70131,147629.0,5744316.0
2019-04-12,26300,26900,25950,26500,114704,152224.0,5744316.0
2019-04-15,26450,26600,25200,25200,125520,144757.0,5744316.0
2019-04-16,25100,25200,24000,24250,128622,139300.0,5744316.0
2019-04-17,24150,24650,23850,24250,45269,139300.0,5744316.0
2019-04-18,24250,24650,23850,24000,48141,137864.0,5744316.0
2019-04-19,24200,24900,23950,24550,60414,141023.0,5744316.0
2019-04-22,25100,27400,25100,25700,325541,147629.0,5744316.0
2019-04-23,25850,26000,25200,25700,65354,147629.0,5744316.0
2019-04-24,25700,26050,25150,25150,63087,144470.0,5744316.0
2019-04-25,24950,25150,24200,24250,77245,139300.0,5744316.0
2019-04-26,24150,24250,23000,23000,116878,132119.0,5744316.0
2019-04-29,23300,24650,23300,23700,170591,136140.0,5744316.0
2019-04-30,23550,23850,23250,23500,34743,134991.0,5744316.0
2019-05-02,23250,23850,23150,23600,39733,135566.0,5744316.0
2019-05-03,23500,23800,23200,23700,39327,136140.0,5744316.0
2019-05-07,23300,23350,22650,22750,61064,130683.0,5744316.0
2019-05-08,22200,23250,22200,22600,35533,129822.0,5744316.0
2019-05-09,22500,22550,20850,20900,104185,120056.0,5744316.0
2019-05-10,20600,21900,20400,21400,75121,122928.0,5744316.0
2019-05-13,21050,21600,20800,20800,33897,119482.0,5744316.0
2019-05-14,20150,21600,20100,20750,48700,119195.0,5744316.0
2019-05-15,20750,21650,20750,21200,36639,121779.0,5744316.0
2019-05-16,21700,21700,20650,20750,28291,119195.0,5744316.0
2019-05-17,20850,21250,20250,20450,28336,117471.0,5744316.0
2019-05-20,20200,20500,20000,20000,34113,114886.0,5744316.0
2019-05-21,19850,20300,19800,20100,34878,115461.0,5744316.0
2019-05-22,20150,20900,20000,20700,24306,118907.0,5744316.0
2019-05-23,20800,20950,19800,19850,53381,114025.0,5744316.0
2019-05-24,18950,19150,18450,18600,131436,106844.0,5744316.0
2019-05-27,18600,19000,17800,18700,55560,107419.0,5744316.0
2019-05-28,18600,19950,18600,19800,85867,113737.0,5744316.0
2019-05-29,19550,20300,18850,19950,56678,114599.0,5744316.0
2019-05-30,19750,20550,19650,19900,35274,114312.0,5744316.0
2019-05-31,19900,20300,19900,20000,22266,114886.0,5744316.0
2019-06-03,19800,20000,19500,19600,20156,112589.0,5744316.0
2019-06-04,19550,19800,19400,19800,24376,113737.0,5744316.0
