디케이티(290550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-21,12900,13100,9980,10550,6171158,72584.0,6879982.0
2018-12-24,10500,13700,10200,12650,7350637,87032.0,6879982.0
2018-12-26,12450,13050,11250,11250,2054651,77400.0,6879982.0
2018-12-27,11500,11600,10650,10850,1252283,74648.0,6879982.0
2018-12-28,11500,14100,11500,14100,6319360,97008.0,6879982.0
2019-01-02,14750,18000,14100,16950,6558099,116616.0,6879982.0
2019-01-03,17200,18000,15150,15650,2654310,107672.0,6879982.0
2019-01-04,15450,15900,14750,15800,1682116,108704.0,6879982.0
2019-01-07,15750,15900,14850,14850,756590,102168.0,6879982.0
2019-01-08,15250,17400,15100,15550,4258125,106984.0,6879982.0
2019-01-09,16600,17250,15750,16100,2014519,110768.0,6879982.0
2019-01-10,15950,16250,14850,14850,991285,102168.0,6879982.0
2019-01-11,14850,15050,13950,14300,741525,98384.0,6879982.0
2019-01-14,13850,14100,13150,13350,473852,91848.0,6879982.0
2019-01-15,13300,13800,13150,13450,496369,92536.0,6879982.0
2019-01-16,13900,14050,12600,12800,723176,88064.0,6879982.0
2019-01-17,12850,13200,12450,12950,369100,89096.0,6879982.0
2019-01-18,12900,12900,12050,12300,472483,101245.0,8231333.0
2019-01-21,12100,12600,12000,12250,281291,100834.0,8231333.0
2019-01-22,12300,13450,12150,12600,619354,103715.0,8231333.0
2019-01-23,12650,12900,12250,12250,252831,100834.0,8231333.0
2019-01-24,12650,12950,12400,12950,464646,106596.0,8231333.0
2019-01-25,13900,14650,13050,13150,1324699,108242.0,8231333.0
2019-01-28,13150,13300,12850,13300,194988,109477.0,8231333.0
2019-01-29,13200,13300,12900,13300,662167,109477.0,8231333.0
2019-01-30,14050,14150,13200,13200,518083,108654.0,8231333.0
2019-01-31,13050,13300,12850,13300,195765,109477.0,8231333.0
2019-02-01,13250,13650,13150,13350,181309,109888.0,8231333.0
2019-02-07,13350,14400,13350,14400,721086,118531.0,8231333.0
2019-02-08,14300,14400,13900,14150,244428,116473.0,8231333.0
2019-02-11,14100,14100,13300,13450,602834,110711.0,8231333.0
2019-02-12,13650,13800,13300,13800,644399,113592.0,8231333.0
2019-02-13,13950,13950,13450,13500,298487,111123.0,8231333.0
2019-02-14,13300,14150,13300,14000,438013,115239.0,8231333.0
2019-02-15,14000,14050,13550,13900,174253,114416.0,8231333.0
2019-02-18,13800,13950,13700,13800,170881,113592.0,8231333.0
2019-02-19,13750,13900,13350,13550,213569,111535.0,8231333.0
2019-02-20,13650,13950,13400,13750,331569,113181.0,8231333.0
2019-02-21,13500,13600,12550,12550,449577,103303.0,8231333.0
2019-02-22,12450,12700,12350,12500,128587,102892.0,8231333.0
2019-02-25,12550,12750,12400,12550,75424,103303.0,8231333.0
2019-02-26,12600,12650,12050,12100,159363,99599.0,8231333.0
2019-02-27,12250,12250,11800,12000,143855,98776.0,8231333.0
2019-02-28,12050,12100,11100,11350,112253,93426.0,8231333.0
2019-03-04,11400,11850,11400,11700,61081,96307.0,8231333.0
2019-03-05,11700,11800,11450,11700,91201,96307.0,8231333.0
2019-03-06,11700,11800,11500,11650,54615,95895.0,8231333.0
2019-03-07,11650,11650,11300,11400,86958,93837.0,8231333.0
2019-03-08,11500,11700,11200,11300,84417,93014.0,8231333.0
2019-03-11,11350,11350,11050,11250,58501,92602.0,8231333.0
2019-03-12,11350,11500,11250,11450,63258,94249.0,8231333.0
2019-03-13,11500,11500,11150,11450,75658,94249.0,8231333.0
2019-03-14,11500,12150,11350,12100,274944,99599.0,8231333.0
2019-03-15,12200,12200,11750,11900,192335,97953.0,8231333.0
2019-03-18,11900,12750,11800,12750,332922,104949.0,8231333.0
2019-03-19,13000,13000,12550,12750,182905,104949.0,8231333.0
2019-03-20,12700,12750,12150,12450,154461,102480.0,8231333.0
2019-03-21,12300,12650,12200,12250,119517,100834.0,8231333.0
2019-03-22,12350,12600,12050,12350,86959,101657.0,8231333.0
2019-03-25,11850,12150,11750,11750,77508,96718.0,8231333.0
2019-03-26,11650,11750,11350,11450,85902,94249.0,8231333.0
2019-03-27,11450,11500,11000,11050,115252,90956.0,8231333.0
2019-03-28,11000,11100,10600,10800,118319,88898.0,8231333.0
2019-03-29,10800,10850,10500,10850,56989,89310.0,8231333.0
2019-04-01,10800,11000,10750,10900,57423,89722.0,8231333.0
2019-04-02,11200,11200,10800,10900,49891,89722.0,8231333.0
2019-04-03,10900,11150,10750,11100,52872,91368.0,8231333.0
2019-04-04,11150,11550,11050,11300,75067,93014.0,8231333.0
2019-04-05,11300,11550,11200,11300,83825,93014.0,8231333.0
2019-04-08,11300,11400,11100,11250,79818,92602.0,8231333.0
2019-04-09,11300,12300,11300,12150,495732,100011.0,8231333.0
2019-04-10,12250,12400,12050,12350,255995,101657.0,8231333.0
2019-04-11,12400,12550,12100,12400,95755,102069.0,8231333.0
2019-04-12,12400,12400,12100,12250,72345,100834.0,8231333.0
2019-04-15,12450,12600,12050,12300,111201,101245.0,8231333.0
2019-04-16,12300,12300,11800,12050,73626,99188.0,8231333.0
2019-04-17,12200,12250,12000,12050,90857,99188.0,8231333.0
2019-04-18,12300,13200,12150,12600,683253,103715.0,8231333.0
2019-04-19,12750,13550,12600,13150,584040,108242.0,8231333.0
2019-04-22,13400,13550,12400,12500,341123,102892.0,8231333.0
2019-04-23,12500,12550,11850,12100,226402,99599.0,8231333.0
2019-04-24,12050,12300,11800,12050,109732,99188.0,8231333.0
2019-04-25,12100,12300,11900,11950,120805,98364.0,8231333.0
2019-04-26,11850,11850,11150,11250,163841,92602.0,8231333.0
2019-04-29,11250,12250,11200,11950,198775,98364.0,8231333.0
2019-04-30,12000,12350,11750,12250,131119,100834.0,8231333.0
2019-05-02,12150,12450,12000,12200,86171,100422.0,8231333.0
2019-05-03,12300,12650,12050,12550,132288,103303.0,8231333.0
2019-05-07,12200,12650,11850,12550,95647,103303.0,8231333.0
2019-05-08,12250,12400,12050,12050,77434,99188.0,8231333.0
2019-05-09,12100,12200,10650,10750,233560,88487.0,8231333.0
2019-05-10,10800,11050,10600,10800,83940,88898.0,8231333.0
2019-05-13,11000,11150,10550,10650,55209,87664.0,8231333.0
2019-05-14,10300,10650,10050,10550,77004,86841.0,8231333.0
2019-05-15,10550,11150,10500,10750,98344,88487.0,8231333.0
2019-05-16,11000,11450,10500,10850,203749,89310.0,8231333.0
2019-05-17,10800,11400,10600,10850,91852,89310.0,8231333.0
2019-05-20,10900,11050,10750,10850,63622,89310.0,8231333.0
2019-05-21,10800,10900,10400,10550,52934,86841.0,8231333.0
2019-05-22,10850,10850,10500,10650,32587,87664.0,8231333.0
2019-05-23,10600,10700,10300,10350,72005,85194.0,8231333.0
2019-05-24,10250,10600,10250,10350,28070,85194.0,8231333.0
2019-05-27,10300,10800,10300,10600,42672,87252.0,8231333.0
2019-05-28,10650,10750,10550,10600,40625,87252.0,8231333.0
2019-05-29,10550,10600,10350,10600,41537,87252.0,8231333.0
2019-05-30,10600,10950,10450,10800,77372,88898.0,8231333.0
2019-05-31,10750,10800,10450,10550,51402,86841.0,8231333.0
2019-06-03,10350,10500,10300,10450,40876,86017.0,8231333.0
2019-06-04,10400,10700,10350,10550,27367,86841.0,8231333.0
2019-06-05,10700,10900,10550,10750,63299,88487.0,8231333.0
2019-06-07,10800,10950,10700,10950,61517,90133.0,8231333.0
2019-06-10,11100,11200,10900,11200,90604,92191.0,8231333.0
2019-06-11,11250,11350,11050,11150,77261,91779.0,8231333.0
2019-06-12,11150,11200,10800,10900,40697,89722.0,8231333.0
2019-06-13,10800,11050,10750,11050,34310,90956.0,8231333.0
2019-06-14,11100,11100,10550,10700,77623,88075.0,8231333.0
2019-06-17,10650,10750,10450,10500,42789,86429.0,8231333.0
2019-06-18,10500,10800,10350,10650,62896,87664.0,8231333.0
2019-06-19,10800,11000,10700,11000,68252,90545.0,8231333.0
2019-06-20,11050,11100,10900,11000,48521,90545.0,8231333.0
2019-06-21,11100,11100,10550,10800,64625,88898.0,8231333.0
2019-06-24,10800,10900,10550,10700,35593,88075.0,8231333.0
2019-06-25,10700,10750,10500,10700,49850,88075.0,8231333.0
2019-06-26,10650,10900,10500,10700,46555,88075.0,8231333.0
2019-06-27,10800,11000,10450,10550,66190,86841.0,8231333.0
2019-06-28,10650,10650,9900,9990,146761,82231.0,8231333.0
2019-07-01,10050,10200,9980,10000,47248,82313.0,8231333.0
2019-07-02,9950,10000,9690,9750,42001,80255.0,8231333.0
2019-07-03,9760,9940,9600,9680,22954,79679.0,8231333.0
2019-07-04,9710,9710,9500,9650,20559,79432.0,8231333.0
2019-07-05,9550,9690,9220,9360,33024,77045.0,8231333.0
2019-07-08,9240,9330,7850,7920,392923,65192.0,8231333.0
2019-07-09,7850,8010,7620,7650,96228,62970.0,8231333.0
2019-07-10,7620,8090,7620,7950,88262,65439.0,8231333.0
2019-07-11,7910,8340,7900,8340,69745,68649.0,8231333.0
2019-07-12,8260,8340,8100,8330,37584,68567.0,8231333.0
2019-07-15,8240,8320,8070,8170,28393,67250.0,8231333.0
2019-07-16,8150,8470,8070,8370,26240,68896.0,8231333.0
2019-07-17,8370,8370,7860,8060,42176,66345.0,8231333.0
2019-07-18,7950,8170,7920,8150,13550,67085.0,8231333.0
2019-07-19,8120,9430,8120,8860,289106,72930.0,8231333.0
2019-07-22,9100,9490,9050,9210,144897,75811.0,8231333.0
2019-07-23,9210,9600,9210,9350,59028,76963.0,8231333.0
2019-07-24,9350,9500,8960,9070,40104,74658.0,8231333.0
2019-07-25,8910,9200,8840,8950,24590,73670.0,8231333.0
2019-07-26,9060,9060,8490,8870,29705,73012.0,8231333.0
2019-07-29,8870,8870,8120,8160,43612,67168.0,8231333.0
2019-07-30,8100,8500,8100,8390,38359,69061.0,8231333.0
2019-07-31,8260,8600,8070,8460,57724,69637.0,8231333.0
2019-08-01,8440,8540,8220,8460,21656,69637.0,8231333.0
2019-08-02,8300,8350,7900,8320,45309,68485.0,8231333.0
2019-08-05,8190,8280,7380,7390,59783,60830.0,8231333.0
2019-08-06,6800,7490,6730,6740,88098,55479.0,8231333.0
2019-08-07,6610,7090,6610,6940,58605,57125.0,8231333.0
2019-08-08,7000,7410,7000,7410,29925,60994.0,8231333.0
2019-08-09,7510,7530,7310,7510,22964,61817.0,8231333.0
2019-08-12,7360,7630,7300,7630,28578,62805.0,8231333.0
2019-08-13,7620,7660,7450,7600,18203,62558.0,8231333.0
2019-08-14,7680,8300,7680,8080,53617,66509.0,8231333.0
2019-08-16,8000,8090,7700,7930,28478,65274.0,8231333.0
2019-08-19,7930,8050,7860,7900,17143,65028.0,8231333.0
2019-08-20,7830,8120,7830,8120,26280,66838.0,8231333.0
2019-08-21,8020,8250,8020,8180,15895,67332.0,8231333.0
2019-08-22,8220,8220,7960,7960,19336,65521.0,8231333.0
2019-08-23,7800,7950,7620,7860,34816,64698.0,8231333.0
2019-08-26,7510,7620,7170,7220,62597,59430.0,8231333.0
2019-08-27,7240,7690,7180,7210,30122,59348.0,8231333.0
2019-08-28,7120,7380,7100,7380,24867,60747.0,8231333.0
2019-08-29,7410,7410,7240,7290,14525,60006.0,8231333.0
2019-08-30,7330,7780,7330,7690,28357,63299.0,8231333.0
2019-09-02,7710,7900,7710,7870,19419,64781.0,8231333.0
2019-09-03,7850,7990,7790,7880,16660,64863.0,8231333.0
2019-09-04,7880,8180,7800,8150,41098,67085.0,8231333.0
2019-09-05,8200,8500,8140,8200,39295,67497.0,8231333.0
2019-09-06,8490,10650,8300,10650,1057423,87664.0,8231333.0
2019-09-09,11200,11250,9900,9960,1365263,81984.0,8231333.0
2019-09-10,9850,10400,9740,10150,724052,83548.0,8231333.0
2019-09-11,10100,10350,9840,10200,307175,83960.0,8231333.0
2019-09-16,10450,10750,9980,9980,485614,82149.0,8231333.0
2019-09-17,9800,9860,9530,9600,233427,79021.0,8231333.0
2019-09-18,9600,9840,9540,9660,112527,79515.0,8231333.0
2019-09-19,9820,10450,9770,9890,291692,81408.0,8231333.0
2019-09-20,10050,10450,9910,10000,259601,82313.0,8231333.0
2019-09-23,9990,10250,9920,10000,94524,82313.0,8231333.0
2019-09-24,9900,10250,9900,10250,126723,84371.0,8231333.0
2019-09-25,10300,10550,10050,10450,248251,86017.0,8231333.0
2019-09-26,10550,10650,10200,10500,226715,86429.0,8231333.0
2019-09-27,10500,10500,10200,10250,78322,84371.0,8231333.0
2019-09-30,10150,10250,9610,10050,66110,82725.0,8231333.0
2019-10-01,9990,10100,9930,10100,43116,83136.0,8231333.0
2019-10-02,9970,10250,9900,9950,45192,81902.0,8231333.0
2019-10-04,9900,10050,9820,9820,32135,80832.0,8231333.0
2019-10-07,9820,9860,9370,9370,81817,,
