푸드나무(290720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-04,43350,51800,31500,34000,3239970,231405.0,6806034.0
2018-10-05,33250,35450,30150,32500,659997,221196.0,6806034.0
2018-10-08,32800,32800,30100,30400,208847,206903.0,6806034.0
2018-10-10,30000,33300,29900,30800,461115,209626.0,6806034.0
2018-10-11,29100,29750,25400,28000,347845,190569.0,6806034.0
2018-10-12,27500,28600,27200,27800,146983,189208.0,6806034.0
2018-10-15,27600,28550,26600,27050,95549,184103.0,6806034.0
2018-10-16,27500,29400,26600,27400,251265,186485.0,6806034.0
2018-10-17,27900,29900,27500,28050,325543,190909.0,6806034.0
2018-10-18,28700,29700,27200,27250,163671,185464.0,6806034.0
2018-10-19,27250,27700,26100,26650,96506,181381.0,6806034.0
2018-10-22,26400,26700,25550,25650,71498,174575.0,6806034.0
2018-10-23,26600,26750,24150,24500,100253,166748.0,6806034.0
2018-10-24,24900,25750,24650,25150,129720,171172.0,6806034.0
2018-10-25,24100,24450,22950,23600,118125,160622.0,6806034.0
2018-10-26,24000,24150,20650,23000,101980,156539.0,6806034.0
2018-10-29,22700,24100,21500,22700,71982,154497.0,6806034.0
2018-10-30,22500,23800,21950,22700,51080,154497.0,6806034.0
2018-10-31,22900,24150,22550,24150,47743,164366.0,6806034.0
2018-11-01,24750,24900,23500,23500,65144,159942.0,6806034.0
2018-11-02,23800,24650,23500,24250,45297,165046.0,6806034.0
2018-11-05,24200,24350,23400,23400,36373,159261.0,6806034.0
2018-11-06,23850,24200,23000,23700,40313,161303.0,6806034.0
2018-11-07,23650,24150,22800,23000,31007,156539.0,6806034.0
2018-11-08,23500,26700,23150,25700,222905,174915.0,6806034.0
2018-11-09,25850,28500,25250,26700,287093,181721.0,6806034.0
2018-11-12,27000,27850,25200,25550,96029,173894.0,6806034.0
2018-11-13,24600,26750,24050,26350,70838,179339.0,6806034.0
2018-11-14,25950,26650,25500,25500,21770,173554.0,6806034.0
2018-11-15,25050,25550,24650,25400,31001,172873.0,6806034.0
2018-11-16,25500,25500,24450,24550,26479,167088.0,6806034.0
2018-11-19,24750,24750,23500,23650,38647,160963.0,6806034.0
2018-11-20,23500,23500,23000,23000,22926,156539.0,6806034.0
2018-11-21,22900,23300,21900,22150,42671,150754.0,6806034.0
2018-11-22,21900,22400,21700,21950,34834,149392.0,6806034.0
2018-11-23,21750,21900,20400,20650,54487,140545.0,6806034.0
2018-11-26,20100,21600,20050,21300,41802,144969.0,6806034.0
2018-11-27,22400,27500,22050,24950,796037,169811.0,6806034.0
2018-11-28,25150,27750,23350,23700,533667,161303.0,6806034.0
2018-11-29,23950,24050,23000,23000,88498,156539.0,6806034.0
2018-11-30,23000,23250,21850,22350,77039,152115.0,6806034.0
2018-12-03,22950,23500,22500,23300,64056,158581.0,6806034.0
2018-12-04,23300,23300,22300,22600,36393,153816.0,6806034.0
2018-12-05,22050,22850,21800,22300,43169,151775.0,6806034.0
2018-12-06,22300,22300,21050,21050,34025,143267.0,6806034.0
2018-12-07,21400,21550,21100,21250,17183,144628.0,6806034.0
2018-12-10,20750,21500,20150,20450,21727,139183.0,6806034.0
2018-12-11,20800,20800,19850,19850,24682,135100.0,6806034.0
2018-12-12,19850,20150,19500,19750,29863,134419.0,6806034.0
2018-12-13,19950,20650,19250,19550,58332,133058.0,6806034.0
2018-12-14,19700,19900,19150,19400,36149,132037.0,6806034.0
2018-12-17,19300,19600,18800,19000,21752,129315.0,6806034.0
2018-12-18,18700,19550,18500,19250,18339,131016.0,6806034.0
2018-12-19,19150,20100,19000,19450,23550,132377.0,6806034.0
2018-12-20,19550,22300,19550,20450,186572,139183.0,6806034.0
2018-12-21,20300,20800,19800,20450,74453,139183.0,6806034.0
2018-12-24,20250,20950,20050,20350,30514,138503.0,6806034.0
2018-12-26,19900,20150,18950,19300,41158,131356.0,6806034.0
2018-12-27,19500,20150,19100,20050,30172,136461.0,6806034.0
2018-12-28,19800,20250,19200,20200,35449,137482.0,6806034.0
2019-01-02,20550,20900,20050,20050,25512,136461.0,6806034.0
2019-01-03,20150,21400,20150,20300,71345,138162.0,6806034.0
2019-01-04,19700,20650,19550,19900,59065,135440.0,6806034.0
2019-01-07,20100,21400,19900,20850,77243,141906.0,6806034.0
2019-01-08,21500,21650,20600,20600,51971,140204.0,6806034.0
2019-01-09,20750,21300,20550,20800,35235,141566.0,6806034.0
2019-01-10,21100,21100,20600,20900,19474,142246.0,6806034.0
2019-01-11,21300,21450,20750,20900,35519,142246.0,6806034.0
2019-01-14,21000,21650,20250,21400,56034,145649.0,6806034.0
2019-01-15,21500,23300,21500,22400,127884,152455.0,6806034.0
2019-01-16,22250,23750,22150,23150,84298,157560.0,6806034.0
2019-01-17,23200,23600,22550,22600,51026,153816.0,6806034.0
2019-01-18,22850,23650,22450,23050,57293,156879.0,6806034.0
2019-01-21,23050,24700,22950,23950,91855,163005.0,6806034.0
2019-01-22,24350,24550,23900,24000,57999,163345.0,6806034.0
2019-01-23,23700,24500,23550,23700,55431,161303.0,6806034.0
2019-01-24,23600,24150,23400,24000,41755,163345.0,6806034.0
2019-01-25,24200,24600,24000,24000,86941,163345.0,6806034.0
2019-01-28,23900,24300,23600,23950,32330,163005.0,6806034.0
2019-01-29,24000,24200,23000,23500,33790,159942.0,6806034.0
2019-01-30,23500,24150,23000,23900,22830,162664.0,6806034.0
2019-01-31,24450,24450,23600,23900,21791,162664.0,6806034.0
2019-02-01,23900,24000,22700,23050,41436,156879.0,6806034.0
2019-02-07,23050,23400,22750,23150,22143,157560.0,6806034.0
2019-02-08,23000,23400,22550,22550,11465,153476.0,6806034.0
2019-02-11,22750,22950,22000,22750,14263,154837.0,6806034.0
2019-02-12,23100,23100,22200,22350,11231,152115.0,6806034.0
2019-02-13,22500,22700,22200,22350,9365,152115.0,6806034.0
2019-02-14,22350,22350,22000,22200,8535,151094.0,6806034.0
2019-02-15,21850,22300,21500,21650,16398,147351.0,6806034.0
2019-02-18,21800,22500,21750,22200,13401,151094.0,6806034.0
2019-02-19,22400,22400,21750,21800,16642,148372.0,6806034.0
2019-02-20,21950,24650,21700,23300,140633,158581.0,6806034.0
2019-02-21,23450,23800,23050,23700,35007,161303.0,6806034.0
2019-02-22,23700,24150,23000,24000,42384,163345.0,6806034.0
2019-02-25,24150,24150,23450,23950,25374,163005.0,6806034.0
2019-02-26,24300,24300,23400,23500,37824,159942.0,6806034.0
2019-02-27,23550,23900,22800,23050,27519,156879.0,6806034.0
2019-02-28,22850,23250,22300,22300,36287,151775.0,6806034.0
2019-03-04,23000,23450,21850,22000,73760,149733.0,6806034.0
2019-03-05,21950,22400,21250,21700,60629,147691.0,6806034.0
2019-03-06,22000,22800,21800,22500,37053,153136.0,6806034.0
2019-03-07,22500,22700,21950,22250,16792,151434.0,6806034.0
