신영스팩4호(307180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-21,2144,2150,2139,2145,405739,8732.0,4355000.0
2018-12-24,2139,2166,2139,2150,156786,8754.0,4355000.0
2018-12-26,2150,2150,2150,2150,88317,8754.0,4355000.0
2018-12-27,2150,2166,2150,2166,21620,8819.0,4355000.0
2018-12-28,2150,2155,2150,2150,4009,8754.0,4355000.0
2019-01-02,2155,2160,2150,2150,10487,8754.0,4355000.0
2019-01-03,2150,2155,2150,2150,3136,8754.0,4355000.0
2019-01-04,2155,2155,2150,2150,105,8754.0,4355000.0
2019-01-07,2150,2150,2150,2150,11235,8754.0,4355000.0
2019-01-08,2155,2160,2155,2156,19614,8775.0,4355000.0
2019-01-09,2155,2155,2155,2156,8,8775.0,4355000.0
2019-01-10,2155,2160,2150,2150,18623,8754.0,4355000.0
2019-01-11,2150,2155,2139,2150,113388,8754.0,4355000.0
2019-01-14,2150,2160,2150,2150,17091,8754.0,4355000.0
2019-01-15,2160,2160,2160,2161,36569,8797.0,4355000.0
2019-01-16,2155,2160,2155,2156,7256,8775.0,4355000.0
2019-01-17,2160,2160,2155,2156,10740,8775.0,4355000.0
2019-01-18,2160,2160,2160,2161,7050,8797.0,4355000.0
2019-01-21,2160,2160,2155,2161,13367,8797.0,4355000.0
2019-01-22,2160,2166,2160,2166,11251,8819.0,4355000.0
2019-01-23,2160,2160,2144,2161,85559,8797.0,4355000.0
2019-01-24,2160,2160,2155,2156,4972,8775.0,4355000.0
2019-01-25,2155,2155,2155,2156,88,8775.0,4355000.0
2019-01-28,2155,2155,2155,2156,20,8775.0,4355000.0
2019-01-29,2155,2155,2155,2156,0,8775.0,4355000.0
2019-01-30,2160,2171,2160,2172,30000,8841.0,4355000.0
2019-01-31,2171,2171,2160,2161,3511,8797.0,4355000.0
2019-02-01,2166,2166,2160,2166,7800,8819.0,4355000.0
2019-02-07,2171,2171,2171,2172,20,8841.0,4355000.0
2019-02-08,2160,2160,2160,2161,11,8797.0,4355000.0
2019-02-11,2160,2160,2160,2161,0,8797.0,4355000.0
2019-02-12,2160,2160,2160,2161,0,,
2019-02-13,2160,2160,2160,2161,0,,
2019-02-14,2160,2166,2160,2161,2913,8797.0,4355000.0
2019-02-15,2160,2160,2160,2161,10,8797.0,4355000.0
2019-02-18,2166,2166,2166,2166,1,8819.0,4355000.0
2019-02-19,2155,2160,2155,2161,2351,8797.0,4355000.0
2019-02-20,2160,2160,2160,2161,0,,
2019-02-21,2150,2155,2150,2156,11364,8775.0,4355000.0
2019-02-22,2155,2155,2155,2156,0,,
2019-02-25,2160,2160,2160,2161,0,8797.0,4355000.0
2019-02-26,2160,2160,2160,2161,1,8797.0,4355000.0
2019-02-27,2160,2160,2160,2161,5350,8797.0,4355000.0
2019-02-28,2160,2160,2155,2156,806,8775.0,4355000.0
2019-03-04,2160,2160,2160,2161,200,8797.0,4355000.0
2019-03-05,2160,2160,2160,2161,494,8797.0,4355000.0
2019-03-06,2160,2160,2160,2161,0,,
2019-03-07,2166,2166,2160,2161,3400,8797.0,4355000.0
2019-03-08,2160,2160,2155,2156,49071,8775.0,4355000.0
2019-03-11,2155,2166,2155,2166,62947,8819.0,4355000.0
2019-03-12,2166,2166,2155,2166,15449,8819.0,4355000.0
2019-03-13,2155,2160,2155,2161,10870,8797.0,4355000.0
2019-03-14,2160,2160,2160,2161,2909,8797.0,4355000.0
2019-03-15,2155,2166,2155,2161,3538,8797.0,4355000.0
2019-03-18,2166,2166,2166,2166,6000,8819.0,4355000.0
2019-03-19,2160,2166,2160,2166,1101,8819.0,4355000.0
2019-03-20,2171,2171,2171,2172,246,8841.0,4355000.0
2019-03-21,2171,2171,2171,2172,27214,8841.0,4355000.0
2019-03-22,2171,2171,2171,2172,0,8841.0,4355000.0
2019-03-25,2160,2160,2160,2161,494,8797.0,4355000.0
2019-03-26,2160,2171,2160,2172,5215,8841.0,4355000.0
2019-03-27,2166,2166,2166,2166,99,8819.0,4355000.0
2019-03-28,2166,2166,2166,2166,100,8819.0,4355000.0
2019-03-29,2160,2166,2160,2161,3338,8797.0,4355000.0
2019-04-01,2166,2171,2160,2166,3131,8819.0,4355000.0
2019-04-02,2166,2176,2166,2166,9768,8819.0,4355000.0
2019-04-03,2166,2171,2166,2172,6000,8841.0,4355000.0
2019-04-04,2182,2182,2182,2182,1652,8884.0,4355000.0
2019-04-05,2182,2193,2182,2182,6794,8884.0,4355000.0
2019-04-08,2176,2176,2176,2177,3554,8862.0,4355000.0
2019-04-09,2171,2193,2171,2188,15613,8906.0,4355000.0
2019-04-10,2193,2193,2187,2188,758,8906.0,4355000.0
2019-04-11,2193,2193,2171,2188,5447,8906.0,4355000.0
2019-04-12,2166,2193,2166,2193,11,8928.0,4355000.0
2019-04-15,2193,2193,2187,2188,6243,8906.0,4355000.0
2019-04-16,2187,2198,2187,2198,9525,8950.0,4355000.0
2019-04-17,2203,2235,2198,2198,13956,8950.0,4355000.0
2019-04-18,2166,2203,2166,2204,1934,8971.0,4355000.0
2019-04-19,2225,2225,2209,2214,70204,9015.0,4355000.0
2019-04-22,2235,2235,2214,2220,15318,9037.0,4355000.0
2019-04-23,2182,2230,2182,2230,20001,9080.0,4355000.0
2019-04-24,2230,2235,2230,2230,13165,9080.0,4355000.0
2019-04-25,2219,2225,2219,2220,73,9037.0,4355000.0
2019-04-26,2230,2230,2225,2225,7020,9058.0,4355000.0
2019-04-29,2225,2225,2225,2225,892,9058.0,4355000.0
2019-04-30,2230,2230,2225,2230,12496,9080.0,4355000.0
2019-05-02,2214,2230,2214,2220,2531,9037.0,4355000.0
2019-05-03,2230,2246,2230,2230,23593,9080.0,4355000.0
2019-05-07,2230,2230,2230,2230,1982,9080.0,4355000.0
2019-05-08,2235,2246,2230,2230,1604,9080.0,4355000.0
2019-05-09,2230,2235,2230,2230,7397,9080.0,4355000.0
2019-05-10,2230,2246,2230,2230,4742,9080.0,4355000.0
