네오크레마(311390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-22,9530,10650,8330,8370,7993833,60733.0,7256000.0
2019-08-23,8630,9800,8420,8670,6769981,62910.0,7256000.0
2019-08-26,8450,8840,7810,7820,948257,56742.0,7256000.0
2019-08-27,7940,8100,7150,7240,847391,52533.0,7256000.0
2019-08-28,7260,7430,6920,7180,656979,52098.0,7256000.0
2019-08-29,7380,7560,7120,7230,655361,52461.0,7256000.0
2019-08-30,7240,7410,7150,7320,461101,53114.0,7256000.0
2019-09-02,7160,7220,7030,7080,275469,51372.0,7256000.0
2019-09-03,7080,7470,7010,7270,536624,52751.0,7256000.0
2019-09-04,7290,7770,7290,7350,879910,53332.0,7256000.0
2019-09-05,7440,7510,7250,7250,290422,52606.0,7256000.0
2019-09-06,7260,7330,7040,7050,182105,51155.0,7256000.0
2019-09-09,7050,7160,7020,7070,122727,51300.0,7256000.0
2019-09-10,7140,7920,7140,7420,1669970,53840.0,7256000.0
2019-09-11,7450,7750,7380,7500,367242,54420.0,7256000.0
2019-09-16,7590,7760,7470,7470,312802,54202.0,7256000.0
2019-09-17,7460,8100,7410,7830,1156940,56814.0,7256000.0
2019-09-18,7810,7950,7630,7640,283299,55436.0,7256000.0
2019-09-19,7710,7730,7490,7490,150523,54347.0,7256000.0
2019-09-20,7490,7690,7420,7510,196198,54493.0,7256000.0
2019-09-23,7620,7620,7450,7450,82782,54057.0,7256000.0
2019-09-24,7530,7660,7300,7430,106999,53912.0,7256000.0
2019-09-25,7420,7440,7070,7070,162620,51300.0,7256000.0
2019-09-26,7150,7190,6780,6900,132499,50066.0,7256000.0
2019-09-27,6960,7020,6710,6720,127028,48760.0,7256000.0
2019-09-30,6760,7350,6710,6930,320644,50284.0,7256000.0
2019-10-01,7080,7080,6760,6790,95338,49268.0,7256000.0
2019-10-02,6800,7030,6720,6790,93573,49268.0,7256000.0
2019-10-04,6760,6860,6650,6650,78470,48252.0,7256000.0
2019-10-07,6660,6770,6460,6500,75778,,
