유안타제4호스팩(313750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-21,2005,2010,1995,2000,721066,9300.0,4650000.0
2019-03-22,2000,2005,1995,2000,99591,9300.0,4650000.0
2019-03-25,2000,2005,2000,2000,5330,9300.0,4650000.0
2019-03-26,2000,2005,1995,2000,151189,9300.0,4650000.0
2019-03-27,2000,2005,2000,2005,11544,9323.0,4650000.0
2019-03-28,2000,2005,2000,2005,1179,9323.0,4650000.0
2019-03-29,2000,2010,2000,2010,5266,9346.0,4650000.0
2019-04-01,2000,2010,2000,2010,14623,9346.0,4650000.0
2019-04-02,2005,2010,2005,2010,2039,9346.0,4650000.0
2019-04-03,2010,2010,2005,2010,2846,9346.0,4650000.0
2019-04-04,2005,2010,2005,2010,4717,9346.0,4650000.0
2019-04-05,2010,2010,2005,2010,5629,9346.0,4650000.0
2019-04-08,2010,2010,2005,2010,4843,9346.0,4650000.0
2019-04-09,2005,2010,2005,2010,1164,9346.0,4650000.0
2019-04-10,2010,2010,2005,2010,7417,9346.0,4650000.0
2019-04-11,2010,2010,2005,2010,2779,9346.0,4650000.0
2019-04-12,2010,2015,2005,2015,59616,9370.0,4650000.0
2019-04-15,2010,2015,2010,2015,10356,9370.0,4650000.0
2019-04-16,2010,2015,2010,2015,263,9370.0,4650000.0
2019-04-17,2010,2015,2010,2010,8932,9346.0,4650000.0
2019-04-18,2015,2015,2010,2015,14452,9370.0,4650000.0
2019-04-19,2015,2020,2010,2020,120822,9393.0,4650000.0
2019-04-22,2020,2020,2010,2010,14357,9346.0,4650000.0
2019-04-23,2020,2020,2010,2010,23723,9346.0,4650000.0
2019-04-24,2015,2015,2015,2015,3566,9370.0,4650000.0
2019-04-25,2020,2020,2015,2015,1568,9370.0,4650000.0
2019-04-26,2015,2020,2010,2015,44625,9370.0,4650000.0
2019-04-29,2020,2020,2015,2020,35092,9393.0,4650000.0
2019-04-30,2020,2025,2020,2025,10667,9416.0,4650000.0
2019-05-02,2025,2025,2015,2015,23041,9370.0,4650000.0
2019-05-03,2020,2030,2015,2025,37962,9416.0,4650000.0
2019-05-07,2035,2035,2020,2030,8180,9440.0,4650000.0
2019-05-08,2035,2035,2025,2030,14861,9440.0,4650000.0
2019-05-09,2035,2035,2030,2035,29643,9463.0,4650000.0
2019-05-10,2035,2040,2035,2040,22441,9486.0,4650000.0
2019-05-13,2045,2160,2040,2075,265391,9649.0,4650000.0
2019-05-14,2080,2130,2040,2055,406546,9556.0,4650000.0
2019-05-15,2055,2070,2040,2060,46397,9579.0,4650000.0
2019-05-16,2080,2080,2050,2065,37205,9602.0,4650000.0
2019-05-17,2060,2065,2055,2060,9039,9579.0,4650000.0
2019-05-20,2060,2070,2050,2055,3972,9556.0,4650000.0
2019-05-21,2055,2060,2050,2055,16457,9556.0,4650000.0
