라닉스(317120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-18,7100,9230,7030,8090,18824792,76333.0,9435500.0
2019-09-19,7880,10100,7870,9330,18216116,88033.0,9435500.0
2019-09-20,9400,10300,9040,9040,6244628,85297.0,9435500.0
2019-09-23,9290,9870,8670,8800,2871519,83032.0,9435500.0
2019-09-24,8670,9190,8460,8600,2200647,81145.0,9435500.0
2019-09-25,9280,10800,8900,9970,12873115,94072.0,9435500.0
2019-09-26,10000,10350,9130,9310,2827274,87845.0,9435500.0
2019-09-27,9320,10150,9220,9750,5160062,91996.0,9435500.0
2019-09-30,9600,9820,8800,8800,1628455,83032.0,9435500.0
2019-10-01,8790,9080,8140,8520,1766490,80390.0,9435500.0
2019-10-02,9400,10100,8730,9130,8696791,86146.0,9435500.0
2019-10-04,9010,9790,8850,9490,3190786,89543.0,9435500.0
2019-10-07,9410,9570,8970,9120,1475590,,
