슈프리마아이디(317770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-01,34750,38150,27800,28000,3652194,83791.0,2992520.0
2019-08-02,27950,30450,26100,27300,436059,81696.0,2992520.0
2019-08-05,26600,27300,20900,21000,398308,62843.0,2992520.0
2019-08-06,19600,22000,18150,19000,330281,56858.0,2992520.0
2019-08-07,20000,24700,20000,22250,860921,66584.0,2992520.0
2019-08-08,22050,23600,21650,22400,193032,67032.0,2992520.0
2019-08-09,22900,23400,22200,22350,94444,66883.0,2992520.0
2019-08-12,22350,25900,22300,23100,302876,69127.0,2992520.0
2019-08-13,22950,25100,22500,23700,151246,70923.0,2992520.0
2019-08-14,24150,24500,23250,23250,58226,69576.0,2992520.0
2019-08-16,22400,22550,20200,20300,180733,60748.0,2992520.0
2019-08-19,20600,20800,17950,18150,156509,54314.0,2992520.0
2019-08-20,18650,19050,18100,18900,103645,56559.0,2992520.0
2019-08-21,19100,20550,19100,19700,122104,58953.0,2992520.0
2019-08-22,19850,20150,19500,19600,49067,58653.0,2992520.0
2019-08-23,19450,19850,19100,19150,67228,57307.0,2992520.0
2019-08-26,18500,18950,18150,18350,35655,54913.0,2992520.0
2019-08-27,18850,18950,18150,18250,27201,54613.0,2992520.0
2019-08-28,18350,19150,18250,18900,33248,56559.0,2992520.0
2019-08-29,18900,22450,18700,19950,352978,59701.0,2992520.0
2019-08-30,20100,20600,19750,20000,64998,59850.0,2992520.0
2019-09-02,19750,19800,19250,19450,74874,58205.0,2992520.0
2019-09-03,19550,20550,19350,20000,118070,59850.0,2992520.0
2019-09-04,20100,20550,19950,20200,54666,60449.0,2992520.0
2019-09-05,20400,21100,20100,20300,66990,60748.0,2992520.0
2019-09-06,20400,20700,20250,20500,40812,61347.0,2992520.0
2019-09-09,20500,22900,20500,21600,309716,64638.0,2992520.0
2019-09-10,21650,23000,21400,22550,192332,67481.0,2992520.0
2019-09-11,22750,22850,22200,22450,56712,67182.0,2992520.0
2019-09-16,22550,22600,21700,21850,42492,65387.0,2992520.0
2019-09-17,21650,21850,21200,21400,45431,64040.0,2992520.0
2019-09-18,21900,21900,21300,21350,29036,63890.0,2992520.0
2019-09-19,21500,22100,21300,22050,38504,65985.0,2992520.0
2019-09-20,22050,22450,21800,22000,42108,65835.0,2992520.0
2019-09-23,22000,22200,21500,21650,28387,64788.0,2992520.0
2019-09-24,21550,21900,21350,21450,27429,64190.0,2992520.0
2019-09-25,21250,21550,20450,20500,41758,61347.0,2992520.0
2019-09-26,20550,20900,19850,19850,44421,59402.0,2992520.0
2019-09-27,19950,20050,19400,19600,38341,58653.0,2992520.0
2019-09-30,19450,20100,19200,20000,18618,59850.0,2992520.0
2019-10-01,19800,19950,19500,19850,29049,59402.0,2992520.0
2019-10-02,20500,21450,20100,20200,82729,60449.0,2992520.0
2019-10-04,20300,20600,19850,20250,24870,60599.0,2992520.0
2019-10-07,20250,20250,19600,19650,15141,58803.0,2992520.0
