피에스케이(319660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-10,19000,19750,17350,18850,1969430,278321.0,14765020.0
2019-05-13,18850,18850,17400,17450,445621,257650.0,14765020.0
2019-05-14,16750,18300,16300,18250,657762,269462.0,14765020.0
2019-05-15,18400,20100,18050,19500,679699,287918.0,14765020.0
2019-05-16,19500,19900,18300,18550,356526,273891.0,14765020.0
2019-05-17,18800,18800,16600,16750,862284,247314.0,14765020.0
2019-05-20,16650,16900,15000,15200,685661,224428.0,14765020.0
2019-05-21,15100,15900,15100,15100,381782,222952.0,14765020.0
2019-05-22,15300,15650,14900,14900,433584,219999.0,14765020.0
2019-05-23,14800,15150,14050,14850,410117,219261.0,14765020.0
2019-05-24,14550,15050,14150,14400,347539,212616.0,14765020.0
2019-05-27,14450,14550,13500,13800,481928,203757.0,14765020.0
2019-05-28,13850,15050,13850,14450,567797,213355.0,14765020.0
2019-05-29,14350,15050,13600,15000,611402,221475.0,14765020.0
2019-05-30,14750,16050,14650,15400,764993,227381.0,14765020.0
2019-05-31,15300,15550,14900,14900,229000,219999.0,14765020.0
2019-06-03,14800,14950,14300,14950,249193,220737.0,14765020.0
2019-06-04,14900,15050,14400,14500,210708,214093.0,14765020.0
2019-06-05,15000,16000,14850,15950,787922,235502.0,14765020.0
2019-06-07,16400,17200,16200,16700,815328,246576.0,14765020.0
2019-06-10,16600,17400,16400,17350,409530,256173.0,14765020.0
2019-06-11,17450,17950,16900,17250,328832,254697.0,14765020.0
2019-06-12,17300,17500,16500,17100,276228,252482.0,14765020.0
2019-06-13,17100,17700,16550,16850,222653,248791.0,14765020.0
2019-06-14,16700,16950,16000,16300,262810,240670.0,14765020.0
2019-06-17,16150,16700,16100,16300,100066,240670.0,14765020.0
2019-06-18,16400,17100,16400,16750,201024,247314.0,14765020.0
2019-06-19,17300,17450,16450,16550,282501,244361.0,14765020.0
2019-06-20,16700,16750,16250,16700,139226,246576.0,14765020.0
2019-06-21,16800,17050,16200,16350,186067,241408.0,14765020.0
2019-06-24,16450,16450,15650,15850,235722,234026.0,14765020.0
2019-06-25,15750,16250,15700,15900,103545,234764.0,14765020.0
