하나금융13호스팩(320000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-18,2040,2080,2040,2070,2417355,7040.0,3401000.0
2019-09-19,2070,2085,2070,2075,151319,7057.0,3401000.0
2019-09-20,2070,2085,2070,2070,113706,7040.0,3401000.0
2019-09-23,2070,2085,2070,2080,70509,7074.0,3401000.0
2019-09-24,2080,2085,2075,2075,27881,7057.0,3401000.0
2019-09-25,2075,2085,2075,2080,30329,7074.0,3401000.0
2019-09-26,2085,2085,2075,2085,36028,7091.0,3401000.0
2019-09-27,2080,2100,2075,2090,51244,7108.0,3401000.0
2019-09-30,2090,2100,2075,2095,80791,7125.0,3401000.0
2019-10-01,2095,2105,2085,2095,19152,7125.0,3401000.0
2019-10-02,2080,2100,2080,2090,12663,7108.0,3401000.0
2019-10-04,2085,2100,2085,2085,4896,7091.0,3401000.0
2019-10-07,2085,2095,2075,2090,90742,7108.0,3401000.0
