글로벌에스엠(900070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-23,2588,2976,2463,2548,20415430,,
2009-12-24,2588,2648,2256,2352,3728532,,
2009-12-28,2324,2435,2264,2352,1987712,,
2009-12-29,2341,2406,2303,2304,1124723,,
2009-12-30,2289,2344,2222,2304,1964120,,
2010-01-04,2312,2505,2312,2448,1208960,,
2010-01-05,2446,2484,2344,2444,632863,,
2010-01-06,2575,2771,2547,2587,2791741,,
2010-01-07,2624,2654,2481,2542,908522,,
2010-01-08,2539,2605,2490,2517,457868,,
2010-01-11,2516,2648,2516,2538,689434,,
2010-01-12,2550,2638,2526,2534,447190,,
2010-01-13,2519,2533,2400,2401,513096,,
2010-01-14,2400,2424,2330,2395,381710,,
2010-01-15,2400,2630,2400,2601,950921,,
2010-01-18,2648,2697,2564,2688,693792,,
2010-01-19,2722,2749,2627,2695,703142,,
2010-01-20,2756,2771,2638,2678,959298,,
2010-01-21,2654,2687,2575,2618,510445,,
2010-01-22,2588,2596,2427,2559,408041,,
2010-01-25,2498,2617,2432,2465,388770,,
2010-01-26,2526,2526,2268,2318,321952,,
2010-01-27,2324,2406,2275,2405,265568,,
2010-01-28,2427,2427,2330,2367,129828,,
2010-01-29,2312,2355,2268,2276,129101,,
2010-02-01,2330,2330,1961,2046,638989,,
2010-02-02,2061,2097,1998,2052,497858,,
2010-02-03,2078,2114,2043,2095,196583,,
2010-02-04,2078,2141,1981,2143,521611,,
2010-02-05,2092,2092,1995,2074,274774,,
2010-02-08,2086,2127,2043,2074,172838,,
2010-02-09,2072,2075,1988,2070,203079,,
2010-02-10,2110,2135,2055,2091,301559,,
2010-02-11,2092,2219,2092,2168,406102,,
2010-02-12,2198,2198,2135,2185,146199,,
2010-02-16,2184,2190,2149,2192,117507,,
2010-02-17,2208,2310,2184,2297,364258,,
2010-02-18,2310,2334,2268,2283,201550,,
2010-02-19,2281,2365,2271,2339,546997,,
2010-02-22,2341,2379,2324,2342,327862,,
2010-02-23,2361,2397,2281,2382,208193,,
2010-02-24,2379,2406,2261,2395,1537582,,
2010-02-25,2406,2459,2358,2399,331051,,
2010-02-26,2397,2397,2348,2388,81197,,
2010-03-02,2424,2449,2386,2432,215812,,
2010-03-03,2435,2449,2406,2423,131909,,
2010-03-04,2449,2449,2361,2423,123751,,
2010-03-05,2397,2418,2334,2356,246337,,
2010-03-08,2352,2361,2306,2364,236992,,
2010-03-09,2361,2421,2327,2416,117210,,
2010-03-10,2414,2435,2379,2419,80019,,
2010-03-11,2418,2455,2393,2419,264703,,
2010-03-12,2441,2512,2439,2511,276079,,
2010-03-15,2526,2526,2463,2499,169105,,
2010-03-16,2498,2508,2453,2472,156761,,
2010-03-17,2498,2505,2427,2468,181432,,
2010-03-18,2467,2495,2414,2458,194299,,
2010-03-19,2406,2467,2406,2444,80343,,
2010-03-22,2441,2441,2400,2423,82308,,
2010-03-23,2427,2463,2390,2465,174881,,
2010-03-24,2488,2488,2414,2462,112692,,
2010-03-25,2441,2467,2406,2437,158192,,
2010-03-26,2410,2446,2365,2440,128246,,
2010-03-29,2432,2459,2400,2437,109921,,
2010-03-30,2449,2588,2427,2513,404174,,
2010-03-31,2533,2571,2470,2517,455442,,
2010-04-01,2516,2544,2470,2527,104387,,
2010-04-02,2533,2544,2484,2486,115216,,
2010-04-05,2455,2484,2365,2444,167944,,
2010-04-06,2414,2455,2386,2423,69552,,
2010-04-07,2421,2441,2365,2391,154162,,
2010-04-08,2406,2406,2338,2399,115978,,
2010-04-09,2406,2435,2383,2431,54421,,
2010-04-12,2463,2484,2400,2475,164921,,
2010-04-13,2495,2516,2455,2475,158915,,
2010-04-14,2476,2498,2449,2496,45133,,
2010-04-15,2505,2519,2470,2506,37162,,
2010-04-16,2505,2505,2406,2444,103471,,
2010-04-19,2439,2441,2406,2409,55312,,
2010-04-20,2435,2439,2386,2423,52123,,
2010-04-21,2453,2453,2393,2440,115081,,
2010-04-22,2463,2463,2421,2450,51779,,
2010-04-23,2449,2453,2418,2432,118571,,
2010-04-26,2439,2449,2372,2437,69269,,
2010-04-27,2435,2441,2400,2437,70116,,
2010-04-28,2427,2427,2352,2401,50561,,
2010-04-29,2427,2427,2355,2370,27705,,
2010-04-30,2365,2441,2303,2444,156717,,
2010-05-03,2441,2441,2355,2409,82421,,
2010-05-04,2406,2418,2358,2409,17780,,
2010-05-06,2344,2406,2344,2391,30549,,
2010-05-07,2338,2375,2254,2370,58505,,
2010-05-10,2330,2446,2317,2426,83854,,
2010-05-11,2512,2512,2397,2419,145214,,
2010-05-12,2427,2427,2344,2374,94936,,
2010-05-13,2393,2393,2317,2335,95431,,
2010-05-14,2317,2352,2303,2321,64020,,
2010-05-17,2306,2344,2268,2307,31139,,
2010-05-18,2306,2306,2256,2304,48543,,
2010-05-19,2268,2358,2198,2335,39273,,
2010-05-20,2334,2352,2296,2333,51608,,
2010-05-24,2330,2330,2254,2290,163822,,
2010-05-25,2324,2324,2100,2192,45574,,
2010-05-26,2215,2317,2159,2227,43022,,
2010-05-27,2198,2275,2176,2227,13386,,
2010-05-28,2225,2355,2225,2307,60684,,
2010-05-31,2355,2355,2292,2325,24607,,
2010-06-01,2358,2358,2281,2325,41744,,
2010-06-03,2330,2358,2296,2321,88720,,
2010-06-04,2303,2334,2299,2318,35698,,
