에스앤씨엔진그룹(900080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-04,3862,4089,3285,3285,6955734,,
2009-12-07,2971,3221,2953,3108,13524047,,
2009-12-08,3135,3348,3089,3094,9018957,,
2009-12-09,3180,3339,3139,3262,8890687,,
2009-12-10,3235,3285,3067,3072,4386343,,
2009-12-11,3135,3230,3112,3190,3281316,,
2009-12-14,3194,3248,3144,3185,2199270,,
2009-12-15,3248,3662,3235,3662,8674431,,
2009-12-16,3816,3898,3480,3549,11176749,,
2009-12-17,3544,3675,3444,3453,4679594,,
2009-12-18,3471,3507,3348,3417,3261323,,
2009-12-21,3403,3571,3385,3453,3503226,,
2009-12-22,3516,3612,3407,3412,2603839,,
2009-12-23,3389,3439,3108,3149,3187409,,
2009-12-24,3171,3226,3126,3131,944338,,
2009-12-28,3135,3135,2926,2926,1579069,,
2009-12-29,2917,3117,2853,2976,1405910,,
2009-12-30,2976,3112,2976,3022,573154,,
2010-01-04,3058,3062,2976,2999,686778,,
2010-01-05,3021,3098,3003,3035,924684,,
2010-01-06,3062,3062,2962,2999,810634,,
2010-01-07,2998,3030,2953,2981,823570,,
2010-01-08,2994,3026,2908,2926,678955,,
2010-01-11,2921,3271,2903,3167,2959847,,
2010-01-12,3203,3248,3067,3217,1594762,,
2010-01-13,3248,3380,3244,3249,2570167,,
2010-01-14,3317,3416,3248,3403,1714053,,
2010-01-15,3448,3585,3407,3585,1565720,,
2010-01-18,3589,3644,3476,3553,1148203,,
2010-01-19,3576,3598,3380,3431,1247125,,
2010-01-20,3494,3553,3403,3417,1006191,,
2010-01-21,3367,3521,3276,3521,1049620,,
2010-01-22,3453,3671,3412,3440,1732434,,
2010-01-25,3407,3603,3339,3499,1358589,,
2010-01-26,3580,3716,3448,3521,2303085,,
2010-01-27,3589,3757,3544,3690,2383215,,
2010-01-28,3680,3721,3439,3526,1478516,,
2010-01-29,3535,3653,3367,3408,1607892,,
2010-02-01,3444,3457,3212,3249,1246924,,
2010-02-02,3294,3335,3153,3181,967353,,
2010-02-03,3226,3267,3157,3258,955405,,
2010-02-04,3267,3321,3198,3308,721887,,
2010-02-05,3144,3167,3080,3117,761311,,
2010-02-08,3139,3157,3026,3026,462301,,
2010-02-09,2998,3058,2930,3013,722216,,
2010-02-10,3048,3058,2944,2944,556070,,
2010-02-11,2944,3167,2944,3122,1063761,,
2010-02-12,3144,3212,3067,3149,766881,,
2010-02-16,3139,3194,3080,3194,351861,,
2010-02-17,3267,3289,3189,3217,696564,,
2010-02-18,3217,3239,3144,3163,469505,,
2010-02-19,3130,3157,2998,3013,611885,,
2010-02-22,3039,3103,3039,3085,314444,,
2010-02-23,3108,3135,3039,3126,360611,,
2010-02-24,3117,3144,3058,3126,363044,,
2010-02-25,3157,3257,3117,3158,918604,,
2010-02-26,3198,3253,3171,3203,614037,,
2010-03-02,3239,3244,3157,3199,323698,,
