크리스탈신소재(900250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-01-28,3639,3858,3125,3521,33796915,,
2016-01-29,3557,3708,3366,3367,11229110,,
2016-02-01,3430,3544,3248,3462,7777144,,
2016-02-02,3489,3553,3375,3476,4231707,,
2016-02-03,3421,3489,3243,3253,3287777,,
2016-02-04,3316,3321,3007,3039,3782179,,
2016-02-05,3011,3039,2875,2885,2321219,,
2016-02-11,2811,3066,2729,2866,2843438,,
2016-02-12,2875,2961,2547,2548,2049205,,
2016-02-15,2616,2684,2538,2580,1664207,,
2016-02-16,2611,2839,2611,2712,2529102,,
2016-02-17,2793,2861,2711,2721,1977681,,
2016-02-18,2757,2825,2725,2775,1038165,,
2016-02-19,2757,2757,2707,2725,900987,,
2016-02-22,2788,3021,2784,2916,3420171,,
2016-02-23,2948,2993,2825,2994,1320354,,
2016-02-24,3021,3048,2925,2980,965999,,
2016-02-25,2980,2989,2843,2853,828377,,
2016-02-26,2852,2952,2834,2853,641021,,
2016-02-29,2893,2893,2766,2766,625311,,
2016-03-02,2848,2848,2757,2771,640530,,
2016-03-03,2775,2889,2738,2889,847399,,
2016-03-04,2902,2980,2870,2912,894954,,
2016-03-07,2939,3066,2939,3067,1623583,,
2016-03-08,3089,3107,2993,3089,975871,,
2016-03-09,3066,3089,2993,3007,544158,,
2016-03-10,3002,3025,2934,2994,565515,,
2016-03-11,2939,2975,2907,2930,550778,,
2016-03-14,2952,3057,2920,3021,574325,,
2016-03-15,3089,3225,3034,3044,1792037,,
2016-03-16,3030,3075,2966,2998,648402,,
2016-03-17,3034,3112,3002,3076,823071,,
2016-03-18,3080,3112,3048,3062,444844,,
2016-03-21,3071,3257,3066,3139,2565197,,
2016-03-22,3166,3180,3084,3162,782873,,
2016-03-23,3162,3162,3066,3080,649751,,
2016-03-24,3080,3116,2934,2944,1313421,,
2016-03-25,2930,2957,2870,2916,592929,,
2016-03-28,2948,2980,2879,2889,506466,,
2016-03-29,2907,2939,2857,2871,664477,,
2016-03-30,2893,3039,2893,3039,1046273,,
2016-03-31,3075,3075,2925,2957,1070720,,
2016-04-01,2943,2970,2734,2830,1796441,,
2016-04-04,2816,2957,2775,2912,1174579,,
2016-04-05,2920,2984,2866,2976,675001,,
2016-04-06,2975,3002,2925,2980,482191,,
2016-04-07,2980,3039,2961,2971,568907,,
2016-04-08,2934,3080,2920,3021,734072,,
2016-04-11,3066,3102,3030,3071,840593,,
2016-04-12,3057,3116,3039,3089,716515,,
2016-04-14,3107,3180,3061,3112,842767,,
2016-04-15,3121,3125,3057,3117,534783,,
2016-04-18,3107,3107,3043,3044,445983,,
2016-04-19,3089,3125,2998,2998,570519,,
2016-04-20,3016,3048,2930,3035,566466,,
2016-04-21,3034,3093,2984,3094,415739,,
2016-04-22,3089,3221,3075,3203,1446494,,
2016-04-25,3203,3334,3175,3276,1714941,,
2016-04-26,3262,3325,3198,3226,1000247,,
2016-04-27,3234,3248,3152,3185,776230,,
2016-04-28,3184,3330,3121,3271,7747604,,
2016-04-29,3275,3403,3230,3317,2488733,,
2016-05-02,3321,3494,3284,3435,2314358,,
2016-05-03,3430,3498,3389,3458,1074972,,
2016-05-04,3448,3471,3334,3367,790337,,
2016-05-09,3366,3366,3280,3349,630764,,
2016-05-10,3330,3362,3221,3326,1240178,,
2016-05-11,3321,3371,3316,3330,354218,,
2016-05-12,3330,3371,3289,3340,610335,,
2016-05-13,3348,3394,3284,3317,552539,,
2016-05-16,3303,3348,3221,3312,655053,,
2016-05-17,3266,3312,3230,3230,479595,,
2016-05-18,3230,3257,3184,3212,452350,,
2016-05-19,3212,3444,3212,3308,1215457,,
2016-05-20,3321,3371,3230,3367,627821,,
2016-05-23,3371,3371,3262,3317,549877,,
2016-05-24,3321,3321,3184,3276,438806,,
2016-05-25,3243,3366,3221,3340,546566,,
2016-05-26,3325,3421,3312,3376,736873,,
2016-05-27,3357,3425,3348,3394,454678,,
2016-05-30,3394,3462,3375,3412,703702,,
2016-05-31,3535,3730,3430,3544,3674072,,
2016-06-01,3557,3821,3544,3731,3305494,,
2016-06-02,3730,4076,3685,3986,3097063,,
2016-06-03,4003,4408,3917,4277,3659751,,
2016-06-07,4299,4331,4140,4249,1259776,,
2016-06-08,4326,4404,4067,4067,1481123,,
2016-06-09,4044,4163,3894,3981,1424508,,
2016-06-10,3981,4172,3962,4049,1097249,,
2016-06-13,3994,3994,3849,3876,793614,,
2016-06-14,3903,3994,3858,3954,658314,,
2016-06-15,3958,4003,3876,3922,606499,,
2016-06-16,3981,4203,3958,3958,1697708,,
2016-06-17,3994,4126,3921,3958,759053,,
2016-06-20,4003,4035,3871,3926,580388,,
2016-06-21,3921,4049,3899,3995,573206,,
2016-06-22,3967,4085,3958,4022,676036,,
2016-06-23,3990,3994,3758,3922,635749,,
2016-06-24,3976,3981,3466,3663,1279981,,
2016-06-27,3530,3817,3530,3794,728293,,
2016-06-28,3744,3949,3735,3908,693140,,
2016-06-29,3930,3930,3830,3895,525771,,
2016-06-30,3971,3976,3844,3858,476534,,
2016-07-01,3867,3958,3776,3931,879861,,
2016-07-04,4012,4021,3894,3931,854766,,
2016-07-05,3949,3949,3876,3890,385684,,
2016-07-06,3876,3976,3826,3949,515339,,
2016-07-07,3944,4076,3912,3976,932726,,
2016-07-08,3971,3971,3849,3872,605979,,
2016-07-11,3871,3885,3821,3849,345674,,
2016-07-12,3849,3849,3708,3754,653076,,
2016-07-13,3744,3799,3712,3763,462346,,
2016-07-14,3762,3780,3657,3726,354337,,
2016-07-15,3744,3849,3744,3799,456357,,
2016-07-18,3744,3808,3726,3799,340779,,
2016-07-19,3808,3940,3799,3876,1006965,,
2016-07-20,3876,3885,3771,3854,375021,,
2016-07-21,3853,3885,3717,3726,562966,,
2016-07-22,3708,3785,3703,3767,205606,,
2016-07-25,3849,3849,3730,3767,353221,,
2016-07-26,3744,3776,3680,3685,422303,,
2016-07-27,3703,3894,3566,3772,851560,,
2016-07-28,3730,3885,3721,3881,693144,,
2016-07-29,3880,3944,3826,3872,363342,,
2016-08-01,3903,3903,3712,3717,748547,,
2016-08-02,3721,3753,3630,3681,456332,,
2016-08-03,3653,3694,3621,3640,456166,,
2016-08-04,3639,3676,3557,3640,382525,,
2016-08-05,3639,3639,3485,3517,487512,,
2016-08-08,3507,3635,3466,3549,394063,,
2016-08-09,3512,3607,3512,3590,278109,,
2016-08-10,3585,3612,3548,3567,199556,,
2016-08-11,3557,3580,3475,3540,430442,,
2016-08-12,3548,3571,3489,3558,251814,,
2016-08-16,3539,3585,3480,3481,323387,,
2016-08-17,3480,3498,3385,3458,344266,,
2016-08-18,3448,3457,3407,3412,184759,,
2016-08-19,3412,3671,3394,3612,1000939,,
2016-08-22,3635,3639,3544,3612,491411,,
2016-08-23,3612,3794,3603,3603,690749,,
2016-08-24,3653,4522,3653,4095,17706817,,
2016-08-25,4085,4117,3849,3940,4251827,,
2016-08-26,3930,4090,3849,3904,4508436,,
2016-08-29,3826,3830,3589,3612,2148338,,
2016-08-30,3657,3744,3526,3562,1163623,,
2016-08-31,3571,3667,3521,3644,948017,,
2016-09-01,3594,3753,3562,3663,751054,,
2016-09-02,3685,3744,3662,3681,498484,,
2016-09-05,3680,3853,3657,3831,1553268,,
2016-09-06,3821,3867,3685,3694,1016268,,
2016-09-07,3698,3767,3644,3649,674162,,
2016-09-08,3648,3680,3516,3544,885652,,
2016-09-09,3521,3562,3457,3512,400201,,
2016-09-12,3430,3498,3394,3494,527233,,
2016-09-13,3485,3603,3480,3594,412407,,
2016-09-19,3603,3617,3485,3581,438572,,
2016-09-20,3576,3730,3535,3617,608908,,
2016-09-21,3626,3653,3571,3622,375223,,
2016-09-22,3630,3703,3594,3640,501563,,
2016-09-23,3667,3667,3548,3553,412445,,
2016-09-26,3553,3571,3475,3494,350920,,
2016-09-27,3503,3539,3444,3490,345263,,
2016-09-28,3535,3630,3512,3549,580033,,
2016-09-29,3548,3598,3544,3562,293324,,
2016-09-30,3521,3562,3471,3481,368746,,
2016-10-04,3466,3553,3466,3531,287277,,
2016-10-05,3516,3607,3516,3558,435908,,
2016-10-06,3571,3589,3530,3572,141547,,
2016-10-07,3562,3598,3507,3531,204507,,
2016-10-10,3498,3530,3485,3521,177064,,
2016-10-11,3539,3539,3471,3481,292492,,
2016-10-12,3466,3512,3453,3490,181846,,
2016-10-13,3475,3503,3421,3435,268135,,
2016-10-14,3457,3457,3321,3394,377649,,
2016-10-17,3403,3439,3366,3412,197324,,
2016-10-18,3421,3480,3353,3467,268432,,
2016-10-19,3457,3503,3430,3440,208611,,
2016-10-20,3444,3453,3362,3385,328490,,
2016-10-21,3385,3394,3248,3267,666909,,
2016-10-24,3271,3312,3166,3167,489544,,
2016-10-25,3139,3230,3089,3180,704946,,
2016-10-26,3162,3212,3130,3162,298425,,
2016-10-27,3175,3398,3175,3371,619928,,
2016-10-28,3357,3357,3248,3249,261072,,
2016-10-31,3239,3248,3130,3130,216520,,
2016-11-01,3107,3157,3089,3121,211363,,
2016-11-02,3121,3121,2875,2875,718093,,
2016-11-03,2748,2980,2748,2948,367538,,
2016-11-04,2948,2957,2820,2957,222671,,
2016-11-07,2934,3011,2920,3012,159751,,
2016-11-08,3016,3057,2998,3039,145228,,
2016-11-09,3030,3116,2729,2825,1001811,,
2016-11-10,2902,3007,2902,2994,286138,,
2016-11-11,3002,3334,3002,3185,999788,,
2016-11-14,3216,3312,3139,3249,312478,,
2016-11-15,3216,3303,3203,3276,213998,,
2016-11-16,3303,3316,3221,3262,260966,,
2016-11-17,3280,3334,3266,3303,198246,,
2016-11-18,3321,3348,3157,3217,327278,,
2016-11-21,3216,3221,3057,3162,266665,,
2016-11-22,3166,3407,3148,3258,351518,,
2016-11-23,3243,3262,3093,3094,334295,,
2016-11-24,3084,3121,3030,3053,154091,,
2016-11-25,3034,3080,3002,3021,170875,,
2016-11-28,3048,3526,3048,3349,2354428,,
2016-11-29,3339,3385,3198,3230,1004774,,
2016-11-30,3284,3325,3193,3239,503146,,
2016-12-01,3216,3257,3112,3180,346478,,
2016-12-02,3193,3348,3184,3289,409520,,
2016-12-05,3303,3325,3157,3158,265427,,
2016-12-06,3157,3221,3139,3139,181193,,
2016-12-07,3152,3166,3093,3126,169168,,
2016-12-08,3143,3166,3052,3085,221140,,
2016-12-09,3066,3139,3048,3139,245123,,
2016-12-12,3125,3148,3080,3094,217671,,
2016-12-13,3093,3184,3021,3185,633829,,
2016-12-14,3275,3557,3248,3276,3226706,,
2016-12-15,3280,3348,3230,3312,493156,,
2016-12-16,3294,3380,3280,3358,514922,,
2016-12-19,3325,3394,3275,3330,425773,,
2016-12-20,3334,3412,3312,3371,340141,,
2016-12-21,3375,3398,3266,3312,421284,,
2016-12-22,3330,3339,3280,3303,300180,,
2016-12-23,3330,3362,3289,3317,313773,,
2016-12-26,3330,3425,3330,3380,653366,,
2016-12-27,3403,3439,3366,3385,920276,,
2016-12-28,3415,3580,3415,3540,739177,,
2016-12-29,3540,3545,3475,3490,213168,,
2017-01-02,3500,3525,3445,3460,189032,,
2017-01-03,3460,3460,3390,3415,379025,,
2017-01-04,3415,3430,3375,3430,244224,,
2017-01-05,3440,3455,3380,3380,278528,,
2017-01-06,3405,3405,3335,3360,270470,,
2017-01-09,3335,3360,3310,3345,307640,,
2017-01-10,3350,3365,3320,3340,192676,,
2017-01-11,3340,3430,3315,3390,337207,,
2017-01-12,3370,3425,3290,3290,281147,,
2017-01-13,3305,3315,3270,3315,174649,,
2017-01-16,3315,3330,3255,3285,171179,,
2017-01-17,3265,3290,3245,3250,164801,,
2017-01-18,3250,3445,3235,3285,350501,,
2017-01-19,3290,3320,3250,3250,238191,,
2017-01-20,3250,3345,3240,3325,353430,,
2017-01-23,3330,3360,3275,3300,291185,,
2017-01-24,3270,3305,3240,3300,186824,,
2017-01-25,3300,3335,3275,3290,175855,,
2017-01-26,3270,3325,3245,3325,131416,,
2017-01-31,3320,3390,3315,3325,135860,,
2017-02-01,3325,3345,3285,3330,135578,,
2017-02-02,3355,3550,3345,3435,1885386,,
2017-02-03,3470,3485,3350,3400,559075,,
2017-02-06,3445,3445,3320,3370,306548,,
2017-02-07,3355,3375,3310,3345,301774,,
2017-02-08,3320,3370,3320,3335,108519,,
2017-02-09,3335,3385,3295,3380,193583,,
2017-02-10,3365,3385,3325,3350,165806,,
2017-02-13,3350,3350,3290,3330,181462,,
2017-02-14,3330,3345,3305,3340,72136,,
2017-02-15,3340,3390,3340,3370,168682,,
2017-02-16,3370,3445,3350,3410,291239,,
2017-02-17,3375,3520,3375,3495,504329,,
2017-02-20,3500,3540,3455,3460,193304,,
2017-02-21,3465,3600,3440,3520,663025,,
2017-02-22,3525,3575,3475,3500,319254,,
2017-02-23,3500,3500,3430,3455,267612,,
2017-02-24,3455,3485,3405,3450,249777,,
2017-02-27,3445,3455,3390,3410,234015,,
2017-02-28,3410,3480,3410,3475,171370,,
2017-03-02,3450,3490,3410,3410,187164,,
2017-03-03,3400,3520,3275,3385,778751,,
2017-03-06,3385,3450,3335,3350,262306,,
2017-03-07,3355,3490,3320,3390,659511,,
2017-03-08,3390,3415,3310,3345,330377,,
2017-03-09,3315,3345,3235,3235,489551,,
2017-03-10,3225,3260,3160,3240,349377,,
