골든센츄리(900280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-19,1510,1544,1359,1440,20775701,,
2016-10-20,1491,1869,1456,1869,32555427,,
2016-10-21,1885,2214,1787,1992,37089186,,
2016-10-24,2006,2474,1998,2358,26449292,,
2016-10-25,2380,2873,2278,2754,28514690,,
2016-10-26,2681,2867,2172,2377,12969009,,
2016-10-27,2462,2640,2228,2294,9344741,,
2016-10-28,2187,2285,1972,1999,5231817,,
2016-10-31,2021,2296,2006,2064,6683229,,
2016-11-01,2078,2187,1796,1854,4497785,,
2016-11-02,1853,1904,1630,1679,2675766,,
2016-11-03,1642,1840,1608,1696,4153930,,
2016-11-04,1704,1729,1544,1564,2186883,,
2016-11-07,1583,1635,1527,1549,1745737,,
2016-11-08,1601,2009,1582,2011,13349383,,
2016-11-09,2168,2172,1640,1841,14044473,,
2016-11-10,1949,2262,1912,2079,15480303,,
2016-11-11,2119,2387,2096,2165,14120800,,
2016-11-14,2161,2248,2082,2199,3735907,,
2016-11-15,2202,2330,2149,2215,4903503,,
2016-11-16,2209,2236,2112,2146,2592358,,
2016-11-17,2168,2293,2161,2173,3977111,,
2016-11-18,2146,2157,1991,2011,2320175,,
2016-11-21,1964,2202,1859,1999,4687716,,
2016-11-22,2002,2149,1975,2030,2338535,,
2016-11-23,2055,2089,1889,1898,1604173,,
2016-11-24,1885,2036,1785,1867,1852740,,
2016-11-25,1867,1975,1867,1886,1594478,,
2016-11-28,1975,2451,1975,2452,8729512,,
2016-11-29,2587,3036,2455,2837,32646762,,
2016-11-30,2946,3047,2719,2860,10715862,,
2016-12-01,2859,3043,2780,2920,8337436,,
2016-12-02,2873,2896,2655,2720,4439533,,
2016-12-05,2662,2825,2549,2580,3818384,,
2016-12-06,2617,2704,2489,2517,2983632,,
2016-12-07,2534,2594,2293,2391,3702322,,
2016-12-08,2443,2561,2375,2396,4245898,,
2016-12-09,2440,2527,2387,2471,3206734,,
2016-12-12,2519,2534,2421,2456,1931601,,
2016-12-13,2470,2493,2334,2354,2248452,,
2016-12-14,2402,2519,2361,2449,4107853,,
2016-12-15,2432,2557,2380,2558,2043679,,
2016-12-16,2704,2764,2583,2622,7503148,,
2016-12-19,2564,2674,2493,2675,2470191,,
2016-12-20,2635,2680,2590,2604,1611957,,
2016-12-21,2546,2583,2478,2478,1735344,,
2016-12-22,2478,2564,2398,2494,2085995,,
2016-12-23,2474,2564,2398,2411,1377181,,
2016-12-26,2432,2470,2308,2332,791197,,
2016-12-27,2349,2417,2330,2351,663450,,
2016-12-28,2353,2375,2312,2369,593704,,
2016-12-29,2421,2561,2391,2452,2389918,,
2017-01-02,2455,2515,2409,2426,687886,,
2017-01-03,2507,2602,2485,2494,2548800,,
2017-01-04,2507,2530,2467,2512,719812,,
2017-01-05,2549,2602,2519,2520,1468787,,
2017-01-06,2534,2746,2281,2565,4461369,,
2017-01-09,2580,2594,2519,2520,683438,,
2017-01-10,2557,2561,2451,2456,813314,,
2017-01-11,2448,2507,2402,2407,574824,,
2017-01-12,2432,2432,2338,2343,506317,,
2017-01-13,2361,2391,2315,2332,463529,,
2017-01-16,2353,2357,2251,2267,507926,,
2017-01-17,2267,2327,2206,2264,485617,,
2017-01-18,2281,2515,2240,2385,3781058,,
2017-01-19,2375,2417,2315,2317,759440,,
2017-01-20,2330,2330,2244,2245,534112,,
2017-01-23,2214,2262,2074,2079,572440,,
2017-01-24,2051,2085,1969,1973,570998,,
2017-01-25,2021,2074,1957,1980,424000,,
2017-01-26,1964,2021,1957,1985,256094,,
2017-01-31,2017,2101,2017,2064,643778,,
2017-02-01,2082,2119,2051,2060,345793,,
2017-02-02,2036,2051,1930,1954,467736,,
2017-02-03,1975,1995,1942,1962,287097,,
2017-02-06,1961,1980,1935,1962,232545,,
2017-02-07,1980,2040,1949,2026,396988,,
2017-02-08,2048,2161,2044,2072,1253947,,
2017-02-09,2078,2093,2025,2067,433041,,
2017-02-10,2074,2096,1983,2007,321239,,
2017-02-13,1964,1991,1946,1962,250456,,
2017-02-14,1961,2006,1953,1954,271700,,
2017-02-15,1953,1991,1949,1951,280368,,
2017-02-16,1953,1991,1953,1980,238332,,
2017-02-17,1972,2040,1949,2033,364174,,
2017-02-20,2062,2127,1998,2007,789706,,
2017-02-21,2032,2032,1969,1999,253946,,
2017-02-22,2002,2028,1980,1985,196223,,
2017-02-23,2009,2014,1969,1969,157878,,
2017-02-24,1980,1987,1938,1943,214559,,
2017-02-27,1942,1969,1912,1917,173884,,
2017-02-28,1915,1919,1829,1845,386332,,
2017-03-02,1832,1840,1693,1745,585140,,
2017-03-03,1742,2187,1685,1977,11705238,,
2017-03-06,2059,2285,1969,1992,5862995,,
2017-03-07,2093,2217,1998,2049,9231847,,
2017-03-08,2062,2089,1987,1988,1739139,,
2017-03-09,2002,2006,1832,1835,1303586,,
2017-03-10,1823,1875,1740,1815,640419,,
2017-03-13,1823,1919,1795,1835,769935,,
2017-03-14,1836,1870,1835,1839,371386,,
2017-03-15,1848,1874,1780,1788,569363,,
2017-03-16,1798,1875,1787,1807,670369,,
2017-03-17,1827,1827,1791,1819,205270,,
2017-03-20,1825,1830,1772,1779,218278,,
2017-03-21,1772,1808,1751,1767,271964,,
2017-03-22,1748,1767,1723,1728,219597,,
2017-03-23,1716,1776,1708,1751,380019,,
2017-03-24,1753,1848,1730,1773,412162,,
2017-03-27,1825,1832,1770,1773,316624,,
2017-03-28,1767,1772,1730,1735,243480,,
2017-03-29,1772,1780,1740,1746,232504,,
2017-03-30,1748,1757,1730,1741,194937,,
2017-03-31,1740,1740,1721,1738,135464,,
2017-04-03,1740,1746,1714,1715,174684,,
2017-04-04,1717,1723,1649,1653,343023,,
2017-04-05,1698,1723,1678,1704,331376,,
2017-04-06,1714,1721,1689,1704,147045,,
2017-04-07,1698,1712,1674,1677,209090,,
2017-04-10,1661,1693,1644,1645,237187,,
2017-04-11,1651,1664,1591,1604,180363,,
2017-04-12,1603,1616,1563,1580,176828,,
2017-04-13,1589,1859,1572,1660,2509485,,
2017-04-14,1659,1678,1609,1611,369134,,
2017-04-17,1635,1640,1601,1615,224117,,
2017-04-18,1614,1625,1591,1613,324423,,
2017-04-19,1609,1623,1595,1609,126908,,
2017-04-20,1608,1651,1604,1609,215727,,
2017-04-21,1614,1627,1604,1607,127999,,
2017-04-24,1617,1633,1604,1607,136452,,
2017-04-25,1595,1617,1593,1601,130238,,
2017-04-26,1623,1785,1609,1640,3497078,,
2017-04-27,1659,1670,1612,1633,566110,,
2017-04-28,1627,1746,1627,1646,1023508,,
2017-05-02,1617,1670,1617,1628,237476,,
2017-05-04,1627,1661,1627,1645,217683,,
2017-05-08,1667,1685,1636,1660,357561,,
2017-05-10,1672,1761,1663,1733,885364,,
2017-05-11,1746,1746,1693,1715,363406,,
2017-05-12,1732,1764,1706,1709,550880,,
2017-05-15,1709,1714,1672,1688,143277,,
2017-05-16,1693,1695,1651,1666,272139,,
2017-05-17,1670,1753,1659,1728,739972,,
