대림산업(000210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6279,6976,6193,6976,1348190,263589.0,32501700.0
1999-01-05,6967,7226,6469,6881,1549180,260014.0,32501700.0
1999-01-06,6873,6967,6555,6718,1005630,253838.0,32501700.0
1999-01-07,6881,7053,6580,6588,1188120,248963.0,32501700.0
1999-01-08,6537,6881,6451,6623,1172020,250263.0,32501700.0
1999-01-11,6709,6838,6469,6666,1102050,251888.0,32501700.0
1999-01-12,6838,6890,6314,6365,1349110,240513.0,32501700.0
1999-01-13,6322,6520,6030,6262,1310820,236612.0,32501700.0
1999-01-14,6021,6021,5342,5462,910880,206386.0,32501700.0
1999-01-15,5325,5884,5325,5857,1177100,221337.0,32501700.0
1999-01-18,6236,6271,5849,5900,824780,222962.0,32501700.0
1999-01-19,5686,6623,5677,6107,1457140,230762.0,32501700.0
1999-01-20,6193,6193,5677,5677,594870,214511.0,32501700.0
1999-01-21,5677,5720,5084,5161,841010,195010.0,32501700.0
1999-01-22,5075,5419,4757,5075,971350,191760.0,32501700.0
1999-01-25,5333,5376,5075,5075,947280,191760.0,32501700.0
1999-01-26,5204,5333,4645,4653,841310,175834.0,32501700.0
1999-01-27,4662,4980,4396,4877,1202340,184285.0,32501700.0
1999-01-28,4920,4989,4731,4817,890470,182010.0,32501700.0
1999-01-29,4817,5204,4808,5075,1061640,191760.0,32501700.0
1999-02-01,5075,5419,4903,5333,1311350,201511.0,32501700.0
1999-02-02,5342,5393,5075,5212,938350,196960.0,32501700.0
1999-02-03,5247,5376,5075,5161,890160,195010.0,32501700.0
1999-02-04,5333,5333,4869,4989,510810,188510.0,32501700.0
1999-02-05,5032,5144,4877,5014,530750,189485.0,32501700.0
1999-02-08,5058,5109,4903,4911,353330,185585.0,32501700.0
1999-02-09,4740,4826,4309,4472,559860,169009.0,32501700.0
1999-02-10,4559,5118,4456,4946,1181200,186885.0,32501700.0
1999-02-11,4946,5109,4740,4773,948520,180384.0,32501700.0
1999-02-12,5023,5152,4903,5075,1071610,191760.0,32501700.0
1999-02-18,5170,5316,4998,5092,920970,192410.0,32501700.0
1999-02-19,4903,5075,4731,5040,605390,190460.0,32501700.0
1999-02-22,4946,5204,4817,4903,754900,185260.0,32501700.0
1999-02-23,4912,5058,4654,4739,423550,179084.0,32501700.0
1999-02-24,4903,4903,4490,4490,330390,169659.0,32501700.0
1999-02-25,4301,4722,4301,4507,510830,170309.0,32501700.0
1999-02-26,4679,4722,4533,4687,486180,177134.0,32501700.0
1999-03-02,4877,4989,4791,4954,730760,187210.0,32501700.0
1999-03-03,4955,4989,4783,4860,391940,183635.0,32501700.0
1999-03-04,4989,5238,4903,4971,1111270,187860.0,32501700.0
1999-03-05,4851,5101,4800,5006,473080,189160.0,32501700.0
1999-03-08,5247,5755,5247,5754,2331400,217436.0,32501700.0
1999-03-09,6013,6271,5806,5892,2471500,222637.0,32501700.0
1999-03-10,5806,6193,5651,6193,1432560,234012.0,32501700.0
1999-03-11,6443,6606,6107,6451,2493040,243763.0,32501700.0
1999-03-12,6451,6537,6279,6365,1190280,240513.0,32501700.0
1999-03-15,6623,6752,6365,6365,1436140,240513.0,32501700.0
1999-03-16,6357,6752,6288,6752,1581590,255138.0,32501700.0
1999-03-17,6890,7131,6537,6623,2009870,250263.0,32501700.0
1999-03-18,6623,6752,6107,6150,1063580,232387.0,32501700.0
1999-03-19,6236,6537,6193,6537,930850,247013.0,32501700.0
1999-03-22,6623,6795,6451,6623,1059350,250263.0,32501700.0
1999-03-23,6787,7139,6632,6812,1232690,257413.0,32501700.0
1999-03-24,6580,6881,6555,6881,1150550,260014.0,32501700.0
1999-03-25,6881,7088,6752,6976,1681410,263589.0,32501700.0
1999-03-26,7062,7157,6890,7001,847350,264564.0,32501700.0
1999-03-29,6881,7053,6752,6924,1030470,261639.0,32501700.0
1999-03-30,7269,7647,7148,7311,3032860,276264.0,32501700.0
1999-03-31,7398,7441,7139,7268,845730,274639.0,32501700.0
1999-04-01,7320,7484,7165,7320,1141060,276589.0,32501700.0
1999-04-02,7320,7604,7269,7569,1602380,286015.0,32501700.0
1999-04-06,7681,8258,7664,8223,2122890,310716.0,32501700.0
1999-04-07,8258,8688,7441,7440,1443650,281140.0,32501700.0
1999-04-08,8172,8172,7621,7999,1203270,302266.0,32501700.0
1999-04-09,8258,8344,8043,8171,1323190,308766.0,32501700.0
1999-04-12,8258,8335,7914,8085,1578620,305516.0,32501700.0
1999-04-13,7922,8499,7785,8257,2368840,312016.0,32501700.0
1999-04-14,8516,9032,8275,8386,3246060,316892.0,32501700.0
1999-04-15,8774,9462,8524,9461,3253840,357519.0,32501700.0
1999-04-16,9720,10881,9634,10064,3504430,380270.0,32501700.0
1999-04-19,10279,10666,9892,10580,1858260,408646.0,33223256.0
1999-04-20,10494,10881,10150,10666,1472280,411968.0,33223256.0
1999-04-21,10408,11612,10408,10709,1370170,413630.0,33223256.0
1999-04-22,10709,11010,9935,10451,1493840,403663.0,33223256.0
1999-04-23,10580,10752,10236,10666,1143300,411968.0,33223256.0
1999-04-26,10408,12258,10408,12257,1668940,473431.0,33223256.0
1999-04-27,12731,12903,12000,12558,1314360,485060.0,33223256.0
1999-04-28,12301,12731,11913,12085,777160,466787.0,33223256.0
1999-04-29,11870,12086,11096,11354,1150080,438547.0,33223256.0
1999-04-30,11526,12301,10924,11784,1167230,455159.0,33223256.0
1999-05-03,11354,12043,11182,11655,444260,450175.0,33223256.0
1999-05-04,11655,12172,11655,12042,579250,465126.0,33223256.0
1999-05-06,12301,13247,12043,13117,1061100,506655.0,33223256.0
1999-05-07,13118,13290,12731,12988,1186240,501671.0,33223256.0
1999-05-10,12817,13161,12473,12730,552030,491704.0,33223256.0
1999-05-11,12731,12731,11870,11956,995520,461803.0,33223256.0
1999-05-12,11784,11913,11096,11526,710600,445192.0,33223256.0
1999-05-13,11440,11440,10881,10924,441330,421935.0,33223256.0
