LS네트웍스(000680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12696,13894,12696,13655,152870,13151.0,23071532.0
1999-01-05,13654,14374,13175,14254,304620,13728.0,23071532.0
1999-01-06,14374,15092,14374,14493,313360,13958.0,23071532.0
1999-01-07,14373,14613,14014,14134,219070,13612.0,23071532.0
1999-01-08,14133,14373,14014,14014,273260,13497.0,23071532.0
1999-01-11,14374,14853,14014,14373,371280,13843.0,23071532.0
1999-01-12,14853,14853,13655,13894,208980,13381.0,23071532.0
1999-01-13,14374,15931,14253,15931,729340,15343.0,23071532.0
1999-01-14,17248,17248,15092,15451,911280,14881.0,23071532.0
1999-01-15,15810,17488,15810,17248,1229490,16612.0,23071532.0
1999-01-18,17248,18206,16768,16769,1452660,16150.0,23071532.0
1999-01-19,17128,17128,15810,15811,511540,15227.0,23071532.0
1999-01-20,18087,18087,18087,18087,965160,17419.0,23071532.0
1999-01-21,19404,19404,17488,17488,2422750,16842.0,23071532.0
1999-01-22,17967,20003,17488,20003,1653300,19265.0,23071532.0
1999-01-25,19883,20842,19165,19165,1525090,18457.0,23071532.0
1999-01-26,17248,20004,17248,17967,630350,17304.0,23071532.0
1999-01-27,17608,18326,17009,17607,299640,16958.0,23071532.0
1999-01-28,17967,18686,17967,17967,462840,17304.0,23071532.0
1999-01-29,17967,18805,17967,18326,436300,17650.0,23071532.0
1999-02-01,20961,20961,20961,20961,621670,20188.0,23071532.0
1999-02-02,22878,22878,18924,18925,1554630,18227.0,23071532.0
1999-02-03,18446,18446,17488,17967,478550,17304.0,23071532.0
1999-02-04,18206,18206,17368,17488,263700,16842.0,23071532.0
1999-02-05,18206,18206,17488,17967,278870,17304.0,23071532.0
1999-02-08,17488,17607,16768,16769,274650,16150.0,23071532.0
1999-02-09,16051,16051,14374,14373,351080,13843.0,23071532.0
1999-02-10,13895,14853,12696,14853,466040,14304.0,23071532.0
1999-02-11,15571,15571,14853,15332,170730,14766.0,23071532.0
1999-02-12,15332,15930,15332,15571,306740,14996.0,23071532.0
1999-02-18,17009,17009,15810,15811,228720,15227.0,23071532.0
1999-02-19,15571,15571,14613,15212,97130,14650.0,23071532.0
1999-02-22,14613,14853,14374,14493,149500,13958.0,23071532.0
1999-02-23,14373,14613,14133,14134,122100,13612.0,23071532.0
1999-02-24,15092,15092,14134,14254,156140,13728.0,23071532.0
1999-02-25,14253,14373,14133,14134,181340,13612.0,23071532.0
1999-02-26,14134,14374,14014,14373,131310,13843.0,23071532.0
1999-03-02,14613,14613,14134,14493,254640,13958.0,23071532.0
1999-03-03,13654,14374,13654,13775,135180,13266.0,23071532.0
1999-03-04,14373,15332,13775,15092,297230,14535.0,23071532.0
1999-03-05,15571,15571,14374,14373,212070,13843.0,23071532.0
1999-03-08,14613,14972,14374,14733,166480,14189.0,23071532.0
1999-03-09,14733,14733,14134,14373,176110,13843.0,23071532.0
1999-03-10,14374,14374,14134,14373,179250,13843.0,23071532.0
1999-03-11,14374,15333,13895,14493,627890,13958.0,23071532.0
1999-03-12,14972,15092,14613,14733,346030,14189.0,23071532.0
1999-03-15,15092,15092,14732,14733,399170,14189.0,23071532.0
1999-03-16,14853,14853,14493,14613,213180,14074.0,23071532.0
1999-03-17,14493,14493,14374,14373,275690,13843.0,23071532.0
1999-03-18,14374,14374,13895,13894,222970,13381.0,23071532.0
1999-03-19,13894,14374,13654,13655,129680,13151.0,23071532.0
1999-03-22,14133,14133,13535,13655,240930,13151.0,23071532.0
1999-03-23,13775,13775,13296,13415,173510,12920.0,23071532.0
1999-03-24,13176,13655,13176,13415,188780,12920.0,23071532.0
1999-03-25,13416,13655,13416,13415,167790,12920.0,23071532.0
1999-03-26,13175,13415,12936,13176,246350,12689.0,23071532.0
1999-03-29,13175,13175,12456,12457,164700,11997.0,23071532.0
1999-03-30,11978,12936,11978,12697,213760,12228.0,23071532.0
1999-03-31,12696,13176,12696,12936,166070,12459.0,23071532.0
1999-04-01,12936,13055,12456,12457,135630,11997.0,23071532.0
1999-04-02,12456,12696,12217,12457,202180,11997.0,23071532.0
1999-04-06,12456,12576,12217,12457,289070,11997.0,23071532.0
1999-04-07,12097,14253,12097,14254,698020,13728.0,23071532.0
1999-04-08,13775,13775,13175,13295,400180,12805.0,23071532.0
1999-04-09,13416,13535,12936,13415,263940,12920.0,23071532.0
1999-04-12,13534,13534,12936,13535,298600,13035.0,23071532.0
1999-04-13,13534,13775,13175,13535,310830,13035.0,23071532.0
1999-04-14,13535,14853,13535,14613,743650,14074.0,23071532.0
1999-04-15,15211,15211,14014,14613,675790,14074.0,23071532.0
1999-04-16,14373,14613,14133,14134,279560,13612.0,23071532.0
1999-04-19,13655,14134,13655,13894,217590,13381.0,23071532.0
1999-04-20,11858,13775,11858,13775,218280,13266.0,23071532.0
1999-04-21,13296,13296,12817,12936,267720,12459.0,23071532.0
1999-04-22,12936,13296,12817,12816,239780,12343.0,23071532.0
1999-04-23,12817,13176,12817,12936,141830,12459.0,23071532.0
1999-04-26,12936,12936,12457,12697,211310,12228.0,23071532.0
1999-04-27,12577,12577,12218,12217,324500,11766.0,23071532.0
1999-04-28,12457,12576,12457,12577,283030,12113.0,23071532.0
1999-04-29,12576,13894,12337,13535,550880,13035.0,23071532.0
1999-04-30,13535,13775,12696,13056,394350,12574.0,23071532.0
1999-05-03,13416,13416,13176,13415,334000,12920.0,23071532.0
1999-05-04,13894,13894,13175,13176,330600,12689.0,23071532.0
1999-05-06,13654,15092,13654,15092,702450,14535.0,23071532.0
