현대건설(000720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,772909,772909,749283,772909,2438590,1150786.0,100505344.0
1999-01-05,810036,853913,783035,816786,6179710,1216115.0,100505344.0
1999-01-06,830287,837037,789785,826911,3596230,1231190.0,100505344.0
1999-01-07,833662,840412,796535,806660,4729790,1201039.0,100505344.0
1999-01-08,789785,823536,756033,796535,4565720,1185963.0,100505344.0
1999-01-11,796535,806661,742533,789784,4622430,1175913.0,100505344.0
1999-01-12,803285,810036,745908,762783,3563790,1135710.0,100505344.0
1999-01-13,762784,769534,729032,742532,2827270,1105559.0,100505344.0
1999-01-14,708781,722282,645328,661529,2689480,984952.0,100505344.0
1999-01-15,662204,735782,662204,715531,2750530,1065357.0,100505344.0
1999-01-18,729032,752658,685155,695280,2196770,1035205.0,100505344.0
1999-01-19,648029,739158,648029,695280,3170440,1035205.0,100505344.0
1999-01-20,702031,715532,668279,672329,1478210,1001033.0,100505344.0
1999-01-21,675030,681780,621027,621702,1790170,925654.0,100505344.0
1999-01-22,629128,631153,594026,607526,2593290,904548.0,100505344.0
1999-01-25,614277,621027,597401,617652,2390800,919624.0,100505344.0
1999-01-26,625078,627778,560275,560274,2020250,834194.0,100505344.0
1999-01-27,560275,594026,526523,583900,3767490,869371.0,100505344.0
1999-01-28,590651,592676,560275,567025,2213770,844245.0,100505344.0
1999-01-29,570400,594026,570400,587275,2476890,874396.0,100505344.0
1999-02-01,587951,600101,577150,589301,2565940,877412.0,100505344.0
1999-02-02,577150,596051,553524,567025,3021650,844245.0,100505344.0
1999-02-03,573100,590651,556900,573775,2470670,854295.0,100505344.0
1999-02-04,567025,573100,540699,546774,1617160,814093.0,100505344.0
1999-02-05,548124,566350,548124,553524,1228290,824144.0,100505344.0
1999-02-08,540024,553524,533274,533273,1474440,793992.0,100505344.0
1999-02-09,536649,536649,483321,489396,1892930,728664.0,100505344.0
1999-02-10,491422,529898,479271,506272,4056700,753790.0,100505344.0
1999-02-11,513023,523148,500872,506272,2094340,753790.0,100505344.0
1999-02-12,560275,580526,541374,580525,4801460,864346.0,100505344.0
1999-02-18,599426,599426,553524,553524,2279170,824144.0,100505344.0
1999-02-19,540699,573775,513023,567025,2470310,844245.0,100505344.0
1999-02-22,553524,579176,543399,546774,2624100,814093.0,100505344.0
1999-02-23,549474,560275,526523,540023,1476610,804043.0,100505344.0
1999-02-24,540024,548799,516398,516397,1102670,768866.0,100505344.0
1999-02-25,496147,526523,496147,503572,1150110,749770.0,100505344.0
1999-02-26,513023,523823,513023,523148,1307510,778916.0,100505344.0
1999-03-02,538674,546774,533274,533273,1641990,793992.0,100505344.0
1999-03-03,502897,518423,500197,504922,4827620,751780.0,100505344.0
1999-03-04,509647,531923,507622,510322,3604220,759820.0,100505344.0
1999-03-05,496822,511673,488047,508972,5358280,1436410.0,190505344.0
1999-03-08,523823,572425,523148,567025,12246230,1600245.0,190505344.0
1999-03-09,567025,573775,543399,546774,7838430,1543093.0,190505344.0
1999-03-10,546774,550149,531248,546774,4394120,1543093.0,190505344.0
1999-03-11,553524,600101,550149,594026,11382160,1676447.0,190505344.0
1999-03-12,607527,614277,588626,594026,8515720,1676447.0,190505344.0
1999-03-15,614277,621027,591326,599426,7584000,1691687.0,190505344.0
1999-03-16,585251,606852,583901,604151,4019940,1705023.0,190505344.0
1999-03-17,624403,627103,583901,587275,6392360,1657396.0,190505344.0
1999-03-18,573775,587276,552849,552849,3877580,1560239.0,190505344.0
1999-03-19,556900,573775,553524,572425,4215410,1619462.0,190974258.0
1999-03-22,572425,583901,554199,563649,3711790,1594635.0,190974258.0
1999-03-23,570400,594026,570400,577825,3037770,1634740.0,190974258.0
1999-03-24,573775,585251,560275,579850,3310690,1659266.0,193162526.0
1999-03-25,578501,593351,567700,571075,3942920,1634155.0,193162526.0
1999-03-26,571750,579851,567025,570400,2458810,1632223.0,193162526.0
1999-03-29,567025,577150,553524,558924,3483890,1599386.0,193162526.0
1999-03-30,573775,576475,567025,571750,2710020,1636087.0,193162526.0
1999-03-31,573775,586601,571750,580525,3241210,1661198.0,193162526.0
1999-04-01,579851,617652,573775,614277,9256290,1757779.0,193162526.0
1999-04-02,621027,634528,607527,619002,7344330,1771300.0,193162526.0
1999-04-06,627778,695281,622377,681780,15346700,1950942.0,193162526.0
1999-04-07,695281,698656,668279,668279,10597200,1933245.0,195277306.0
1999-04-08,654779,668279,628453,661529,7926290,1913718.0,195277306.0
1999-04-09,681780,691906,654779,678404,8999610,1962537.0,195277306.0
1999-04-12,695281,702031,668279,681780,7343210,1972301.0,195277306.0
1999-04-13,681780,742533,668279,718906,14884210,2079703.0,195277306.0
1999-04-14,729032,732407,691906,698655,6711380,2021120.0,195277306.0
1999-04-15,708781,759409,698656,756033,16915690,2187106.0,195277306.0
1999-04-16,769534,793160,732407,739157,14855710,2138287.0,195277306.0
1999-04-19,756033,769534,729032,749283,8264460,2167578.0,195277306.0
1999-04-20,749283,756033,729032,735782,7320960,2128523.0,195277306.0
1999-04-21,732407,772909,712156,715531,8829360,2069939.0,195277306.0
1999-04-22,715532,735782,695281,735782,6310620,2135338.0,195902525.0
1999-04-23,756033,766159,715532,722281,6756850,2096157.0,195902525.0
1999-04-26,718907,783035,695281,756033,14055180,2194108.0,195902525.0
