이화산업(000760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14200.0,14500.0,14100.0,14400.0,20590.0,40320.0,2800000.0
1999-01-05,14450.0,15500.0,14300.0,15400.0,64980.0,43120.0,2800000.0
1999-01-06,16000.0,17700.0,15600.0,17500.0,96020.0,49000.0,2800000.0
1999-01-07,16600.0,17900.0,16600.0,17000.0,51810.0,47600.0,2800000.0
1999-01-08,17100.0,18800.0,16800.0,18800.0,60550.0,52640.0,2800000.0
1999-01-11,19500.0,20000.0,18500.0,19500.0,61670.0,54600.0,2800000.0
1999-01-12,19500.0,20000.0,18800.0,20000.0,48520.0,56000.0,2800000.0
1999-01-13,20000.0,22200.0,20000.0,20500.0,60520.0,57400.0,2800000.0
1999-01-14,20500.0,20700.0,19000.0,19400.0,39080.0,54320.0,2800000.0
1999-01-15,17000.0,20200.0,17000.0,20000.0,24600.0,56000.0,2800000.0
1999-01-18,19700.0,20800.0,19500.0,20200.0,37800.0,56560.0,2800000.0
1999-01-19,20250.0,20300.0,19700.0,19900.0,25040.0,55720.0,2800000.0
1999-01-20,19800.0,20300.0,19000.0,19000.0,36190.0,53200.0,2800000.0
1999-01-21,19100.0,19100.0,18500.0,18900.0,35850.0,52920.0,2800000.0
1999-01-22,18900.0,18900.0,18100.0,18300.0,11110.0,51240.0,2800000.0
1999-01-25,18600.0,18700.0,18000.0,18300.0,14000.0,51240.0,2800000.0
1999-01-26,17800.0,18700.0,17800.0,17800.0,12050.0,49840.0,2800000.0
1999-01-27,17800.0,18000.0,17200.0,17600.0,17840.0,49280.0,2800000.0
1999-01-28,18000.0,19800.0,18000.0,19000.0,16840.0,53200.0,2800000.0
1999-01-29,19000.0,19850.0,18600.0,19700.0,18230.0,55160.0,2800000.0
1999-02-01,19900.0,21000.0,19400.0,21000.0,45770.0,58800.0,2800000.0
1999-02-02,21800.0,21800.0,20700.0,21000.0,68980.0,58800.0,2800000.0
1999-02-03,21000.0,21400.0,20000.0,20000.0,20020.0,56000.0,2800000.0
1999-02-04,20100.0,20300.0,19400.0,19900.0,27810.0,55720.0,2800000.0
1999-02-05,19600.0,20900.0,19500.0,20400.0,35340.0,57120.0,2800000.0
1999-02-08,20600.0,21000.0,19600.0,19800.0,21280.0,55440.0,2800000.0
1999-02-09,19300.0,19300.0,18200.0,18900.0,32570.0,52920.0,2800000.0
1999-02-10,18900.0,18900.0,18200.0,18200.0,16860.0,50960.0,2800000.0
1999-02-11,18500.0,19000.0,18200.0,18800.0,19590.0,52640.0,2800000.0
1999-02-12,18800.0,20000.0,18600.0,20000.0,15290.0,56000.0,2800000.0
1999-02-18,20400.0,21000.0,19400.0,19400.0,8750.0,54320.0,2800000.0
1999-02-19,19300.0,19300.0,18300.0,18700.0,6900.0,52360.0,2800000.0
1999-02-22,18200.0,18900.0,18200.0,18200.0,6880.0,50960.0,2800000.0
1999-02-23,17700.0,18500.0,17500.0,18000.0,7680.0,50400.0,2800000.0
1999-02-24,18000.0,18100.0,17600.0,17700.0,9900.0,49560.0,2800000.0
1999-02-25,17650.0,18100.0,17100.0,17400.0,16820.0,48720.0,2800000.0
1999-02-26,17100.0,18000.0,17100.0,17800.0,9880.0,49840.0,2800000.0
1999-03-02,19000.0,19000.0,17850.0,18100.0,2820.0,50680.0,2800000.0
