DB하이텍(000990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6259,6493,6141,6219,47630,38901.0,4893202.0
1999-01-05,6352,6783,6298,6610,75930,41348.0,4893202.0
1999-01-06,6728,7596,6642,7596,222340,47513.0,4893202.0
1999-01-07,8214,8723,8214,8722,391570,54559.0,4893202.0
1999-01-08,8684,9388,8293,8801,283670,55049.0,4893202.0
1999-01-11,8840,10092,8840,10091,242500,63122.0,4893202.0
1999-01-12,10405,10483,9388,10170,193380,63612.0,4893202.0
1999-01-13,10327,10327,9466,9857,154590,61654.0,4893202.0
1999-01-14,9153,9466,8410,8605,146960,53825.0,4893202.0
1999-01-15,8605,9153,8605,8879,168410,55538.0,4893202.0
1999-01-18,8997,10209,8997,9857,235810,61654.0,4893202.0
1999-01-19,9857,9857,8762,8996,79250,56272.0,4893202.0
1999-01-20,8997,9192,8293,8605,102370,53825.0,4893202.0
1999-01-21,8293,8488,7823,7901,95150,49421.0,4893202.0
1999-01-22,8136,8449,7659,8331,96110,52113.0,4893202.0
1999-01-25,8058,8449,7901,7901,51550,49421.0,4893202.0
1999-01-26,8058,8175,7119,7119,48070,44528.0,4893202.0
1999-01-27,7158,7823,7158,7588,52520,47464.0,4893202.0
1999-01-28,8214,8214,7862,8214,68470,51379.0,4893202.0
1999-01-29,7940,8410,7940,8214,65130,51379.0,4893202.0
1999-02-01,8371,8762,8058,8566,85130,53581.0,4893202.0
1999-02-02,8684,9310,8684,9035,163870,56516.0,4893202.0
1999-02-03,8997,8997,8371,8370,59030,52357.0,4893202.0
1999-02-04,8371,8449,7667,8057,61700,50400.0,4893202.0
1999-02-05,8136,8214,7862,7979,40300,49911.0,4893202.0
1999-02-08,7588,8175,7588,7823,33830,48932.0,4893202.0
1999-02-09,7432,7667,7127,7392,31480,46241.0,4893202.0
1999-02-10,7549,7549,7158,7431,38230,46485.0,4893202.0
1999-02-11,7549,7745,7354,7455,23030,46632.0,4893202.0
1999-02-12,7455,7745,7455,7580,22440,47415.0,4893202.0
1999-02-18,8136,8449,7745,8057,71310,50400.0,4893202.0
1999-02-19,8136,8136,7393,7588,31110,47464.0,4893202.0
1999-02-22,7276,7541,7276,7275,27350,45507.0,4893202.0
1999-02-23,7276,7487,6884,7032,31520,43990.0,4893202.0
1999-02-24,7080,7197,6963,6978,31500,43647.0,4893202.0
1999-02-25,6681,6806,6611,6696,24470,41886.0,4893202.0
1999-02-26,6736,7119,6736,7079,19510,44283.0,4893202.0
1999-03-02,7158,7432,7158,7236,17890,45262.0,4893202.0
