JW중외제약(001060),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5493,5760,5358,5395,71150,73140.0,4542827.0
1999-01-05,5459,5861,5359,5698,149810,77228.0,4542827.0
1999-01-06,5761,5895,5627,5765,146280,78137.0,4542827.0
1999-01-07,5860,6197,5760,5866,216300,79499.0,4542827.0
1999-01-08,5929,6064,5695,5998,115410,81317.0,4542827.0
1999-01-11,6062,6665,6062,6502,215850,88131.0,4542827.0
1999-01-12,6500,6633,6215,6470,114400,87677.0,4542827.0
1999-01-13,6432,6634,6266,6369,123150,86314.0,4542827.0
1999-01-14,6198,6198,5527,5698,85260,77228.0,4542827.0
1999-01-15,5694,6027,5694,5900,126750,79954.0,4542827.0
1999-01-18,6098,6399,6029,6251,117650,84724.0,4542827.0
1999-01-19,6247,6299,5895,6099,64780,82679.0,4542827.0
1999-01-20,5761,6349,5761,5765,91560,78137.0,4542827.0
1999-01-21,5627,5928,5326,5380,50990,72912.0,4542827.0
1999-01-22,5376,5376,5026,5078,54310,68824.0,4542827.0
1999-01-25,5191,5191,4821,4860,49730,65871.0,4542827.0
1999-01-26,4888,5089,4821,4860,43910,65871.0,4542827.0
1999-01-27,4822,4958,4789,4960,30530,67234.0,4542827.0
1999-01-28,5026,5259,4958,5060,47970,68597.0,4542827.0
1999-01-29,5059,5159,4890,4993,25290,67688.0,4542827.0
1999-02-01,5192,5242,5090,5162,35370,69960.0,4542827.0
1999-02-02,5226,5293,5058,5112,50180,69278.0,4542827.0
1999-02-03,5191,5191,4822,4911,40850,66552.0,4542827.0
1999-02-04,4889,4990,4857,4911,38710,66552.0,4542827.0
1999-02-05,4908,5009,4857,4894,39990,66325.0,4542827.0
1999-02-08,4857,5026,4857,4894,42600,66325.0,4542827.0
1999-02-09,4822,4822,4369,4392,50000,59511.0,4542827.0
1999-02-10,4522,4555,4254,4558,35730,61782.0,4542827.0
1999-02-11,4622,4622,4487,4491,40990,60874.0,4542827.0
1999-02-12,4556,4656,4523,4626,61060,62691.0,4542827.0
1999-02-18,4689,4689,4405,4408,41980,59738.0,4542827.0
1999-02-19,4320,4405,4152,4306,41970,58375.0,4542827.0
1999-02-22,4254,4386,4218,4290,37320,58148.0,4542827.0
1999-02-23,4219,4355,4187,4190,16710,56785.0,4542827.0
1999-02-24,4218,4336,4117,4122,29960,55877.0,4542827.0
1999-02-25,4085,4168,4018,4122,21480,55877.0,4542827.0
1999-02-26,4118,4288,4118,4240,30480,57467.0,4542827.0
1999-03-02,4320,4455,4287,4341,29940,58830.0,4542827.0
1999-03-03,4355,4355,4187,4190,18420,56785.0,4542827.0
1999-03-04,4187,4369,4187,4290,52290,58148.0,4542827.0
1999-03-05,4286,4554,4254,4474,83110,60647.0,4542827.0
1999-03-08,4489,4688,4489,4693,59310,63600.0,4542827.0
1999-03-09,4689,4756,4522,4524,48990,61328.0,4542827.0
1999-03-10,4522,4555,4437,4542,21690,61555.0,4542827.0
1999-03-11,4539,4790,4539,4793,62640,64962.0,4542827.0
1999-03-12,4822,4924,4688,4760,82280,64508.0,4542827.0
