대한제분(001130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,36736,36736,35971,36736,4360,62068.0,1293084.0
1999-01-05,36813,39645,36813,38879,16250,65689.0,1293084.0
1999-01-06,39339,43625,38650,42170,28530,71249.0,1293084.0
1999-01-07,42170,43242,40410,41328,12770,69827.0,1293084.0
1999-01-08,42094,44160,41329,43624,15940,73706.0,1293084.0
1999-01-11,44084,47451,44084,46303,30910,78232.0,1293084.0
1999-01-12,45997,45997,43089,45155,7300,76292.0,1293084.0
1999-01-13,44773,48982,44390,47451,38680,80171.0,1293084.0
1999-01-14,46762,46762,42859,43701,13710,73835.0,1293084.0
1999-01-15,42859,44390,42859,44007,11260,74352.0,1293084.0
1999-01-18,43778,45155,42477,42476,11090,71766.0,1293084.0
1999-01-19,42477,42859,40946,41175,7780,69568.0,1293084.0
1999-01-20,41405,43625,40410,42170,21470,71249.0,1293084.0
1999-01-21,42094,42477,40563,40563,8990,68533.0,1293084.0
1999-01-22,41711,41711,38344,39032,10140,65947.0,1293084.0
1999-01-25,39109,39109,38267,38267,4560,64654.0,1293084.0
1999-01-26,38497,40181,37884,38267,7680,64654.0,1293084.0
1999-01-27,38267,39032,38114,38343,9530,64784.0,1293084.0
1999-01-28,38573,42094,38573,42093,10000,71120.0,1293084.0
1999-01-29,41941,41941,39798,40486,2260,68404.0,1293084.0
1999-02-01,40563,40563,39109,39797,2140,67240.0,1293084.0
1999-02-02,39798,40410,39032,39874,8390,67370.0,1293084.0
1999-02-03,40181,40869,39798,40180,10720,67887.0,1293084.0
1999-02-04,39798,40563,39798,40486,5870,68404.0,1293084.0
1999-02-05,40181,41941,40181,40486,8240,68404.0,1293084.0
1999-02-08,41635,41635,39798,39797,6360,67240.0,1293084.0
1999-02-09,39415,39721,39032,39338,8630,66465.0,1293084.0
1999-02-10,39339,39492,39032,39185,7180,66206.0,1293084.0
1999-02-11,39186,39798,38879,39262,4620,66335.0,1293084.0
1999-02-12,39109,40181,39109,40180,3300,67887.0,1293084.0
1999-02-18,40181,40181,39415,40180,2910,67887.0,1293084.0
1999-02-19,40181,41711,39415,41711,14740,70473.0,1293084.0
1999-02-22,41941,41941,40334,40563,4950,68533.0,1293084.0
1999-02-23,41329,41329,40563,40639,4480,68663.0,1293084.0
1999-02-24,40946,41711,40946,41405,6730,69956.0,1293084.0
1999-02-25,41711,42017,41022,41098,13590,69439.0,1293084.0
1999-02-26,41864,44007,41099,42553,5860,71895.0,1293084.0
1999-03-02,41711,43242,41711,42170,9930,71249.0,1293084.0
1999-03-03,42936,43548,42247,42629,5870,72025.0,1293084.0
1999-03-04,43625,44007,42170,43241,10590,73059.0,1293084.0
1999-03-05,44007,48140,42630,45537,59300,76938.0,1293084.0
1999-03-08,46686,46686,45155,46226,15100,78102.0,1293084.0
1999-03-09,46227,46303,45155,45155,12910,76292.0,1293084.0
1999-03-10,45232,45538,44390,44772,5770,75645.0,1293084.0
1999-03-11,44084,45768,43854,44772,9780,75645.0,1293084.0
1999-03-12,45461,45768,44390,44772,9120,75645.0,1293084.0
1999-03-15,44619,45385,44466,44772,6820,75645.0,1293084.0
1999-03-16,44773,45538,44390,45155,7220,76292.0,1293084.0
1999-03-17,45538,45768,43854,45767,12060,77326.0,1293084.0
1999-03-18,45997,46380,45155,45155,6270,76292.0,1293084.0
1999-03-19,44160,45538,44160,44389,11930,74999.0,1293084.0
1999-03-22,44773,44849,43548,43777,7100,73964.0,1293084.0
1999-03-23,43242,44390,42859,43165,7740,72930.0,1293084.0
1999-03-24,45155,45155,42094,42093,5590,71120.0,1293084.0
1999-03-25,42170,43012,41022,42859,9240,72413.0,1293084.0
1999-03-26,41329,42859,41329,42476,9160,71766.0,1293084.0
1999-03-29,42094,42400,40946,40945,9490,69180.0,1293084.0
1999-03-30,41329,42094,41329,41940,4430,70861.0,1293084.0
1999-03-31,41329,42094,41329,41711,5170,70473.0,1293084.0
1999-04-01,42094,42706,41635,41634,5030,70344.0,1293084.0
1999-04-02,42094,42630,41711,41787,7040,70602.0,1293084.0
1999-04-06,43165,43165,42094,42553,5500,71895.0,1293084.0
1999-04-07,42859,43318,42094,42859,7600,72413.0,1293084.0
1999-04-08,43625,43625,42400,42476,3310,71766.0,1293084.0
1999-04-09,43625,43625,42400,42476,5570,71766.0,1293084.0
1999-04-12,42477,44390,42477,44389,9270,74999.0,1293084.0
1999-04-13,45155,45155,44466,44466,7100,75128.0,1293084.0
1999-04-14,44773,44773,43778,43777,4230,73964.0,1293084.0
1999-04-15,44390,44390,43242,43777,9350,73964.0,1293084.0
1999-04-16,43854,43854,42859,42935,6430,72542.0,1293084.0
1999-04-19,43701,45768,43701,44619,15930,75387.0,1293084.0
1999-04-20,46303,51278,46303,51277,38440,86637.0,1293084.0
1999-04-21,53497,56635,52043,55104,41510,93102.0,1293084.0
1999-04-22,55105,55794,52043,53574,23290,90516.0,1293084.0
1999-04-23,52043,54339,51661,52425,7610,88576.0,1293084.0
1999-04-26,52503,54645,52503,52808,15210,89223.0,1293084.0
1999-04-27,52809,55105,52809,53956,11870,91162.0,1293084.0
1999-04-28,53957,61993,53191,60079,26250,101507.0,1293084.0
1999-04-29,59314,59697,55181,57400,10020,96981.0,1293084.0
