동국제강(001230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4327,4458,4163,4294,260230,153270.0,23400000.0
1999-01-05,4327,4393,4170,4386,223400,156546.0,23400000.0
1999-01-06,4471,4706,4392,4687,339280,167310.0,23400000.0
1999-01-07,4852,5238,4852,5179,549410,184860.0,23400000.0
1999-01-08,5114,5180,4917,5048,288420,180180.0,23400000.0
1999-01-11,5113,5277,5048,5186,343350,185094.0,23400000.0
1999-01-12,5245,5245,5081,5179,464650,184860.0,23400000.0
1999-01-13,5310,5952,5310,5952,1104900,212472.0,23400000.0
1999-01-14,5900,5900,5067,5441,542590,194220.0,23400000.0
1999-01-15,5441,5572,5244,5441,486470,194220.0,23400000.0
1999-01-18,5900,6254,5638,5703,621580,203580.0,23400000.0
1999-01-19,5508,5639,5252,5409,328440,193050.0,23400000.0
1999-01-20,5409,5409,5180,5310,339610,189540.0,23400000.0
1999-01-21,5113,5179,4785,5015,237190,179010.0,23400000.0
1999-01-22,4603,4950,4458,4589,296880,163800.0,23400000.0
1999-01-25,4582,4582,4326,4333,144690,154674.0,23400000.0
1999-01-26,4392,4589,4070,4071,190180,145314.0,23400000.0
1999-01-27,3940,4129,3809,4130,318690,191646.0,30420000.0
1999-01-28,4136,4248,3920,4130,394310,191646.0,30420000.0
1999-01-29,4130,4432,4130,4163,375820,193167.0,30420000.0
1999-02-01,4195,4294,4195,4248,230800,197122.0,30420000.0
1999-02-02,4287,4392,4149,4150,238320,192559.0,30420000.0
1999-02-03,4070,4129,3998,3999,174160,185562.0,30420000.0
1999-02-04,3867,3986,3867,3940,152490,182824.0,30420000.0
1999-02-05,3999,4130,3934,3980,186540,184649.0,30420000.0
1999-02-08,4033,4327,4006,4065,402310,188604.0,30420000.0
1999-02-09,4065,4065,3671,3934,237580,182520.0,30420000.0
1999-02-10,3770,3934,3705,3803,138750,176436.0,30420000.0
1999-02-11,3809,3908,3743,3809,123730,176740.0,30420000.0
1999-02-12,3921,3934,3842,3934,178140,182520.0,30420000.0
1999-02-18,3967,3967,3803,3803,115920,176436.0,30420000.0
1999-02-19,3645,3671,3377,3573,141790,165789.0,30420000.0
1999-02-22,3639,3796,3475,3730,139330,173090.0,30420000.0
1999-02-23,3357,3763,3357,3658,103320,169744.0,30420000.0
1999-02-24,3671,3685,3540,3573,94890,165789.0,30420000.0
1999-02-25,3548,3548,3442,3475,74390,161226.0,30420000.0
1999-02-26,3482,3606,3482,3573,69140,165789.0,30420000.0
1999-03-02,3574,3685,3475,3606,308470,167310.0,30420000.0
1999-03-03,3671,3705,3547,3678,292220,170656.0,30420000.0
1999-03-04,3731,3731,3613,3658,130510,169744.0,30420000.0
1999-03-05,3671,3731,3580,3711,142020,172177.0,30420000.0
1999-03-08,3769,3966,3743,3966,221060,184041.0,30420000.0
1999-03-09,3966,3966,3762,3763,135800,174611.0,30420000.0
1999-03-10,3744,3836,3678,3730,74550,173090.0,30420000.0
1999-03-11,3704,3867,3690,3737,200940,173394.0,30420000.0
1999-03-12,3809,4032,3802,3940,276040,182824.0,30420000.0
1999-03-15,4033,4164,3967,4058,222640,188300.0,30420000.0
1999-03-16,4129,4228,4032,4196,225180,194688.0,30420000.0
1999-03-17,4327,4360,4098,4111,182230,190733.0,30420000.0
1999-03-18,4065,4196,3934,3934,171060,182520.0,30420000.0
1999-03-19,3868,4065,3868,4058,139800,188300.0,30420000.0
1999-03-22,4124,4150,3967,4117,217700,191038.0,30420000.0
1999-03-23,4064,4117,3986,4071,129630,188908.0,30420000.0
