KG케미칼(001390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,52362,52362,47143,52193,192760,25119.0,8102962.0
1999-01-05,52194,56740,48827,53372,224130,25686.0,8102962.0
1999-01-06,53878,55224,51352,53035,192580,25524.0,8102962.0
1999-01-07,53036,58255,51352,53877,405280,25929.0,8102962.0
1999-01-08,55561,55561,50679,51352,262880,24714.0,8102962.0
1999-01-11,55561,59097,52194,59096,422720,28401.0,8102962.0
1999-01-12,62296,67852,56235,67852,769450,32655.0,8102962.0
1999-01-13,67684,76607,63306,69198,821530,33303.0,8102962.0
1999-01-14,65663,67347,58929,62295,426350,29981.0,8102962.0
1999-01-15,61454,70714,60612,68188,582000,32817.0,8102962.0
1999-01-18,69031,78459,69031,78459,745390,37719.0,8102962.0
1999-01-19,82332,85867,73240,73913,749300,35572.0,8102962.0
1999-01-20,72566,77449,65663,66673,399230,32088.0,8102962.0
1999-01-21,69031,70546,62801,66000,412940,31764.0,8102962.0
1999-01-22,62464,63980,61454,62464,265780,30062.0,8102962.0
1999-01-25,61454,64485,53541,53540,189030,25767.0,8102962.0
1999-01-26,53541,59265,52194,52193,434980,25119.0,8102962.0
1999-01-27,53709,56403,52194,56403,182420,27145.0,8102962.0
1999-01-28,57245,62296,57245,61285,215580,29495.0,8102962.0
1999-01-29,61286,62969,58929,61454,210430,29576.0,8102962.0
1999-02-01,62296,63980,60276,61454,179770,29576.0,8102962.0
1999-02-02,62969,62969,58929,60612,207430,29171.0,8102962.0
1999-02-03,58929,60612,55561,57244,132240,27550.0,8102962.0
1999-02-04,55561,58760,55561,57244,92470,27550.0,8102962.0
1999-02-05,55898,60276,55561,55561,107860,26740.0,8102962.0
1999-02-08,55561,57245,50510,50510,189120,24309.0,8102962.0
1999-02-09,50510,50679,44954,45459,161220,21878.0,8102962.0
1999-02-10,44617,52362,42260,52362,172120,25160.0,8102962.0
1999-02-11,53036,58423,51352,54382,260550,26173.0,8102962.0
1999-02-12,53036,56066,53036,54045,133640,26011.0,8102962.0
1999-02-18,62128,62128,62128,62127,82360,29900.0,8102962.0
1999-02-19,71388,71388,62464,67010,1290530,32250.0,8102962.0
1999-02-22,67347,68694,58929,58928,384390,28360.0,8102962.0
1999-02-23,58929,59770,52699,53372,391830,25686.0,8102962.0
1999-02-24,51520,58929,51520,54045,439300,26011.0,8102962.0
