신영증권(001720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,23000,23000,20500,22000,148250,206497.0,9386237.0
1999-01-05,22000,22200,21200,22000,134560,206497.0,9386237.0
1999-01-06,22000,22500,21300,21650,128890,203212.0,9386237.0
1999-01-07,21700,22050,20900,21000,396830,197111.0,9386237.0
1999-01-08,21350,22200,21000,21200,212660,198988.0,9386237.0
1999-01-11,21500,22200,21500,22000,119780,206497.0,9386237.0
1999-01-12,22200,22500,20600,21200,132020,198988.0,9386237.0
1999-01-13,20150,21000,20000,20400,95000,191479.0,9386237.0
1999-01-14,19200,19600,18500,18550,87500,174115.0,9386237.0
1999-01-15,18300,19200,18300,19000,113980,178339.0,9386237.0
1999-01-18,20000,20000,18600,19000,61460,178339.0,9386237.0
1999-01-19,18700,19500,18100,18750,53560,175992.0,9386237.0
1999-01-20,18950,19000,18300,18800,60860,176461.0,9386237.0
1999-01-21,18400,18800,18100,18800,97690,176461.0,9386237.0
1999-01-22,17800,19500,17800,18500,90720,173645.0,9386237.0
1999-01-25,18700,19000,17900,18900,107380,177400.0,9386237.0
1999-01-26,19000,19500,18000,18200,30780,170830.0,9386237.0
1999-01-27,18200,19500,17800,18700,51100,175523.0,9386237.0
1999-01-28,18700,19000,18000,18100,46170,169891.0,9386237.0
1999-01-29,18300,18550,17800,17900,79840,168014.0,9386237.0
1999-02-01,17900,18800,17800,18500,41780,173645.0,9386237.0
1999-02-02,18500,18900,17800,18300,35420,171768.0,9386237.0
1999-02-03,17800,18100,17550,18000,34150,168952.0,9386237.0
1999-02-04,17500,18500,17100,17600,15500,165198.0,9386237.0
1999-02-05,18000,18200,17300,17500,119940,164259.0,9386237.0
1999-02-08,17500,18300,16500,16800,201360,157689.0,9386237.0
1999-02-09,16600,17300,16200,17100,124700,160505.0,9386237.0
1999-02-10,17500,18600,17200,17200,210260,161443.0,9386237.0
1999-02-11,18000,18000,17500,17500,69860,164259.0,9386237.0
1999-02-12,18000,18600,17800,18500,129860,173645.0,9386237.0
1999-02-18,18900,19000,18100,18100,82060,169891.0,9386237.0
1999-02-19,17500,17500,16900,17300,70090,162382.0,9386237.0
1999-02-22,16050,17000,16050,16600,26020,155812.0,9386237.0
1999-02-23,16600,16900,16100,16100,33840,151118.0,9386237.0
1999-02-24,16100,16700,15600,15650,25390,146895.0,9386237.0
1999-02-25,15500,16000,15200,15300,18180,143609.0,9386237.0
1999-02-26,15200,16300,15200,16300,34360,152996.0,9386237.0
1999-03-02,16700,17200,16600,16650,56040,156281.0,9386237.0
1999-03-03,17000,17000,16350,16550,48630,155342.0,9386237.0
1999-03-04,16600,17000,16550,16550,41810,155342.0,9386237.0
1999-03-05,16500,17000,16500,17000,43930,159566.0,9386237.0
1999-03-08,17600,19550,17250,19400,118630,182093.0,9386237.0
1999-03-09,19400,19700,18550,18800,139780,176461.0,9386237.0
1999-03-10,19300,19500,18500,19500,113990,183032.0,9386237.0
