대한제당(001790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6568,6784,6461,6641,96440,58130.0,3142138.0
1999-01-05,6711,7106,6639,6928,196460,60643.0,3142138.0
1999-01-06,6998,7877,6854,7646,354260,66928.0,3142138.0
1999-01-07,7895,8218,7788,7897,296560,69127.0,3142138.0
1999-01-08,7896,7896,7753,7862,117410,68813.0,3142138.0
1999-01-11,7967,8505,7859,8364,164330,73212.0,3142138.0
1999-01-12,8363,8579,8004,8435,153000,73840.0,3142138.0
1999-01-13,8506,8506,7915,8077,103290,70698.0,3142138.0
1999-01-14,7716,7896,7178,7359,92950,64414.0,3142138.0
1999-01-15,7358,7860,7178,7789,97820,68184.0,3142138.0
1999-01-18,7358,8327,7358,8005,102930,70070.0,3142138.0
1999-01-19,8183,8183,7627,7789,34470,68184.0,3142138.0
1999-01-20,8004,8004,7627,7628,52130,66770.0,3142138.0
1999-01-21,7410,7501,6998,7179,51960,62843.0,3142138.0
1999-01-22,7035,7035,6676,6784,33040,59386.0,3142138.0
1999-01-25,6640,6676,6353,6497,35030,56873.0,3142138.0
1999-01-26,6675,6783,6280,6282,37130,54987.0,3142138.0
1999-01-27,6334,6819,6334,6676,31900,58444.0,3142138.0
1999-01-28,6640,6927,6496,6713,20130,58758.0,3142138.0
1999-01-29,6604,6820,6604,6713,18160,58758.0,3142138.0
1999-02-01,6820,7430,6784,7215,41910,63157.0,3142138.0
1999-02-02,7213,7465,6926,7251,52620,63471.0,3142138.0
1999-02-03,7286,7286,6999,7036,16370,61586.0,3142138.0
1999-02-04,6712,7143,6676,6892,20610,60329.0,3142138.0
1999-02-05,6747,7070,6747,7036,32160,61586.0,3142138.0
1999-02-08,6998,7501,6926,7251,52440,63471.0,3142138.0
1999-02-09,6891,7143,6784,6892,19020,60329.0,3142138.0
1999-02-10,6890,6926,6711,6928,22440,60643.0,3142138.0
1999-02-11,6890,7034,6819,6928,12280,60643.0,3142138.0
1999-02-12,6926,7106,6890,7090,28170,62057.0,3142138.0
1999-02-18,7358,7358,6945,6946,37150,60800.0,3142138.0
1999-02-19,6783,6783,6460,6749,19050,59072.0,3142138.0
1999-02-22,6640,6640,6317,6497,12980,56873.0,3142138.0
1999-02-23,6352,6603,6173,6210,8340,54359.0,3142138.0
1999-02-24,6100,6352,6029,6030,12010,52788.0,3142138.0
1999-02-25,6030,6138,5957,5995,17090,52474.0,3142138.0
1999-02-26,6029,6352,6029,6353,23450,55616.0,3142138.0
1999-03-02,6389,7035,6281,6820,54730,59701.0,3142138.0
1999-03-03,6496,6711,6496,6605,19900,57815.0,3142138.0
1999-03-04,6603,6711,6496,6605,4560,57815.0,3142138.0
1999-03-05,6532,6694,6532,6659,5880,58287.0,3142138.0
1999-03-08,6676,7143,6676,7107,33120,62214.0,3142138.0
1999-03-09,7070,7106,6854,6856,14060,60015.0,3142138.0
1999-03-10,6676,6855,6676,6784,6730,59386.0,3142138.0
1999-03-11,6820,6855,6658,6820,17000,59701.0,3142138.0
1999-03-12,6820,7107,6820,6964,26840,60957.0,3142138.0
1999-03-15,7035,7143,6963,6964,17990,60957.0,3142138.0
1999-03-16,7035,7107,6963,7107,32310,62214.0,3142138.0
1999-03-17,7213,7213,6926,7072,17650,61900.0,3142138.0
1999-03-18,7070,7070,6693,6694,8790,58601.0,3142138.0
1999-03-19,6460,6926,6460,6856,12580,60015.0,3142138.0
1999-03-22,6640,6855,6640,6784,7520,59386.0,3142138.0
1999-03-23,6764,7321,6764,7251,55060,63471.0,3142138.0
1999-03-24,7357,7752,7357,7574,242290,66299.0,3142138.0
1999-03-25,7501,7824,7430,7521,60280,65828.0,3142138.0
1999-03-26,7519,7699,7393,7682,59400,67242.0,3142138.0
1999-03-29,7681,7716,7466,7466,33130,65356.0,3142138.0
1999-03-30,7466,7609,7466,7538,21810,65985.0,3142138.0
1999-03-31,7572,7572,7393,7395,13980,64728.0,3142138.0
1999-04-01,7393,7609,7196,7466,70950,65356.0,3142138.0
1999-04-02,7572,7752,7501,7574,55160,66299.0,3142138.0
1999-04-06,7680,8649,7609,8615,138860,75411.0,3142138.0
