오리온홀딩스(001800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,581,629,567,601,52720,57130.0,4498422.0
1999-01-05,600,671,586,662,154270,62978.0,4498422.0
1999-01-06,647,733,647,700,136200,66577.0,4498422.0
1999-01-07,709,733,685,705,116990,67026.0,4498422.0
1999-01-08,709,733,676,686,52950,65227.0,4498422.0
1999-01-11,676,747,676,728,106430,69276.0,4498422.0
1999-01-12,756,756,700,733,68120,69726.0,4498422.0
1999-01-13,733,766,699,707,83430,67251.0,4498422.0
1999-01-14,662,678,605,639,44950,60729.0,4498422.0
1999-01-15,631,662,631,648,71690,61628.0,4498422.0
1999-01-18,666,695,652,672,85530,63878.0,4498422.0
1999-01-19,685,685,638,643,33500,61179.0,4498422.0
1999-01-20,619,652,614,624,39900,59379.0,4498422.0
1999-01-21,603,624,567,572,25130,54431.0,4498422.0
1999-01-22,567,572,551,553,29800,52632.0,4498422.0
1999-01-25,614,614,534,556,28770,52856.0,4498422.0
1999-01-26,572,629,558,568,73050,53981.0,4498422.0
1999-01-27,577,586,558,586,33700,55780.0,4498422.0
1999-01-28,572,595,567,582,27340,55331.0,4498422.0
1999-01-29,581,600,567,586,81760,55780.0,4498422.0
1999-02-01,586,638,577,629,136210,59829.0,4498422.0
1999-02-02,633,647,605,624,64820,59379.0,4498422.0
1999-02-03,619,622,567,568,32950,53981.0,4498422.0
1999-02-04,574,588,562,568,25570,53981.0,4498422.0
1999-02-05,567,586,548,558,28160,53081.0,4498422.0
1999-02-08,577,588,558,558,31550,53081.0,4498422.0
1999-02-09,558,558,510,525,23430,49932.0,4498422.0
1999-02-10,520,529,487,530,17720,50382.0,4498422.0
1999-02-11,529,543,520,544,12000,51732.0,4498422.0
1999-02-12,562,562,539,544,16060,51732.0,4498422.0
1999-02-18,562,562,543,544,16820,51732.0,4498422.0
1999-02-19,525,539,501,534,31730,50832.0,4498422.0
1999-02-22,543,543,515,516,15250,49033.0,4498422.0
1999-02-23,520,529,506,506,30120,48133.0,4498422.0
1999-02-24,510,515,501,501,19960,47683.0,4498422.0
1999-02-25,496,506,482,482,12220,45884.0,4498422.0
1999-02-26,484,508,484,497,14500,47233.0,4498422.0
1999-03-02,520,536,510,520,30970,49483.0,4498422.0
1999-03-03,534,539,515,530,19750,50382.0,4498422.0
1999-03-04,515,543,515,532,23280,50607.0,4498422.0
1999-03-05,529,581,529,577,42800,54881.0,4498422.0
1999-03-08,591,600,577,596,30820,56680.0,4498422.0
1999-03-09,598,614,581,591,70280,56230.0,4498422.0
1999-03-10,600,605,581,582,24150,55331.0,4498422.0
1999-03-11,600,607,577,596,75190,56680.0,4498422.0
1999-03-12,584,643,584,629,83620,59829.0,4498422.0
1999-03-15,643,662,629,629,64830,59829.0,4498422.0
1999-03-16,633,657,633,650,31140,61853.0,4498422.0
1999-03-17,671,671,650,662,54630,62978.0,4498422.0
1999-03-18,652,695,647,662,136060,62978.0,4498422.0
1999-03-19,662,669,652,662,41660,62978.0,4498422.0
1999-03-22,676,676,624,665,91080,63203.0,4498422.0
1999-03-23,657,664,638,662,36550,62978.0,4498422.0
1999-03-24,659,733,643,681,150920,64777.0,4498422.0
1999-03-25,690,747,690,714,203920,67926.0,4498422.0
1999-03-26,716,733,700,719,91290,68376.0,4498422.0
1999-03-29,723,744,711,714,89980,67926.0,4498422.0
1999-03-30,728,775,723,776,89060,73774.0,4498422.0
1999-03-31,799,860,796,818,76220,77823.0,4498422.0
1999-04-01,789,882,789,880,241730,83671.0,4498422.0
1999-04-02,927,927,856,870,96230,82771.0,4498422.0
1999-04-06,898,922,827,913,155500,86820.0,4498422.0
1999-04-07,912,1047,912,1043,237630,99190.0,4498422.0
1999-04-08,1042,1090,1007,1052,83530,100090.0,4498422.0
1999-04-09,1064,1064,983,1055,61710,100315.0,4498422.0
1999-04-12,1054,1054,995,1017,50370,96716.0,4498422.0
1999-04-13,969,997,945,965,80500,91768.0,4498422.0
1999-04-14,964,1016,964,998,47160,94917.0,4498422.0
1999-04-15,1000,1040,974,989,102770,94017.0,4498422.0
1999-04-16,1012,1031,945,946,111700,89968.0,4498422.0
1999-04-19,986,1040,950,1017,194100,96716.0,4498422.0
1999-04-20,1021,1059,993,1041,98450,98965.0,4498422.0
1999-04-21,1064,1097,1045,1069,113590,101664.0,4498422.0
1999-04-22,1087,1097,1049,1088,76250,103464.0,4498422.0
1999-04-23,1087,1251,1073,1251,154920,118983.0,4498422.0
1999-04-26,1319,1366,1258,1277,116570,121457.0,4498422.0
1999-04-27,1324,1324,1253,1282,108380,121907.0,4498422.0
1999-04-28,1300,1310,1258,1277,142200,121457.0,4498422.0
1999-04-29,1291,1447,1291,1301,78870,123707.0,4498422.0
1999-04-30,1300,1395,1279,1301,65250,123707.0,4498422.0
1999-05-03,1348,1348,1239,1249,70490,118758.0,4498422.0
1999-05-04,1253,1286,1229,1244,179390,118308.0,4498422.0
1999-05-06,1300,1352,1267,1334,134010,126856.0,4498422.0
1999-05-07,1343,1395,1324,1357,99900,129105.0,4498422.0
1999-05-10,1409,1489,1381,1443,99840,137202.0,4498422.0
1999-05-11,1485,1485,1239,1239,64620,117859.0,4498422.0
1999-05-12,1362,1362,1272,1324,122380,125956.0,4498422.0
1999-05-13,1300,1324,1243,1277,30510,121457.0,4498422.0
1999-05-14,1277,1314,1220,1263,32250,120108.0,4498422.0
1999-05-17,1187,1258,1158,1159,29300,110211.0,4498422.0
1999-05-18,1092,1182,1031,1088,97260,103464.0,4498422.0
1999-05-19,1130,1172,1040,1041,131730,98965.0,4498422.0
1999-05-20,1135,1154,1064,1076,65040,102339.0,4498422.0
1999-05-21,1076,1120,1045,1107,32560,105263.0,4498422.0
1999-05-24,1106,1106,1059,1107,18300,105263.0,4498422.0
1999-05-25,1120,1243,1102,1187,54420,112910.0,4498422.0
1999-05-26,1206,1281,1206,1265,49730,120333.0,4498422.0
1999-05-27,1277,1347,1239,1324,78730,125956.0,4498422.0
1999-05-28,1319,1371,1277,1372,53120,130454.0,4498422.0
1999-05-31,1400,1442,1366,1419,59550,134953.0,4498422.0
1999-06-01,1347,1414,1347,1414,28620,134503.0,4498422.0
1999-06-02,1414,1466,1404,1414,82180,134503.0,4498422.0
1999-06-03,1442,1624,1418,1625,225100,154521.0,4498422.0
1999-06-04,1702,1797,1560,1580,171290,150247.0,4498422.0
1999-06-07,1560,1650,1560,1608,93680,152946.0,4498422.0
1999-06-08,1631,1655,1589,1651,57850,156995.0,4498422.0
1999-06-09,1513,1650,1513,1551,33390,147548.0,4498422.0
1999-06-10,1560,1608,1466,1594,38270,151597.0,4498422.0
1999-06-11,1593,1631,1522,1551,32160,147548.0,4498422.0
1999-06-14,1518,1541,1442,1452,19030,138102.0,4498422.0
1999-06-15,1452,1489,1378,1379,22390,131362.0,4506418.0
1999-06-16,1513,1513,1400,1443,31240,137446.0,4506418.0
1999-06-17,1470,1560,1470,1471,29220,140150.0,4506418.0
1999-06-18,1489,1532,1466,1485,25010,141502.0,4506418.0
1999-06-21,1442,1532,1442,1485,124290,141502.0,4506418.0
1999-06-22,1523,1631,1499,1627,86330,172221.0,5006418.0
1999-06-23,1631,1631,1560,1613,33610,170719.0,5006418.0
1999-06-24,1631,1631,1546,1584,83080,167715.0,5006418.0
1999-06-25,1518,1627,1518,1584,42490,167715.0,5006418.0
1999-06-28,1584,1655,1537,1651,166230,174724.0,5006418.0
1999-06-29,1650,1650,1598,1632,31170,172721.0,5006418.0
1999-06-30,1631,1679,1584,1632,65060,175889.0,5098231.0
1999-07-01,1608,1750,1608,1717,177570,185066.0,5098231.0
1999-07-02,1702,1726,1627,1639,168720,176654.0,5098231.0
1999-07-05,1669,1702,1627,1651,75190,177928.0,5098231.0
1999-07-06,1650,1759,1603,1717,165710,185066.0,5098231.0
1999-07-07,1721,1962,1721,1892,144420,203929.0,5098231.0
1999-07-08,1849,1972,1849,1939,87870,209027.0,5098231.0
1999-07-09,1915,2033,1854,1934,76010,208518.0,5098231.0
1999-07-12,1943,1972,1787,1887,29540,203419.0,5098231.0
1999-07-13,1868,1868,1750,1797,47110,193733.0,5098231.0
1999-07-14,1797,1797,1688,1689,39700,182007.0,5098231.0
1999-07-15,1608,1745,1608,1707,21270,184046.0,5098231.0
