보락(002760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,728,776,697,700,6280,23752.0,1175866.0
1999-01-05,700,707,683,704,8610,23870.0,1175866.0
1999-01-06,728,759,714,749,8780,25399.0,1175866.0
1999-01-07,766,766,728,732,8100,24811.0,1175866.0
1999-01-08,717,749,717,728,8460,24693.0,1175866.0
1999-01-11,759,815,738,798,27080,27045.0,1175866.0
1999-01-12,797,808,773,773,11010,26222.0,1175866.0
1999-01-13,783,849,783,786,28040,26633.0,1175866.0
1999-01-14,749,797,686,690,16950,23400.0,1175866.0
1999-01-15,717,749,693,700,12620,23752.0,1175866.0
1999-01-18,720,805,720,805,27790,27280.0,1175866.0
1999-01-19,849,849,768,777,73300,26339.0,1175866.0
1999-01-20,776,776,711,728,16650,24693.0,1175866.0
1999-01-21,711,728,666,687,13730,23282.0,1175866.0
1999-01-22,662,683,655,666,11200,22577.0,1175866.0
1999-01-25,641,764,641,765,51420,25928.0,1175866.0
1999-01-26,776,787,690,690,77430,23400.0,1175866.0
1999-01-27,711,711,648,690,8920,23400.0,1175866.0
1999-01-28,690,728,676,681,23090,23106.0,1175866.0
1999-01-29,683,719,678,685,7290,23223.0,1175866.0
1999-02-01,690,721,690,721,11410,24458.0,1175866.0
1999-02-02,728,738,690,694,15400,23517.0,1175866.0
1999-02-03,695,707,679,694,9270,23517.0,1175866.0
1999-02-04,686,693,669,685,11820,23223.0,1175866.0
1999-02-05,666,705,658,685,5980,23223.0,1175866.0
1999-02-08,685,692,676,678,5160,22988.0,1175866.0
1999-02-09,676,676,577,624,5070,21166.0,1175866.0
1999-02-10,641,641,610,628,3570,21283.0,1175866.0
1999-02-11,624,721,624,721,58480,24458.0,1175866.0
1999-02-12,717,731,658,707,74430,23988.0,1175866.0
1999-02-18,693,693,658,664,5150,22518.0,1175866.0
1999-02-19,651,658,641,642,9170,21754.0,1175866.0
1999-02-22,641,658,631,652,3750,22106.0,1175866.0
1999-02-23,624,673,624,624,4210,21166.0,1175866.0
1999-02-24,617,641,617,617,6810,20930.0,1175866.0
1999-02-25,617,634,617,619,3340,20989.0,1175866.0
1999-02-26,634,693,627,635,42110,21518.0,1175866.0
1999-03-02,641,679,638,645,14010,21871.0,1175866.0
1999-03-03,645,648,631,631,2500,21401.0,1175866.0
1999-03-04,634,650,634,635,3760,21518.0,1175866.0
1999-03-05,641,669,638,642,10730,21754.0,1175866.0
1999-03-08,652,666,645,659,9850,22341.0,1175866.0
1999-03-09,683,683,658,659,7280,22341.0,1175866.0
