쌍용양회공업(003410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5723,6581,5723,6582,1676700,246018.0,34504595.0
1999-01-05,6646,7560,6323,7292,3579360,272586.0,34504595.0
1999-01-06,7550,8030,7393,7606,2170510,284318.0,34504595.0
1999-01-07,7606,8677,7569,7800,3470160,291564.0,34504595.0
1999-01-08,7744,8261,7430,8123,1861770,303640.0,34504595.0
1999-01-11,8123,8400,7938,8188,1486900,306056.0,34504595.0
1999-01-12,8289,8317,7661,8031,1601220,300190.0,34504595.0
1999-01-13,7938,8113,7707,7763,1065900,290184.0,34504595.0
1999-01-14,7661,7661,6738,6831,815520,255334.0,34504595.0
1999-01-15,7107,7809,6941,7809,1030680,291909.0,34504595.0
1999-01-18,8307,8492,7938,8123,1910640,303640.0,34504595.0
1999-01-19,8123,8307,7947,8123,910410,303640.0,34504595.0
1999-01-20,8123,8252,7569,7569,631300,282938.0,34504595.0
1999-01-21,7200,7836,7200,7440,678170,278107.0,34504595.0
1999-01-22,7200,7384,6600,6831,608600,255334.0,34504595.0
1999-01-25,6830,7015,6461,6462,354950,241532.0,34504595.0
1999-01-26,6554,6812,6277,6277,519180,234631.0,34504595.0
1999-01-27,6120,6461,6073,6462,359640,241532.0,34504595.0
1999-01-28,6609,6738,6554,6637,271790,248088.0,34504595.0
1999-01-29,6471,6711,6184,6554,219260,244983.0,34504595.0
1999-02-01,6646,7384,6646,7246,561000,270861.0,34504595.0
1999-02-02,7338,7477,6692,7089,464010,264995.0,34504595.0
1999-02-03,7015,7384,6526,6840,403150,255679.0,34504595.0
1999-02-04,6784,7200,6738,6979,349350,260855.0,34504595.0
1999-02-05,7181,7283,7015,7246,533750,270861.0,34504595.0
1999-02-08,7384,8030,7338,7708,1239910,288113.0,34504595.0
1999-02-09,7707,7707,7043,7108,450360,265685.0,34504595.0
1999-02-10,7292,7467,7061,7255,506430,271206.0,34504595.0
1999-02-11,7024,7615,7024,7385,483720,276037.0,34504595.0
1999-02-12,7523,7661,7246,7348,449450,274657.0,34504595.0
1999-02-18,7384,7431,7015,7339,327440,274312.0,34504595.0
1999-02-19,7477,8077,7154,7385,1677010,276037.0,34504595.0
1999-02-22,7403,7661,7246,7292,456490,272586.0,34504595.0
1999-02-23,7477,7560,6867,6942,431430,259475.0,34504595.0
1999-02-24,6738,7200,6738,6923,363270,258784.0,34504595.0
1999-02-25,6830,7107,6738,6739,373180,251884.0,34504595.0
1999-02-26,6572,6969,6572,6951,271240,259820.0,34504595.0
1999-03-02,6950,7107,6904,6923,431210,258784.0,34504595.0
1999-03-03,6978,7154,6784,6831,263330,255334.0,34504595.0
