한화투자증권(003530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5878,6298,5878,6298,435830,170630.0,15167111.0
1999-01-05,6659,6827,6212,6717,889980,182005.0,15167111.0
1999-01-06,6995,7107,6546,6717,791940,182005.0,15167111.0
1999-01-07,6995,7162,6603,7165,809500,194139.0,15167111.0
1999-01-08,7164,8116,6997,7612,822960,206273.0,15167111.0
1999-01-11,8060,8732,7892,8732,1136680,236607.0,15167111.0
1999-01-12,9068,9068,8397,8844,1695240,239640.0,15167111.0
1999-01-13,8732,8956,8284,8424,604920,228265.0,15167111.0
1999-01-14,7557,8172,7163,7444,598540,201723.0,15167111.0
1999-01-15,7445,8537,7389,8536,871190,231298.0,15167111.0
1999-01-18,8788,9123,8283,8396,667190,227507.0,15167111.0
1999-01-19,8394,8787,8003,8284,502060,224473.0,15167111.0
1999-01-20,8340,8396,7724,7724,339790,209306.0,15167111.0
1999-01-21,7278,7669,7221,7277,372430,197172.0,15167111.0
1999-01-22,7276,7584,6436,7109,813590,192622.0,15167111.0
1999-01-25,7388,7388,6997,7026,488160,190347.0,15167111.0
1999-01-26,7136,7360,6100,6157,1010020,166838.0,15167111.0
1999-01-27,5989,6660,5680,6606,1099980,178972.0,15167111.0
1999-01-28,6471,6867,6009,6209,475870,142571.0,15167111.0
1999-01-29,6017,6400,5944,6010,531640,138021.0,15167111.0
1999-02-01,6089,6472,5944,6414,644740,147273.0,15167111.0
1999-02-02,6473,6539,6043,6176,272870,141812.0,15167111.0
1999-02-03,6603,6669,6273,6328,489260,145301.0,15167111.0
1999-02-04,6326,6539,6010,6149,217090,141206.0,15167111.0
1999-02-05,6148,6538,6009,6077,341710,139537.0,15167111.0
1999-02-08,6143,6968,6143,6803,1226990,156221.0,15167111.0
1999-02-09,6803,7430,6472,7331,1230760,168355.0,15167111.0
1999-02-10,7330,7494,6900,6902,924160,158496.0,15167111.0
1999-02-11,7066,7166,6736,7035,434440,161530.0,15167111.0
1999-02-12,7034,7463,7034,7035,632740,161530.0,15167111.0
1999-02-18,7099,7298,6803,6837,294930,156980.0,15167111.0
1999-02-19,6603,6603,6154,6440,320920,147879.0,15167111.0
1999-02-22,6076,6341,5937,5945,219940,136504.0,15167111.0
1999-02-23,5944,6129,5621,5661,422010,129982.0,15167111.0
1999-02-24,5567,5766,5494,5516,409800,126645.0,15167111.0
1999-02-25,5289,5573,5104,5152,357570,118303.0,15167111.0
1999-02-26,5150,5348,5150,5291,319440,121489.0,15167111.0
1999-03-02,5468,5733,5468,5581,200510,128162.0,15167111.0
1999-03-03,5612,6399,5415,5846,625770,134229.0,15167111.0
1999-03-04,5945,6063,5760,5786,285320,132864.0,15167111.0
1999-03-05,5502,5747,5502,5714,118950,131196.0,15167111.0
1999-03-08,5778,6565,5778,6559,880910,150609.0,15167111.0
1999-03-09,6669,6835,6339,6440,521170,147879.0,15167111.0
1999-03-10,6438,6464,6141,6209,243620,142571.0,15167111.0
1999-03-11,6241,6736,6241,6606,473960,151671.0,15167111.0
1999-03-12,6736,6868,6538,6738,424440,154705.0,15167111.0
1999-03-15,7066,7199,6670,6738,767050,256705.0,25167111.0
1999-03-16,6670,6803,6505,6738,433700,256705.0,25167111.0
1999-03-17,7067,7233,6737,6803,745650,259221.0,25167111.0
1999-03-18,6603,6802,6148,6209,357570,236571.0,25167111.0
1999-03-19,6274,6406,6207,6374,268110,242863.0,25167111.0
1999-03-22,5977,6341,5977,6090,285210,232041.0,25167111.0
1999-03-23,6010,6275,6010,6176,160900,235312.0,25167111.0
1999-03-24,6206,6206,5943,6077,204550,231537.0,25167111.0
1999-03-25,5943,6206,5877,6044,270110,230279.0,25167111.0
1999-03-26,6110,6176,6011,6110,215540,232796.0,25167111.0
1999-03-29,6010,6075,5878,5912,194800,225246.0,25167111.0
1999-03-30,5950,6082,5811,6083,207650,231789.0,25167111.0
