포스코케미칼(003670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-11-01,1240,1240,1240,1241,355407,73247.0,5907000.0
2001-11-02,1150,1160,1095,1096,150334,64682.0,5907000.0
2001-11-05,965,965,965,966,21464,57003.0,5907000.0
2001-11-06,950,995,946,956,878909,56412.0,5907000.0
2001-11-07,955,970,887,896,557244,52868.0,5907000.0
2001-11-08,915,933,895,896,245321,52868.0,5907000.0
2001-11-09,888,898,805,809,332052,47729.0,5907000.0
2001-11-12,780,817,780,798,205934,47079.0,5907000.0
2001-11-13,794,833,783,826,267718,48733.0,5907000.0
2001-11-14,802,872,802,843,451045,49737.0,5907000.0
2001-11-15,851,851,800,818,167057,48260.0,5907000.0
2001-11-16,825,868,820,851,260755,50210.0,5907000.0
2001-11-19,863,884,834,843,236065,49737.0,5907000.0
2001-11-20,845,852,806,814,164252,48024.0,5907000.0
2001-11-21,811,820,805,814,62691,48024.0,5907000.0
2001-11-22,813,830,808,831,93127,49028.0,5907000.0
2001-11-23,835,845,813,814,128790,48024.0,5907000.0
2001-11-26,810,817,786,792,122894,46724.0,5907000.0
2001-11-27,790,801,781,784,85266,46252.0,5907000.0
2001-11-28,780,840,770,797,251960,47020.0,5907000.0
2001-11-29,800,828,787,826,161593,48733.0,5907000.0
2001-11-30,835,915,825,866,426704,51096.0,5907000.0
2001-12-03,865,880,844,851,130740,50210.0,5907000.0
2001-12-04,852,920,843,906,367299,53458.0,5907000.0
2001-12-05,920,926,875,896,195002,52868.0,5907000.0
2001-12-06,910,915,856,871,133866,51391.0,5907000.0
2001-12-07,880,893,855,872,105325,51450.0,5907000.0
2001-12-10,881,881,850,861,84451,50800.0,5907000.0
2001-12-11,858,897,846,896,147511,52868.0,5907000.0
2001-12-12,943,968,901,911,399086,53754.0,5907000.0
2001-12-13,920,925,891,901,106119,53163.0,5907000.0
2001-12-14,898,940,892,941,142924,55526.0,5907000.0
2001-12-17,954,1015,940,951,399105,56116.0,5907000.0
2001-12-18,940,953,867,876,144675,51686.0,5907000.0
2001-12-19,887,900,800,806,128033,47551.0,5907000.0
2001-12-20,810,840,800,831,64752,49028.0,5907000.0
2001-12-21,826,870,807,871,101733,51391.0,5907000.0
2001-12-24,865,915,830,836,118775,49323.0,5907000.0
2001-12-26,840,849,830,846,65849,49914.0,5907000.0
2001-12-27,801,820,801,808,51546,47669.0,5907000.0
2001-12-28,820,828,810,821,47183,48437.0,5907000.0
2002-01-02,821,830,811,821,39202,48437.0,5907000.0
2002-01-03,813,830,806,830,74868,48969.0,5907000.0
2002-01-04,832,832,814,815,42580,48083.0,5907000.0
2002-01-07,813,824,803,811,54009,47847.0,5907000.0
2002-01-08,810,824,796,798,62274,47079.0,5907000.0
2002-01-09,795,817,785,815,65990,48083.0,5907000.0
2002-01-10,800,829,793,808,109397,47669.0,5907000.0
2002-01-11,808,817,800,814,34342,48024.0,5907000.0
2002-01-14,810,817,798,806,28436,47551.0,5907000.0
2002-01-15,780,800,780,801,28285,47256.0,5907000.0
2002-01-16,780,801,780,802,49955,47315.0,5907000.0
2002-01-17,790,800,774,791,34524,46665.0,5907000.0
2002-01-18,790,791,775,791,46363,46665.0,5907000.0
2002-01-21,782,796,780,789,19504,46547.0,5907000.0
2002-01-22,788,793,777,789,22873,46547.0,5907000.0
2002-01-23,780,787,774,776,29827,45779.0,5907000.0
2002-01-24,773,780,762,765,39549,45129.0,5907000.0
2002-01-25,765,765,745,747,62456,44066.0,5907000.0
2002-01-28,759,775,740,763,40647,45011.0,5907000.0
2002-01-29,782,815,767,796,98676,46961.0,5907000.0
2002-01-30,773,845,773,823,188716,48556.0,5907000.0
2002-01-31,830,850,810,838,84032,49442.0,5907000.0
2002-02-01,850,850,810,811,57711,47847.0,5907000.0
2002-02-04,802,802,770,771,41270,45484.0,5907000.0
2002-02-05,753,789,753,774,28406,45661.0,5907000.0
2002-02-06,773,790,765,777,21978,45838.0,5907000.0
2002-02-07,761,780,761,767,14573,45248.0,5907000.0
2002-02-08,770,776,758,776,15194,45779.0,5907000.0
