보령제약(003850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,673,688,661,677,20430,28780.0,2546899.0
1999-01-05,676,736,658,707,51580,30053.0,2546899.0
1999-01-06,718,748,706,737,54420,31327.0,2546899.0
1999-01-07,748,760,720,725,78000,30817.0,2546899.0
1999-01-08,727,748,712,737,47290,31327.0,2546899.0
1999-01-11,778,844,772,845,190540,35911.0,2546899.0
1999-01-12,862,892,808,893,234890,37949.0,2546899.0
1999-01-13,892,922,850,866,121530,36803.0,2546899.0
1999-01-14,783,837,748,755,68690,32091.0,2546899.0
1999-01-15,766,832,763,794,70730,33746.0,2546899.0
1999-01-18,793,880,793,845,104890,35911.0,2546899.0
1999-01-19,847,847,790,791,41950,33619.0,2546899.0
1999-01-20,793,849,777,779,128270,33110.0,2546899.0
1999-01-21,778,778,730,731,44350,31072.0,2546899.0
1999-01-22,700,712,688,695,42470,29544.0,2546899.0
1999-01-25,664,694,664,671,24120,28525.0,2546899.0
1999-01-26,682,712,640,650,24740,27634.0,2546899.0
1999-01-27,640,664,622,665,39730,28271.0,2546899.0
1999-01-28,676,706,670,677,37270,28780.0,2546899.0
1999-01-29,676,697,670,686,34510,29162.0,2546899.0
1999-02-01,685,700,676,695,57240,29544.0,2546899.0
1999-02-02,700,724,676,695,63860,29544.0,2546899.0
1999-02-03,694,694,658,665,32210,28271.0,2546899.0
1999-02-04,664,676,646,659,26040,28016.0,2546899.0
1999-02-05,658,667,652,665,13710,28271.0,2546899.0
1999-02-08,646,676,640,641,18720,27252.0,2546899.0
1999-02-09,652,652,586,599,16750,25469.0,2546899.0
1999-02-10,598,622,574,602,30710,25596.0,2546899.0
1999-02-11,604,622,604,620,19970,26360.0,2546899.0
1999-02-12,628,643,616,644,20970,27379.0,2546899.0
1999-02-18,664,664,619,623,13150,26488.0,2546899.0
1999-02-19,604,604,589,599,15070,25469.0,2546899.0
1999-02-22,592,598,574,582,11700,24730.0,2546899.0
1999-02-23,568,592,568,577,7340,24527.0,2546899.0
1999-02-24,579,586,575,578,9670,24578.0,2546899.0
1999-02-25,574,574,544,551,14980,23431.0,2546899.0
1999-02-26,551,589,551,569,15830,24196.0,2546899.0
1999-03-02,569,604,569,599,18810,25469.0,2546899.0
1999-03-03,598,598,580,581,8650,24705.0,2546899.0
1999-03-04,575,628,575,617,24830,26233.0,2546899.0
1999-03-05,619,676,604,665,59200,28271.0,2546899.0
1999-03-08,664,712,658,707,94210,30053.0,2546899.0
1999-03-09,676,784,676,695,204090,29544.0,2546899.0
1999-03-10,748,748,700,704,250070,29926.0,2546899.0
1999-03-11,682,739,682,701,75250,29799.0,2546899.0
1999-03-12,700,718,688,689,48570,29289.0,2546899.0
1999-03-15,682,706,676,686,42520,29162.0,2546899.0
1999-03-16,691,700,682,683,36920,29035.0,2546899.0
1999-03-17,688,697,679,680,47910,28907.0,2546899.0
1999-03-18,667,676,640,641,25740,27252.0,2546899.0
1999-03-19,634,664,634,653,33410,27761.0,2546899.0
1999-03-22,658,676,646,653,25030,27761.0,2546899.0
1999-03-23,652,670,646,650,21910,27634.0,2546899.0
1999-03-24,652,700,652,671,48520,28525.0,2546899.0
1999-03-25,658,676,658,659,37400,28016.0,2546899.0
1999-03-26,658,664,652,656,17020,27889.0,2546899.0
1999-03-29,640,652,640,641,18050,27252.0,2546899.0
1999-03-30,676,676,640,647,18510,27507.0,2546899.0
1999-03-31,652,667,652,659,24110,28016.0,2546899.0
1999-04-01,676,676,658,671,26070,28525.0,2546899.0
1999-04-02,670,679,652,665,31210,28271.0,2546899.0
1999-04-06,658,694,658,689,38350,29289.0,2546899.0
1999-04-07,688,703,679,680,40620,28907.0,2546899.0
1999-04-08,682,700,673,689,33920,29289.0,2546899.0
1999-04-09,706,724,691,692,74860,30005.0,2597836.0
1999-04-12,694,709,685,701,42350,30395.0,2597836.0
1999-04-13,706,736,700,725,89940,31434.0,2597836.0
1999-04-14,718,745,706,737,53280,31953.0,2597836.0
1999-04-15,736,760,718,761,78030,32993.0,2597836.0
1999-04-16,772,772,718,728,57620,31564.0,2597836.0
1999-04-19,718,742,718,731,53940,31694.0,2597836.0
1999-04-20,694,766,694,749,78850,32473.0,2597836.0
1999-04-21,760,796,718,737,138040,31953.0,2597836.0
1999-04-22,748,754,700,725,41690,31434.0,2597836.0
1999-04-23,730,736,712,731,47460,31694.0,2597836.0
1999-04-26,718,730,706,731,46180,31694.0,2597836.0
1999-04-27,760,760,721,743,45860,32213.0,2597836.0
1999-04-28,712,784,712,767,149000,33252.0,2597836.0
1999-04-29,783,819,772,779,84680,33772.0,2597836.0
1999-04-30,778,787,736,743,46550,32213.0,2597836.0
1999-05-03,772,808,751,797,86480,34551.0,2597836.0
1999-05-04,808,844,802,845,171970,36629.0,2597836.0
1999-05-06,867,928,843,899,190520,38968.0,2597836.0
1999-05-07,910,945,886,941,174530,40786.0,2597836.0
1999-05-10,939,976,910,971,143060,42085.0,2597836.0
1999-05-11,969,1000,934,935,143580,40526.0,2597836.0
1999-05-12,934,939,838,893,69730,38708.0,2597836.0
1999-05-13,892,919,868,869,73930,37669.0,2597836.0
1999-05-14,844,867,784,785,42280,34032.0,2597836.0
1999-05-17,727,763,718,719,38790,31174.0,2597836.0
1999-05-18,717,736,694,725,39460,31434.0,2597836.0
1999-05-19,736,766,709,767,94580,33252.0,2597836.0
1999-05-20,712,754,667,683,42110,29615.0,2597836.0
1999-05-21,688,706,676,689,38310,29875.0,2597836.0
1999-05-24,691,706,664,665,24290,28836.0,2597836.0
1999-05-25,673,706,658,683,27970,29615.0,2597836.0
1999-05-26,679,718,679,707,29630,30654.0,2597836.0
1999-05-27,718,742,706,707,48130,30654.0,2597836.0
1999-05-28,706,730,706,725,33710,31434.0,2597836.0
1999-05-31,724,724,706,710,13890,30784.0,2597836.0
1999-06-01,718,718,688,701,20500,30395.0,2597836.0
1999-06-02,694,748,694,731,48800,31694.0,2597836.0
1999-06-03,718,748,700,722,22960,31304.0,2597836.0
1999-06-04,724,736,706,713,31790,30914.0,2597836.0
1999-06-07,718,748,718,731,38350,31694.0,2597836.0
1999-06-08,736,784,721,758,94180,32863.0,2597836.0
1999-06-09,772,772,712,713,38220,30914.0,2597836.0
1999-06-10,718,742,718,722,24250,31304.0,2597836.0
1999-06-11,724,742,712,731,37000,31694.0,2597836.0
1999-06-14,730,742,706,725,46140,31434.0,2597836.0
1999-06-15,730,730,658,686,45460,29745.0,2597836.0
1999-06-16,688,709,682,692,40820,30005.0,2597836.0
1999-06-17,700,700,676,689,28860,29875.0,2597836.0
1999-06-18,688,694,670,689,17270,29875.0,2597836.0
1999-06-21,694,694,658,659,33510,28576.0,2597836.0
1999-06-22,658,691,643,692,52590,30005.0,2597836.0
1999-06-23,676,709,676,683,28530,29615.0,2597836.0
1999-06-24,682,700,676,677,26330,29356.0,2597836.0
1999-06-25,691,706,682,686,28500,29745.0,2597836.0
1999-06-28,700,706,670,671,21780,29096.0,2597836.0
1999-06-29,700,700,670,674,31910,29226.0,2597836.0
1999-06-30,673,688,661,665,22370,28836.0,2597836.0
1999-07-01,658,688,652,665,32140,28836.0,2597836.0
1999-07-02,676,709,676,701,68500,30395.0,2597836.0
1999-07-05,718,742,712,719,70830,31174.0,2597836.0
1999-07-06,736,736,709,713,47000,30914.0,2597836.0
1999-07-07,720,760,706,749,77300,32473.0,2597836.0
1999-07-08,754,786,748,779,81210,33772.0,2597836.0
1999-07-09,793,796,766,779,59210,33772.0,2597836.0
1999-07-12,778,808,766,770,68160,33382.0,2597836.0
1999-07-13,760,778,748,752,83690,32603.0,2597836.0
1999-07-14,751,769,748,755,72360,32733.0,2597836.0
1999-07-15,763,820,742,821,117840,35590.0,2597836.0
1999-07-16,796,849,796,839,109550,36370.0,2597836.0
1999-07-19,849,849,823,836,55170,36240.0,2597836.0
1999-07-20,834,855,819,839,61010,36370.0,2597836.0
1999-07-21,837,837,801,836,68430,36240.0,2597836.0
1999-07-22,837,898,817,899,97540,38968.0,2597836.0
1999-07-23,913,928,856,887,168050,38448.0,2597836.0
1999-07-26,886,886,844,863,95250,37409.0,2597836.0
1999-07-27,850,898,841,857,88510,37149.0,2597836.0
1999-07-28,837,856,820,851,43690,36889.0,2597836.0
1999-07-29,832,856,832,851,60430,36889.0,2597836.0
1999-07-30,829,934,829,911,89610,39487.0,2597836.0
1999-08-02,910,933,874,929,63940,40266.0,2597836.0
1999-08-03,928,982,916,941,138100,40786.0,2597836.0
1999-08-04,957,957,910,914,100980,39617.0,2597836.0
1999-08-05,913,951,868,878,125760,38058.0,2597836.0
1999-08-06,886,886,844,863,42120,37409.0,2597836.0
1999-08-09,844,880,829,854,72700,37019.0,2597836.0
1999-08-10,853,865,835,866,43300,37539.0,2597836.0
1999-08-11,850,874,850,872,37550,37799.0,2597836.0
1999-08-12,856,897,856,890,60480,38578.0,2597836.0
1999-08-13,874,928,862,881,56110,38188.0,2597836.0
1999-08-16,880,898,868,881,52170,38188.0,2597836.0
1999-08-17,898,898,850,878,31710,38058.0,2597836.0
1999-08-18,850,880,850,881,39000,38188.0,2597836.0
1999-08-19,867,898,867,884,18150,38318.0,2597836.0
1999-08-20,882,928,837,899,50000,38968.0,2597836.0
1999-08-23,898,969,898,935,136210,40526.0,2597836.0
1999-08-24,966,985,921,929,262240,40266.0,2597836.0
1999-08-25,928,928,874,875,91640,37928.0,2597836.0
1999-08-26,868,883,850,869,45810,37669.0,2597836.0
1999-08-27,898,910,868,881,71640,38188.0,2597836.0
1999-08-30,880,904,870,875,34190,37928.0,2597836.0
1999-08-31,868,880,856,875,32380,37928.0,2597836.0
1999-09-01,862,874,850,857,31200,37149.0,2597836.0
1999-09-02,850,886,850,866,33190,37539.0,2597836.0
1999-09-03,871,892,844,887,39280,38448.0,2597836.0
1999-09-06,886,946,874,911,169210,39487.0,2597836.0
1999-09-07,910,934,892,893,54220,38708.0,2597836.0
1999-09-08,898,907,862,899,75590,38968.0,2597836.0
1999-09-09,898,1000,880,935,246050,40526.0,2597836.0
1999-09-10,933,969,916,947,177780,41046.0,2597836.0
1999-09-13,964,1029,954,959,264970,41565.0,2597836.0
1999-09-14,945,993,939,953,111280,41306.0,2597836.0
1999-09-15,957,987,943,989,119180,42864.0,2597836.0
1999-09-16,997,1134,997,1060,745280,45982.0,2597836.0
1999-09-17,1071,1089,964,965,200750,41825.0,2597836.0
1999-09-20,957,1005,913,1007,189550,43644.0,2597836.0
1999-09-21,1017,1044,981,1000,129880,43384.0,2597836.0
1999-09-22,982,993,928,935,97930,40526.0,2597836.0
1999-09-27,951,951,868,869,43650,37669.0,2597836.0
1999-09-28,867,867,808,833,93490,36110.0,2597836.0
1999-09-29,835,850,778,797,62120,34551.0,2597836.0
1999-09-30,783,825,777,815,87010,35331.0,2597836.0
1999-10-01,802,826,772,791,52900,34291.0,2597836.0
1999-10-04,766,808,754,779,39570,33772.0,2597836.0
1999-10-05,766,772,661,677,35380,29356.0,2597836.0
1999-10-06,628,730,628,713,47350,30914.0,2597836.0
1999-10-07,718,754,700,755,36180,32733.0,2597836.0
1999-10-08,783,783,736,749,32990,32473.0,2597836.0
1999-10-11,748,778,730,752,34560,32603.0,2597836.0
1999-10-12,769,769,748,758,29870,32863.0,2597836.0
1999-10-13,748,778,748,764,33220,33122.0,2597836.0
1999-10-14,766,814,748,767,61010,33252.0,2597836.0
1999-10-15,808,808,766,770,36700,33382.0,2597836.0
1999-10-18,760,769,718,719,28130,31174.0,2597836.0
1999-10-19,724,760,694,719,23660,31174.0,2597836.0
1999-10-20,706,751,706,740,50640,32083.0,2597836.0
1999-10-21,778,778,739,740,46560,32083.0,2597836.0
1999-10-22,727,849,720,779,272860,33772.0,2597836.0
1999-10-25,784,790,688,713,50910,30914.0,2597836.0
1999-10-26,715,715,682,695,40070,30135.0,2597836.0
1999-10-27,673,712,673,689,31540,29875.0,2597836.0
1999-10-28,688,706,685,707,18060,30654.0,2597836.0
1999-10-29,706,718,688,698,60270,30265.0,2597836.0
1999-11-01,706,712,676,698,35840,30265.0,2597836.0
1999-11-02,700,721,700,707,48430,30654.0,2597836.0
1999-11-03,736,736,697,707,34630,30654.0,2597836.0
1999-11-04,709,754,706,749,265710,32473.0,2597836.0
1999-11-05,766,766,724,737,91750,31953.0,2597836.0
1999-11-08,742,748,717,725,66490,31434.0,2597836.0
1999-11-09,703,724,703,713,50620,30914.0,2597836.0
1999-11-10,718,730,712,728,51580,31564.0,2597836.0
1999-11-11,730,787,727,761,140980,32993.0,2597836.0
1999-11-12,775,805,724,779,131060,33772.0,2597836.0
1999-11-15,790,862,790,827,157020,35850.0,2597836.0
1999-11-16,826,838,796,821,78230,35590.0,2597836.0
1999-11-17,808,892,790,863,148230,37409.0,2597836.0
1999-11-18,867,925,838,845,104580,36629.0,2597836.0
1999-11-19,862,862,784,833,72680,36110.0,2597836.0
1999-11-22,826,844,814,821,40050,35590.0,2597836.0
1999-11-23,811,819,762,779,21620,33772.0,2597836.0
1999-11-24,748,778,730,731,32340,31694.0,2597836.0
1999-11-25,718,748,679,689,43620,29875.0,2597836.0
1999-11-26,670,712,634,677,33860,29356.0,2597836.0
1999-11-29,622,688,622,689,20880,29875.0,2597836.0
1999-11-30,655,715,655,689,34240,29875.0,2597836.0
1999-12-01,670,718,658,677,47230,29356.0,2597836.0
1999-12-02,694,775,694,776,147160,33642.0,2597836.0
1999-12-03,775,790,688,716,73100,31044.0,2597836.0
1999-12-06,715,721,658,713,90130,30914.0,2597836.0
1999-12-07,679,754,679,701,86770,30395.0,2597836.0
1999-12-08,688,796,670,779,143680,33772.0,2597836.0
1999-12-09,775,895,751,896,228690,38838.0,2597836.0
1999-12-10,904,904,850,863,121300,37409.0,2597836.0
1999-12-13,832,975,832,953,198370,41306.0,2597836.0
1999-12-14,976,1092,952,1094,231300,47411.0,2597836.0
1999-12-15,1071,1104,976,1000,214010,43384.0,2597836.0
1999-12-16,1017,1021,970,979,209460,42475.0,2597836.0
1999-12-17,945,1012,886,887,92210,38448.0,2597836.0
1999-12-20,856,969,856,899,78910,38968.0,2597836.0
1999-12-21,808,867,808,839,79510,36370.0,2597836.0
1999-12-22,784,951,784,845,52670,36629.0,2597836.0
1999-12-23,865,939,837,851,180700,36889.0,2597836.0
1999-12-24,850,889,820,821,80560,35590.0,2597836.0
1999-12-27,820,865,718,749,52790,32473.0,2597836.0
1999-12-28,760,832,703,728,38430,31564.0,2597836.0
2000-01-04,641,824,641,795,64630,33772.0,2597836.0
2000-01-05,791,853,770,811,47970,34421.0,2597836.0
2000-01-06,843,843,742,743,31960,31564.0,2597836.0
2000-01-07,745,843,745,801,49160,34032.0,2597836.0
2000-01-10,822,886,764,856,78250,36370.0,2597836.0
2000-01-11,770,868,727,814,50850,34551.0,2597836.0
2000-01-12,837,837,745,765,32470,32473.0,2597836.0
