롯데정밀화학(004000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12790,13448,12602,13165,286340,189000.0,13500000.0
1999-01-05,13166,13730,12978,13447,328740,193050.0,13500000.0
1999-01-06,14200,15423,14200,15422,330020,221400.0,13500000.0
1999-01-07,17727,17727,17727,17726,210140,254475.0,13500000.0
1999-01-08,17680,18526,17210,18055,1814720,259200.0,13500000.0
1999-01-11,18056,20219,17586,19466,1210580,279450.0,13500000.0
1999-01-12,19937,20031,18056,18620,742970,267300.0,13500000.0
1999-01-13,18338,18620,17586,18055,494760,259200.0,13500000.0
1999-01-14,17492,17586,15564,16363,464320,234900.0,13500000.0
1999-01-15,16457,17304,16175,16786,457870,240975.0,13500000.0
1999-01-18,17210,17680,16927,16927,379320,243000.0,13500000.0
1999-01-19,17116,17116,16175,16175,270240,232200.0,13500000.0
1999-01-20,16175,17398,15611,16316,458450,234225.0,13500000.0
1999-01-21,16269,16457,15047,15046,271760,216000.0,13500000.0
1999-01-22,15047,15235,14388,14576,462870,209250.0,13500000.0
1999-01-25,14765,14765,13448,13588,312920,195075.0,13500000.0
1999-01-26,14106,14388,13354,13353,392930,191700.0,13500000.0
1999-01-27,13354,14294,13354,14106,346400,202500.0,13500000.0
1999-01-28,14200,14435,13871,14106,329230,202500.0,13500000.0
1999-01-29,14388,14765,13965,14576,381510,209250.0,13500000.0
1999-02-01,14765,14859,14294,14388,372860,206550.0,13500000.0
1999-02-02,14388,14576,13730,13918,268530,199800.0,13500000.0
1999-02-03,13636,13824,13354,13447,176530,193050.0,13500000.0
1999-02-04,13354,13730,12884,13165,158070,189000.0,13500000.0
1999-02-05,13448,13730,12978,13400,207020,192375.0,13500000.0
1999-02-08,13730,15376,13636,13918,1391820,199800.0,13500000.0
1999-02-09,14200,14388,13213,13212,552330,189675.0,13500000.0
1999-02-10,13260,14106,12884,13541,351990,194400.0,13500000.0
1999-02-11,13072,13918,13072,13353,234880,191700.0,13500000.0
1999-02-12,13542,13824,13448,13730,294530,197100.0,13500000.0
1999-02-18,14106,14294,13448,13447,223710,193050.0,13500000.0
1999-02-19,13354,13354,12602,12977,259870,186300.0,13500000.0
1999-02-22,12413,12696,12037,12225,447380,240500.0,18500000.0
1999-02-23,12413,12602,11755,11849,294240,233100.0,18500000.0
1999-02-24,11849,12131,11567,11661,361830,229400.0,18500000.0
1999-02-25,11332,11896,11332,11473,295650,225700.0,18500000.0
1999-02-26,11614,12225,11614,12131,411480,238650.0,18500000.0
1999-03-02,12508,12978,12272,12554,581980,246975.0,18500000.0
1999-03-03,12696,12884,12225,12366,344710,243275.0,18500000.0
1999-03-04,12319,12649,12084,12507,330720,246050.0,18500000.0
1999-03-05,12131,12884,12131,12883,329500,253450.0,18500000.0
1999-03-08,13166,13589,13072,13447,557460,264550.0,18500000.0
1999-03-09,13542,13542,13025,13165,292690,259000.0,18500000.0
1999-03-10,12884,13542,12837,13306,297330,261775.0,18500000.0
1999-03-11,13307,13636,13166,13447,335580,264550.0,18500000.0
1999-03-12,13636,14576,13542,13918,581010,273800.0,18500000.0
1999-03-15,14200,14294,13542,13588,385710,267325.0,18500000.0
1999-03-16,13636,13871,13354,13730,282520,270100.0,18500000.0
1999-03-17,13918,14200,13542,13541,348230,266400.0,18500000.0
1999-03-18,13354,13824,13072,13165,208410,259000.0,18500000.0
1999-03-19,13166,14106,13166,14059,316890,276575.0,18500000.0
1999-03-22,14059,15235,13824,14764,1158380,290450.0,18500000.0
1999-03-23,15047,15329,14576,15140,602520,297850.0,18500000.0
1999-03-24,15047,15517,14765,15140,515650,297850.0,18500000.0
1999-03-25,14953,15329,14576,14576,359860,286750.0,18500000.0
1999-03-26,14576,14953,14482,14764,292470,290450.0,18500000.0
1999-03-29,14482,14859,14294,14482,260090,284900.0,18500000.0
1999-03-30,14859,15235,14812,15140,450790,297850.0,18500000.0
