한국석유공업(004090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,18100,18800,18100,18600,7090,12187.0,655200.0
1999-01-05,18600,21350,18100,21350,51980,13989.0,655200.0
1999-01-06,21350,22500,20000,21800,66370,14283.0,655200.0
1999-01-07,22300,22600,21500,22000,21970,14414.0,655200.0
1999-01-08,21900,21900,21000,21000,15880,13759.0,655200.0
1999-01-11,21000,23200,21000,22500,15900,14742.0,655200.0
1999-01-12,22500,22800,21100,22500,19450,14742.0,655200.0
1999-01-13,23100,25850,22000,25850,88520,16937.0,655200.0
1999-01-14,25850,27300,22200,22500,108530,14742.0,655200.0
1999-01-15,23000,25850,21500,25850,76360,16937.0,655200.0
1999-01-18,26450,29600,26200,27400,116580,17952.0,655200.0
1999-01-19,26000,26950,23800,25000,29140,16380.0,655200.0
1999-01-20,23900,25000,23100,23600,23020,15463.0,655200.0
1999-01-21,23600,24000,21900,21900,15580,14349.0,655200.0
1999-01-22,21400,23200,21400,22900,21440,15004.0,655200.0
1999-01-25,23000,23000,21500,21500,9840,14087.0,655200.0
1999-01-26,21700,22700,20600,20600,22690,13497.0,655200.0
1999-01-27,20800,22500,20800,21400,12270,14021.0,655200.0
1999-01-28,21400,22900,21400,21950,18320,14382.0,655200.0
1999-01-29,22350,22800,21800,22350,9980,14644.0,655200.0
1999-02-01,22800,23700,22500,23650,18600,15495.0,655200.0
1999-02-02,24000,24000,23000,23900,17120,15659.0,655200.0
1999-02-03,23800,23900,22900,23200,15510,15201.0,655200.0
1999-02-04,23300,23500,22000,22400,11440,14676.0,655200.0
1999-02-05,21300,23400,21300,22000,11350,14414.0,655200.0
1999-02-08,22000,22000,21300,21550,8610,14120.0,655200.0
1999-02-09,21600,21600,19000,19300,24450,12645.0,655200.0
1999-02-10,19500,19750,19200,19500,7310,12776.0,655200.0
1999-02-11,19600,20400,19600,19800,8670,12973.0,655200.0
1999-02-12,20000,22750,20000,22750,42360,14906.0,655200.0
1999-02-18,23000,23950,22000,23000,59460,15070.0,655200.0
1999-02-19,22100,22300,21000,22100,9310,14480.0,655200.0
1999-02-22,21500,21500,20500,20500,9220,13432.0,655200.0
1999-02-23,21100,22900,20500,20500,15080,13432.0,655200.0
1999-02-24,20850,21500,20100,20800,13700,13628.0,655200.0
1999-02-25,20800,21300,20000,20150,6620,13202.0,655200.0
1999-02-26,20150,21400,20150,21000,7330,13759.0,655200.0
1999-03-02,21100,24150,21100,24150,93430,15823.0,655200.0
1999-03-03,24150,24950,21800,22800,151030,14939.0,655200.0
1999-03-04,23000,23500,22100,23000,24360,15070.0,655200.0
1999-03-05,23900,25000,22800,22800,33240,14939.0,655200.0
1999-03-08,22900,23700,22900,23300,19380,15266.0,655200.0
1999-03-09,23400,23400,22400,22700,15260,14873.0,655200.0
1999-03-10,23000,23200,22300,22300,13380,14611.0,655200.0
1999-03-11,22800,23500,21900,22600,12280,14808.0,655200.0
1999-03-12,22900,24450,22900,23200,43190,15201.0,655200.0
1999-03-15,23900,25800,23800,24500,68770,16052.0,655200.0
1999-03-16,24800,24800,23900,24500,23090,16052.0,655200.0
1999-03-17,24650,24700,23500,23500,28200,15397.0,655200.0
1999-03-18,23400,24200,23100,23500,16420,15397.0,655200.0
1999-03-19,23100,24100,23100,23400,15770,15332.0,655200.0
1999-03-22,23400,23650,23200,23300,11490,15266.0,655200.0
1999-03-23,23000,23600,22200,22200,15260,14545.0,655200.0
1999-03-24,23000,24150,22700,23500,29130,15397.0,655200.0
1999-03-25,23200,23600,22800,22900,13340,15004.0,655200.0
1999-03-26,23200,23600,22900,22900,8920,15004.0,655200.0
1999-03-29,22700,23300,22700,22750,12090,14906.0,655200.0
1999-03-30,22800,23500,22800,23150,10450,15168.0,655200.0
1999-03-31,23200,23850,23200,23500,6190,15397.0,655200.0
1999-04-01,24000,24000,23300,23800,19820,15594.0,655200.0
1999-04-02,23800,23850,23200,23500,11730,15397.0,655200.0
1999-04-06,23500,24200,23300,24000,18110,15725.0,655200.0
1999-04-07,24200,24800,24100,24450,24320,16020.0,655200.0
1999-04-08,25200,25200,24000,24400,17240,15987.0,655200.0
1999-04-09,24500,24700,23800,24000,14220,15725.0,655200.0
1999-04-12,23600,23800,23350,23700,10160,15528.0,655200.0
1999-04-13,23800,24300,23500,23500,11190,15397.0,655200.0
1999-04-14,23500,24200,23300,23800,11510,15594.0,655200.0
1999-04-15,24300,24300,23500,23550,20710,15430.0,655200.0
1999-04-16,23800,24800,23700,24000,22580,15725.0,655200.0
1999-04-19,25900,26000,24600,24700,44310,16183.0,655200.0
1999-04-20,24000,24500,23500,24300,18840,15921.0,655200.0
1999-04-21,24500,24750,24000,24400,14390,15987.0,655200.0
1999-04-22,24200,25200,24000,24000,20480,15725.0,655200.0
1999-04-23,24700,24700,24150,24200,18290,15856.0,655200.0
1999-04-26,25200,25200,23900,24500,24480,16052.0,655200.0
1999-04-27,23800,24600,23800,24100,16090,15790.0,655200.0
1999-04-28,24350,26700,24200,26000,54630,17035.0,655200.0
1999-04-29,26000,26600,25300,25850,25860,16937.0,655200.0
1999-04-30,26400,27800,26100,26800,41430,17559.0,655200.0
1999-05-03,27700,30500,27100,28700,62050,18804.0,655200.0
1999-05-04,29900,30400,28500,29100,61070,19066.0,655200.0
1999-05-06,29700,32000,29300,30500,36470,19984.0,655200.0
