신세계(004170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,16001,17482,16001,16890,179390,319200.0,11200000.0
1999-01-05,16771,17186,16001,16416,193410,310240.0,11200000.0
1999-01-06,16771,18253,16415,18253,330720,344960.0,11200000.0
1999-01-07,18964,20445,18431,19853,412450,375200.0,11200000.0
1999-01-08,19261,19794,18964,18964,163890,358400.0,11200000.0
1999-01-11,19081,19555,18726,19261,169930,364000.0,11200000.0
1999-01-12,19556,20742,19259,19438,369890,367360.0,11200000.0
1999-01-13,18963,20208,18785,20149,167430,380800.0,11200000.0
1999-01-14,19557,19735,18311,18964,99570,358400.0,11200000.0
1999-01-15,18370,19081,17776,18846,80860,356160.0,11200000.0
1999-01-18,19319,19319,18697,18876,144930,356720.0,11200000.0
1999-01-19,18490,18669,17837,18076,147900,373930.0,12260000.0
1999-01-20,18252,18667,17599,17957,118300,371478.0,12260000.0
1999-01-21,17956,19141,17837,18194,203410,376382.0,12260000.0
1999-01-22,17898,17957,16297,16298,154290,337150.0,12260000.0
1999-01-25,15704,16000,14281,14816,243780,306500.0,12260000.0
1999-01-26,15111,15585,14163,14519,225560,300370.0,12260000.0
1999-01-27,14222,15406,13926,15408,136220,318760.0,12260000.0
1999-01-28,15525,16652,15468,16475,137140,340828.0,12260000.0
1999-01-29,16593,16889,16059,16120,119780,333472.0,12260000.0
1999-02-01,15703,16592,15703,16179,62670,334698.0,12260000.0
1999-02-02,16178,16534,15586,16001,38660,331020.0,12260000.0
1999-02-03,16000,16000,15406,15408,51240,318760.0,12260000.0
1999-02-04,15526,15585,14873,15349,34490,317534.0,12260000.0
1999-02-05,15585,15941,15111,15705,94530,324890.0,12260000.0
1999-02-08,16000,16119,15705,15705,38400,324890.0,12260000.0
1999-02-09,14814,15703,14578,14875,38350,307726.0,12260000.0
1999-02-10,14520,14520,13808,14223,137790,294240.0,12260000.0
1999-02-11,14816,14934,14103,14401,72880,297918.0,12260000.0
1999-02-12,14637,15347,14399,15349,86720,317534.0,12260000.0
1999-02-18,15762,15821,15288,15764,164240,326116.0,12260000.0
1999-02-19,15526,15526,13985,14934,62410,308952.0,12260000.0
1999-02-22,14934,14934,14103,14223,25260,294240.0,12260000.0
1999-02-23,14755,14814,13925,14105,40900,291788.0,12260000.0
1999-02-24,13925,14401,13925,14342,52060,296692.0,12260000.0
1999-02-25,14044,14638,14044,14638,80010,302822.0,12260000.0
1999-02-26,14666,15111,14459,14934,138270,308952.0,12260000.0
1999-03-02,14815,15408,14518,14994,245660,310178.0,12260000.0
1999-03-03,15112,15289,14548,14697,92000,304048.0,12260000.0
1999-03-04,14518,14816,14518,14638,43080,302822.0,12260000.0
1999-03-05,14638,15171,14579,15053,97200,311404.0,12260000.0
1999-03-08,15171,16237,15171,16001,273400,331020.0,12260000.0
1999-03-09,16001,16179,15468,15942,130550,329794.0,12260000.0
1999-03-10,15882,16001,15527,15675,76860,324277.0,12260000.0
1999-03-11,15229,16000,15229,15349,120360,317534.0,12260000.0
1999-03-12,15941,17186,15852,16831,167670,348184.0,12260000.0
1999-03-15,16889,17423,16592,17424,209210,360444.0,12260000.0
1999-03-16,17186,18074,17007,17424,171850,360444.0,12260000.0
1999-03-17,17482,17778,16949,16950,117320,350636.0,12260000.0
1999-03-18,17185,17482,16059,16120,82540,333472.0,12260000.0
1999-03-19,16356,17186,16296,16831,72680,348184.0,12260000.0
1999-03-22,16652,17719,16652,17305,67080,357992.0,12260000.0
1999-03-23,17482,18490,17304,18401,226200,380673.0,12260000.0
1999-03-24,18372,18372,17660,18224,84230,376995.0,12260000.0
1999-03-25,18223,18846,17837,18076,146550,373930.0,12260000.0
1999-03-26,18074,18667,17541,17720,171310,366574.0,12260000.0
1999-03-29,17600,17956,17363,17839,62590,369026.0,12260000.0
1999-03-30,18074,18785,17955,18787,98850,388642.0,12260000.0
1999-03-31,18785,19497,18370,18550,101320,383738.0,12260000.0
1999-04-01,18549,19320,18549,19024,284900,393546.0,12260000.0
1999-04-02,19319,19675,18963,19557,123360,404580.0,12260000.0
1999-04-06,19615,20623,19615,20446,209120,422970.0,12260000.0
1999-04-07,21333,22696,21333,21868,401420,452394.0,12260000.0
1999-04-08,21807,23111,21392,23113,342810,519021.0,13308231.0
1999-04-09,23408,23645,22816,23587,207530,529668.0,13308231.0
1999-04-12,23585,25128,22637,24298,310850,545637.0,13308231.0
1999-04-13,23705,24653,23586,24239,213230,544307.0,13308231.0
1999-04-14,24299,24299,22816,23706,108500,532329.0,13308231.0
1999-04-15,23231,24594,23231,24594,245610,552292.0,13308231.0
1999-04-16,24297,24950,23705,23765,109000,533660.0,13308231.0
1999-04-19,23824,24831,23438,23824,123380,534991.0,13308231.0
