엔피씨(004250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,450,475,450,473,24640,17369.0,3672000.0
1999-01-05,473,500,460,495,45790,18176.0,3672000.0
1999-01-06,495,540,485,540,72540,19829.0,3672000.0
1999-01-07,590,590,532,540,60840,19829.0,3672000.0
1999-01-08,541,541,511,529,38370,19425.0,3672000.0
1999-01-11,530,589,530,589,108400,21628.0,3672000.0
1999-01-12,670,677,620,677,503780,24859.0,3672000.0
1999-01-13,700,778,650,778,364910,28568.0,3672000.0
1999-01-14,778,798,662,662,170710,24309.0,3672000.0
1999-01-15,650,740,615,701,210910,25741.0,3672000.0
1999-01-18,730,806,730,806,259430,29596.0,3672000.0
1999-01-19,751,805,700,700,103150,25704.0,3672000.0
1999-01-20,699,720,611,650,93730,23868.0,3672000.0
1999-01-21,611,660,592,620,95360,22766.0,3672000.0
1999-01-22,601,640,593,610,56680,22399.0,3672000.0
1999-01-25,700,700,610,610,26480,22399.0,3672000.0
1999-01-26,610,640,552,585,56170,21481.0,3672000.0
1999-01-27,498,600,498,600,38100,22032.0,3672000.0
1999-01-28,560,649,560,640,38690,23501.0,3672000.0
1999-01-29,630,660,604,650,56500,23868.0,3672000.0
1999-02-01,650,690,640,670,31850,24602.0,3672000.0
1999-02-02,670,690,625,625,64630,22950.0,3672000.0
1999-02-03,628,650,603,625,21870,22950.0,3672000.0
1999-02-04,619,639,581,581,15920,21334.0,3672000.0
1999-02-05,590,650,575,590,33570,21665.0,3672000.0
1999-02-08,610,610,550,552,19310,20269.0,3672000.0
1999-02-09,550,575,496,500,36930,18360.0,3672000.0
1999-02-10,500,520,490,520,71190,19094.0,3672000.0
1999-02-11,520,538,513,521,29900,19131.0,3672000.0
1999-02-12,540,550,525,540,24070,19829.0,3672000.0
1999-02-18,569,569,525,527,11430,19351.0,3672000.0
1999-02-19,535,535,486,510,29470,18727.0,3672000.0
1999-02-22,475,509,475,485,9830,17809.0,3672000.0
1999-02-23,471,495,470,471,19810,17295.0,3672000.0
1999-02-24,460,485,460,472,13140,17332.0,3672000.0
1999-02-25,460,460,435,447,16110,16414.0,3672000.0
1999-02-26,448,490,448,490,14820,17993.0,3672000.0
1999-03-02,495,525,495,506,23560,18580.0,3672000.0
1999-03-03,510,520,470,470,7400,17258.0,3672000.0
1999-03-04,471,485,465,485,10860,17809.0,3672000.0
1999-03-05,475,485,475,485,19040,17809.0,3672000.0
1999-03-08,495,530,492,527,26420,19351.0,3672000.0
1999-03-09,520,521,490,510,27960,18727.0,3672000.0
1999-03-10,495,510,482,484,32770,17772.0,3672000.0
1999-03-11,488,520,484,520,56840,19094.0,3672000.0
1999-03-12,530,569,530,540,60990,19829.0,3672000.0
1999-03-15,558,558,530,535,37890,19645.0,3672000.0
1999-03-16,545,615,535,615,252650,22583.0,3672000.0
1999-03-17,631,680,615,640,228810,23501.0,3672000.0
1999-03-18,625,640,545,580,75050,21298.0,3672000.0
1999-03-19,590,628,590,618,65100,22693.0,3672000.0
1999-03-22,580,628,580,600,52970,22032.0,3672000.0
1999-03-23,600,620,591,608,58790,22326.0,3672000.0
1999-03-24,600,670,590,670,122280,24602.0,3672000.0
1999-03-25,670,735,670,700,176580,25704.0,3672000.0
1999-03-26,670,709,670,680,71600,24970.0,3672000.0
1999-03-29,680,715,660,700,70580,25704.0,3672000.0
1999-03-30,710,750,710,750,91560,27540.0,3672000.0
1999-03-31,750,770,721,740,70770,27173.0,3672000.0
1999-04-01,760,800,750,780,150130,28642.0,3672000.0
1999-04-02,770,790,760,760,51170,27907.0,3672000.0
1999-04-06,800,800,680,750,52870,27540.0,3672000.0
1999-04-07,710,765,710,730,98860,26806.0,3672000.0
1999-04-08,760,760,710,735,34460,26989.0,3672000.0
1999-04-09,720,750,710,725,59050,26622.0,3672000.0
1999-04-12,661,740,661,725,77290,26622.0,3672000.0
1999-04-13,725,725,700,711,39920,26108.0,3672000.0
1999-04-14,700,740,690,700,65790,25704.0,3672000.0
1999-04-15,711,730,680,703,45940,25814.0,3672000.0
1999-04-16,690,719,681,690,75190,25337.0,3672000.0
1999-04-19,690,718,650,651,47160,23905.0,3672000.0
1999-04-20,656,688,631,653,66220,23978.0,3672000.0
1999-04-21,680,700,660,700,53830,25704.0,3672000.0
1999-04-22,715,764,690,750,82790,27540.0,3672000.0
1999-04-23,730,850,730,791,136080,29046.0,3672000.0
1999-04-26,815,815,740,769,58300,28238.0,3672000.0
1999-04-27,830,850,803,818,117840,30037.0,3672000.0
1999-04-28,818,870,818,840,106430,30845.0,3672000.0
1999-04-29,851,900,835,842,83650,30918.0,3672000.0
1999-04-30,830,890,786,786,95060,28862.0,3672000.0
1999-05-03,845,903,807,903,177840,33158.0,3672000.0
1999-05-04,935,959,898,920,183730,33782.0,3672000.0
1999-05-06,980,980,920,920,103900,33782.0,3672000.0
1999-05-07,930,960,920,920,86350,33782.0,3672000.0
1999-05-10,926,980,926,941,89530,34554.0,3672000.0
1999-05-11,952,960,850,850,72290,31212.0,3672000.0
1999-05-12,890,900,820,875,68600,32130.0,3672000.0
1999-05-13,840,860,810,836,59900,30698.0,3672000.0
1999-05-14,870,880,771,800,79850,29376.0,3672000.0
1999-05-17,780,800,730,760,52830,27907.0,3672000.0
1999-05-18,790,874,760,874,108820,32093.0,3672000.0
1999-05-19,880,920,851,900,171100,33048.0,3672000.0
1999-05-20,900,920,845,870,108350,31946.0,3672000.0
1999-05-21,865,866,830,860,51480,31579.0,3672000.0
1999-05-24,865,867,770,805,34320,29560.0,3672000.0
1999-05-25,815,839,805,815,25290,29927.0,3672000.0
1999-05-26,821,870,821,830,47510,30478.0,3672000.0
1999-05-27,845,880,820,829,61290,30441.0,3672000.0
1999-05-28,811,839,800,829,50880,30441.0,3672000.0
1999-05-31,850,890,850,860,69780,31579.0,3672000.0
1999-06-01,870,920,860,900,116110,33048.0,3672000.0
1999-06-02,910,920,885,890,82450,32681.0,3672000.0
1999-06-03,890,1020,875,1020,396230,37454.0,3672000.0
1999-06-04,1020,1080,990,1005,264250,36904.0,3672000.0
1999-06-07,1030,1030,960,980,130640,35986.0,3672000.0
1999-06-08,1025,1110,1010,1050,182720,38556.0,3672000.0
1999-06-09,1050,1050,950,970,92740,35618.0,3672000.0
1999-06-10,951,1020,950,975,97370,35802.0,3672000.0
1999-06-11,975,1020,950,950,71590,34884.0,3672000.0
1999-06-14,960,960,915,925,68240,33966.0,3672000.0
1999-06-15,930,945,850,875,50020,32130.0,3672000.0
1999-06-16,886,950,880,950,51720,34884.0,3672000.0
1999-06-17,930,970,922,930,43500,34150.0,3672000.0
1999-06-18,930,970,916,945,85110,34700.0,3672000.0
1999-06-21,954,960,805,900,54170,33048.0,3672000.0
1999-06-22,879,930,879,900,63160,33048.0,3672000.0
1999-06-23,901,969,901,949,58850,34847.0,3672000.0
1999-06-24,930,959,920,920,47310,33782.0,3672000.0
1999-06-25,935,970,925,940,65960,34517.0,3672000.0
1999-06-28,980,980,880,880,45590,32314.0,3672000.0
1999-06-29,880,919,880,880,46620,32314.0,3672000.0
1999-06-30,862,894,830,878,39890,32240.0,3672000.0
1999-07-01,850,890,835,860,53760,31579.0,3672000.0
1999-07-02,870,918,850,898,51090,32975.0,3672000.0
1999-07-05,901,950,880,913,63330,33525.0,3672000.0
1999-07-06,900,950,893,925,102850,33966.0,3672000.0
1999-07-07,930,960,926,930,87530,34150.0,3672000.0
1999-07-08,906,950,901,915,87730,33599.0,3672000.0
1999-07-09,921,940,903,910,60000,33415.0,3672000.0
1999-07-12,921,1000,921,940,126330,34517.0,3672000.0
1999-07-13,990,990,940,960,110390,35251.0,3672000.0
1999-07-14,952,960,882,882,53920,32387.0,3672000.0
1999-07-15,876,900,790,860,39990,31579.0,3672000.0
1999-07-16,860,890,855,860,45290,31579.0,3672000.0
1999-07-19,880,880,772,860,68470,31579.0,3672000.0
1999-07-20,870,949,840,880,82850,32314.0,3672000.0
1999-07-21,861,875,820,830,42610,30478.0,3672000.0
1999-07-22,860,860,780,845,37130,31028.0,3672000.0
1999-07-23,810,840,770,770,45710,28274.0,3672000.0
1999-07-26,710,759,675,675,32080,24786.0,3672000.0
1999-07-27,655,710,655,690,30140,25337.0,3672000.0
1999-07-28,750,793,750,793,99750,29119.0,3672000.0
1999-07-29,810,835,770,805,69320,29560.0,3672000.0
1999-07-30,830,830,730,740,41570,27173.0,3672000.0
1999-08-02,720,790,720,775,40820,28458.0,3672000.0
1999-08-03,780,815,755,805,43960,29560.0,3672000.0
1999-08-04,805,805,765,770,30830,28274.0,3672000.0
1999-08-05,798,799,740,740,34310,27173.0,3672000.0
1999-08-06,720,775,710,758,50700,27834.0,3672000.0
1999-08-09,758,765,735,761,65510,27944.0,3672000.0
1999-08-10,762,762,719,725,24290,26622.0,3672000.0
1999-08-11,710,748,690,700,42520,25704.0,3672000.0
1999-08-12,720,739,700,714,28740,26218.0,3672000.0
1999-08-13,718,744,690,710,35410,26071.0,3672000.0
1999-08-16,711,730,670,720,23690,26438.0,3672000.0
1999-08-17,700,728,630,630,31440,23134.0,3672000.0
1999-08-18,640,655,600,619,24830,22730.0,3672000.0
1999-08-19,650,650,630,649,21740,23831.0,3672000.0
1999-08-20,610,655,610,645,27500,23684.0,3672000.0
1999-08-23,665,710,640,656,50970,24088.0,3672000.0
1999-08-24,660,689,660,675,32920,24786.0,3672000.0
1999-08-25,651,685,651,661,24330,24272.0,3672000.0
1999-08-26,660,675,651,652,39870,23941.0,3672000.0
1999-08-27,668,670,630,630,41710,23134.0,3672000.0
1999-08-30,649,649,630,630,35020,23134.0,3672000.0
1999-08-31,605,635,605,617,19420,22656.0,3672000.0
1999-09-01,610,630,590,590,42280,21665.0,3672000.0
1999-09-02,600,667,600,658,99360,24162.0,3672000.0
1999-09-03,651,680,651,660,57430,24235.0,3672000.0
1999-09-06,650,670,640,640,27980,23501.0,3672000.0
1999-09-07,640,700,640,685,45510,25153.0,3672000.0
1999-09-08,695,695,650,655,22980,24052.0,3672000.0
1999-09-09,655,744,651,699,58220,25667.0,3672000.0
1999-09-10,699,700,670,681,40020,25006.0,3672000.0
1999-09-13,694,694,653,656,31460,24088.0,3672000.0
1999-09-14,661,673,640,664,46490,24382.0,3672000.0
1999-09-15,670,670,645,645,19750,23684.0,3672000.0
1999-09-16,655,665,640,640,25770,23501.0,3672000.0
1999-09-17,645,645,615,620,17510,22766.0,3672000.0
1999-09-20,650,652,624,639,15910,23464.0,3672000.0
1999-09-21,625,679,625,660,23720,24235.0,3672000.0
1999-09-22,660,710,660,700,79100,25704.0,3672000.0
1999-09-27,701,701,664,674,17920,24749.0,3672000.0
1999-09-28,674,730,663,700,46640,25704.0,3672000.0
1999-09-29,700,756,700,730,76330,26806.0,3672000.0
1999-09-30,749,790,710,735,104220,26989.0,3672000.0
1999-10-01,730,730,687,730,26570,26806.0,3672000.0
1999-10-04,730,779,699,745,49930,27356.0,3672000.0
1999-10-05,780,780,720,721,74590,26475.0,3672000.0
1999-10-06,715,750,715,740,24810,27173.0,3672000.0
1999-10-07,730,769,730,741,28930,27210.0,3672000.0
1999-10-08,750,840,740,810,81630,29743.0,3672000.0
1999-10-11,825,900,810,839,71680,30808.0,3672000.0
1999-10-12,845,860,820,832,58370,30551.0,3672000.0
1999-10-13,835,870,835,869,52130,31910.0,3672000.0
1999-10-14,841,860,833,835,33010,30661.0,3672000.0
1999-10-15,830,844,800,830,35750,30478.0,3672000.0
1999-10-18,811,840,780,792,37400,29082.0,3672000.0
1999-10-19,760,809,760,792,17130,29082.0,3672000.0
1999-10-20,890,890,765,765,35410,28091.0,3672000.0
1999-10-21,795,795,760,760,23600,27907.0,3672000.0
1999-10-22,750,799,750,760,16190,27907.0,3672000.0
1999-10-25,765,765,715,715,12810,26255.0,3672000.0
1999-10-26,715,738,699,699,19570,25667.0,3672000.0
1999-10-27,700,718,671,709,18020,26034.0,3672000.0
1999-10-28,690,730,690,730,15270,26806.0,3672000.0
1999-10-29,711,750,711,730,4240,26806.0,3672000.0
1999-11-01,691,739,691,720,17190,26438.0,3672000.0
1999-11-02,730,750,705,725,23510,26622.0,3672000.0
1999-11-03,750,750,720,740,19980,27173.0,3672000.0
1999-11-04,730,775,710,770,50630,28274.0,3672000.0
1999-11-05,790,820,751,760,21070,27907.0,3672000.0
1999-11-08,760,764,720,725,37990,26622.0,3672000.0
1999-11-09,725,730,707,730,61000,26806.0,3672000.0
1999-11-10,720,730,701,705,52220,25888.0,3672000.0
1999-11-11,700,715,681,689,48630,25300.0,3672000.0
1999-11-12,695,695,650,661,72150,24272.0,3672000.0
1999-11-15,680,680,641,646,28850,23721.0,3672000.0
1999-11-16,647,650,611,614,50240,22546.0,3672000.0
1999-11-17,601,675,601,650,73730,23868.0,3672000.0
1999-11-18,631,655,610,615,24590,22583.0,3672000.0
1999-11-19,620,635,602,620,24470,22766.0,3672000.0
1999-11-22,620,623,601,606,37950,22252.0,3672000.0
1999-11-23,610,614,600,601,29190,22069.0,3672000.0
1999-11-24,602,609,550,580,39220,21298.0,3672000.0
1999-11-25,560,590,550,570,34200,20930.0,3672000.0
1999-11-26,545,545,490,524,28350,19241.0,3672000.0
1999-11-29,490,524,450,450,38500,16524.0,3672000.0
