우리들제약(004720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4480,4723,4292,4547,283600,6359.0,1525000.0
1999-01-05,5015,5247,4661,5237,808800,7312.0,1525000.0
1999-01-06,5201,5555,5013,5456,1016700,7625.0,1525000.0
1999-01-07,5987,5987,5456,5456,721000,7625.0,1525000.0
1999-01-08,5250,5670,5250,5571,589900,7778.0,1525000.0
1999-01-11,5766,6374,5766,6397,1415100,8936.0,1525000.0
1999-01-12,6558,6856,6215,6669,1453200,9302.0,1525000.0
1999-01-13,6640,7282,6197,6773,1609400,9455.0,1525000.0
1999-01-14,6116,6658,5751,5895,982500,8235.0,1525000.0
1999-01-15,5838,6335,5672,6115,670600,8540.0,1525000.0
1999-01-18,6638,6981,6217,6815,1135300,9516.0,1525000.0
1999-01-19,7082,7082,6097,6219,896900,8692.0,1525000.0
1999-01-20,6601,6866,5948,6115,751700,8540.0,1525000.0
1999-01-21,6253,6309,5545,5634,506900,7869.0,1525000.0
1999-01-22,5126,5546,5126,5425,567000,7579.0,1525000.0
1999-01-25,5988,5988,5059,5059,398800,7076.0,1525000.0
1999-01-26,5051,5327,4675,4808,478600,6710.0,1525000.0
1999-01-27,4779,4990,4370,4913,562300,6862.0,1525000.0
1999-01-28,5015,5447,4959,5237,593700,7320.0,1525000.0
1999-01-29,5217,5316,5018,5195,365100,7244.0,1525000.0
1999-02-01,5244,5388,5210,5300,445900,7396.0,1525000.0
1999-02-02,5407,5617,5230,5341,643700,7457.0,1525000.0
1999-02-03,5231,5253,5032,5132,124700,7168.0,1525000.0
1999-02-04,5193,5304,4850,5028,253300,7015.0,1525000.0
1999-02-05,5038,5126,4916,5038,199200,7030.0,1525000.0
1999-02-08,5029,5172,4797,4808,156800,6710.0,1525000.0
1999-02-09,4782,4782,4284,4306,231700,6024.0,1525000.0
1999-02-10,4345,4555,4245,4589,230200,6405.0,1525000.0
1999-02-11,4468,4889,4468,4746,237300,6634.0,1525000.0
1999-02-12,4805,4916,4739,4850,210900,6771.0,1525000.0
1999-02-18,4846,4880,4725,4902,102300,6847.0,1525000.0
1999-02-19,4671,4671,4394,4693,109200,6558.0,1525000.0
1999-02-22,4727,4727,4472,4495,198500,6268.0,1525000.0
1999-02-23,4478,4544,4334,4390,124900,6130.0,1525000.0
1999-02-24,4406,4483,4251,4306,190000,6024.0,1525000.0
1999-02-25,4268,4345,4135,4202,453900,5871.0,1525000.0
1999-02-26,4351,4573,4351,4474,219800,6237.0,1525000.0
1999-03-02,4530,4862,4530,4641,186800,6481.0,1525000.0
1999-03-03,4677,4677,4390,4578,216600,6390.0,1525000.0
1999-03-04,4456,4688,4456,4589,101100,6405.0,1525000.0
1999-03-05,4530,4862,4530,4641,265900,6481.0,1525000.0
1999-03-08,4584,5038,4584,5028,360500,7015.0,1525000.0
1999-03-09,5100,5322,4879,4913,383600,6862.0,1525000.0
1999-03-10,5001,5001,4680,4913,128600,6855.0,1525000.0
1999-03-11,4892,5124,4803,5070,271600,7084.0,1525000.0
1999-03-12,5223,5677,5124,5268,527300,7366.0,1525000.0
1999-03-15,5493,5493,5040,5195,428600,7244.0,1525000.0
1999-03-16,5031,5296,5031,5153,95600,7198.0,1525000.0
1999-03-17,5296,5296,4953,4965,290100,6939.0,1525000.0
1999-03-18,4915,5126,4805,4860,288500,6786.0,1525000.0
1999-03-19,5175,5175,4843,4955,284200,6924.0,1525000.0
1999-03-22,4942,4942,4599,4787,137200,6680.0,1525000.0
1999-03-23,4746,5056,4746,4913,317500,6862.0,1525000.0
1999-03-24,4161,4991,4161,4892,250700,6832.0,1525000.0
1999-03-25,4846,4957,4669,4913,317900,6862.0,1525000.0
1999-03-26,4686,4951,4686,4808,128600,6710.0,1525000.0
1999-03-29,4707,4807,4585,4641,223300,6481.0,1525000.0
1999-03-30,4561,4794,4561,4672,108000,6512.0,1525000.0
1999-03-31,4723,4811,4679,4746,229200,6634.0,1525000.0
1999-04-01,4686,5018,4686,4808,188500,6710.0,1525000.0
1999-04-02,4796,4796,4520,4620,349100,6451.0,1525000.0
1999-04-06,4680,4890,4514,4725,465800,6603.0,1525000.0
1999-04-07,4730,5073,4730,4808,399500,6710.0,1525000.0
1999-04-08,4792,4836,4637,4704,158200,6573.0,1525000.0
1999-04-09,4666,4754,4544,4589,393500,6413.0,1525000.0
1999-04-12,4669,4934,4669,4913,560600,6862.0,1525000.0
1999-04-13,4570,4880,4570,4704,478700,6573.0,1525000.0
1999-04-14,4727,4849,4639,4672,305300,6512.0,1525000.0
1999-04-15,4807,4851,4686,4819,522300,6725.0,1525000.0
1999-04-16,4876,4975,4544,4589,404500,6413.0,1525000.0
1999-04-19,4467,4710,4467,4589,303900,6405.0,1525000.0
1999-04-20,4570,4891,4481,4714,571300,6588.0,1525000.0
1999-04-21,4599,5008,4555,4589,817400,6405.0,1525000.0
1999-04-22,4566,4721,4478,4589,335800,6405.0,1525000.0
1999-04-23,4609,4698,4576,4610,332000,6436.0,1525000.0
1999-04-26,4481,4669,4404,4526,276000,6329.0,1525000.0
1999-04-27,4376,4574,4376,4442,395100,6207.0,1525000.0
1999-04-28,4522,4953,4467,4965,976200,6939.0,1525000.0
1999-04-29,5236,5447,5114,5237,1221800,7320.0,1525000.0
1999-04-30,5320,5320,4723,4934,509800,6893.0,1525000.0
1999-05-03,4949,5603,4894,5592,1313800,7823.0,1525000.0
1999-05-04,5611,5732,5246,5456,852500,7625.0,1525000.0
1999-05-06,5563,5762,5485,5519,1038200,7701.0,1525000.0
1999-05-07,5542,5742,5277,5300,724700,7396.0,1525000.0
1999-05-10,5314,5657,5181,5613,730100,7838.0,1525000.0
1999-05-11,5871,6225,5683,6115,1451900,8540.0,1525000.0
1999-05-12,7023,7023,6857,7035,2159100,9821.0,1525000.0
1999-05-13,7074,7439,6310,6554,3102800,9150.0,1525000.0
1999-05-14,6755,6855,5672,5739,860700,8006.0,1525000.0
1999-05-17,5592,5769,5038,5028,850100,7015.0,1525000.0
1999-05-18,4798,5395,4798,5174,576600,7228.0,1525000.0
1999-05-19,5272,5924,5106,5958,1363600,8311.0,1525000.0
1999-05-20,6518,6750,6097,6219,2786400,8692.0,1525000.0
1999-05-21,6225,6225,5760,6115,787600,8540.0,1525000.0
1999-05-24,5994,6116,5563,5895,577100,8235.0,1525000.0
1999-05-25,5889,6431,5579,6000,522500,8388.0,1525000.0
1999-05-26,6304,6425,6094,6282,642900,8769.0,1525000.0
1999-05-27,6381,6381,5895,5895,514500,8235.0,1525000.0
1999-05-28,5879,5990,5713,5780,406700,8082.0,1525000.0
1999-05-31,5893,6114,5672,6115,372100,8540.0,1525000.0
1999-06-01,6105,6282,5895,5895,547500,8235.0,1525000.0
1999-06-02,5895,5994,5773,5895,428200,8235.0,1525000.0
1999-06-03,5829,6592,5829,6073,1103300,8479.0,1525000.0
1999-06-04,6302,6435,6059,6115,759300,8540.0,1525000.0
1999-06-07,6257,6257,5881,5937,407100,8281.0,1525000.0
1999-06-08,5988,6210,5878,6000,728000,8388.0,1525000.0
1999-06-09,5990,6100,5757,5791,469800,8098.0,1525000.0
1999-06-10,5675,5886,5664,5676,436400,7930.0,1525000.0
1999-06-11,5714,5891,5339,5571,513000,7778.0,1525000.0
1999-06-14,5441,5695,5441,5519,268200,7701.0,1525000.0
1999-06-15,5438,5736,5051,5195,295000,7244.0,1525000.0
1999-06-16,5246,5555,5223,5456,423700,7625.0,1525000.0
1999-06-17,4878,5486,4878,5310,303200,7412.0,1525000.0
1999-06-18,5153,5297,5076,5143,226100,7183.0,1525000.0
1999-06-21,5132,5132,4889,4934,248400,6893.0,1525000.0
1999-06-22,4803,5069,4682,5070,429900,7091.0,1525000.0
1999-06-23,5304,5304,5038,5028,209600,7015.0,1525000.0
1999-06-24,5045,5200,4846,4913,316800,6862.0,1525000.0
1999-06-25,4892,5102,4892,5070,229000,7091.0,1525000.0
1999-06-28,4914,5058,4848,4881,220700,6817.0,1525000.0
1999-06-29,4888,4998,4766,4955,221900,6931.0,1525000.0
1999-06-30,4973,5017,4806,4829,263200,6740.0,1525000.0
1999-07-01,4781,5002,4670,4704,351900,6565.0,1525000.0
1999-07-02,4816,4915,4738,4860,270200,6786.0,1525000.0
1999-07-05,4892,5102,4892,5070,456400,7091.0,1525000.0
1999-07-06,5075,5407,5020,5352,707000,7472.0,1525000.0
1999-07-07,5298,5298,5099,5132,229200,7175.0,1525000.0
1999-07-08,5130,5672,5130,5352,550200,7472.0,1525000.0
1999-07-09,5449,5670,5172,5582,916900,7793.0,1525000.0
1999-07-12,5656,5943,5445,5822,1243300,8128.0,1525000.0
1999-07-13,5714,5836,5471,5571,566900,7778.0,1525000.0
1999-07-14,5665,5820,5466,5843,700200,8159.0,1525000.0
1999-07-15,5990,6367,5713,5780,823000,8082.0,1525000.0
1999-07-16,5878,5878,5534,5624,262900,7854.0,1525000.0
1999-07-19,5602,5734,5535,5613,355100,7838.0,1525000.0
1999-07-20,5675,5951,5619,5686,457100,7945.0,1525000.0
1999-07-21,5752,5752,5287,5310,343500,7412.0,1525000.0
1999-07-22,5292,5436,5004,5414,452200,7564.0,1525000.0
1999-07-23,5211,5654,4879,4913,503300,6862.0,1525000.0
1999-07-26,4361,5003,4361,4683,350900,6527.0,1525000.0
1999-07-27,4898,5296,4754,4965,176100,6939.0,1525000.0
1999-07-28,4682,5069,4682,5070,262700,7091.0,1525000.0
1999-07-29,5001,5278,4935,5090,364000,7106.0,1525000.0
1999-07-30,5084,5084,4797,4808,342500,6710.0,1525000.0
1999-08-02,4797,4852,4587,4808,316300,6710.0,1525000.0
1999-08-03,4784,5006,4784,4829,226300,6748.0,1525000.0
1999-08-04,4864,5539,4864,5550,1023400,7747.0,1525000.0
1999-08-05,5115,5890,4705,5226,1543400,7290.0,1525000.0
1999-08-06,5340,5494,5074,5362,658400,7488.0,1525000.0
1999-08-09,5466,5986,5455,5467,771700,7640.0,1525000.0
1999-08-10,5495,5550,5230,5352,338600,7472.0,1525000.0
1999-08-11,5581,5581,5027,5028,282300,7015.0,1525000.0
1999-08-12,5010,5165,5010,5132,290400,7168.0,1525000.0
1999-08-13,5133,5166,4790,4923,337900,6878.0,1525000.0
1999-08-16,4802,5057,4802,4902,224900,6840.0,1525000.0
1999-08-17,4907,5094,4774,4819,223800,6733.0,1525000.0
1999-08-18,4803,4803,4460,4693,401400,6558.0,1525000.0
1999-08-19,4476,5051,4476,4808,194600,6710.0,1525000.0
1999-08-20,4791,4990,4680,4714,187500,6588.0,1525000.0
1999-08-23,4885,4907,4675,4808,184100,6710.0,1525000.0
1999-08-24,4846,4990,4746,4913,200600,6862.0,1525000.0
1999-08-25,4762,5072,4762,4829,212600,6740.0,1525000.0
1999-08-26,4844,4888,4733,4756,132000,6649.0,1525000.0
1999-08-27,4752,5018,4686,4808,240700,6710.0,1525000.0
1999-08-30,4797,4852,4675,4808,288500,6710.0,1525000.0
1999-08-31,5002,5002,4670,4704,241500,6573.0,1525000.0
1999-09-01,4842,4842,4665,4787,150900,6680.0,1525000.0
1999-09-02,4707,4862,4652,4641,197400,6481.0,1525000.0
