휴스틸(005010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12428,15580,12428,15579,2000,1999.0,2310796.0
1999-01-05,13328,15129,13328,15129,4150,1941.0,2310796.0
1999-01-06,13328,14589,13328,14408,4400,1849.0,2310796.0
1999-01-07,13869,14409,12248,12247,6140,1571.0,2310796.0
1999-01-08,11707,12788,11347,12247,9910,1571.0,2310796.0
1999-01-11,11797,12338,11797,12337,5730,1583.0,2310796.0
1999-01-12,12338,12788,12248,12607,15660,1618.0,2310796.0
1999-01-13,14499,14499,12067,14048,7370,1802.0,2310796.0
1999-01-14,14409,14409,12608,12607,15720,1618.0,2310796.0
1999-01-15,11707,14409,11707,14048,17760,1802.0,2310796.0
1999-01-18,15129,15309,15129,15309,35110,1964.0,2310796.0
1999-01-19,16210,16210,14409,14408,19320,1849.0,2310796.0
1999-01-20,15309,15309,12608,12607,50120,1618.0,2310796.0
1999-01-21,12428,13869,12428,13868,14520,1779.0,2310796.0
1999-01-22,12608,13778,11887,12877,25350,1652.0,2310796.0
1999-01-25,12608,12878,11887,11887,5190,1525.0,2310796.0
1999-01-26,12157,12968,12067,12427,3670,1594.0,2310796.0
1999-01-27,12428,13328,12248,12247,9150,1571.0,2310796.0
1999-01-28,12878,13688,12878,13688,3640,1756.0,2310796.0
1999-01-29,12067,13688,12067,13328,12230,1710.0,2310796.0
1999-02-01,13328,13508,12698,12877,11160,1652.0,2310796.0
1999-02-02,12968,13869,12878,13868,6320,1779.0,2310796.0
1999-02-03,13418,13418,12698,12787,2460,1641.0,2310796.0
1999-02-04,13598,13778,12878,12967,17900,1664.0,2310796.0
1999-02-05,14859,14859,13508,14588,47910,1872.0,2310796.0
1999-02-08,14769,14949,14409,14408,26870,1849.0,2310796.0
1999-02-09,13508,14229,13418,13508,20850,1733.0,2310796.0
1999-02-10,12608,13508,12608,13148,6910,1687.0,2310796.0
1999-02-11,13148,13778,13148,13778,7030,1768.0,2310796.0
1999-02-12,13508,14769,13508,13688,7390,1756.0,2310796.0
1999-02-18,13328,14139,13148,14138,8370,1814.0,2310796.0
1999-02-19,13328,13328,12428,13328,8730,1710.0,2310796.0
1999-02-22,12608,13688,12608,13328,15720,1710.0,2310796.0
1999-02-23,13508,14049,13508,14048,6550,1802.0,2310796.0
1999-02-24,13328,13869,12788,13508,4570,1733.0,2310796.0
1999-02-25,13148,14409,13148,14228,18650,1826.0,2310796.0
1999-02-26,12608,13508,12608,13508,29580,1733.0,2310796.0
1999-03-02,12608,13508,12608,13508,8350,1733.0,2310796.0
1999-03-03,12878,13328,12878,13328,10520,1710.0,2310796.0
1999-03-04,12878,13328,12788,13328,24280,1710.0,2310796.0
1999-03-05,12788,13598,12788,13598,17980,1745.0,2310796.0
1999-03-08,13688,14049,13508,13508,7340,1733.0,2310796.0
1999-03-09,13508,13508,13058,13148,7710,1687.0,2310796.0
1999-03-10,12608,13148,12608,12787,7090,1641.0,2310796.0
1999-03-11,13598,13598,12788,13418,14250,1722.0,2310796.0
1999-03-12,12608,13508,12608,12967,17210,1664.0,2310796.0
1999-03-15,12968,13688,12968,13688,16310,1756.0,2310796.0
1999-03-16,13688,14229,13508,13868,11620,1779.0,2310796.0
1999-03-17,13508,13508,12788,13148,10160,1687.0,2310796.0
1999-03-18,13148,13508,12698,12697,4270,1629.0,2310796.0
1999-03-19,12788,13508,12788,12967,3760,1664.0,2310796.0
1999-03-22,12968,14409,12788,14408,16030,1849.0,2310796.0
