크라운해태홀딩스(005740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,165,165,165,166,540,4111.0,1326000.0
1999-01-05,160,168,157,158,5490,3912.0,1326000.0
1999-01-06,157,165,157,161,17260,3991.0,1326000.0
1999-01-07,165,168,165,168,9570,4177.0,1326000.0
1999-01-08,165,168,165,168,7410,4177.0,1326000.0
1999-01-11,171,180,171,181,15820,4482.0,1326000.0
1999-01-12,180,181,179,180,7040,4455.0,1326000.0
1999-01-13,190,206,190,206,7270,5118.0,1326000.0
1999-01-14,236,236,213,237,22400,5881.0,1326000.0
1999-01-15,248,272,248,273,14600,6763.0,1326000.0
1999-01-18,313,313,307,313,9930,7770.0,1326000.0
1999-01-19,358,359,320,360,29340,8924.0,1326000.0
1999-01-20,359,359,320,348,10820,8619.0,1326000.0
1999-01-21,295,310,295,296,9630,7333.0,1326000.0
1999-01-22,254,254,251,252,5210,6259.0,1326000.0
1999-01-25,257,257,235,257,7680,6365.0,1326000.0
1999-01-26,256,261,255,257,4080,6365.0,1326000.0
1999-01-27,225,245,225,246,1430,6100.0,1326000.0
1999-01-28,259,282,259,267,2810,6630.0,1326000.0
1999-01-29,256,307,256,307,4960,7624.0,1326000.0
1999-02-01,320,347,310,348,22080,8619.0,1326000.0
1999-02-02,352,352,347,348,5280,8619.0,1326000.0
1999-02-03,312,328,312,321,6950,7956.0,1326000.0
1999-02-04,315,320,315,321,3340,7956.0,1326000.0
1999-02-05,321,321,321,322,0,7983.0,1326000.0
1999-02-08,320,320,320,321,6250,7956.0,1326000.0
1999-02-09,320,326,320,321,9340,7956.0,1326000.0
1999-02-10,315,321,315,321,7300,7956.0,1326000.0
1999-02-11,315,315,315,315,2910,7823.0,1326000.0
1999-02-12,315,315,272,315,940,7823.0,1326000.0
1999-02-18,310,310,310,310,50,7691.0,1326000.0
1999-02-19,315,315,315,315,30,7823.0,1326000.0
1999-02-22,320,362,320,321,800,7956.0,1326000.0
1999-02-23,278,283,278,283,820,7028.0,1326000.0
1999-02-24,320,320,320,321,10,7956.0,1326000.0
1999-02-25,299,299,299,299,130,7426.0,1326000.0
1999-02-26,320,336,283,283,3050,7028.0,1326000.0
1999-03-02,320,323,320,323,3970,8022.0,1326000.0
1999-03-03,346,347,342,348,7440,8619.0,1326000.0
1999-03-04,320,320,320,321,10,7956.0,1326000.0
1999-03-05,331,342,331,342,5200,8486.0,1326000.0
