에스엘(005850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1341,1435,1341,1434,16800,28177.0,1310580.0
1999-01-05,1528,1528,1435,1481,29200,29095.0,1310580.0
1999-01-06,1495,1702,1481,1694,269400,33289.0,1310580.0
1999-01-07,1815,1815,1668,1815,439300,35648.0,1310580.0
1999-01-08,1835,1868,1702,1728,147100,33944.0,1310580.0
1999-01-11,1635,1802,1635,1761,328200,34599.0,1310580.0
1999-01-12,1788,1788,1668,1734,136900,34075.0,1310580.0
1999-01-13,1735,1835,1668,1734,299900,34075.0,1310580.0
1999-01-14,1735,1768,1608,1768,96100,34730.0,1310580.0
1999-01-15,1702,1928,1702,1801,553400,35386.0,1310580.0
1999-01-18,1742,1802,1742,1778,59100,34927.0,1310580.0
1999-01-19,1778,1778,1708,1761,32600,34599.0,1310580.0
1999-01-20,1722,1755,1668,1668,26300,32764.0,1310580.0
1999-01-21,1655,1668,1468,1538,28900,30209.0,1310580.0
1999-01-22,1538,1635,1538,1548,71800,30405.0,1310580.0
1999-01-25,1581,1588,1535,1568,73100,30799.0,1310580.0
1999-01-26,1568,1581,1531,1531,56600,30078.0,1310580.0
1999-01-27,1468,1561,1468,1561,24100,30668.0,1310580.0
1999-01-28,1595,1648,1475,1474,61200,28964.0,1310580.0
1999-01-29,1601,1635,1528,1554,59400,30537.0,1310580.0
1999-02-01,1561,1601,1561,1588,23800,31192.0,1310580.0
1999-02-02,1588,1588,1548,1548,25800,30405.0,1310580.0
1999-02-03,1555,1585,1535,1554,16700,30537.0,1310580.0
1999-02-04,1455,1608,1455,1574,33300,30930.0,1310580.0
1999-02-05,1535,1575,1535,1574,63500,30930.0,1310580.0
1999-02-08,1601,1635,1578,1594,8600,31323.0,1310580.0
1999-02-09,1595,1595,1528,1568,81400,30799.0,1310580.0
1999-02-10,1535,1622,1528,1621,40400,31847.0,1310580.0
1999-02-11,1581,1635,1568,1628,114300,31978.0,1310580.0
